Polling Station No,APPAVU.M,ESSAKKIAMMAL.E,GIRIJA THAMARAIPANDIAN.D,BALAKRISHNAN.S.P,DR.SATHISH CHRISTOPHER,JESURAJENDRAN.J,MAHALAKSHMI,MURUGAN.P,ARUNRAJ,OLIVER ANTON NAVAMONI. S,ANANTHI.R,ANAND PRASAD,KARTHICK.V,KINGSLY ISACC JEBARAJ.S,SUNDARAJAN.S,SELVAN.T,DANIEL.A,PON SANTHANA KUMARAN.R,MANIKANDAN.A.I,MANIKANDAN.S,MANIKANDAN.L,RAJAN.P,JEYARAJ.P V S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
230,132,2,35,210,216,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,604,0,0,604,0
231,116,0,38,141,211,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,512,0,0,512,0
232,98,1,23,211,261,1,0,0,1,0,2,1,2,0,0,0,1,1,1,1,0,0,0,605,0,1,606,0
233,171,0,30,168,208,1,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,1,0,585,0,2,587,0
234,120,1,22,115,179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,438,0,3,441,0
235,185,0,19,109,166,1,1,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,487,0,0,487,0
236,223,1,59,215,326,1,0,0,0,0,0,0,0,0,0,3,11,0,1,0,0,1,1,842,0,2,844,0
237,167,0,60,195,334,1,1,1,0,0,0,0,1,1,0,0,4,4,3,1,0,0,0,773,0,0,773,0
238,98,0,30,198,166,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,496,0,0,496,0
239,173,0,31,266,93,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,569,0,1,570,0
240,203,1,62,197,216,1,0,0,1,0,1,3,1,0,0,0,1,1,1,0,0,0,1,690,0,0,690,0
241,182,1,68,165,251,0,2,4,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,683,0,0,683,0
242,190,5,91,89,228,0,0,0,0,0,0,0,2,1,1,1,4,1,1,0,1,0,0,615,0,2,617,0
243,184,3,20,94,133,0,0,0,1,2,0,2,1,0,0,3,2,2,0,0,0,0,1,448,0,0,448,0
244,139,1,18,42,109,0,0,0,1,1,0,1,1,0,0,2,0,1,0,1,0,0,0,317,0,0,317,0
245,305,0,28,134,288,0,1,0,0,0,0,0,4,1,0,0,3,9,1,1,3,0,1,779,0,2,781,0
246,353,1,45,172,219,0,1,0,0,0,0,0,1,0,2,4,4,1,0,0,1,1,0,805,0,1,806,0
247,297,1,40,121,227,1,0,0,1,0,0,0,3,0,0,2,2,2,1,2,0,1,0,701,0,1,702,0
248,132,1,32,199,171,0,0,1,1,0,1,0,2,1,0,3,4,0,0,0,0,0,0,548,0,3,551,0
249,210,4,26,56,265,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,1,0,0,571,0,4,575,0
250,219,2,49,59,278,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,610,0,5,615,0
251,230,1,42,215,283,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,773,0,0,773,0
252,212,0,87,165,314,0,2,0,0,0,0,0,0,0,0,1,10,4,2,3,3,0,1,804,0,4,808,0
253,192,0,23,166,203,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,590,0,4,594,0
254,167,1,34,73,239,1,0,0,0,0,0,1,0,0,0,3,4,1,0,0,1,1,0,526,0,0,526,0
255,200,3,37,177,220,0,0,0,0,0,0,1,1,0,1,2,11,5,5,1,2,0,1,667,0,2,669,0
256,198,1,45,120,242,0,1,0,0,0,1,0,0,2,0,3,1,4,0,1,1,0,0,620,0,2,622,0
257,136,1,51,238,186,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,1,0,2,623,0,1,624,0
258,221,2,93,214,310,1,3,0,0,0,1,1,1,1,0,3,2,3,0,3,0,2,1,862,0,1,863,0
259,219,3,48,206,303,3,1,0,0,1,1,0,3,2,1,15,3,4,1,3,4,0,1,822,0,1,823,0
260,197,5,32,215,328,2,0,0,1,0,0,3,1,0,0,3,2,1,0,0,2,0,0,792,0,2,794,0
261,210,1,25,209,242,0,0,1,1,0,0,1,1,0,2,4,4,6,1,1,1,0,1,711,0,1,712,0
262,198,2,102,238,291,1,0,1,0,1,0,2,3,2,3,2,1,1,1,0,1,0,1,851,0,1,852,0
263,123,1,43,172,251,0,0,0,0,0,0,1,0,1,0,1,3,0,0,2,0,0,1,599,0,0,599,0
264,80,1,51,169,122,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,425,0,1,426,0
265,126,1,56,128,212,0,1,2,0,1,0,1,0,0,1,1,0,1,0,2,2,0,0,535,0,1,536,0
266,218,2,51,163,234,4,1,0,0,0,0,2,1,1,0,2,2,1,0,0,0,1,0,683,0,1,684,0
267,134,3,66,194,239,0,1,1,1,0,0,0,1,1,0,2,2,3,0,1,1,0,0,650,0,1,651,0
268,274,1,60,232,255,0,0,2,0,0,0,2,1,0,1,3,6,0,1,1,1,0,1,841,0,1,842,0
269,142,1,33,294,193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,666,0,5,671,0
270,203,0,52,241,206,1,2,0,0,0,0,1,2,1,0,3,7,2,0,2,2,1,0,726,0,1,727,0
271,117,1,32,180,170,0,0,0,0,0,0,0,1,0,0,2,5,1,1,5,0,2,0,517,0,0,517,0
272,156,1,43,212,122,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,540,0,0,540,0
273,127,1,47,264,122,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,567,0,0,567,0
274,145,0,37,323,221,0,0,0,0,0,0,0,1,0,0,1,2,6,0,1,0,0,0,737,0,1,738,0
275,143,0,15,117,185,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,464,0,0,464,0
276,130,0,19,220,119,0,1,0,0,0,0,0,0,0,0,1,8,4,1,2,0,0,0,505,0,1,506,0
277,151,0,58,181,150,2,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,552,0,1,553,0
278,112,0,30,120,121,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,386,0,0,386,0
279,262,0,35,111,166,0,0,1,0,0,0,1,1,0,0,2,3,2,0,0,0,0,1,585,0,2,587,0
280,320,0,32,143,215,2,0,0,0,1,0,1,0,0,0,3,4,2,2,0,2,0,0,727,0,1,728,0
281,115,1,40,231,229,0,1,1,0,2,0,0,0,0,0,3,0,1,0,1,0,0,0,625,0,2,627,0
282,131,0,34,227,229,1,0,1,0,0,0,1,3,0,0,2,0,1,0,0,0,1,0,631,0,0,631,0
283,94,0,4,29,280,2,0,0,0,0,2,0,3,0,0,2,1,0,1,0,1,0,0,419,0,1,420,0
284,163,1,37,42,280,1,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,530,0,1,531,0
285,115,1,28,104,187,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,440,0,0,440,0
286,117,2,30,132,276,1,0,0,0,1,1,0,0,0,0,0,3,2,4,0,0,1,0,570,0,1,571,0
287,148,2,34,78,268,1,0,0,0,1,0,0,0,0,0,1,3,2,0,0,1,0,1,540,0,0,540,0
288,238,1,50,141,236,1,2,0,1,0,1,0,0,1,0,3,2,1,0,0,1,0,0,679,0,3,682,0
289,130,3,37,95,183,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,455,0,2,457,0
290,93,0,37,316,207,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,660,0,1,661,0
291,132,2,43,342,252,0,0,1,0,1,0,1,4,1,0,3,1,3,0,1,1,1,0,789,0,0,789,0
292,ge 4 185,1,52,279,146,0,0,0,0,0,0,0,1,1,0,1,3,0,3,0,1,0,1,674,0,1,675,0
293,171,0,36,54,275,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,541,0,0,541,0
294,166,0,25,37,347,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,580,0,0,580,0
295,115,0,13,40,160,2,0,1,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,338,0,1,339,0
296,194,0,34,40,378,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,652,0,0,652,0
297,123,0,11,65,251,1,0,0,0,0,0,1,1,0,0,1,4,2,0,1,2,0,0,463,0,1,464,0
298,195,1,21,37,209,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,2,0,471,0,0,471,0
299,210,0,41,45,220,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,522,0,1,523,0
300,173,0,67,339,248,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,835,0,2,837,0
301,165,0,74,282,244,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,774,0,2,776,0
302,192,1,60,201,296,1,0,0,0,0,1,1,0,0,0,0,3,4,1,1,1,0,1,764,0,1,765,0
303,110,0,45,370,328,0,0,0,0,0,0,1,1,0,0,0,3,2,1,0,0,0,0,861,0,3,864,0
304,149,0,84,307,286,0,0,2,0,0,1,1,0,0,0,0,3,2,1,0,0,1,0,837,0,2,839,0
305,67,0,36,191,98,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,396,0,1,397,0
306,75,1,55,199,149,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,483,0,2,485,0
307,253,2,47,212,223,1,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,1,1,748,0,4,752,0
308,132,0,63,266,218,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,684,0,1,685,0
309,159,0,54,320,249,1,0,0,1,1,0,0,0,1,0,1,5,3,2,0,0,0,0,797,0,2,799,0
310,167,1,59,289,211,1,1,0,0,0,0,1,3,0,1,0,1,3,1,2,0,0,0,741,0,1,742,0
311,201,1,81,273,273,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,836,0,3,839,0
312,301,1,80,68,208,1,0,1,0,0,0,1,0,1,0,0,3,3,0,0,1,0,0,669,0,0,669,0
313,165,0,29,236,284,3,0,0,0,0,1,0,2,1,2,0,1,0,0,1,1,1,0,727,0,0,727,0
314,214,5,55,176,283,1,1,0,0,1,0,2,5,0,0,5,3,1,0,1,3,0,1,757,0,0,757,0
315,252,1,32,274,184,0,0,2,0,0,0,2,1,2,1,2,7,1,0,1,0,0,0,762,0,2,764,0
316,173,3,44,42,347,1,0,0,0,0,1,0,0,0,0,1,4,4,0,0,1,0,0,621,0,1,622,0
317,164,1,27,32,281,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,1,0,0,513,0,1,514,0
318,169,1,47,44,570,2,1,0,0,0,1,1,0,1,1,0,4,3,3,0,7,1,0,856,0,4,860,0
319,209,2,50,41,369,2,2,3,0,0,2,1,2,0,0,0,3,2,0,1,0,0,0,689,0,1,690,0
320,194,3,40,60,340,2,0,1,0,1,0,0,2,0,0,3,1,2,2,0,3,1,0,655,0,0,655,0
321,239,0,54,75,324,0,1,0,0,0,0,1,0,0,0,2,4,2,1,0,6,0,0,709,0,0,709,0
322,212,2,42,36,460,2,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,761,0,1,762,0
323,68,0,11,26,154,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,261,0,0,261,0
324,234,3,40,46,442,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,770,0,3,773,0
325,155,0,37,78,420,2,3,0,0,0,0,1,1,0,0,0,6,5,3,2,5,0,0,718,0,0,718,0
326,172,0,39,99,444,0,1,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,763,0,2,765,0
