Polling Station No,ANANTHAN AYYASAMY,ESAI MATHIVANAN,R. RAMESHKUMAR,E. RAJA,R. AMUTHARANI,K. PAULRAJ,A. PONNUTHAI,K. RAJENDRAN,B. VEERALAKSHMI,M. ARUMUGASAMY,P. KARPAGAVALLI,I. SARAVANAN,SENTHILKUMAR,SELVARAJ .C,K. NAGARAJAN,A. PALANIKUMAR,PRABAKARAN .R,K. RAMACHANDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
282,219,67,0,163,133,1,1,0,0,0,4,0,4,0,0,1,3,0,596,0,2,598,0
283,232,47,3,234,179,26,1,2,0,1,1,2,5,0,3,4,2,3,745,0,2,747,0
284,149,48,1,159,164,0,1,0,0,0,0,0,2,0,0,4,1,1,530,0,3,533,0
285,184,45,2,121,147,0,0,1,0,0,3,1,0,2,1,4,0,0,511,0,1,512,0
286,195,55,0,112,145,0,1,0,0,0,2,0,1,0,0,3,1,0,515,0,2,517,0
287,402,33,1,191,134,1,1,1,1,1,1,0,0,0,1,5,5,0,778,0,2,780,0
288,171,20,1,182,84,8,0,0,0,0,0,0,4,0,0,2,1,0,473,0,2,475,0
289,235,33,3,151,160,1,22,1,1,2,2,2,2,0,0,2,0,1,618,0,4,622,0
290,79,31,3,80,113,0,25,1,0,0,0,1,0,0,0,0,2,0,335,0,1,336,0
291,83,40,0,270,142,0,3,0,0,0,1,0,1,0,1,0,1,2,544,0,2,546,0
292,66,20,0,74,73,0,0,0,0,0,1,0,1,0,0,0,0,0,235,0,1,236,0
293,268,49,1,182,302,0,12,0,0,0,5,2,4,2,0,3,1,0,831,0,3,834,0
294,273,117,0,202,175,0,0,0,0,1,0,0,1,1,0,1,1,0,772,0,1,773,0
295,237,78,3,255,181,12,0,1,0,1,1,2,1,1,2,4,1,0,780,0,1,781,0
296,188,42,0,187,123,57,2,0,0,0,3,1,3,0,2,2,2,0,612,0,3,615,0
297,201,42,2,237,107,80,0,0,1,0,0,2,5,0,1,5,4,0,687,0,5,692,0
298,183,19,1,126,77,0,5,0,0,0,0,1,1,0,0,2,2,0,417,0,2,419,0
299,168,27,0,159,67,10,20,1,0,0,2,3,9,1,1,7,6,0,481,0,1,482,0
300,164,27,0,196,104,2,65,0,0,0,3,0,4,0,3,5,3,1,577,0,3,580,0
301,157,35,2,143,170,6,4,0,1,0,3,0,0,0,0,3,6,1,531,0,4,535,0
302,241,60,3,256,186,66,1,0,0,2,1,2,4,2,1,1,1,1,828,0,0,828,0
303,198,98,5,219,167,2,5,0,1,0,3,2,6,0,1,7,5,1,720,0,2,722,0
304,153,120,4,210,192,24,9,1,1,1,8,6,3,1,0,6,5,0,744,0,3,747,0
305,226,10,1,140,57,1,47,0,0,0,0,1,2,0,2,4,0,0,491,0,1,492,0
306,190,13,0,171,40,0,39,1,0,0,7,0,6,0,1,7,7,0,482,0,2,484,0
307,135,40,0,175,119,8,0,0,1,0,1,0,1,1,0,0,0,0,481,0,2,483,0
308,241,16,2,130,96,3,3,2,0,0,2,0,0,1,2,3,3,0,504,0,3,507,0
309,153,41,0,125,141,57,6,1,0,0,1,1,5,2,0,11,7,1,552,0,8,560,0
310,150,29,2,126,120,14,6,1,1,2,1,2,3,0,1,8,6,5,477,0,1,478,0
