Polling Station No,Candidate_1,JARAVLES.K,NAYINILIMAHT.V.K,MAVISAMARAP.P.K,YMASANIHTAR.K,LEVIHTKAS.K,JARAMRAHD.S,RAMUKMAR.K,IARUDANNA.A,R.IARUDANNA,MAGUMURA.S,NANAVARAS.A,JARAVLES.G,JARAVLES .M,JARNAHOM.V,HSEMAR .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
309,309,88,15,66,0,0,0,189,0,0,0,0,0,0,0,0,358,0,4,362,0
310,310,131,35,139,1,0,0,293,1,0,1,1,0,0,0,1,603,0,1,604,0
311,311,124,37,178,3,0,0,273,1,0,0,0,0,0,0,0,616,0,5,621,1
312,312,166,36,123,1,0,1,300,0,1,0,0,0,0,0,6,634,0,1,635,0
313,313,171,28,172,2,0,0,340,0,0,1,0,0,0,2,1,717,0,1,718,0
314,314,137,37,167,1,1,1,312,0,0,3,0,0,1,1,1,662,0,2,664,1
315,315,149,30,160,0,0,0,259,3,1,1,0,0,0,2,1,606,0,4,610,0
316,316,136,30,155,0,0,0,356,0,0,1,0,0,0,1,1,680,0,3,683,0
317,317,104,22,136,2,2,0,195,0,0,1,0,1,0,0,0,463,0,3,466,0
318,318,143,23,120,0,1,0,275,2,0,1,1,1,0,0,0,567,0,3,570,0
319,319,163,29,150,0,1,0,273,1,0,1,1,0,0,0,0,619,0,1,620,0
320,320,147,28,88,1,0,0,193,0,1,0,0,0,0,0,0,458,0,1,459,0
321,321,142,38,120,0,0,0,251,1,2,1,1,0,0,0,0,556,0,3,559,0
322,322,139,24,176,1,1,0,219,1,0,0,0,0,0,0,1,562,0,2,564,1
323,323,156,23,133,0,0,0,260,1,1,2,0,0,0,2,0,578,0,2,580,0
324,324,167,39,174,3,1,1,407,1,1,2,0,0,0,3,2,801,0,1,802,0
325,325,142,46,146,0,0,0,335,0,0,2,0,0,0,0,0,671,0,2,673,0
326,326,131,29,186,2,1,0,314,0,0,0,0,0,0,2,0,665,0,8,673,0
327,327,163,27,158,0,0,1,348,0,0,2,0,0,0,0,1,700,0,2,702,0
328,328,112,29,159,0,1,0,266,1,2,0,0,0,1,0,0,571,0,4,575,0
329,329,126,21,138,0,0,0,299,1,0,0,0,0,0,0,0,585,0,2,587,0
330,330,134,34,110,1,0,0,366,1,0,0,0,0,0,0,1,647,0,0,647,0
331,331,156,48,195,2,1,0,389,0,1,3,0,0,0,0,0,795,0,3,798,0
332,332,99,32,170,2,1,0,308,1,1,1,0,0,1,0,2,618,0,2,620,0
333,333,138,51,136,1,0,1,389,0,0,0,0,0,0,1,0,717,0,4,721,0
334,334,150,44,181,0,0,3,334,0,1,1,0,0,0,0,0,714,0,5,719,0
335,335,182,61,235,1,2,1,366,0,2,0,0,1,0,3,1,855,0,2,857,0
336,336,128,30,168,1,0,0,320,0,1,1,0,1,0,1,1,652,0,1,653,0
337,337,158,39,190,2,0,1,330,0,0,0,0,0,1,0,3,724,0,0,724,0
338,338,189,37,185,16,0,0,401,0,1,0,1,0,0,0,0,830,0,3,833,0
339,339,242,33,199,1,0,2,390,2,0,0,0,3,0,0,0,872,0,1,873,0
340,340,185,43,215,1,0,1,304,1,1,2,0,1,0,0,0,754,0,2,756,0
341,341,207,45,172,0,2,1,360,1,1,1,0,0,0,0,0,790,0,2,792,0
342,342,175,39,179,1,0,1,403,0,1,2,0,1,1,0,1,804,0,3,807,0
343,343,204,57,191,2,0,1,391,2,1,0,0,0,0,1,0,850,0,4,854,0
344,344,126,24,164,2,1,1,232,0,0,0,0,0,0,1,0,551,0,2,553,0
345,345,158,34,186,3,0,0,242,0,0,0,1,0,1,0,1,626,0,1,627,0
346,346,101,34,140,0,0,0,262,0,0,0,0,0,0,2,2,541,0,1,542,0
347,347,122,22,188,1,0,0,234,1,1,1,0,1,0,0,1,572,0,4,576,0
348,348,184,24,139,0,0,0,343,0,0,0,0,0,0,0,1,691,0,1,692,0
349,349,211,51,144,1,2,0,475,1,0,3,0,0,1,1,3,893,0,2,895,0
350,350,162,27,176,0,1,1,334,0,0,1,0,0,0,1,3,706,0,5,711,0
351,351,109,26,160,0,0,0,172,0,0,0,0,1,0,2,1,471,0,2,473,0
352,352,189,29,128,2,0,1,312,0,0,1,0,1,0,1,1,665,0,1,666,0
353,353,238,21,116,0,0,0,375,0,1,3,1,0,1,0,0,756,0,9,765,1
354,354,185,26,64,0,0,0,238,0,0,0,0,0,0,0,1,514,0,1,515,0
355,355,140,17,55,0,0,0,239,0,1,1,0,0,0,0,3,456,0,2,458,0
356,356,200,31,120,1,0,1,302,1,1,0,0,1,0,0,0,658,0,1,659,0
357,357,99,12,36,0,0,0,141,0,0,0,0,0,0,0,1,289,0,5,294,0
358,358,94,16,122,0,0,0,156,0,0,0,0,0,1,0,0,389,0,3,392,0
359,359,148,13,160,0,0,0,217,0,0,1,0,0,0,1,1,541,0,5,546,0
360,360,225,36,147,3,0,0,377,0,0,0,0,0,0,0,0,788,0,5,793,0
361,361,243,57,157,1,0,2,509,0,1,0,0,0,0,0,4,974,0,6,980,0
362,362,380,39,99,0,1,1,447,0,0,1,0,0,0,0,0,968,0,7,975,0
363,363,448,31,97,1,1,0,436,0,1,1,0,0,0,0,1,1017,0,4,1021,0
364,364,452,49,86,0,1,1,352,0,0,0,0,0,1,0,0,942,0,6,948,0
365,365,241,24,208,0,0,0,379,0,1,0,0,0,1,0,0,854,0,3,857,0
366,366,151,31,208,2,0,3,330,1,2,0,0,0,0,3,1,732,0,5,737,0
367,367,169,52,177,0,1,1,271,1,0,1,0,1,0,0,1,675,0,3,678,0
368,368,167,22,154,2,1,0,199,0,0,1,0,0,1,0,0,547,0,3,550,0
369,369,110,12,120,0,2,0,121,1,0,0,0,0,1,0,1,368,0,1,369,0
370,370,155,10,157,1,0,0,184,0,0,0,1,1,0,0,0,509,0,7,516,0
371,371,100,14,231,2,0,0,115,0,0,0,0,0,0,0,0,462,0,3,465,0
372,372,155,35,212,2,1,1,185,2,1,0,0,0,1,2,1,598,0,0,598,0
373,373,338,29,279,3,0,1,246,0,0,1,1,1,0,1,1,901,0,9,910,0
374,374,91,25,116,1,1,0,165,1,0,0,0,0,0,0,0,400,0,2,402,0
375,375,156,13,121,0,1,1,230,0,1,0,0,0,0,0,2,525,0,1,526,0
376,376,140,36,123,0,0,0,262,0,0,1,0,0,0,0,1,563,0,5,568,0
377,377,111,30,136,0,0,1,190,1,0,0,0,0,0,0,1,470,0,2,472,0
378,378,94,11,84,1,0,0,168,0,0,0,0,1,0,1,2,362,0,3,365,0
379,379,208,40,219,0,0,3,327,0,1,1,2,1,0,0,1,803,0,2,805,0
380,380,133,11,60,1,0,0,152,0,0,0,0,0,0,0,0,357,0,0,357,1
381,381,114,9,86,0,0,0,122,1,0,0,0,0,0,1,1,334,0,5,339,0
382,382,125,17,96,0,1,0,101,0,0,1,0,0,1,1,0,343,0,2,345,0
383,383,198,22,231,1,0,0,359,2,3,1,1,0,0,2,0,820,0,2,822,0
384,384,127,29,144,0,1,2,263,0,0,0,0,0,0,0,0,566,0,2,568,0
385,385,133,15,105,1,0,1,146,0,0,1,0,0,0,0,1,403,0,3,406,0
386,386,151,29,149,0,0,0,224,1,0,0,0,0,0,0,0,554,0,0,554,0
387,387,181,27,244,2,2,0,240,0,3,2,0,2,0,0,0,703,0,2,705,0
388,388,118,25,202,1,0,2,173,1,0,1,0,0,0,0,0,523,0,2,525,0
389,389,208,24,209,1,2,1,216,0,0,0,0,0,0,1,1,663,0,2,665,0
390,390,148,26,216,2,0,0,219,1,0,0,0,0,0,2,0,614,0,6,620,0
391,391,171,14,246,1,0,0,163,0,0,1,0,1,0,1,2,600,0,2,602,0
392,392,219,13,262,2,1,0,176,0,0,0,0,1,0,0,1,675,0,2,677,0
393,393,192,30,239,3,0,0,322,1,1,1,0,0,0,0,0,789,0,5,794,0
394,394,110,34,156,3,0,1,272,0,0,0,0,0,0,0,0,576,0,4,580,0
395,395,197,40,317,1,2,1,236,0,4,0,0,3,0,0,3,804,0,8,812,0
396,396,210,57,290,2,0,2,252,0,1,1,0,0,1,1,1,818,0,1,819,0
397,397,180,21,286,0,2,2,168,0,0,0,0,0,0,1,0,660,0,5,665,0
398,398,159,22,218,0,0,0,158,0,0,0,0,0,1,2,1,561,0,5,566,1
399,399,306,37,141,2,0,1,374,0,1,0,1,0,0,0,2,865,0,1,866,0
400,400,225,21,149,0,0,1,228,0,0,2,0,1,0,1,1,629,0,3,632,0
401,401,206,12,214,1,1,0,188,1,1,1,0,0,0,4,3,632,0,4,636,0
402,402,142,29,226,2,2,1,159,1,2,0,0,0,0,1,0,565,0,3,568,0
403,403,193,19,199,3,0,0,186,0,1,0,0,0,0,2,0,603,0,0,603,1
404,404,196,30,146,2,0,0,205,1,0,1,0,0,1,0,2,584,0,4,588,1
405,405,194,17,277,4,0,0,181,1,0,0,0,0,0,0,0,674,0,1,675,0
406,406,70,18,172,1,0,1,90,1,1,0,0,1,0,0,0,355,0,3,358,0
407,407,191,43,337,0,1,1,262,0,0,0,0,0,0,1,0,836,0,2,838,0
408,408,244,31,235,1,1,0,384,1,0,0,1,0,0,0,1,899,0,3,902,0
409,409,100,38,151,0,2,3,209,1,0,0,1,1,0,1,3,510,0,2,512,0
410,410,102,9,198,1,0,1,96,2,1,2,1,0,1,1,1,416,0,3,419,0
411,411,233,23,252,3,0,0,185,0,0,0,0,0,0,2,2,700,0,2,702,0
412,412,209,31,249,4,0,0,420,1,0,0,0,0,0,0,0,914,0,0,914,0
413,413,162,29,177,2,1,2,428,0,0,0,0,0,0,0,0,801,0,2,803,0
414,414,74,8,90,0,1,0,101,0,2,1,0,0,0,0,0,277,0,1,278,0
415,415,119,36,125,1,0,0,329,1,1,0,0,0,0,1,0,613,0,1,614,0
416,416,177,43,135,0,1,0,229,2,0,0,1,1,1,0,0,590,0,2,592,0
417,417,275,31,188,1,1,2,422,1,1,1,0,2,2,0,4,931,0,7,938,0
418,418,112,10,247,5,0,0,188,2,2,1,0,1,1,1,2,572,0,4,576,0
419,419,230,27,229,1,1,0,146,0,1,1,0,0,3,3,2,644,0,3,647,0
420,420,148,26,318,0,0,0,139,0,0,0,0,0,1,1,3,636,0,3,639,0
421,421,93,16,314,2,0,0,93,2,0,0,0,0,1,1,0,522,0,1,523,0
422,422,135,19,173,3,2,1,184,2,0,0,1,0,0,0,0,520,0,3,523,0
423,423,162,15,234,2,1,0,134,0,0,2,0,1,0,2,0,553,0,2,555,0
424,424,159,8,192,2,0,0,113,0,1,0,0,2,0,0,1,478,0,1,479,0
425,425,151,20,269,4,2,0,135,0,0,0,0,0,1,2,1,585,0,10,595,0
426,426,121,8,146,0,0,0,105,0,0,0,0,0,1,1,0,382,0,2,384,0
427,427,195,7,255,5,0,0,184,1,2,0,0,3,0,0,1,653,0,6,659,0
428,428,202,24,342,3,0,0,200,0,0,1,1,0,1,3,1,778,0,6,784,0
429,429,221,27,280,1,2,1,169,0,1,1,0,0,1,4,1,709,0,10,719,0
430,430,128,9,272,3,1,0,122,1,1,0,0,1,0,1,0,539,0,2,541,0
431,431,103,5,209,2,0,0,110,0,0,0,0,1,0,1,0,431,0,1,432,0
432,432,204,36,296,1,0,4,225,2,1,1,0,1,1,7,0,779,0,4,783,0
433,433,173,16,255,4,0,0,219,1,1,2,0,1,0,3,1,676,0,4,680,0
434,434,145,17,227,1,0,1,113,0,0,0,0,1,1,3,2,511,0,0,511,0
435,435,257,17,259,2,3,0,246,1,1,3,0,2,1,0,0,792,0,1,793,0
436,436,136,13,151,3,1,0,192,0,0,0,2,1,0,1,2,502,0,4,506,0
437,437,171,32,353,1,0,1,187,0,0,0,0,0,0,0,0,745,0,3,748,0
438,438,132,27,188,2,2,3,184,1,1,0,1,0,0,2,0,543,0,2,545,0
439,439,137,20,136,3,2,1,221,0,0,1,0,2,0,0,1,524,0,4,528,0
440,440,84,11,106,0,0,1,126,1,0,0,1,1,0,0,0,331,0,2,333,0
441,441,173,30,248,0,0,0,248,0,0,0,0,0,0,2,0,701,0,1,702,0
442,442,100,22,225,2,0,0,139,0,0,0,0,0,0,0,1,489,0,2,491,0
443,443,211,18,215,1,0,1,270,1,1,0,1,0,0,0,0,719,0,1,720,0
444,444,261,38,209,1,0,1,349,0,0,0,0,1,0,1,0,861,0,2,863,0
445,445,134,15,146,2,0,0,249,0,0,0,0,0,2,1,1,550,0,1,551,0
446,446,187,19,322,2,0,0,131,1,0,1,0,0,1,0,0,664,0,7,671,0
447,447,210,25,170,0,0,1,165,0,1,2,0,1,2,1,0,578,0,2,580,0
448,448,166,15,242,2,0,0,126,0,0,0,0,0,0,1,0,552,0,2,554,0
449,449,103,15,255,2,0,1,134,2,0,1,0,0,0,0,0,513,0,1,514,0
450,450,146,21,278,1,1,2,177,0,1,0,0,1,3,2,0,633,0,0,633,0
451,451,182,35,248,2,1,1,166,0,2,2,0,0,0,0,0,639,0,6,645,0
452,452,247,32,265,3,0,0,228,3,0,0,0,0,0,1,1,780,0,4,784,0
453,453,79,17,156,0,0,1,83,0,0,1,0,0,0,0,0,337,0,0,337,0
454,454,178,41,113,2,1,1,247,1,0,1,0,0,0,4,2,591,0,6,597,0
455,455,100,18,117,2,0,2,282,0,1,1,0,0,0,0,0,523,0,2,525,0
456,456,80,25,224,6,0,3,242,2,2,2,0,0,0,3,0,589,0,3,592,0
457,457,125,36,341,1,1,0,338,3,0,1,0,1,0,4,1,852,0,5,857,0
458,458,287,55,283,5,0,2,342,1,0,0,0,0,0,3,1,979,0,4,983,0
459,459,184,19,312,3,0,0,177,2,3,1,0,0,1,2,2,706,0,7,713,0
460,460,173,21,131,2,0,2,142,1,0,0,0,0,0,1,1,474,0,8,482,0
461,461,191,25,175,3,0,1,193,1,3,0,0,0,1,0,1,594,0,6,600,0
462,462,119,17,278,2,0,1,78,0,1,0,1,0,1,1,1,500,0,7,507,0
463,463,101,28,234,1,0,0,156,0,0,1,0,0,0,1,0,522,0,4,526,0
464,464,73,28,235,0,1,0,193,0,0,0,0,1,0,1,0,532,0,0,532,0
465,465,109,28,337,1,0,0,250,0,0,0,0,0,0,0,0,725,0,2,727,0
466,466,103,22,241,1,0,0,154,0,1,3,0,0,0,2,0,527,0,1,528,0
467,467,136,21,367,2,0,0,191,1,1,0,1,0,1,2,2,725,0,1,726,0
468,468,207,16,248,3,1,0,188,2,0,0,1,0,0,2,2,670,0,4,674,0
469,469,192,24,385,1,0,1,145,2,1,1,1,1,0,1,0,755,0,7,762,0
470,470,198,20,282,0,0,1,218,0,2,0,0,0,0,1,0,722,0,1,723,0
471,471,129,12,218,1,0,0,128,0,1,0,0,0,0,1,0,490,0,1,491,0
472,472,185,28,264,2,0,0,202,0,0,1,0,1,0,3,1,687,0,2,689,0
473,473,130,12,222,4,2,0,63,0,0,2,0,1,0,2,0,438,0,4,442,0
474,474,193,12,338,3,0,1,123,2,0,1,0,2,2,0,0,677,0,6,683,0
475,475,185,29,195,1,0,2,182,3,2,0,0,0,0,2,0,601,0,2,603,0
476,476,140,19,126,3,0,1,176,0,1,0,0,0,0,1,0,467,0,2,469,0
477,477,220,26,227,4,1,3,231,1,1,0,1,2,0,2,1,720,0,5,725,0
478,478,116,18,255,4,0,0,101,0,0,0,0,2,0,1,1,498,0,4,502,0
479,479,108,19,181,6,0,0,136,2,2,1,1,0,2,5,1,464,0,4,468,0
480,480,166,21,270,4,0,0,167,0,0,0,0,0,2,2,2,634,0,4,638,0
