Polling Station No,AASSAN MAULAANA J.M.H,ASHOK. M.K,KEERTHANA. M,MOHANRAJ. K,KANCHANA. R,KUMAR. R,POYYAMOZHI. M,MANI. M,MOHAMED YASEEN. I,ROKESH KUMAR. V,ASHOK. M,AZARUTHEEN. M,AHAMMED NAZEER KHAN,KANNAN. K,KALA PETHACHI,SARABESHWAR SISU. P,SURESH K,DIWAKAR. R,DEEPAK RAVI,BHASKAR. G,MOHAN. R,RADHAKRISHNAN. D.R,RAJASEKAR. S,RITISH,VIGNESH. M,VIGNESH. R,JANAGARAJ RAVI GUNASEELAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
203,120,86,20,0,0,269,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,501,0,2,503,0
204,165,147,22,1,1,304,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,647,0,3,650,0
205,133,214,33,0,1,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,518,0,8,526,0
206,141,128,18,2,2,228,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,526,0,3,529,0
207,144,145,22,2,0,153,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,468,0,7,475,0
208,84,166,20,0,1,148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,421,0,4,425,0
209,74,138,11,0,0,94,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,323,0,3,326,0
210,152,204,22,0,2,187,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,575,0,10,585,0
211,74,138,21,1,0,69,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,307,0,8,315,0
212,197,128,28,0,0,416,0,0,0,1,1,0,0,0,2,0,2,4,2,1,0,2,0,0,1,0,0,785,0,1,786,0
213,153,121,24,3,3,345,1,0,0,1,0,0,0,1,0,1,1,3,0,2,0,2,0,0,1,0,0,662,0,2,664,0
214,166,105,32,1,2,311,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,625,0,3,628,0
215,121,190,16,0,1,119,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,453,0,9,462,0
216,75,129,17,3,0,145,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,375,0,2,377,0
217,116,126,19,2,0,207,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,473,0,6,479,0
218,188,200,42,0,0,312,0,0,2,0,0,0,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,752,0,7,759,0
219,84,178,22,1,1,123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,9,419,0
220,176,163,26,0,3,200,1,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,576,0,8,584,0
221,133,131,19,2,1,181,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,472,0,8,480,0
222,131,199,12,1,1,133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,479,0,11,490,0
223,204,171,24,0,1,223,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,630,0,7,637,0
224,108,208,15,0,1,140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,476,0,12,488,0
225,136,84,9,1,0,157,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,1,396,0,0,396,0
226,136,71,26,1,0,229,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,465,0,4,469,0
227,152,142,29,10,0,321,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,657,0,1,658,0
228,186,89,27,0,0,294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,597,0,6,603,0
229,186,225,38,1,1,231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,686,0,14,700,0
230,78,145,12,1,0,137,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,377,0,2,379,0
231,153,133,32,1,0,403,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,731,0,5,736,0
232,89,137,24,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,388,0,1,389,0
233,50,29,10,0,0,140,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,232,0,1,233,0
234,151,142,39,1,2,507,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,850,0,2,852,0
235,90,81,20,0,1,266,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,464,0,1,465,0
236,170,130,32,0,0,405,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,744,0,1,745,0
237,31,20,3,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,164,0
238,203,187,36,2,1,422,0,0,1,1,0,0,1,0,2,0,0,0,1,0,1,1,3,0,0,0,1,863,0,1,864,0
239,133,152,19,1,1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,481,0,4,485,0
240,140,180,16,0,1,247,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,590,0,4,594,0
241,130,162,29,1,1,190,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,517,0,4,521,0
242,151,117,18,0,0,262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,549,0,3,552,0
243,128,85,9,0,1,245,2,1,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,478,0,3,481,0
244,78,111,20,1,0,107,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,321,0,1,322,0
245,220,154,24,0,0,264,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,665,0,4,669,0
246,182,166,30,3,0,278,2,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,668,0,5,673,0
247,164,164,34,1,1,256,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,624,0,4,628,0
248,114,133,26,1,0,193,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,471,0,4,475,0
249,141,241,41,2,0,203,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,635,0,15,650,0
250,106,90,22,0,0,183,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,403,0,0,403,0
251,84,185,20,0,0,113,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,406,0,2,408,0
252,165,221,26,0,2,132,1,0,1,0,0,1,0,2,3,2,1,0,0,0,0,0,0,0,1,0,0,558,0,13,571,0
253,151,156,18,1,1,162,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,492,0,4,496,0
254,173,113,26,0,0,286,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,600,0,1,601,0
255,122,153,23,1,1,125,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,430,0,5,435,0
256,162,271,28,5,1,248,0,1,0,3,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,725,0,10,735,0
257,148,220,26,1,0,208,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,607,0,5,612,0
258,52,81,16,3,1,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,3,220,0
259,124,157,18,0,0,127,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,429,0,7,436,0
260,180,152,17,4,2,317,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,2,1,0,0,1,0,683,0,3,686,0
261,112,141,20,0,1,315,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,593,0,4,597,0
262,149,143,13,1,0,365,0,0,0,0,1,0,0,0,0,0,4,3,1,2,0,7,0,0,0,1,0,690,0,1,691,0
263,161,108,30,1,0,424,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,731,0,1,732,0
264,54,91,10,1,1,226,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,2,0,2,1,394,0,1,395,0
265,87,268,21,2,1,143,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,525,0,7,532,0
266,149,217,27,0,1,151,2,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,1,556,0,14,570,1
267,196,133,33,1,0,331,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,5,703,0
268,232,182,26,0,0,408,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,856,0,4,860,0
269,126,124,18,1,0,249,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,523,0,0,523,0
270,112,190,24,0,1,507,1,1,1,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,1,1,845,0,0,845,0
271,71,115,9,0,1,264,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,464,0,1,465,0
272,125,77,21,0,1,255,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,485,0,2,487,0
273,100,140,12,1,1,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,364,0,4,368,0
274,103,108,19,2,0,268,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,507,0,6,513,0
275,111,191,26,0,0,123,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,455,0,6,461,0
276,101,186,20,2,3,140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,455,0,9,464,0
277,143,171,26,3,3,109,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,1,1,0,1,464,0,11,475,0
278,112,105,26,0,0,264,0,2,0,0,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,516,0,1,517,0
279,92,72,14,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,427,0,3,430,0
280,127,207,27,0,1,294,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,664,0,2,666,0
281,147,101,17,0,1,311,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,583,0,1,584,0
282,146,101,22,0,1,385,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,664,0,2,666,0
283,112,150,22,1,0,266,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,556,0,6,562,0
284,69,104,12,0,0,164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,2,353,0
285,105,142,34,1,0,310,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,4,598,0
286,105,251,25,0,0,133,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,519,0,4,523,0
287,147,301,40,2,0,181,0,1,1,0,1,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,681,0,14,695,0
288,159,166,37,0,1,293,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,661,0,3,664,0
289,123,142,20,0,2,147,2,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,442,0,1,443,0
290,108,177,25,2,0,379,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,700,0,4,704,0
291,69,110,20,0,1,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,2,355,0
292,116,94,21,1,0,287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,4,524,0
293,104,145,22,0,1,121,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,397,0,3,400,0
294,188,254,26,0,1,214,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,690,0,5,695,0
295,105,154,25,3,0,347,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,641,0,3,644,0
296,127,95,16,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,386,0,7,393,0
297,88,77,17,0,0,197,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,381,0,4,385,0
298,76,54,15,1,0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283,0,5,288,0
299,227,93,34,1,0,362,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,721,0,7,728,0
300,242,174,29,0,1,359,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,809,0,1,810,0
301,222,116,39,0,1,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,670,0,1,671,0
302,190,188,38,1,1,171,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,594,0,3,597,0
303,300,167,53,1,0,406,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,6,935,0
304,225,136,32,1,0,353,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,751,0,1,752,0
305,143,137,41,0,1,162,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,487,0,4,491,0
306,162,131,34,0,1,359,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,1,0,694,0,5,699,1
307,131,168,22,0,0,206,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,534,0,2,536,0
308,55,94,14,0,0,102,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,267,0,2,269,0
309,195,112,30,0,1,237,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,5,582,0
310,192,58,16,0,0,247,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,520,0,2,522,0
311,129,83,25,0,1,273,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,517,0,1,518,0
312,189,117,27,1,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,611,0,2,613,0
313,147,172,40,0,1,230,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,593,0,8,601,0
314,141,148,41,1,1,276,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,613,0,6,619,0
315,84,135,17,1,2,99,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,342,0,4,346,0
