Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
253,143,0,26,2,0,110,0,1,0,576,4,1,1,0,1,1,1,0,0,0,867,867,0,867,0,91 :oN dnuoR
254,374,1,19,1,1,196,2,0,3,238,0,1,0,2,1,2,5,0,0,3,849,849,0,849,0,
255,170,2,19,1,3,124,1,0,16,371,4,1,0,0,2,4,3,0,0,0,721,721,0,721,0,
256,202,0,18,0,2,176,1,0,1,282,1,2,0,1,0,2,3,0,1,0,692,692,0,692,0,
257,234,0,35,1,1,237,2,1,0,226,0,1,1,0,0,0,2,1,0,0,742,742,0,742,0,
258,148,4,9,1,2,78,1,0,4,425,1,1,0,1,0,2,1,0,0,3,681,681,0,681,0,
259,84,1,8,1,0,65,0,0,1,389,2,1,0,0,0,2,0,0,0,1,555,555,0,555,0,
260,289,1,22,0,3,138,0,0,3,530,2,1,0,1,0,1,1,1,1,0,994,994,0,994,0,
261,130,0,11,0,1,93,7,0,6,518,4,5,0,0,0,3,0,1,0,1,780,780,0,780,0,
262,154,1,9,0,0,137,3,0,4,208,2,1,0,2,0,1,2,0,0,0,524,524,0,524,0,
263,141,2,16,2,3,95,2,1,2,580,2,5,2,0,0,3,1,0,0,0,857,857,0,857,0,
264,258,1,10,2,4,89,2,1,0,47,1,1,0,0,0,8,1,0,0,1,426,426,0,426,0,
265,225,2,21,1,4,210,8,2,4,356,3,2,0,2,0,10,1,1,1,1,854,854,0,854,0,
266,86,0,10,0,4,178,5,2,6,690,5,4,3,0,0,4,1,0,0,5,1003,1003,0,1003,0,
267,333,4,5,0,1,144,1,0,0,62,0,0,0,0,1,2,8,0,0,1,562,562,0,562,0,02 : oN dnuoR
268,74,3,12,1,1,116,5,0,3,495,2,1,0,0,2,3,0,1,2,2,723,723,0,723,0,
269,206,31,17,1,1,143,0,0,7,314,2,2,0,0,0,3,2,0,0,5,734,734,0,734,0,
270,216,8,36,0,0,278,2,1,0,455,7,2,0,0,0,8,0,0,0,4,1017,1017,0,1017,0,
271,198,2,11,0,2,139,0,0,3,330,0,2,0,0,0,3,1,0,0,0,691,691,0,691,0,
272,311,1,20,1,4,220,1,1,5,309,5,1,2,3,1,11,6,0,1,3,906,906,0,906,0,
273,485,0,24,0,0,159,0,0,1,111,2,3,0,0,0,8,4,1,0,1,799,799,0,799,0,
274,173,2,16,0,1,127,2,1,3,457,3,0,0,0,1,2,7,0,0,2,797,797,0,797,0,
275,162,0,20,0,2,138,1,0,4,325,2,1,0,0,1,3,4,0,0,1,664,664,0,664,0,
276,315,2,35,1,7,288,3,1,0,104,2,0,0,1,0,2,49,0,3,1,814,814,0,814,0,
277,197,1,18,0,4,182,1,0,2,590,4,3,0,0,0,3,5,0,1,4,1015,1015,0,1015,0,
278,147,0,7,0,5,59,2,0,7,468,1,1,1,0,0,4,1,0,0,2,705,705,0,705,0,
279,190,2,19,0,0,108,2,1,4,386,1,3,0,0,1,2,10,1,2,3,735,735,0,735,0,
280,334,1,14,0,2,171,2,0,4,264,3,1,0,1,0,1,1,0,0,1,800,800,0,800,0,
281,268,0,14,0,5,222,2,0,5,465,0,1,0,0,1,3,2,0,0,0,988,988,0,988,0,12 : oN dnuoR
282,252,1,13,0,0,180,5,1,0,380,2,3,1,0,0,2,2,0,0,2,844,844,0,844,0,
283,276,2,26,0,4,207,5,1,6,429,4,3,0,1,1,4,3,0,2,1,975,975,0,975,0,
284,356,2,9,0,3,150,3,1,0,89,0,1,0,0,0,4,4,1,0,0,623,623,0,623,0,
285,89,0,4,0,0,60,0,0,2,277,0,2,1,0,0,0,2,0,1,0,438,438,0,438,0,
286,164,1,17,0,2,117,4,0,3,417,1,1,0,1,0,2,3,0,0,0,733,733,0,733,0,
287,238,0,21,0,1,112,3,0,2,212,3,1,0,0,0,2,2,0,0,1,598,598,0,598,0,
288,261,4,33,1,5,214,0,1,6,343,2,3,0,1,1,9,2,0,0,0,886,886,0,886,0,
289,247,1,17,0,1,121,1,0,1,259,4,2,0,0,2,1,3,0,1,2,663,663,0,663,0,
290,270,1,23,0,3,117,2,0,5,343,1,0,0,1,0,5,1,0,0,2,774,774,0,774,0,
291,204,1,12,0,1,149,0,1,1,201,3,0,0,0,0,5,5,3,1,1,588,588,0,588,0,
292,199,1,17,0,2,114,2,2,4,557,2,2,0,0,0,5,4,0,0,1,912,912,0,912,0,
293,209,2,19,2,2,149,4,0,3,343,4,2,0,0,0,3,0,0,0,0,742,742,0,742,0,
294,189,2,25,0,3,172,1,0,3,402,3,1,1,1,2,0,1,0,0,0,806,806,0,806,0,
295,393,1,19,0,0,249,1,1,0,127,2,1,0,1,0,6,2,2,2,1,808,808,0,808,0,22 : oN dnuoR
296,273,1,11,0,0,131,0,2,3,418,5,3,1,1,0,4,7,0,1,0,861,861,0,861,0,
297,257,0,14,0,0,141,0,3,5,196,1,0,0,1,0,6,6,0,0,0,630,630,0,630,0,
298,102,0,9,0,1,59,1,0,6,358,1,1,0,0,0,0,0,0,0,0,538,538,0,538,0,
299,104,1,10,0,2,72,2,1,7,395,0,5,0,1,0,1,3,0,0,0,604,604,0,604,0,
300,101,1,7,0,1,40,2,0,8,295,1,0,2,0,1,2,5,1,1,1,469,469,0,469,0,
301,231,4,21,0,1,148,1,0,4,501,3,1,0,0,1,5,3,0,0,0,924,924,0,924,0,
302,293,1,22,4,7,268,3,2,0,172,3,1,0,1,0,6,18,0,0,3,804,804,0,804,0,
303,116,3,35,0,1,122,8,0,3,328,5,1,0,1,0,2,6,0,1,2,634,634,0,634,0,
304,298,2,24,3,3,274,3,2,4,393,3,2,1,1,0,10,15,0,0,1,1039,1039,0,1039,0,
305,263,0,10,0,4,179,0,1,4,389,3,6,0,1,1,4,3,0,0,0,868,868,0,868,0,
306,225,3,20,0,3,132,4,0,5,512,2,3,0,0,0,2,4,0,0,1,916,916,0,916,0,
307,257,1,18,0,1,116,2,3,2,150,0,0,0,0,0,6,4,2,2,0,564,564,0,564,0,
308,157,1,23,0,6,135,1,5,2,190,0,2,1,3,2,4,42,0,0,2,576,576,0,576,0,
309,196,1,17,2,3,153,5,2,11,566,5,3,2,1,0,8,3,1,0,0,979,979,0,979,0,32 : oN dnuoR
310,282,2,29,0,2,197,5,1,6,499,3,9,3,1,1,9,4,1,1,1,1056,1056,0,1056,0,
311,317,1,17,0,2,204,3,3,3,379,1,0,0,0,0,7,3,0,0,1,941,941,0,941,0,
312,208,4,19,0,3,149,4,0,1,196,2,5,0,0,0,2,4,0,0,2,599,599,0,599,0,
313,219,2,31,1,1,267,0,0,2,232,2,1,0,1,0,4,2,0,0,4,769,769,0,769,0,
314,236,0,27,0,2,233,2,0,2,265,2,0,0,0,0,1,0,1,0,0,771,771,0,771,0,
315,515,4,22,3,4,320,2,1,1,90,1,3,0,0,2,3,3,0,0,1,975,975,0,975,0,
316,114,0,4,0,0,101,0,1,0,128,0,2,0,0,0,4,0,0,0,0,354,354,0,354,0,
317,245,2,23,0,2,144,1,0,1,121,2,2,0,0,0,3,2,0,0,0,548,548,0,548,0,
318,217,0,23,0,4,169,5,1,2,333,5,2,0,0,0,7,3,0,0,2,773,773,0,773,0,
319,242,2,15,0,2,123,3,0,1,375,2,2,0,0,0,0,3,0,0,1,771,771,0,771,0,
320,212,1,14,0,1,131,2,1,1,171,2,2,0,0,0,7,0,0,0,0,545,545,0,545,0,
321,151,0,19,0,1,109,2,0,3,325,1,0,0,0,0,0,1,0,0,0,612,612,0,612,0,42 : oN dnuoR
322,81,0,5,0,1,42,1,0,1,224,0,0,0,0,0,2,0,0,0,0,357,357,0,357,0,52 .oN dnuoR
