Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
109,1,263,32,123,3,319,0,1,1,0,1,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,751,0,4,755,1
110,0,211,25,152,0,250,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,643,0,4,647,0
111,0,224,26,171,0,360,3,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,791,0,3,794,0
112,2,193,24,170,0,279,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,672,0,10,682,0
113,1,256,22,210,0,269,1,1,0,0,1,1,0,1,2,2,1,2,1,0,0,2,0,0,0,0,1,0,774,0,2,776,0
114,0,195,23,219,1,188,0,0,0,6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,636,0,4,640,0
115,2,175,30,171,2,370,0,0,0,0,2,0,0,0,1,4,1,2,0,0,0,3,0,0,0,0,0,1,764,0,0,764,0
116,0,193,30,179,0,306,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,713,0,5,718,0
117,1,172,43,193,0,334,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,751,0,1,752,0
118,1,179,34,159,1,316,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,696,0,0,696,0
119,0,174,39,145,0,327,0,0,0,0,1,0,1,0,0,1,1,4,1,3,1,8,0,0,0,1,0,1,708,0,2,710,0
120,0,203,23,155,1,330,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,716,0,1,717,0
121,1,220,27,126,1,349,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,728,0,4,732,0
122,0,158,25,148,0,345,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,681,0,1,682,0
123,0,359,22,146,1,376,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,915,0,3,918,0
124,1,190,23,209,2,228,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,656,0,2,658,0
125,3,169,25,136,1,312,0,1,0,0,1,0,0,0,2,2,0,0,0,1,0,1,0,0,1,1,0,0,656,0,4,660,0
126,0,207,35,134,0,279,1,1,1,0,0,1,0,1,1,2,0,2,0,0,1,0,0,0,0,0,0,0,666,0,3,669,0
127,1,170,28,152,4,389,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,751,0,2,753,0
128,0,189,23,157,1,350,0,0,0,0,0,1,0,0,3,2,0,2,1,0,3,1,1,1,0,0,0,1,736,0,3,739,0
129,2,174,21,172,0,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,635,0,3,638,0
130,1,183,29,128,0,293,0,1,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,646,0,6,652,0
131,1,164,20,112,0,285,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,589,0,2,591,0
132,1,178,38,104,0,331,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,660,0,6,666,0
133,3,165,14,157,2,289,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,639,0,0,639,0
134,3,160,23,187,0,206,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,582,0,5,587,0
135,3,226,37,176,1,280,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,1,0,1,0,1,0,0,733,0,6,739,0
136,2,215,18,163,0,223,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,625,0,3,628,0
137,3,211,14,137,1,271,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,3,2,0,0,0,0,2,649,0,3,652,0
