Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
298,26,507,192,2,4,185,2,0,2,0,1,8,0,0,0,1,930,930,0,930,0,
299,18,281,164,0,1,133,0,0,1,1,2,1,1,1,3,2,609,609,0,609,0,
300,23,520,232,3,2,190,1,0,0,0,1,4,0,3,3,2,984,984,0,984,0,
301,20,669,133,1,4,157,0,0,0,1,0,3,2,4,8,4,1006,1006,0,1006,0,
302,10,289,125,1,0,106,1,1,0,0,0,1,0,2,3,2,541,541,0,541,0,
303,9,195,66,0,0,57,0,0,0,0,0,0,1,1,0,4,333,333,0,333,0,
304,42,509,227,2,0,140,2,0,0,0,0,0,0,3,2,1,928,928,0,928,0,
305,33,360,253,0,3,205,1,0,0,1,0,0,1,3,2,2,864,864,0,864,0,
306,22,271,420,3,2,172,0,0,0,0,0,1,0,2,5,2,900,900,0,900,0,
307,13,242,106,0,3,90,0,0,0,0,1,0,1,1,1,1,459,459,0,459,0,
308,39,534,237,1,1,149,1,0,1,0,0,1,1,2,6,0,973,973,0,973,0,
309,17,319,239,0,1,185,0,0,0,0,0,1,0,1,0,3,766,766,0,766,0,32 : oN dnuoR
310,17,375,176,0,0,191,0,0,0,1,0,1,2,1,0,2,766,766,0,766,0,
311,34,350,150,2,2,145,1,1,1,1,0,1,1,1,3,0,693,693,0,693,0,
312,27,424,249,0,3,151,0,0,0,0,0,1,1,2,5,1,864,864,0,864,0,
313,30,326,381,1,0,189,0,0,0,0,0,0,0,2,1,2,932,932,0,932,0,
314,25,327,177,1,2,119,0,0,0,0,0,0,0,0,3,1,655,655,0,655,0,
315,19,300,320,8,2,186,1,1,0,0,0,0,1,3,1,1,843,843,0,843,0,
316,16,406,115,0,0,67,0,0,0,0,0,1,2,1,0,1,609,609,0,609,0,
317,5,480,123,1,0,82,0,0,0,2,0,3,1,0,2,0,699,699,0,699,0,
318,20,419,164,2,1,143,2,1,0,2,1,3,1,3,5,0,767,767,0,767,0,
319,18,447,166,2,2,118,0,0,1,2,0,2,2,0,2,2,764,764,0,764,0,
320,8,211,146,2,1,53,0,0,1,0,0,0,0,3,2,4,431,431,0,431,0,
321,22,495,122,1,0,90,0,1,0,0,0,3,0,3,1,4,742,742,0,742,0,
322,24,315,285,0,0,181,0,0,0,0,0,2,0,3,1,1,812,812,0,812,0,
323,11,480,191,0,1,142,0,0,0,0,1,1,0,0,3,1,831,831,0,831,0,42 : oN dnuoR
324,15,197,137,0,6,77,1,0,1,0,0,1,0,0,1,1,437,437,0,437,0,
325,26,345,182,1,1,103,1,0,0,0,0,0,0,1,2,2,664,664,0,664,0,
326,26,519,167,0,2,146,0,0,0,0,0,0,0,1,0,0,861,861,0,861,0,
327,20,515,147,3,1,109,1,0,0,0,1,0,0,0,2,3,802,802,0,802,0,
328,28,431,140,1,2,95,0,1,0,1,0,0,1,0,0,1,701,701,0,701,0,
329,31,396,217,4,2,198,0,1,0,0,1,0,1,2,2,5,860,860,0,860,0,
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
331,17,317,145,0,2,98,0,1,0,0,0,0,0,0,2,1,583,583,0,583,0,52 : oN dnuoR
