Polling Station No,G.HARI,D.KRISHNAMURTHY,CHANDRAN .S.S,MUTHURAJ.G,M.SATHYA KUMAR,BALAJI.A,PAVENDHAN.Y.R,KRISHNAMOORTHY.K,KRISHNAMOORTHY.D,KRISHNAMOORTHY.M,SHETTU.S,DR.A.V.NARENDRAN,JAMBU.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
37,358,179,6,1,83,0,0,0,1,7,1,2,2,640,0,10,650,0
38,278,31,18,0,47,0,0,0,0,5,0,0,1,380,0,6,386,0
39,311,145,17,0,169,1,0,2,0,5,0,0,0,650,0,2,652,0
40,312,80,1,2,73,0,0,0,2,3,0,0,2,475,0,7,482,0
41,230,216,14,2,315,1,0,4,1,8,1,2,4,798,0,5,803,0
42,140,127,21,1,175,0,0,0,0,4,1,1,1,471,0,6,477,0
43,109,130,6,2,294,0,0,0,0,0,0,0,0,541,0,0,541,0
44,352,167,11,1,66,0,0,1,1,3,0,0,2,604,0,3,607,0
45,626,161,12,1,200,0,1,0,2,1,1,0,1,1006,0,2,1008,0
46,176,153,13,6,330,0,1,2,0,1,0,2,5,689,0,1,690,0
47,258,200,15,1,259,0,0,0,0,3,1,1,8,746,0,3,749,0
48,e 2187,280,32,0,229,2,0,0,2,1,0,1,1,835,0,1,836,0
49,135,160,8,9,406,1,0,0,0,2,0,1,3,725,0,4,729,0
50,312,200,30,0,260,0,0,1,2,1,1,1,0,808,0,2,810,0
51,337,249,47,0,295,0,0,2,1,1,0,0,1,933,0,11,944,0
52,358,239,49,1,295,1,0,0,0,1,0,2,2,948,0,8,956,0
53,203,300,35,6,310,0,1,0,1,5,0,0,2,863,0,1,864,0
54,242,252,40,2,283,0,0,0,2,2,0,0,3,826,0,1,827,0
55,197,240,48,1,220,0,0,1,0,3,0,0,3,713,0,1,714,0
56,234,165,37,1,230,0,0,0,0,1,0,0,1,669,0,2,671,0
57,238,274,81,2,322,0,0,1,1,2,0,1,1,923,0,4,927,0
58,269,270,45,2,332,0,0,1,2,3,0,0,3,927,0,4,931,0
59,237,219,43,1,295,1,0,0,0,6,0,1,1,804,0,2,806,0
60,144,144,43,1,197,0,0,0,1,3,0,3,1,537,0,3,540,0
61,239,236,30,2,258,1,0,0,2,1,0,3,1,773,0,3,776,0
62,244,255,46,2,262,0,0,0,1,3,0,4,2,819,0,5,824,0
63,217,217,32,1,213,0,0,0,1,4,0,1,0,686,0,3,689,0
64,465,249,12,0,110,0,2,0,0,0,0,1,0,839,0,1,840,0
65,233,194,29,3,484,2,1,0,2,3,1,1,4,957,0,5,962,0
66,298,145,26,0,468,2,2,1,5,6,0,2,3,958,0,9,967,0
67,306,156,17,1,221,1,1,1,0,6,0,0,2,712,0,4,716,0
68,338,250,18,3,220,1,1,1,2,1,0,4,13,852,0,6,858,0
69,40,363,4,0,67,0,0,0,0,12,0,0,13,499,0,2,501,0
70,380,229,33,2,191,0,1,1,1,8,0,1,7,854,0,4,858,0
71,143,173,6,2,83,1,0,0,5,3,0,1,3,420,0,1,421,0
72,398,242,11,1,82,0,0,0,0,1,0,0,0,735,0,5,740,0
73,234,120,8,1,238,0,0,1,2,2,0,1,2,609,0,4,613,0
74,363,190,25,2,326,1,0,0,1,5,2,0,4,919,0,3,922,0
75,219,168,19,1,283,2,0,0,2,3,0,0,5,702,0,7,709,0
76,389,216,8,1,200,2,1,0,1,1,1,0,1,821,0,4,825,0
77,126,168,2,1,126,0,0,0,2,2,1,1,4,433,0,3,436,0
78,124,150,8,3,358,1,0,0,0,3,1,0,3,651,0,2,653,0
79,301,252,54,0,192,0,0,1,1,0,0,1,2,804,0,8,812,0
80,288,235,43,0,203,0,0,0,0,3,0,1,3,776,0,6,782,0
81,213,125,24,0,124,0,0,0,1,2,0,0,1,490,0,4,494,0
