Polling Station No,C.K .NARAMURIHT,RK .NAPPURAKAIREP,NAHOM AYMAR,S .IVEDAMU,R ASAVINEES .YHTAPUHTES,M .MAGUMNAHS,P .UHTES,M .MANRAVAHCNAP,M .IMHSKALAYIKAB,P .NAMARIP,A .AKILLAM,S .UHTUMIRAM,M.P.K .AJAR,AGAYANIV.RD T .USARAYYEM,S .NAHTANAWHSIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
247,65,135,25,4,153,1,0,0,0,0,0,0,2,0,0,385,0,1,386,
248,44,225,20,2,175,1,0,0,1,0,0,1,1,0,1,471,0,0,471,
249,45,148,17,0,179,1,0,0,0,1,0,0,2,0,0,393,0,1,394,
250,61,179,42,1,190,0,0,0,0,0,0,0,1,0,0,474,0,0,474,
251,61,138,15,2,131,1,0,0,1,1,0,0,0,0,2,352,0,0,352,
252,66,225,29,0,208,1,0,0,0,0,0,1,1,0,1,532,0,0,532,
253,56,187,26,0,182,1,0,0,0,0,0,0,1,0,1,454,0,1,455,
254,26,127,21,0,113,1,0,0,0,0,0,0,0,0,0,288,0,1,289,
255,54,216,30,1,174,1,0,0,0,0,0,0,1,1,0,478,0,0,478,
256,100,209,74,1,395,0,0,0,1,1,0,1,0,1,0,783,0,0,783,
257,18,93,9,0,89,0,0,0,1,0,0,0,1,0,1,212,0,0,212,
258,122,281,50,2,251,3,0,0,0,0,0,0,0,1,1,711,0,5,716,
259,40,159,20,1,224,2,0,0,0,0,0,3,0,0,2,451,0,2,453,
260,88,127,37,5,160,0,0,0,2,0,0,0,5,2,1,427,0,0,427,
261,79,192,27,3,233,1,0,0,2,0,2,0,0,3,2,544,0,3,547,
262,80,171,19,0,123,0,0,0,0,0,0,0,0,1,0,394,0,2,396,
263,104,207,52,1,178,3,0,1,0,0,1,1,2,0,0,550,0,4,554,
264,104,242,44,1,169,0,0,0,0,0,0,0,0,2,1,563,0,2,565,
265,65,168,13,0,85,0,0,0,0,0,0,0,2,0,1,334,0,0,334,
266,61,139,23,1,173,0,0,0,0,0,0,1,0,0,1,399,0,1,400,
267,43,108,18,0,92,0,0,0,0,1,0,0,1,0,0,263,0,0,263,
268,112,212,83,1,187,3,1,0,2,0,1,0,4,2,5,613,0,4,617,
269,68,117,17,1,151,0,1,0,0,0,0,2,0,0,1,358,0,1,359,
270,60,99,25,1,163,1,0,1,1,0,0,1,1,0,2,355,0,2,357,
271,47,124,24,1,151,3,1,1,0,0,1,0,5,0,0,358,0,4,362,
272,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,
273,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,
274,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,
275,67,245,34,1,254,2,1,0,0,0,0,0,2,0,0,606,0,0,606,
276,87,244,30,2,248,1,1,0,1,1,0,2,5,2,3,627,0,2,629,
277,62,242,36,2,217,2,0,0,1,1,0,4,0,0,0,567,0,0,567,
278,64,254,47,0,226,0,0,1,0,0,1,0,1,0,1,595,0,0,595,
279,56,243,45,1,216,0,0,0,2,2,0,1,5,1,1,573,0,8,581,
280,68,148,18,0,230,0,0,0,0,1,0,0,1,4,1,471,0,2,473,
281,77,214,33,2,262,1,0,0,2,0,0,3,3,0,2,599,0,2,601,
282,65,163,23,4,217,0,0,0,0,0,0,0,3,0,1,476,0,2,478,
283,66,306,29,2,274,1,0,1,0,1,0,0,2,1,0,683,0,0,683,
284,67,300,49,1,429,3,0,0,1,3,2,3,9,2,10,879,0,3,882,
285,41,152,63,0,154,0,0,1,0,1,1,2,2,1,0,418,0,2,420,
286,43,236,58,3,198,0,0,0,1,0,1,0,0,0,0,540,0,1,541,
287,56,156,39,4,128,1,0,0,0,0,0,1,1,2,0,388,0,2,390,
288,20,94,25,0,72,1,0,0,0,0,0,0,0,0,1,213,0,0,213,
289,75,203,67,2,290,0,1,0,0,2,0,3,1,1,1,646,0,4,650,
290,25,142,29,0,194,2,0,0,2,0,0,2,1,2,0,399,0,1,400,
291,21,127,12,0,99,0,0,0,0,0,0,0,0,0,1,260,0,0,260,
292,32,271,75,1,264,0,0,0,1,0,0,1,0,0,0,645,0,2,647,
293,47,181,51,1,348,2,0,0,1,2,2,0,0,0,0,635,0,0,635,
294,58,230,41,1,181,1,0,0,0,0,1,0,2,0,2,517,0,1,518,
295,17,158,37,3,159,0,0,0,0,1,0,0,0,0,0,375,0,0,375,
296,50,152,19,0,187,2,0,1,1,0,0,0,3,1,1,417,0,1,418,
297,61,149,36,0,178,1,0,0,1,1,1,0,1,0,1,430,0,2,432,
298,73,149,27,2,252,0,1,1,7,0,1,1,0,2,1,517,0,4,521,
299,29,191,42,0,184,0,1,0,0,1,0,0,0,0,2,450,0,0,450,
300,54,277,46,5,296,0,1,0,0,0,0,1,3,2,0,685,0,2,687,
301,118,400,56,1,328,3,0,1,2,0,0,0,3,1,1,914,0,2,916,
302,106,310,28,0,218,1,1,1,1,0,0,0,2,0,2,670,0,1,671,
303,112,212,76,1,177,1,1,0,0,1,1,1,0,2,7,592,0,4,596,
304,91,356,77,1,244,2,0,0,0,0,1,5,2,2,1,782,0,1,783,
305,70,151,41,0,148,1,1,0,0,1,0,0,1,1,2,417,0,1,418,
306,46,315,75,0,307,0,0,1,0,0,0,1,2,1,0,748,0,2,750,
307,56,227,67,0,248,0,2,0,0,2,0,0,1,3,0,606,0,2,608,
308,64,222,64,1,384,2,0,0,6,0,1,0,1,1,1,747,0,2,749,
309,16,237,52,2,206,0,0,0,0,0,0,1,1,1,1,517,0,1,518,
310,48,169,90,1,181,2,0,0,7,0,1,2,0,0,1,502,0,4,506,
311,41,177,57,0,208,2,0,0,1,0,0,1,2,0,1,490,0,5,495,
312,42,189,84,1,272,3,0,0,0,0,0,1,2,0,2,596,0,1,597,
313,93,182,31,1,173,0,1,0,0,1,1,1,2,0,1,487,0,0,487,
314,100,289,45,2,303,0,0,0,0,0,0,1,1,1,2,744,0,8,752,
315,80,192,33,0,211,0,0,0,1,0,0,0,0,0,0,517,0,2,519,
316,75,267,27,3,249,1,1,0,0,0,0,1,1,0,3,628,0,1,629,
317,54,235,62,1,295,0,0,0,0,2,0,0,5,1,0,655,0,1,656,
318,104,118,33,1,227,3,0,0,0,1,0,2,4,3,2,498,0,2,500,
