Polling Station No,ABISHEK. R,SARANYA IMRAN,TAMILAN PRASANNA,ARUN RAO. N.A,DR.N. GUNASEKAR,D. THIRUNAVUKKARASAR,T. MAGIZHANBAN,G.R. RAJENDRAN,RAJMOHAN,ARAVINDAN,R. KUMARAVEL,M. NAGARAJAN,S. PICHAMUTHU,RAJKUMAR,RAJMOHAN,S. VINOTH KUMAR,VENKATESH. K,SRIDHAR. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
154,42,13,202,0,2,0,0,0,251,0,1,0,1,0,0,1,0,0,513,0,2,515,0
155,139,6,266,0,0,0,0,2,265,0,0,1,0,0,0,1,1,0,681,0,11,692,0
156,47,12,304,0,2,4,0,1,365,1,0,0,1,0,1,2,0,0,740,0,0,740,0
157,52,15,234,0,1,0,0,1,309,0,0,0,1,0,1,0,0,0,614,0,1,615,0
158,25,22,141,1,2,0,0,0,310,0,0,0,0,0,0,0,0,0,501,0,1,502,0
159,e 339,22,241,1,1,0,3,0,236,0,0,0,1,0,0,0,0,0,544,0,2,546,0
160,25,7,152,1,0,0,0,0,182,0,0,1,0,0,1,0,2,0,371,0,0,371,0
161,81,17,303,1,2,2,1,0,362,0,0,0,0,0,1,0,0,0,770,0,2,772,0
162,30,10,219,0,2,0,0,0,285,0,1,1,0,0,0,0,0,0,548,0,5,553,1
163,44,17,223,1,1,0,1,1,357,0,0,0,0,0,0,1,0,0,646,0,1,647,0
164,17,20,144,0,1,0,0,1,190,0,0,0,0,0,0,0,0,0,373,0,1,374,0
165,63,10,254,0,1,0,0,1,327,0,0,0,3,0,2,0,0,0,661,0,2,663,0
166,55,16,186,0,1,0,1,0,237,1,0,0,0,0,0,1,0,0,498,0,5,503,0
167,67,16,232,2,1,0,0,1,334,0,2,0,0,0,1,1,0,0,657,0,3,660,0
168,82,20,179,1,0,0,0,0,326,0,0,1,1,0,0,1,1,0,612,0,2,614,0
169,62,13,204,0,0,1,1,1,268,1,1,0,1,0,0,1,0,0,554,0,2,556,0
170,53,17,236,4,2,0,1,0,364,0,0,0,0,0,0,3,0,1,681,0,4,685,0
171,57,20,268,0,0,0,1,2,480,1,0,0,0,1,0,2,1,0,833,0,1,834,0
172,45,22,261,2,1,0,1,1,323,0,0,2,0,0,1,5,0,0,664,0,2,666,0
173,73,8,64,0,0,0,1,0,96,0,0,0,0,0,0,2,0,0,244,0,1,245,0
174,112,13,185,1,1,0,2,1,231,1,0,0,0,0,1,1,1,0,550,0,1,551,0
175,124,41,207,0,0,1,0,0,303,0,0,0,0,0,0,0,0,0,676,0,6,682,0
176,111,12,154,0,1,0,0,1,206,0,0,0,0,0,0,2,1,0,488,0,2,490,0
177,63,17,107,0,1,0,0,0,228,0,0,0,0,0,1,0,1,0,418,0,0,418,0
178,111,23,191,0,0,0,1,0,306,0,1,0,0,0,1,0,0,0,634,0,6,640,0
179,115,8,261,1,0,0,0,1,183,0,0,0,0,0,0,1,0,0,570,0,3,573,0
180,41,4,201,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,317,0,2,319,0
181,117,13,246,3,1,0,1,0,206,1,0,0,0,0,0,0,0,0,588,0,3,591,0
182,62,13,375,0,0,0,0,0,372,0,0,1,0,0,0,0,0,0,823,0,7,830,0
183,17,11,225,2,2,0,2,0,176,0,1,0,0,0,0,0,0,0,436,0,1,437,0
184,30,4,164,0,1,0,0,1,164,0,0,1,0,1,0,0,0,0,366,0,1,367,0
185,23,10,627,1,1,0,0,1,149,0,0,0,1,0,1,1,0,0,815,0,5,820,0
186,12,14,470,1,0,1,1,2,197,0,0,0,0,0,0,0,0,0,698,0,3,701,0
187,10,3,152,0,2,0,1,2,224,0,0,0,1,1,1,0,0,0,397,0,1,398,0
188,55,7,223,2,0,0,0,0,231,0,0,0,0,0,0,0,1,0,519,0,2,521,0
189,45,2,220,0,0,0,0,0,205,1,0,0,0,0,0,0,0,0,473,0,0,473,0
190,59,8,78,0,1,1,0,1,281,0,0,1,0,0,0,0,0,0,430,0,1,431,0
191,46,14,460,0,0,0,0,1,187,1,0,0,0,0,1,1,0,0,711,0,1,712,0
192,43,14,455,0,1,0,0,2,181,0,0,0,0,2,0,2,0,0,700,0,6,706,0
193,35,9,441,3,1,1,0,0,168,0,0,0,0,0,0,1,0,0,659,0,1,660,0
194,35,8,365,1,2,0,0,2,143,0,0,0,0,0,0,0,0,0,556,0,0,556,0
195,32,11,552,0,0,0,0,0,207,0,0,0,0,0,0,0,1,0,803,0,1,804,0
196,79,20,122,1,2,0,2,0,281,0,0,0,1,0,0,1,0,0,509,0,4,513,0
197,67,19,400,2,0,1,0,2,304,2,0,0,1,0,0,3,1,0,802,0,2,804,0
198,43,12,516,3,0,0,0,3,220,0,0,0,0,0,0,0,0,1,798,0,6,804,0
199,116,11,200,0,0,1,0,1,118,0,0,0,1,0,0,1,0,0,449,0,7,456,0
200,116,5,176,0,0,1,0,0,118,0,0,0,0,0,0,1,0,1,418,0,6,424,0
