Polling Station No,P.SARAVANAN,G.THALAPATHI,V THIRUNAVUKKARASU,A.KALLANAI,R RAJKUMAR,M J VOLTAIRE,N.KUPPUSAMY,J.KESAVARAJAH,M.P.SANKARAPANDI,C.SATHISHKUMAR,D.MOHAMED ISMAIL,P MUTHUSAMY,A.RAJANGAM,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
37,103,261,24,318,1,0,0,0,0,0,2,0,0,709,0,0,709,0
38,62,167,23,213,0,0,0,0,1,0,1,2,1,470,0,0,470,0
39,48,249,34,279,0,0,0,0,2,0,1,1,0,614,0,3,617,0
40,86,136,11,269,0,0,0,0,0,0,1,0,1,504,0,0,504,0
41,113,222,35,302,2,1,0,1,0,0,0,0,1,677,0,1,678,0
42,135,177,30,325,0,0,0,1,4,0,0,0,2,674,0,1,675,0
43,185,185,24,389,0,0,0,0,1,1,1,0,1,787,0,3,790,0
44,96,148,20,298,0,0,0,0,0,1,0,0,0,563,0,2,565,0
45,95,131,20,210,0,0,0,0,0,1,0,0,1,458,0,0,458,0
46,61,231,28,311,0,0,0,1,0,2,0,0,0,634,0,3,637,0
47,63,194,15,232,0,1,0,1,0,0,1,1,0,508,0,6,514,0
48,61,153,17,226,0,0,0,0,0,1,0,0,1,459,0,1,460,0
49,72,205,24,261,0,0,0,0,0,1,1,0,0,564,0,3,567,0
50,91,326,18,309,0,0,0,0,1,0,1,0,0,746,0,1,747,0
51,41,231,12,182,0,0,0,0,0,0,0,0,0,466,0,1,467,0
52,53,190,16,184,1,0,0,0,1,0,0,1,0,446,0,2,448,0
53,98,191,25,222,0,2,0,0,0,0,1,0,0,539,0,2,541,0
54,55,145,14,204,0,1,0,0,0,0,1,1,0,421,0,4,425,0
55,121,167,23,265,0,0,0,0,0,0,2,1,0,579,0,0,579,0
56,152,183,29,295,0,0,0,1,0,1,0,0,1,662,0,1,663,0
57,155,156,31,297,0,0,0,0,1,0,0,1,2,643,0,0,643,0
58,91,260,57,410,0,1,0,1,1,0,0,1,1,823,0,2,825,0
