Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
129,129,19,120,206,0,1,185,0,0,0,0,0,1,0,0,0,1,0,4,1,538,0,1,539,0
130,130,16,299,209,3,2,247,0,2,1,0,0,0,0,0,0,1,0,0,4,784,0,2,786,0
131,131,35,386,71,2,1,329,0,0,0,1,1,0,0,1,3,1,0,3,1,835,0,2,837,0
132,132,26,120,92,2,0,168,0,0,0,0,0,0,0,0,0,0,0,1,2,411,0,1,412,0
133,133,40,229,134,0,0,261,2,0,0,1,2,0,0,1,0,3,0,4,0,677,0,3,680,0
134,134,41,218,66,1,2,206,2,0,0,0,1,0,1,1,0,0,0,0,1,540,0,0,540,0
135,135,28,331,42,1,1,185,0,1,0,0,0,0,0,1,1,1,0,3,0,595,0,1,596,0
136,136,49,160,157,1,0,161,0,0,0,0,1,0,1,3,1,2,1,2,2,541,0,0,541,0
137,137,18,250,39,0,1,73,0,1,0,0,0,1,1,2,1,0,0,2,1,390,0,1,391,0
138,138,72,358,145,0,2,219,2,0,0,0,1,1,2,0,3,1,1,6,1,814,0,1,815,0
139,139,44,337,114,2,0,239,0,0,0,1,0,0,0,0,0,1,0,2,2,742,0,5,747,0
140,140,51,330,131,0,0,326,1,0,0,0,0,0,1,3,1,3,1,1,2,851,0,1,852,0
141,141,42,326,95,0,0,214,1,0,0,0,0,0,0,0,0,1,0,2,1,682,0,3,685,0
142,142,18,128,150,1,1,167,1,0,0,1,4,0,0,0,0,0,0,0,1,472,0,1,473,0
143,143,66,265,47,1,5,128,0,0,0,0,0,0,0,0,1,0,0,1,2,516,0,1,517,0
144,144,40,349,62,1,1,161,0,0,0,0,0,0,0,0,0,0,0,1,0,615,0,1,616,0
145,145,41,246,100,1,0,255,0,1,0,0,2,0,1,0,0,0,0,1,0,648,0,2,650,0
146,146,27,181,50,0,0,141,1,1,0,0,2,0,0,1,1,0,0,1,0,406,0,0,406,0
147,147,36,226,189,1,0,226,0,0,0,1,0,0,0,0,0,0,1,1,1,682,0,2,684,0
148,148,38,64,224,1,2,138,0,0,0,0,2,0,0,0,0,0,0,0,0,469,0,1,470,0
149,149,33,326,205,1,1,318,0,1,0,0,2,1,0,3,0,2,1,2,1,897,0,0,897,0
150,150,26,149,150,1,3,155,1,0,0,0,0,0,0,0,1,0,0,1,0,487,0,1,488,0
151,151,37,285,74,1,0,208,0,1,1,0,1,1,0,3,0,1,0,1,0,614,0,0,614,0
152,152,48,191,136,3,2,179,0,2,0,0,0,1,0,0,1,1,1,7,0,572,0,2,574,0
153,153,23,185,136,1,1,182,1,0,0,0,0,1,0,0,0,0,0,0,0,530,0,1,531,0
154,154,41,215,78,1,0,127,0,0,0,0,0,0,0,0,0,1,0,1,0,464,0,3,467,0
155,155,15,111,242,1,0,130,0,2,0,0,0,0,0,0,0,0,0,0,1,502,0,2,504,0
156,156,63,191,136,0,0,174,0,0,0,0,0,0,1,1,0,2,1,1,0,570,0,3,573,0
157,157,26,299,131,1,3,280,0,0,0,0,0,0,0,2,0,0,1,4,0,747,0,3,750,0
158,158,37,361,117,1,6,337,2,0,0,1,0,0,2,0,2,3,1,5,2,877,0,0,877,0
159,159,24,280,175,2,1,227,2,0,0,0,0,1,0,2,0,1,0,1,0,716,0,0,716,0
160,160,32,251,163,2,1,270,0,0,0,0,1,0,0,0,0,0,0,2,0,722,0,2,724,0
161,161,30,201,243,1,3,211,0,0,0,0,1,0,0,3,0,0,1,1,0,695,0,1,696,0
162,162,13,208,30,0,3,240,0,1,1,1,0,0,1,0,1,1,0,1,0,501,0,1,502,0
163,163,32,228,81,2,0,180,1,0,0,0,0,0,0,2,0,0,0,3,0,529,0,1,530,0
164,164,29,232,40,1,2,204,0,0,2,0,0,0,0,2,0,2,0,0,0,514,0,3,517,0
165,165,26,224,78,1,4,224,2,1,0,1,0,0,0,0,2,0,0,2,0,565,0,1,566,0
166,166,23,252,57,1,1,278,1,0,0,1,0,0,1,0,0,0,0,2,1,618,0,1,619,0
