Polling Station No,V.P.KANDASAMY,THALAPATHY MURUGESAN,DR.S.RAJASEKARAN,KANTHASAMY.K.,NM.SUKUMAR,SUMAN SINGH.R.,NAGARAJ.K.,NELSON.W.,PALANISAMY.M.,PAPPA MUTHULAKSHMI.P.,KANDASAMY.A.,KANDASAMY.R.,KANDASAMY.V.,MURUGESAN.N.,MURUGESH.R.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
218,252,205,27,1,268,0,1,0,1,3,0,0,0,0,0,758,0,3,761,0
219,102,53,8,0,73,0,0,0,0,0,0,0,0,0,0,236,0,2,238,0
220,e 4215,339,35,0,228,1,0,0,0,0,0,1,0,1,0,820,0,1,821,0
221,311,295,43,1,288,2,0,0,0,0,0,0,0,0,0,940,0,2,942,0
222,274,248,44,2,295,0,1,0,0,0,0,0,0,1,1,866,0,5,871,0
223,277,201,32,1,241,1,0,0,1,1,0,0,0,0,0,755,0,2,757,0
224,201,257,27,0,231,0,0,0,4,0,0,0,0,0,0,720,0,5,725,0
225,261,203,35,0,267,0,0,0,0,1,0,0,0,0,1,768,0,2,770,0
226,259,242,34,1,290,1,0,1,1,2,0,0,0,1,0,832,0,9,841,0
227,149,259,22,3,281,0,0,0,0,0,0,2,0,0,2,718,0,4,722,0
228,124,269,31,0,299,0,1,0,0,1,0,0,0,0,0,725,0,4,729,0
229,127,199,22,0,210,1,0,0,0,0,0,1,0,0,1,561,0,1,562,0
230,168,201,21,2,274,0,0,0,0,0,0,0,1,0,0,667,0,4,671,0
231,194,263,29,0,291,0,0,0,0,0,0,1,0,0,0,778,0,1,779,0
232,128,256,36,1,272,2,1,0,0,0,0,1,0,0,1,698,0,2,700,0
233,124,192,23,0,159,0,0,0,0,3,0,1,0,0,1,503,0,1,504,0
234,201,273,48,0,276,1,0,0,0,0,0,1,0,0,0,800,0,4,804,0
235,141,231,40,0,337,1,1,1,0,0,0,0,0,0,1,753,0,3,756,0
236,178,235,50,1,356,0,0,0,0,2,0,0,0,0,0,822,0,5,827,0
237,189,279,35,0,220,0,0,1,0,1,0,0,0,0,1,726,0,7,733,0
238,200,210,16,0,183,0,1,0,8,1,0,0,0,0,1,620,0,0,620,0
239,102,153,30,0,233,0,0,0,0,0,0,0,0,0,0,518,0,4,522,0
