Polling Station No,V . PALANI,S. MUTHUSAMY,M. YUVARAJA,N. VIJAY,ANANTH MOGHAN K.K.,K. KALAIYARASAN,V. DHANALAKSHMI,M. NATARAJ,M. RUKMANI,SHANMUGAM M.,MOORTHI P.,A. RAMU,C. RAJENDRAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
132,0,194,56,31,200,0,0,0,0,0,0,1,1,483,0,2,485,0
133,4,178,87,26,338,1,0,0,0,3,1,0,1,639,0,8,647,0
134,2,168,65,14,257,0,1,0,0,0,2,0,1,510,0,2,512,0
135,1,97,123,29,237,1,0,0,1,0,0,0,0,489,0,6,495,0
136,1,245,129,33,443,1,1,0,1,3,2,3,0,862,0,7,869,0
137,1,210,92,22,270,0,0,0,0,0,0,1,0,596,0,0,596,0
138,1,182,103,33,316,0,0,0,0,0,0,1,0,636,0,5,641,0
139,0,320,71,23,401,1,1,0,0,1,0,0,1,819,0,1,820,0
140,3,266,74,42,463,1,0,0,0,0,2,1,2,854,0,1,855,0
141,3,167,120,38,333,3,1,1,1,2,2,1,2,674,0,3,677,0
142,3,194,127,22,362,2,0,0,0,0,0,1,1,712,0,1,713,0
143,3,186,101,29,314,2,1,0,0,0,0,0,0,636,0,5,641,0
144,5,228,96,18,390,1,0,0,0,0,1,2,1,742,0,3,745,0
145,1,278,227,35,421,0,2,5,0,0,1,0,1,971,0,7,978,0
146,0,185,225,14,300,0,0,1,2,1,0,1,0,729,0,3,732,0
147,1,253,163,25,325,2,1,2,0,3,1,2,1,779,0,6,785,0
148,1,127,79,26,246,0,0,1,0,3,1,0,0,484,0,1,485,0
149,1,250,211,41,446,1,1,2,0,2,0,0,0,955,0,7,962,0
150,0,223,197,18,159,1,0,2,2,1,2,0,2,607,0,5,612,0
151,2,209,132,25,249,0,0,0,0,0,1,3,3,624,0,4,628,0
152,2,313,202,35,386,0,2,0,0,2,0,3,5,950,0,2,952,0
153,1,180,149,23,278,7,2,1,1,2,1,1,1,647,0,7,654,0
154,3,219,81,8,148,0,0,0,0,0,0,0,0,459,0,4,463,0
155,2,241,259,19,158,1,0,2,0,2,0,0,4,688,0,4,692,0
156,4,208,148,12,254,2,0,0,2,1,1,4,2,638,0,7,645,0
157,2,210,199,21,259,1,0,0,0,0,0,0,0,692,0,3,695,0
158,0,243,160,28,253,4,0,2,0,2,0,0,2,694,0,4,698,0
159,0,188,217,20,193,1,0,1,0,0,1,0,0,621,0,4,625,0
160,2,154,164,22,252,1,0,0,0,0,2,1,0,598,0,5,603,0
161,2,203,138,26,254,1,0,1,0,1,0,1,0,627,0,4,631,0
162,2,169,203,32,230,0,1,0,0,1,2,1,3,644,0,7,651,0
163,0,111,173,19,240,0,0,0,0,0,0,0,0,543,0,5,548,0
164,2,268,283,19,275,2,1,0,0,1,1,1,1,854,0,4,858,0
165,3,160,164,35,246,0,0,0,0,0,0,0,0,608,0,4,612,0
166,1,283,162,35,483,3,0,0,0,0,2,2,1,972,0,10,982,0
167,1,164,104,24,302,0,0,1,0,1,2,2,1,602,0,9,611,0
168,4,280,89,30,202,1,1,0,0,2,1,3,6,619,0,9,628,0
169,1,250,192,27,255,0,1,1,0,1,0,0,0,728,0,3,731,0
170,2,195,143,14,167,2,0,2,3,1,0,0,2,531,0,5,536,0
