Polling Station No,KADAMBUR RAJU.C,KARUNANITHI.K,PANDI.P,RAMACHANDRAN.R,ARUMUGAVEL.T,KANNAN.S,SARAVANAN.S,BALASUBRAMANIAN.S,HARI BALAKRISHNAN.G,ATHIKUMAR KUDUMBAR.B,GUNASEKARAN.P,GURUSAMY.K,CHINNA MAHARAJA.K,SEKAR.C,PARAMASIVAN.S,POUNDURAI.K,PANDIMUNEESWARI.K,PREMKUMAR.K,PONNUSAMY.M,MUNEESWARAN.R,RENGANAYAGALU.S,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
163,151,321,76,1,0,2,1,291,3,20,0,2,0,2,3,0,2,5,0,0,0,880,0,1,881,0
164,104,144,54,0,0,1,1,167,2,13,0,0,0,0,2,2,2,2,0,0,0,494,0,0,494,0
165,167,311,77,1,0,4,1,278,1,0,0,0,0,0,1,1,2,0,0,0,0,844,0,2,846,0
166,163,309,75,0,1,0,0,273,0,0,0,1,0,2,1,1,1,1,0,0,1,829,0,4,833,0
167,338,78,14,0,0,2,0,193,1,0,1,0,0,1,0,3,1,1,0,0,0,633,0,1,634,0
168,106,185,33,2,0,0,0,245,0,7,0,0,0,0,0,0,1,0,0,0,0,579,0,0,579,0
169,122,201,21,0,0,0,1,218,0,1,1,0,0,0,0,0,3,3,0,0,0,571,0,1,572,0
170,79,91,22,0,0,1,0,129,0,1,0,0,0,1,0,0,0,1,0,0,0,325,0,2,327,0
171,115,138,19,1,0,0,4,185,0,1,0,0,0,0,0,2,0,1,0,0,0,466,0,1,467,0
172,126,203,57,1,0,1,2,271,0,15,0,0,0,0,0,1,2,0,0,0,0,679,0,2,681,0
173,154,175,38,0,0,0,2,211,0,1,0,0,0,0,0,1,0,0,0,0,0,582,0,3,585,0
174,96,108,35,1,0,2,1,190,0,3,0,0,0,0,0,0,2,0,0,0,0,438,0,1,439,0
175,99,87,19,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1,0,0,322,0,3,325,0
176,125,218,46,0,0,7,1,185,0,0,1,0,0,1,1,0,0,0,0,0,0,585,0,1,586,0
177,106,214,22,1,0,1,1,192,0,21,1,0,0,0,1,0,0,0,0,0,0,560,0,3,563,0
178,81,206,51,0,0,0,0,267,1,22,0,0,0,0,2,0,0,0,0,1,0,631,0,2,633,0
179,56,197,39,0,0,0,0,166,0,31,0,0,0,0,3,0,0,0,0,0,0,492,0,4,496,0
180,139,176,26,0,0,8,0,187,0,0,0,0,0,0,0,0,1,2,0,0,0,539,0,1,540,0
181,116,250,30,1,0,9,0,151,1,0,0,0,0,0,2,2,1,3,0,1,1,568,0,2,570,0
182,98,220,23,1,0,8,0,80,0,0,0,0,1,0,1,2,2,1,1,0,1,439,0,2,441,0
183,148,397,96,1,0,1,0,271,2,38,0,0,1,3,4,2,0,1,1,1,0,967,0,3,970,0
184,138,334,76,2,0,0,2,206,0,20,0,0,0,0,0,0,0,1,1,0,0,780,0,1,781,0
185,148,297,85,1,0,0,0,277,1,41,0,1,0,0,2,3,1,3,1,1,1,863,0,2,865,0
186,135,304,16,0,0,1,1,205,2,0,0,0,0,0,2,2,2,0,0,0,0,670,0,1,671,0
187,188,254,18,1,0,0,1,204,1,0,0,0,2,0,0,1,1,0,0,0,2,673,0,2,675,0
188,137,284,28,0,1,6,5,255,0,0,0,0,0,1,3,0,0,1,1,1,0,723,0,7,730,0
189,181,302,48,0,1,1,15,331,0,1,1,0,0,0,0,1,0,2,0,0,1,885,0,2,887,0
190,208,230,58,0,1,2,23,392,1,0,1,0,1,1,1,2,1,0,1,1,0,924,0,3,927,0
191,109,163,49,1,0,1,10,271,1,1,0,0,0,2,1,2,1,0,0,0,0,612,0,2,614,0
192,206,235,44,0,0,0,4,259,0,0,0,1,0,0,0,0,2,1,0,0,0,752,0,3,755,0
193,234,273,35,1,0,3,0,303,0,0,0,0,0,0,1,0,1,0,0,0,0,851,0,1,852,0
194,212,271,53,1,0,3,6,269,0,1,0,1,0,0,1,4,0,0,1,0,0,823,0,2,825,0
195,222,227,79,2,0,0,0,188,0,7,0,0,0,1,0,2,2,0,6,0,0,736,0,3,739,0
196,229,228,37,0,0,2,2,239,0,2,0,1,1,0,3,3,1,2,1,2,0,753,0,1,754,0
197,203,240,58,2,1,0,2,291,0,1,0,0,1,1,1,1,2,3,0,0,0,807,0,1,808,0
198,235,273,89,2,0,0,1,264,2,0,0,0,0,1,1,2,0,1,1,0,0,872,0,1,873,0
199,32,201,18,1,0,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,361,0,2,363,0
200,46,343,13,1,0,0,0,157,1,0,0,0,0,0,0,0,0,0,1,0,0,562,0,0,562,0
201,108,126,20,0,0,0,3,270,0,0,0,1,0,0,0,0,1,0,0,0,0,529,0,0,529,0
202,88,79,10,2,0,1,0,147,0,0,0,1,0,1,1,0,0,0,0,0,0,330,0,1,331,0
203,130,161,30,2,0,1,0,190,1,0,0,1,0,0,2,0,2,1,1,0,0,522,0,0,522,0
204,138,144,24,1,0,3,1,280,0,1,0,0,0,0,1,1,0,0,0,0,0,594,0,2,596,0
205,78,205,29,0,0,1,1,241,0,0,0,0,0,0,1,3,1,1,0,0,0,561,0,0,561,0
206,107,179,17,1,0,5,1,203,0,1,1,1,0,1,2,0,0,0,0,0,0,519,0,4,523,0
207,182,233,52,1,0,3,2,354,1,0,1,0,2,2,0,2,2,2,0,0,1,840,0,3,843,1
208,151,158,31,0,0,1,1,297,1,0,1,0,1,1,0,0,0,0,0,0,0,643,0,3,646,0
209,140,174,30,1,0,1,1,274,0,0,0,0,0,0,1,2,0,0,1,2,0,627,0,1,628,0
210,154,206,35,0,0,0,0,306,0,0,0,0,0,0,0,1,1,1,0,0,0,704,0,3,707,0
211,130,194,33,0,1,0,0,268,0,0,0,0,0,0,1,1,0,0,1,0,0,629,0,2,631,0
212,100,90,29,0,0,0,1,148,0,0,0,0,1,0,0,0,0,0,0,0,0,369,0,5,374,0
213,170,268,63,0,0,3,0,345,0,0,0,0,1,0,0,0,1,1,0,0,1,853,0,1,854,0
214,139,203,27,0,0,2,1,176,1,1,0,0,0,0,0,0,0,0,0,1,0,551,0,2,553,0
215,130,139,30,0,1,0,0,207,0,3,0,0,0,0,0,0,8,2,0,1,0,521,0,0,521,0
216,117,152,27,2,0,0,1,205,0,0,0,0,0,0,0,1,0,1,0,0,0,506,0,3,509,0
217,102,111,17,0,0,1,1,193,0,0,0,1,0,2,0,0,0,0,0,0,0,428,0,3,431,0
218,90,168,26,0,0,1,1,132,1,5,0,0,0,1,1,0,1,0,0,0,0,427,0,2,429,0
219,147,115,28,2,0,0,0,152,0,0,0,0,0,0,0,0,1,0,0,0,0,445,0,2,447,0
220,116,102,20,1,0,0,0,143,0,0,0,0,0,0,0,1,0,0,0,0,0,383,0,1,384,0
221,84,126,31,0,0,0,0,131,0,1,0,1,0,0,0,1,0,0,0,0,0,375,0,1,376,0
222,206,204,42,0,0,1,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,2,765,0
223,139,148,28,0,0,0,1,207,0,1,0,0,0,0,1,0,0,1,0,0,0,526,0,3,529,0
224,201,133,41,2,1,0,0,297,0,0,1,0,0,0,0,0,1,3,0,1,0,681,0,3,684,0
225,264,149,58,1,0,0,1,297,0,1,0,2,0,1,0,1,3,1,0,0,0,779,0,3,782,0
226,241,205,59,0,0,0,1,318,0,0,0,0,0,0,1,0,1,1,0,0,0,827,0,3,830,0
227,118,138,28,1,0,0,0,206,0,1,0,0,0,1,0,0,0,0,0,0,1,494,0,2,496,0
228,97,114,23,1,0,0,0,168,1,1,0,0,1,1,0,1,0,0,0,0,0,408,0,1,409,0
229,119,163,38,0,0,0,0,231,0,0,0,1,0,0,0,0,0,0,1,0,0,553,0,5,558,0
230,99,99,14,0,1,0,3,110,2,0,0,1,1,0,0,0,0,1,0,0,0,331,0,1,332,0
231,ge11 93,153,31,1,0,0,0,214,1,4,0,0,1,0,0,2,0,0,0,0,0,526,0,2,528,0
232,163,141,43,1,0,2,1,283,0,0,0,0,0,0,0,1,1,0,0,0,0,636,0,2,638,0
233,179,124,47,0,0,0,1,229,1,1,0,0,0,1,0,0,0,1,0,0,0,584,0,1,585,0
234,224,180,36,0,1,0,1,225,0,1,0,0,0,1,0,0,0,1,1,1,0,672,0,5,677,0
235,123,121,20,0,1,1,0,179,0,0,0,0,0,0,0,1,0,2,0,1,0,449,0,1,450,0
236,78,111,27,0,0,1,1,144,0,0,0,0,0,0,0,0,0,0,0,1,0,363,0,2,365,0
237,157,201,29,2,0,1,1,208,0,0,0,1,0,0,1,0,1,1,1,1,0,605,0,1,606,0
