Polling Station No,T.M.ANBARASAN,S.SARAVANAN,Y.G.MAHALAKSHMI,J.AGNI SELVARASU,ARAVIND CHANDRASEKAR,B. KALYANARAMKUMAR,S.ROYAPPAN,A.VELUSAMY,N.HARI KRISHNAN,M.HARISH,V.ANBARASAN,A.SARAVANAN,S.SARAVANAN,D.SARAVANAN,R.SARAVANAN,R.SURESH,SENKODI VIJAYALAKSHMI,R.SELVAKUMAR,G.DANIEL ANTONYRAJ,MAHESH KUMAR,G.RAMANAN,K.VELAYUDHAM,M.HARISH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
122,175,50,18,0,0,0,1,1,2,192,0,0,0,0,0,1,0,0,0,0,0,0,1,441,0,0,441,0
123,222,133,30,1,0,0,0,0,0,146,0,0,1,0,0,0,0,0,0,0,0,0,0,533,0,7,540,0
124,196,137,26,2,0,0,0,0,0,315,0,0,0,0,0,0,1,0,0,0,0,0,1,678,0,3,681,0
125,236,137,32,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,1,0,0,1,664,0,3,667,0
126,211,153,54,0,0,0,0,0,0,314,1,0,0,1,0,0,0,1,0,0,0,0,0,735,0,6,741,0
127,196,171,27,0,0,0,0,0,0,454,1,1,0,0,0,3,1,0,0,1,0,0,1,856,0,6,862,0
128,197,141,39,0,0,0,0,0,0,359,1,0,0,0,1,0,1,0,0,0,0,1,3,743,0,5,748,0
129,195,177,29,0,0,0,1,1,0,369,0,0,1,0,0,0,1,0,0,0,0,0,1,775,0,8,783,0
130,214,113,23,0,0,0,0,0,1,241,2,0,0,0,0,0,1,1,0,1,0,0,4,601,0,3,604,0
131,227,127,28,0,0,0,0,0,2,288,0,0,0,0,0,1,0,0,0,0,0,0,4,677,0,2,679,0
132,193,101,19,0,0,1,0,1,0,320,1,0,0,0,0,0,1,0,0,0,0,0,0,637,0,2,639,0
133,260,134,32,1,0,0,0,0,1,340,0,0,0,0,0,2,1,0,0,1,1,0,7,780,0,1,781,0
134,185,204,44,1,0,0,0,1,1,293,0,1,0,0,0,0,2,1,0,1,0,0,0,734,0,5,739,0
135,169,144,35,0,0,1,1,2,1,244,2,0,0,0,1,0,1,0,0,1,0,0,2,604,0,4,608,0
136,202,176,43,1,0,0,0,0,1,254,0,0,0,0,0,0,1,1,0,0,0,0,0,679,0,5,684,0
137,190,110,36,0,0,0,0,0,0,317,0,0,0,0,1,0,0,0,0,1,0,0,5,660,0,2,662,0
138,193,102,27,0,0,0,0,0,0,308,4,1,0,0,0,0,0,0,0,1,0,0,4,640,0,3,643,1
139,209,125,18,0,0,0,0,0,0,273,0,0,0,0,0,0,0,1,0,0,0,0,2,628,0,0,628,0
140,178,130,25,0,0,0,0,0,2,288,1,0,0,0,1,1,0,1,0,0,0,0,3,630,0,1,631,0
141,225,83,20,0,0,0,0,0,0,269,0,0,0,0,0,0,1,0,0,0,0,0,0,598,0,6,604,0
142,185,144,23,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,1,0,0,3,687,0,5,692,0
143,187,133,32,0,0,0,0,0,1,358,0,0,0,0,1,0,1,1,0,0,0,0,0,714,0,5,719,0
144,169,152,39,0,0,0,0,1,1,347,0,0,0,0,1,0,0,0,0,0,0,0,5,715,0,4,719,0
145,219,123,37,0,0,0,3,1,0,372,1,1,0,0,0,1,0,0,0,0,0,0,11,769,0,6,775,0
146,199,116,26,0,0,0,0,0,1,326,0,0,0,0,0,0,0,0,1,0,0,0,3,672,0,4,676,0
147,182,118,27,2,1,0,0,0,0,293,0,0,0,0,0,1,0,0,0,0,0,0,3,627,0,5,632,0
148,221,132,34,0,0,0,1,0,0,328,1,0,0,0,1,3,2,0,0,0,0,0,1,724,0,3,727,0
149,265,163,46,1,0,0,0,0,1,370,1,0,0,0,0,1,1,1,0,1,0,0,2,853,0,1,854,0
150,151,92,27,0,0,0,0,2,1,298,0,0,0,0,0,0,0,1,0,0,0,0,3,575,0,1,576,0
151,166,141,47,0,0,1,0,0,1,249,0,0,1,0,0,0,1,0,0,0,0,0,3,610,0,3,613,0
152,ge 1258,150,27,1,0,0,0,0,0,236,0,1,0,0,0,0,0,0,0,0,0,0,0,573,0,3,576,0
153,264,212,41,2,0,0,0,0,1,339,0,0,0,0,1,0,2,0,0,0,0,1,2,865,0,9,874,0
154,209,100,39,0,0,0,0,0,0,500,1,0,0,0,0,0,0,1,0,0,0,0,2,852,0,2,854,0
155,237,118,33,1,0,0,0,1,1,345,0,1,0,0,0,0,1,0,0,0,0,0,2,740,0,5,745,0
156,267,129,44,1,1,0,0,0,2,383,0,0,0,0,1,4,0,0,0,1,0,0,2,835,0,3,838,0
157,199,97,33,1,0,0,0,0,3,309,0,1,0,0,1,0,1,0,0,0,0,0,1,646,0,3,649,0
158,169,108,36,0,4,0,0,1,1,282,0,0,1,0,1,0,1,0,0,0,0,0,2,606,0,4,610,0
159,119,47,33,0,0,0,2,0,0,364,1,0,0,0,0,0,0,0,0,0,0,0,0,566,0,1,567,0
160,187,107,45,0,0,0,1,1,0,346,2,0,0,0,0,0,0,1,0,0,0,0,3,693,0,0,693,0
161,199,98,27,0,0,0,0,1,2,264,0,0,1,0,0,0,1,0,1,0,0,0,0,594,0,1,595,0
162,189,119,36,0,0,0,1,1,2,343,0,0,1,0,0,1,0,0,1,0,0,0,3,697,0,2,699,0
163,189,86,22,0,0,0,1,0,1,366,0,0,0,0,0,0,3,0,0,0,0,0,3,671,0,1,672,0
164,216,72,21,0,0,0,1,0,1,222,0,0,0,0,0,0,1,0,0,0,0,0,0,534,0,1,535,0
165,165,123,19,1,0,0,0,1,0,278,0,0,0,0,1,0,0,0,1,1,0,0,8,598,0,1,599,0
166,192,130,21,0,0,0,0,3,1,306,0,1,0,0,1,0,2,0,0,0,0,0,2,659,0,3,662,0
167,220,133,46,1,0,0,1,1,1,425,0,0,0,0,0,0,0,0,0,0,0,0,3,831,0,5,836,0
168,189,91,39,0,0,0,0,0,0,287,0,0,1,0,0,0,0,3,0,0,0,0,6,616,0,1,617,0
169,195,79,50,1,0,1,0,2,1,438,2,0,0,0,0,0,1,0,0,2,0,0,4,776,0,0,776,1
170,159,87,27,0,0,0,0,1,0,337,0,0,0,0,1,0,0,0,0,1,0,2,7,622,0,6,628,0
171,171,90,43,0,0,0,0,0,1,387,0,0,0,0,1,1,0,0,0,0,0,0,3,697,0,2,699,0
172,214,135,22,1,0,0,0,0,1,312,0,0,0,0,0,1,1,0,0,0,0,0,0,687,0,1,688,0
173,188,132,38,0,1,0,1,0,1,346,0,0,1,1,0,1,2,0,0,0,0,0,5,717,0,3,720,0
174,170,87,18,0,0,0,3,0,1,193,0,0,0,0,0,0,1,0,0,0,0,0,2,475,0,4,479,0
175,180,80,16,2,0,0,2,1,0,261,1,0,0,0,0,2,1,1,0,1,0,0,2,550,0,0,550,0
176,249,148,26,0,0,0,0,1,0,299,0,0,0,0,0,2,0,1,0,0,0,0,0,726,0,2,728,1
177,225,111,37,0,0,0,1,0,2,455,0,0,0,0,0,0,0,0,0,0,0,0,5,836,0,3,839,0
178,197,93,21,1,0,0,0,0,0,350,0,0,0,0,0,4,1,1,0,0,0,0,3,671,0,2,673,0
179,197,174,32,2,0,0,0,0,2,293,0,0,0,0,1,1,0,0,0,0,0,0,4,706,0,2,708,0
180,305,143,23,0,0,0,0,0,0,291,1,0,0,0,0,0,1,0,0,0,0,0,3,767,0,0,767,1
181,180,84,27,0,0,0,0,0,0,319,0,0,0,0,1,1,0,1,0,0,0,0,0,613,0,1,614,0
182,204,103,29,1,0,0,0,1,0,433,0,0,0,1,0,0,1,0,0,0,0,0,1,774,0,2,776,0
183,151,83,22,0,0,0,1,0,1,296,0,0,0,0,0,1,0,0,0,0,0,0,6,561,0,1,562,0
184,188,94,24,0,0,0,0,0,1,306,0,0,1,0,1,0,0,0,0,1,0,0,1,617,0,1,618,0
185,141,87,30,1,0,0,0,0,1,317,0,0,0,0,0,0,1,0,0,0,0,0,3,581,0,2,583,0
186,294,67,38,0,0,0,0,0,0,417,0,0,0,0,0,0,1,0,0,0,0,0,3,820,0,0,820,0
187,189,111,28,0,0,0,0,0,1,375,0,0,0,0,0,0,1,0,0,0,0,0,2,707,0,7,714,0
