Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
103,138,17,184,2,2,305,1,2,1,0,0,0,0,1,0,2,0,0,1,0,656,0,1,657,0
104,162,27,208,0,0,403,1,0,0,0,0,1,0,1,1,2,0,0,0,0,806,0,1,807,0
105,225,31,270,1,2,473,4,0,0,1,2,0,0,0,0,0,0,0,0,0,1009,0,1,1010,0
106,77,15,186,0,3,296,1,1,0,0,0,0,1,0,0,1,1,0,0,0,582,0,0,582,0
107,183,21,216,0,0,464,1,0,1,0,0,0,0,0,0,0,1,1,1,0,889,0,4,893,0
108,112,20,132,2,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,1,527,0
109,308,52,157,1,0,194,0,1,1,0,0,0,0,0,0,0,2,0,0,0,716,0,5,721,0
110,201,60,122,0,1,208,0,0,1,0,0,0,0,0,0,1,0,0,0,0,594,0,0,594,0
111,297,19,181,1,1,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,1,808,0
112,218,20,265,2,0,287,0,0,0,1,1,0,0,0,0,0,2,0,0,0,796,0,2,798,0
113,291,33,272,1,1,377,2,0,0,0,0,0,0,0,0,1,1,0,0,1,980,0,2,982,0
114,266,18,228,1,0,264,1,1,0,0,0,1,0,0,0,0,0,0,0,0,780,0,2,782,0
115,249,14,265,1,1,297,0,0,0,1,1,0,0,0,0,1,2,0,0,0,832,0,5,837,0
116,188,19,249,0,1,251,2,0,0,0,0,0,0,0,1,0,1,0,1,1,714,0,2,716,0
117,183,2,101,0,1,110,2,0,0,4,0,0,0,0,0,1,0,0,0,0,404,0,0,404,0
118,225,17,235,1,1,256,1,1,0,0,0,0,0,1,0,1,1,0,0,0,740,0,0,740,0
119,292,17,219,0,1,247,2,0,0,0,0,1,0,0,0,0,2,0,0,1,782,0,1,783,0
120,241,21,342,3,2,441,2,0,0,1,0,1,1,0,0,3,2,3,2,0,1065,0,0,1065,0
