Polling Station No,UDHAYAKUMAR.R.B,MANIMARAN.M,MUNISH.N,ALAGAR.A,KALAISELVI.R,SATHISHKUMAR.N,JEEVITHA NACHIYAR.B,AYYANAN.P,GIRISHKUMAR.A,SAKKARAVARTHY.P,NAGOOR.M,BHARATH.M,MUTHURAJA.M,MURUGAN.S,VENGATESWARAN.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
182,259,179,43,1,1,142,8,1,0,0,0,0,1,1,0,636,0,1,637,0
183,325,414,39,0,1,216,7,0,0,0,0,7,1,1,0,1011,0,5,1016,0
184,134,133,20,0,0,123,1,0,0,0,0,0,0,1,2,414,0,0,414,0
185,154,224,49,0,1,97,21,0,0,1,3,0,1,0,2,553,0,3,556,0
186,155,232,31,1,2,121,32,0,0,0,0,0,1,4,5,584,0,5,589,0
187,340,337,40,0,3,149,23,0,0,0,1,1,0,6,2,902,0,4,906,0
188,279,293,44,0,1,200,14,0,0,0,0,3,0,0,1,835,0,2,837,0
189,433,308,63,0,0,187,26,0,0,0,0,1,1,8,2,1029,0,8,1037,0
190,228,139,46,0,1,125,7,0,0,0,0,0,0,0,1,547,0,4,551,0
191,331,213,49,1,1,152,11,0,0,0,0,0,1,1,2,762,0,15,777,0
192,142,95,84,0,1,115,24,0,0,0,0,0,0,1,0,462,0,1,463,0
193,147,159,99,2,2,127,16,1,0,0,0,0,0,2,3,558,0,1,559,0
194,136,110,84,2,2,82,94,2,2,1,0,3,2,1,4,525,0,2,527,0
195,187,253,55,2,3,287,15,0,2,0,1,2,3,1,4,815,0,5,820,0
196,133,217,62,1,0,264,10,0,0,0,0,0,0,4,1,692,0,5,697,0
197,275,211,68,1,3,296,21,0,1,2,1,4,0,2,0,885,0,10,895,0
198,353,304,51,0,0,142,87,1,0,0,1,0,0,2,2,943,0,1,944,0
199,101,175,38,0,0,163,10,0,0,0,0,2,0,0,3,492,0,3,495,0
200,112,231,26,0,2,132,15,1,0,0,1,3,0,3,4,530,0,3,533,0
201,283,171,42,5,0,161,3,1,1,1,1,0,0,1,1,671,0,4,675,0
202,264,127,32,1,0,154,0,0,0,0,0,1,0,0,0,579,0,2,581,0
203,126,127,11,0,0,118,0,0,0,0,0,8,0,0,0,390,0,1,391,0
204,274,199,68,0,0,131,35,0,0,0,1,3,0,1,1,713,0,3,716,0
205,407,258,21,0,2,195,5,0,0,0,0,16,0,1,0,905,0,3,908,0
206,239,254,18,0,0,148,4,1,0,0,1,6,0,0,3,674,0,0,674,0
207,233,282,52,0,1,125,6,2,0,1,1,0,0,1,1,705,0,5,710,0
208,141,169,49,1,0,104,1,0,0,0,0,0,1,1,0,467,0,0,467,0
209,139,213,41,0,1,108,8,0,0,0,0,0,0,11,1,522,0,3,525,0
210,139,231,26,0,2,91,4,0,0,0,0,0,0,0,3,496,0,2,498,0
211,228,433,46,1,0,150,7,0,1,0,0,0,0,1,1,868,0,2,870,0
212,114,149,17,0,1,142,1,0,0,0,0,0,0,1,0,425,0,2,427,0
213,122,337,47,0,0,208,1,1,1,0,0,0,0,7,2,726,0,2,728,0
214,184,169,29,0,0,124,28,0,0,0,0,0,0,0,3,537,0,3,540,0
215,154,206,47,1,0,76,29,1,0,0,1,0,0,0,3,518,0,2,520,0
216,182,245,21,0,0,98,28,0,0,0,0,0,0,1,0,575,0,1,576,0
217,177,205,22,0,1,127,18,0,0,0,1,0,0,1,0,552,0,3,555,0
218,161,170,17,0,0,56,5,0,0,0,1,0,0,1,0,411,0,3,414,0
219,249,327,20,0,0,111,9,0,0,0,0,1,0,1,2,720,0,1,721,0
220,334,344,21,0,0,222,30,0,0,0,1,2,0,1,4,959,0,5,964,0
221,208,258,11,2,103,0,0,0,0,0,0,0,0,0,2,584,0,0,584,0
222,156,194,32,0,1,139,2,0,0,0,0,0,0,0,0,524,0,4,528,0
223,194,205,33,2,3,190,1,1,0,0,1,0,0,1,1,632,0,7,639,0
224,220,459,14,1,1,143,3,0,0,0,0,3,0,1,5,850,0,3,853,0
225,174,169,14,0,1,122,0,0,0,1,0,0,0,0,2,483,0,3,486,0
226,121,216,26,2,3,209,7,0,0,0,0,0,0,0,0,584,0,2,586,0
227,127,206,37,0,0,160,4,0,0,0,0,1,1,0,1,537,0,4,541,0
228,275,253,28,0,2,101,5,0,0,0,0,1,0,0,0,665,0,3,668,0
229,221,300,25,0,0,238,6,0,0,2,0,0,0,1,3,796,0,5,801,0
230,166,256,26,0,0,100,7,0,0,0,0,0,0,2,3,560,0,0,560,0
231,98,286,3,0,1,122,2,0,0,0,0,2,0,0,1,515,0,3,518,0
232,214,390,22,0,1,292,1,0,1,0,0,1,1,2,2,927,0,8,935,0
233,172,303,16,2,4,171,3,3,2,0,0,0,0,0,3,679,0,2,681,0
234,308,410,36,0,0,203,3,0,1,0,0,0,0,1,2,964,0,3,967,0
235,182,412,32,1,0,108,2,0,0,0,0,0,0,0,3,740,0,1,741,0
236,163,316,12,0,1,66,6,0,0,0,0,0,0,0,2,566,0,4,570,0
237,237,261,35,0,0,127,6,0,0,0,0,4,0,0,2,672,0,7,679,0
238,89,189,25,0,0,75,0,0,0,0,0,0,0,0,1,379,0,3,382,0
239,222,310,14,0,0,180,1,0,0,0,0,3,0,0,0,730,0,2,732,0
240,149,213,20,0,0,144,1,0,0,0,0,0,0,0,0,527,0,1,528,0
241,154,227,12,0,1,157,4,0,0,0,0,0,0,0,0,555,0,0,555,0
242,203,239,11,1,0,148,1,1,0,0,2,0,0,0,1,607,0,0,607,0
243,276,364,25,1,0,218,0,0,0,0,1,1,1,0,1,888,0,0,888,0
244,200,342,18,0,0,156,0,0,0,1,0,0,0,1,7,725,0,0,725,0
245,258,327,44,1,0,200,0,0,0,0,0,2,0,1,0,833,0,4,837,0
246,158,290,44,0,1,152,2,0,0,1,0,1,0,0,1,650,0,1,651,0
247,231,391,76,3,0,214,1,0,0,0,0,0,0,0,3,919,0,0,919,0
248,313,285,54,0,0,275,11,0,0,1,1,0,1,1,3,945,0,4,949,0
249,149,413,38,0,1,238,4,0,0,0,0,2,0,0,1,846,0,1,847,0
250,182,403,38,0,1,243,1,0,0,0,0,0,1,0,1,870,0,2,872,0
251,205,326,32,0,1,232,0,0,0,0,0,1,0,0,0,797,0,6,803,0
252,156,283,43,0,0,234,4,0,0,0,0,0,0,0,1,721,0,2,723,0
253,63,123,4,0,0,65,0,0,0,0,0,0,1,0,0,256,0,2,258,0
254,170,324,48,0,1,301,1,0,0,0,0,1,0,0,1,847,0,5,852,0
255,133,202,20,0,0,174,1,0,0,0,0,2,0,0,1,533,0,2,535,0
256,84,148,17,0,0,112,0,0,0,0,0,0,1,0,0,362,0,0,362,0
257,187,313,17,0,0,135,1,0,1,0,0,0,0,0,0,654,0,3,657,0
258,107,284,26,0,0,229,0,0,0,0,0,0,0,0,1,647,0,7,654,0
259,179,386,13,0,0,102,12,1,0,0,0,2,0,0,0,695,0,0,695,0
260,84,343,15,1,0,104,3,0,0,0,0,0,0,1,2,553,0,2,555,0
261,136,221,36,0,1,161,3,0,0,0,1,0,0,0,0,559,0,2,561,0
262,155,222,30,2,1,119,1,0,1,0,0,0,1,0,2,534,0,2,536,0
263,268,270,24,0,0,108,2,0,0,0,0,0,0,0,0,672,0,4,676,0
264,161,135,10,0,0,110,4,1,0,0,0,0,0,1,0,422,0,0,422,0
265,159,185,19,0,1,85,0,1,0,0,0,0,0,0,0,450,0,0,450,0
266,171,264,7,1,1,112,1,0,1,1,0,14,2,0,6,581,0,4,585,0
267,205,203,16,0,0,102,1,0,0,0,0,1,0,0,1,529,0,2,531,0
268,145,260,43,0,0,131,3,1,0,0,0,0,0,0,0,583,0,0,583,0
269,315,257,26,0,0,113,0,0,0,0,0,0,1,1,2,715,0,6,721,0
270,209,198,52,1,3,246,5,0,1,0,0,1,1,0,3,720,0,6,726,0
271,60,86,14,0,0,92,1,0,0,0,0,0,0,0,1,254,0,0,254,0
272,79,145,19,0,3,199,1,0,0,0,0,0,0,0,0,446,0,0,446,0
273,281,283,70,0,0,184,4,0,0,0,0,1,0,2,6,831,0,4,835,0
