Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
106,106,1,15,147,114,0,0,0,0,1,313,2,0,1,1,2,0,0,0,2,2,0,601,0,4,605,0
107,107,1,20,173,129,0,1,0,0,0,258,0,0,1,0,0,2,0,0,0,0,0,585,0,0,585,0
108,108,0,14,190,111,2,0,0,0,1,365,3,2,0,0,1,0,0,1,0,0,0,690,0,1,691,0
109,109,0,21,175,121,0,0,0,0,0,359,1,3,1,0,1,0,1,0,1,0,0,684,0,3,687,0
110,110,0,28,198,164,0,0,0,0,2,341,1,0,0,0,0,1,0,0,0,1,0,736,0,3,739,0
111,111,1,22,191,137,0,0,0,0,2,389,0,0,0,0,0,1,0,0,1,0,0,744,0,4,748,0
112,112,0,12,217,128,0,0,0,0,1,262,0,2,0,0,1,0,0,0,1,1,1,626,0,2,628,0
113,113,1,32,133,174,0,0,1,0,1,319,2,2,0,0,0,0,1,0,0,0,1,667,0,4,671,0
114,114,1,28,172,198,1,0,3,0,0,383,0,0,1,0,0,0,1,0,0,1,1,790,0,2,792,0
115,115,0,22,114,308,2,0,3,0,1,281,2,0,0,1,0,0,0,0,0,2,0,736,0,4,740,0
116,116,1,16,108,121,1,1,0,1,1,319,1,0,0,0,0,0,2,2,0,0,0,574,0,2,576,0
117,117,0,15,91,146,2,0,1,1,4,386,2,1,0,0,0,0,1,0,0,4,0,654,0,0,654,0
118,118,1,13,109,90,0,0,0,0,2,169,1,0,0,1,0,0,0,0,0,0,0,386,0,3,389,0
119,119,1,29,131,171,0,1,0,1,1,306,0,1,0,0,0,0,0,0,1,4,1,648,0,1,649,0
120,120,2,17,175,153,1,0,1,0,0,323,2,0,0,0,0,0,0,0,0,0,0,674,0,2,676,0
121,121,0,29,145,203,0,0,2,2,1,310,0,2,0,0,0,1,0,1,2,2,0,700,0,4,704,0
122,122,0,35,149,129,0,1,2,0,0,321,3,1,0,0,0,0,0,0,0,0,0,641,0,6,647,0
123,123,1,14,116,145,2,0,0,0,0,227,1,0,0,0,0,0,0,0,0,0,0,506,0,1,507,0
124,124,0,15,109,123,0,0,6,0,1,263,1,1,0,1,1,0,0,0,1,1,0,523,0,4,527,0
125,125,1,20,143,196,1,0,0,0,1,301,1,0,0,0,1,1,0,0,0,0,0,666,0,0,666,0
126,126,0,32,167,153,0,1,0,1,0,388,1,0,0,0,1,0,0,1,2,1,0,748,0,3,751,0
127,127,0,23,148,148,0,0,0,0,0,261,2,0,0,0,0,1,0,0,3,0,0,586,0,8,594,0
128,128,1,26,110,207,0,0,0,0,0,300,0,0,1,1,0,0,0,0,0,0,0,646,0,10,656,0
129,129,1,23,133,229,1,2,0,0,1,343,1,1,0,1,0,0,1,0,0,0,0,737,0,3,740,0
130,130,0,38,151,182,1,0,0,1,3,448,2,2,0,1,0,1,0,0,0,1,0,831,0,1,832,0
131,131,2,45,189,241,2,0,0,0,5,591,0,1,0,0,0,1,0,1,0,0,0,1078,0,3,1081,0
132,132,0,26,150,163,0,0,0,0,1,393,4,0,0,0,1,1,0,0,1,2,0,742,0,3,745,0
133,133,2,19,119,161,0,0,0,1,0,157,0,1,0,0,0,0,0,0,0,0,0,460,0,6,466,0
134,134,0,20,210,223,1,0,0,1,0,451,0,0,0,0,0,0,1,0,1,1,0,909,0,5,914,0
135,135,1,15,205,96,1,1,2,0,2,267,1,0,0,1,0,1,0,0,0,7,0,600,0,2,602,0
136,136,2,33,163,258,0,0,1,1,1,279,1,0,0,0,0,0,0,0,2,0,0,741,0,4,745,0
137,137,1,22,213,205,0,0,0,1,1,442,5,0,3,2,1,1,0,1,0,0,0,898,0,2,900,0
138,138,1,23,94,221,0,0,0,0,0,174,0,0,0,0,1,0,0,0,1,1,0,516,0,8,524,0
139,139,2,12,77,200,0,0,0,1,0,129,0,0,0,0,2,1,0,0,0,0,0,424,0,3,427,0
140,140,0,15,162,111,0,0,0,1,2,282,0,1,0,0,0,0,0,0,1,0,0,575,0,3,578,0
141,141,0,28,205,182,1,0,1,0,0,354,0,0,1,1,0,0,0,0,0,0,0,773,0,4,777,0
142,142,0,9,97,221,0,0,1,0,1,231,0,1,1,0,2,1,0,0,1,1,0,567,0,3,570,0
143,143,1,22,107,228,0,2,0,0,0,297,1,1,0,2,1,1,0,0,0,1,0,664,0,3,667,0
144,144,1,9,63,227,0,0,0,0,0,197,3,0,0,0,2,1,0,0,0,1,0,504,0,3,507,0
145,145,1,13,87,264,0,0,0,1,1,204,1,0,0,1,0,0,0,0,0,0,0,573,0,5,578,0
146,146,0,14,94,225,1,0,0,0,1,213,3,1,0,0,1,1,0,0,0,0,0,554,0,4,558,0
147,147,0,18,108,286,0,0,0,0,1,206,0,0,0,0,0,0,1,0,0,0,0,620,0,12,632,0
148,148,0,21,172,171,0,0,0,0,0,292,5,0,2,0,2,0,0,0,0,1,0,666,0,1,667,0
149,149,1,24,181,135,0,0,1,0,0,303,0,1,0,0,0,3,0,0,1,0,0,650,0,3,653,0
150,150,1,25,174,229,0,1,0,0,1,280,2,0,0,0,0,1,0,0,0,0,0,714,0,5,719,0
151,151,0,30,106,183,0,0,0,0,0,189,1,2,0,0,0,0,0,0,0,1,0,512,0,6,518,0
152,152,1,27,82,119,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,341,0,6,347,0
153,153,1,22,73,196,1,0,0,0,0,200,1,1,0,0,0,0,0,0,0,0,0,495,0,6,501,0
154,154,1,32,122,158,0,1,0,1,0,239,1,5,0,0,1,0,0,0,0,0,0,561,0,4,565,0
155,155,0,26,121,109,0,0,0,0,0,204,2,0,1,1,1,0,0,0,0,0,0,465,0,4,469,0
156,156,0,13,93,67,1,1,0,0,2,179,0,1,0,1,0,0,0,0,0,0,0,358,0,7,365,0
157,157,0,32,149,208,2,0,0,1,1,391,2,1,0,1,2,1,0,0,0,0,0,791,0,9,800,0
158,158,1,47,210,228,2,0,1,1,2,386,0,0,0,0,0,0,1,0,0,5,0,884,0,1,885,0
159,159,0,35,139,259,1,0,0,0,1,438,2,0,0,0,1,0,0,0,0,1,0,877,0,2,879,0
160,160,0,40,201,219,0,0,0,1,1,317,1,2,0,0,0,0,0,0,0,2,1,785,0,8,793,0
