Polling Station No,KAVITHADHANDAPANI,SASIREKHA K,SIVAKUMAR V C,VEERAMANI K.C.,KALASTHIRI S,KRISHNAMOORTHY D,SANKAR T.K,SASI REKA Y,SENTHAMILSELVAN M,MUNISAMY C,KAVITHA C,KAVITHA T,KAMATCHI S,CHENRAYAN A,CHENNA KESAVAN C,THANGARAJ P,PRIYA K,MOHANRAJ R,VEERAMANI H,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
180,166,18,1,159,0,0,0,1,1,138,0,1,0,1,2,3,0,0,0,491,0,1,492,0
181,186,18,0,124,1,0,0,2,1,227,0,1,0,0,0,1,1,0,0,562,0,1,563,0
182,177,9,1,125,0,0,0,0,0,159,0,0,0,0,0,0,0,0,1,472,0,2,474,0
183,234,24,2,246,1,0,0,0,6,304,2,0,1,0,0,2,1,0,0,823,0,2,825,0
184,180,30,3,221,2,0,0,0,2,278,1,0,1,0,1,0,1,0,0,720,0,1,721,0
185,128,18,1,186,1,0,0,0,1,153,1,1,0,0,1,0,0,0,2,493,0,2,495,0
186,226,29,1,323,1,1,1,2,2,284,0,0,1,0,0,0,4,1,0,876,0,4,880,0
187,185,22,0,165,0,0,0,0,0,163,0,0,1,0,0,2,1,0,1,540,0,1,541,0
188,329,24,2,379,3,2,0,2,2,216,1,0,1,0,2,3,0,0,1,967,0,2,969,0
189,178,13,0,223,2,1,0,0,0,173,2,0,0,0,0,0,1,0,0,593,0,2,595,0
190,273,28,4,355,4,0,0,0,1,198,0,0,0,0,2,0,4,2,0,871,0,7,878,0
191,188,28,0,217,1,0,0,1,0,167,0,0,0,0,1,2,3,0,0,608,0,2,610,0
192,159,29,0,277,3,0,2,1,2,199,0,3,0,0,0,0,4,0,0,679,0,2,681,0
193,285,26,2,349,1,0,0,1,1,243,0,0,0,0,1,0,1,0,0,910,0,3,913,0
194,257,12,1,175,0,0,0,1,2,139,1,0,0,0,1,0,1,0,0,590,0,1,591,0
195,209,20,0,337,0,0,0,1,2,168,0,0,1,0,0,1,2,0,1,742,0,4,746,0
196,297,20,1,237,2,1,1,1,0,253,0,0,0,2,4,2,3,1,0,825,0,5,830,0
197,220,29,0,265,0,0,0,1,0,210,1,0,2,1,0,0,0,0,0,729,0,1,730,0
198,179,18,0,219,1,1,0,0,1,173,0,0,0,1,1,1,1,0,0,596,0,3,599,0
199,202,16,0,137,1,0,0,0,2,153,0,0,0,0,0,3,2,0,1,517,0,2,519,0
200,206,18,1,152,0,0,0,0,0,75,0,0,1,0,2,1,2,0,0,458,0,1,459,0
201,207,27,0,142,1,0,0,0,2,164,0,0,0,0,2,2,1,0,0,548,0,2,550,0
202,180,32,0,216,0,0,0,0,1,195,3,0,1,1,3,1,1,0,0,634,0,1,635,0
203,190,36,1,387,3,0,0,1,4,353,2,0,0,0,1,1,2,1,3,985,0,2,987,0
204,186,18,0,425,1,0,2,2,1,255,1,0,1,0,1,1,1,0,1,896,0,4,900,0
205,226,30,3,353,1,0,1,1,1,359,2,1,1,0,0,3,3,0,0,985,0,1,986,0
206,161,32,2,335,3,0,0,1,2,157,0,0,0,0,1,0,1,0,1,696,0,0,696,0
207,321,19,1,181,0,0,0,3,1,236,0,0,0,0,1,1,3,0,0,767,0,2,769,0
208,289,24,0,337,1,0,0,1,0,183,0,1,0,0,0,3,1,0,0,840,0,4,844,0
209,76,9,0,421,1,0,0,0,0,102,0,0,2,0,0,0,1,0,0,612,0,1,613,0
210,283,29,4,430,1,0,0,2,2,280,1,1,1,0,4,2,7,0,4,1051,0,5,1056,0
211,230,37,1,401,0,0,0,0,1,356,2,0,1,1,1,2,0,0,1,1034,0,0,1034,0
212,286,18,3,388,0,0,1,1,1,243,0,0,0,0,0,0,2,0,0,943,0,1,944,0
213,72,1,0,107,2,0,0,0,0,71,0,1,0,0,0,1,1,0,0,256,0,1,257,0
214,201,17,4,483,1,1,1,1,2,139,0,0,0,0,0,0,4,0,2,856,0,3,859,0
215,137,16,1,450,4,0,0,0,0,163,0,0,0,2,0,3,2,0,0,778,0,4,782,0
216,293,24,0,301,3,1,0,0,2,266,1,0,0,0,1,2,4,3,0,901,0,3,904,0
217,146,11,2,181,1,0,1,2,2,159,0,0,0,0,1,1,0,1,0,508,0,2,510,0
218,191,18,0,236,1,0,1,0,3,164,0,0,0,0,0,2,0,2,0,618,0,3,621,0
219,234,26,1,386,2,0,0,2,0,189,3,0,1,0,1,0,1,0,0,846,0,0,846,0
220,161,11,1,275,1,0,0,1,1,147,0,0,0,0,0,1,2,0,1,602,0,2,604,0
221,270,24,2,371,2,0,0,3,2,253,0,0,0,2,0,0,2,0,1,932,0,4,936,0
222,188,26,2,418,0,0,1,0,0,181,0,0,0,0,0,0,0,0,0,816,0,3,819,0
223,315,14,0,389,1,0,0,4,0,156,1,1,0,0,0,1,1,0,0,883,0,2,885,0
224,173,21,1,317,0,0,1,0,1,156,1,0,0,0,0,0,0,0,0,671,0,4,675,0
225,153,11,0,336,0,0,2,1,2,150,0,0,0,0,1,0,3,0,0,659,0,3,662,0
226,226,20,0,245,2,0,0,0,0,98,1,1,0,0,2,0,4,1,0,600,0,5,605,0
227,233,15,2,207,1,1,1,0,1,94,2,0,0,0,0,0,0,0,0,557,0,0,557,0
228,249,31,2,354,1,0,0,0,2,204,0,0,0,0,1,1,2,0,1,848,0,1,849,0
229,353,38,2,366,0,1,1,0,0,155,0,1,0,2,1,0,4,0,1,925,0,4,929,0
230,282,15,2,354,1,0,1,1,1,249,0,1,1,0,0,0,1,0,0,909,0,1,910,0
231,183,10,1,389,3,0,0,1,1,86,0,1,0,0,0,0,0,0,0,675,0,6,681,0
232,327,15,0,413,0,0,0,1,0,216,1,0,0,0,0,2,0,0,2,977,0,1,978,0
233,237,30,2,424,1,0,1,1,1,230,0,0,0,0,1,4,0,1,0,933,0,0,933,0
234,324,34,2,252,1,0,4,0,1,310,2,0,0,0,0,1,4,0,0,935,0,0,935,0
235,346,6,1,264,1,0,0,2,0,201,1,0,0,0,1,2,4,0,0,829,0,6,835,0
236,234,14,0,242,0,0,0,0,0,191,1,0,0,0,0,1,0,0,0,683,0,4,687,0
237,167,15,1,185,2,0,0,2,1,128,0,0,1,0,1,1,0,1,0,505,0,0,505,0
238,173,14,0,263,1,0,0,0,0,182,0,0,1,0,0,0,1,0,0,635,0,0,635,0
239,211,12,1,283,0,0,0,3,3,156,0,0,0,0,1,0,6,0,0,676,0,0,676,0
240,149,12,0,152,1,2,2,3,2,264,0,1,0,0,0,1,1,0,0,590,0,5,595,0
241,178,7,2,174,4,1,0,0,2,180,0,0,1,0,0,3,2,0,0,554,0,2,556,0
