Polling Station No,Polling,C .NASAVINEERS,.RAMUKLIHTNES P.I,S .ISARAHTUM,NANHSIRK S .IALLIP IPOG,B.HTEERAB KIEHS,G .AJAR REEZAN,M .PEEDARP,P .RAVEHTUMAR,M .UBAB SINA,J .SSAD AIKCORA,R .ILA RAMU,.LAMUREP HSENAG D,R .MAGEMRAK,M .AYNARAS,P .NASAVINEES,IHTINAYAHDAVLES M .,N .JARAGAN,S .UBAB,M .NAPPAYINUM,G .NARDNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
249,249,163,316,15,0,1,253,0,1,1,0,0,0,0,0,2,1,1,0,0,0,754,0,3,757,0
250,250,167,320,19,0,4,379,2,0,0,0,1,0,1,0,1,1,2,2,0,0,899,0,8,907,0
251,251,65,223,14,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,2,431,0
252,252,108,344,13,0,0,234,0,0,2,0,0,0,1,1,1,0,0,0,0,0,704,0,3,707,0
253,253,104,450,13,1,1,277,0,0,1,0,0,0,1,0,3,1,1,3,0,0,856,0,2,858,0
254,254,144,381,24,0,1,190,0,0,1,1,0,0,0,0,1,0,0,1,0,0,744,0,2,746,0
255,255,63,587,20,0,2,158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,831,0,4,835,0
256,256,145,439,14,0,2,134,1,1,0,0,1,0,0,1,0,1,0,0,0,0,739,0,1,740,0
257,257,66,554,9,0,2,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,780,0,1,781,0
258,258,145,214,11,0,1,278,1,1,0,0,0,0,0,0,3,0,0,0,0,1,655,0,4,659,0
259,259,188,253,15,1,0,372,1,2,0,1,0,0,0,1,0,1,1,0,0,1,837,0,1,838,0
260,260,236,228,27,1,2,242,1,0,0,2,0,0,0,0,3,2,1,0,0,0,745,0,3,748,0
261,261,222,288,18,0,1,393,1,0,1,0,0,0,0,0,1,1,1,0,0,0,927,0,1,928,0
262,262,126,305,18,2,0,274,0,0,0,0,0,0,0,1,0,0,1,0,0,0,727,0,3,730,0
263,263,159,197,18,1,2,325,0,0,2,0,0,0,2,0,1,1,2,0,0,0,710,0,0,710,0
264,264,206,251,25,0,2,268,0,1,0,0,1,0,0,0,0,0,0,0,0,1,755,0,7,762,0
265,265,154,420,19,0,1,215,0,1,0,0,3,0,1,0,0,0,0,2,0,0,816,0,1,817,0
266,266,146,281,19,1,1,284,0,0,0,0,0,0,0,0,1,1,0,0,0,4,738,0,1,739,0
267,267,126,206,13,0,0,197,0,0,0,0,0,0,0,0,1,1,0,0,0,0,544,0,6,550,0
268,268,133,163,22,0,0,156,0,0,0,0,2,0,0,0,1,0,0,0,0,0,477,0,2,479,0
269,269,120,183,12,0,0,163,0,0,0,1,1,0,0,0,0,0,0,1,0,0,481,0,1,482,0
270,270,198,195,27,0,0,313,1,0,0,0,0,0,1,0,1,0,1,0,0,0,737,0,4,741,0
271,271,149,192,25,0,1,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,568,0,5,573,0
272,272,143,229,28,1,0,180,0,1,1,0,0,0,0,0,0,0,1,0,0,0,584,0,2,586,0
273,273,79,207,8,0,1,159,0,0,0,0,0,0,0,0,0,0,0,2,0,0,456,0,2,458,0
274,274,104,274,25,0,0,162,0,1,0,0,0,0,0,0,1,0,0,2,0,0,569,0,1,570,0
275,275,139,281,25,0,1,219,1,0,1,0,0,0,0,2,1,0,0,0,0,0,670,0,2,672,0
276,276,245,210,40,0,0,263,0,0,1,1,0,1,1,1,2,2,1,0,0,0,768,0,6,774,0
277,277,184,209,25,0,1,284,1,1,0,0,0,1,0,0,0,0,1,0,0,0,707,0,5,712,0
278,278,176,208,32,1,1,220,0,1,0,0,0,0,0,0,0,1,0,0,0,0,640,0,3,643,0
279,279,169,188,34,0,0,264,0,0,0,0,0,1,0,1,2,0,1,1,0,0,661,0,6,667,0
280,280,214,215,44,0,0,336,0,0,0,0,0,0,2,0,0,0,2,2,0,0,815,0,1,816,0
281,281,56,278,27,0,4,214,0,1,0,1,1,1,0,0,0,0,0,1,0,0,584,0,3,587,0
282,282,93,393,38,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,5,836,0
283,283,151,197,19,0,1,255,2,1,0,0,0,0,0,1,0,0,0,0,0,0,627,0,3,630,0
284,284,224,202,23,1,1,277,1,0,0,0,0,0,0,0,1,1,1,1,0,1,734,0,1,735,0
285,285,41,404,18,0,0,211,0,0,0,0,0,0,0,0,2,0,0,1,0,0,677,0,2,679,0
286,286,128,163,19,0,0,249,0,0,1,0,1,0,0,0,0,0,0,3,0,0,564,0,3,567,0
287,287,180,184,27,0,0,270,1,1,0,0,0,0,0,1,0,1,1,0,0,0,666,0,6,672,0
288,288,195,132,17,0,1,242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,588,0,1,589,0
289,289,85,116,17,0,0,164,1,0,0,0,1,0,1,0,0,0,0,0,0,0,385,0,1,386,0
290,290,124,104,11,0,0,199,0,0,1,0,0,0,0,1,0,0,1,0,0,0,441,0,1,442,0
291,291,81,241,14,0,0,265,0,0,0,0,0,0,2,1,1,0,1,1,0,0,607,0,2,609,0
292,292,205,166,18,0,3,392,0,0,1,0,2,0,0,0,1,1,0,0,0,2,791,0,4,795,0
293,293,139,219,23,0,1,339,0,5,1,0,0,0,0,1,1,1,0,2,0,0,732,0,1,733,0
294,294,98,205,25,0,4,253,0,0,0,0,1,0,1,1,0,0,0,0,0,0,588,0,9,597,0
295,295,145,108,14,0,1,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,3,463,0
296,296,305,95,31,0,0,271,0,1,0,0,0,0,0,1,0,1,0,0,0,0,705,0,5,710,0
297,297,259,177,32,0,1,268,1,1,0,0,1,0,0,2,0,0,1,0,0,0,743,0,3,746,0
298,298,91,64,10,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,308,0
299,299,172,199,22,0,0,338,0,1,0,0,0,0,0,0,1,1,0,0,0,0,734,0,1,735,0
300,300,290,192,28,0,0,330,0,0,0,0,0,1,0,0,0,1,0,1,0,0,843,0,7,850,0
301,301,178,101,6,0,3,206,0,0,0,0,1,0,0,1,0,0,0,0,0,0,496,0,1,497,0
302,302,144,327,20,0,2,215,0,0,0,1,0,0,1,1,0,0,0,0,0,0,711,0,7,718,0
303,303,165,280,19,0,0,233,0,1,0,2,0,0,0,0,1,0,0,0,0,0,701,0,4,705,0
304,304,95,186,21,0,1,157,0,0,0,0,0,0,0,1,0,0,1,0,1,0,463,0,2,465,0
305,305,158,202,18,0,2,238,2,1,3,0,1,0,0,2,3,0,0,2,0,0,632,0,2,634,0
306,306,103,244,13,0,2,209,0,1,0,0,1,0,0,1,0,1,1,1,0,0,577,0,0,577,0
307,307,145,273,20,0,1,249,1,1,1,0,0,0,0,0,1,1,0,1,0,0,694,0,4,698,0
308,308,137,303,32,0,0,298,1,0,0,0,0,0,1,0,0,0,0,1,0,0,773,0,8,781,0
309,309,121,352,14,0,0,252,0,0,2,0,0,0,0,0,1,0,2,2,0,0,746,0,6,752,0
310,310,191,254,12,0,1,230,0,0,0,0,0,1,1,0,1,0,3,1,0,1,696,0,4,700,0
311,311,237,212,26,1,0,252,0,0,0,0,0,0,0,0,2,0,1,0,0,1,732,0,1,733,0
312,312,80,370,24,0,0,245,2,0,0,0,0,0,0,0,1,1,0,1,0,0,724,0,2,726,0
313,313,50,189,18,0,0,132,0,0,0,0,0,0,0,0,2,1,0,0,0,0,392,0,0,392,0
314,314,92,391,30,0,2,339,1,2,0,0,0,0,0,0,0,1,0,0,0,0,858,0,4,862,0
315,315,61,250,31,0,2,299,0,1,0,0,0,0,0,0,0,1,0,1,1,0,647,0,0,647,0
316,316,68,237,22,0,0,228,0,0,0,0,1,0,0,1,0,0,0,0,0,0,557,0,2,559,0
