Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
72,456,18,74,2,0,0,1,311,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,868,0,3,871,0
73,460,16,41,0,0,0,0,230,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,753,0,6,759,0
74,496,10,61,0,0,0,1,206,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,776,0,0,776,0
75,460,15,75,0,2,0,0,329,0,1,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0,1,1,1,893,0,0,893,0
76,109,2,53,0,0,0,0,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,319,0,1,320,0
77,273,27,92,1,0,1,1,266,1,0,1,4,0,0,1,2,1,1,0,0,0,0,0,1,1,1,1,0,676,0,1,677,0
78,208,29,216,0,0,0,0,467,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,2,1,1,0,0,931,0,6,937,0
79,239,19,166,2,0,1,0,353,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,0,1,0,0,789,0,3,792,0
80,248,6,88,0,0,0,1,380,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,729,0,0,729,0
81,245,20,117,0,0,0,0,487,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,873,0,1,874,0
82,174,5,131,1,0,0,2,491,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,811,0,2,813,0
83,244,21,114,0,0,1,1,288,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,671,0,4,675,0
84,154,19,140,0,0,0,0,223,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,543,0,2,545,0
85,252,19,74,4,0,0,0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,7,727,0
86,274,21,94,0,2,0,0,433,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,829,0,2,831,0
87,246,21,127,0,0,0,0,282,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,680,0,2,682,0
88,291,19,125,0,1,0,2,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,3,686,0
