Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Candidate_25,Candidate_26,Candidate_27,Candidate_28,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
199,121,52,0,17,0,1,364,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,560,0,560,0
200,150,73,1,27,0,1,348,0,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,608,0,608,0
201,96,63,1,17,0,0,313,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,497,0,497,0
202,161,75,0,40,0,0,423,0,0,2,1,0,0,0,1,1,4,1,0,0,0,0,0,1,1,0,0,1,1,712,0,712,0
203,152,106,2,30,0,0,339,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,3,1,1,1,0,0,0,643,0,643,0
204,162,103,0,25,1,0,388,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,686,0,686,0
205,168,65,1,27,0,0,318,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,584,0,584,0
206,136,111,1,21,1,0,356,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,631,0,631,0
207,175,88,0,33,0,1,376,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,1,681,0,681,0
208,130,56,0,33,0,0,334,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,558,0,558,0
209,108,54,1,29,0,0,349,2,0,1,o,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,546,0,546,0
210,140,60,2,22,0,1,333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,562,0,562,0
211,174,75,0,20,0,0,325,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,2,602,0,602,0
212,158,111,0,30,0,2,363,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,671,0,671,0
213,106,65,1,22,0,1,311,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2,514,0,514,0
214,97,66,1,21,0,0,306,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,495,0,495,0
215,152,56,0,23,0,0,252,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,4,492,0,492,0
216,153,78,0,33,0,1,258,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,530,0,530,0
217,207,142,0,32,0,0,293,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,682,0,682,0
218,124,68,0,21,0,1,216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,433,0,433,0
219,126,64,0,17,0,0,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,451,0,451,0
220,199,102,3,26,0,0,255,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,592,0,592,0
221,147,96,1,23,0,0,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,435,0,435,0
222,221,62,1,25,0,0,236,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,2,552,0,552,0
223,185,143,0,41,0,1,183,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,5,5,563,0,563,0
224,141,112,1,25,0,0,175,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,8,466,0,466,0
225,174,82,2,29,0,0,268,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,11,11,571,0,571,0
226,169,89,0,37,0,1,283,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,2,4,4,592,0,592,0
227,130,79,0,36,0,1,409,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,657,0,657,0
228,184,56,1,39,0,0,391,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,1,0,0,679,0,679,0
229,167,106,1,27,1,1,284,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,8,8,601,0,601,0
230,143,101,0,28,0,2,395,0,2,2,0,0,0,1,0,0,0,4,0,0,1,1,0,1,1,0,0,0,0,682,0,682,0
231,157,103,2,27,0,0,476,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,3,3,778,0,778,0
232,136,58,0,23,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,404,0,404,0
233,145,108,2,28,1,2,336,1,1,1,1,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,634,0,634,0
234,168,140,0,15,0,1,308,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,642,0,642,0
235,137,167,0,29,1,1,411,1,0,0,0,1,1,2,0,0,2,3,0,0,0,0,1,0,0,0,1,1,1,759,0,759,0
236,122,109,2,18,1,1,199,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,3,458,0,458,0
237,126,93,0,33,0,0,301,3,0,1,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,2,565,0,565,0
238,132,121,0,25,2,1,408,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,698,0,698,0
239,106,131,2,23,1,3,408,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,4,2,1,1,0,4,4,692,0,692,0
240,121,75,0,13,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,341,0,341,0
241,239,96,3,25,0,1,237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,604,0,604,0
242,199,86,1,34,0,0,187,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,2,515,0,515,0
243,223,79,0,32,0,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,4,612,0,612,0
244,183,73,1,18,0,1,154,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,434,0,434,0
245,232,84,0,30,0,0,208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,9,9,566,0,566,0
246,131,51,1,13,0,1,254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,454,0,454,0
247,216,52,0,20,0,0,184,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,4,479,0,479,0
248,164,91,0,38,0,0,256,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,553,0,553,0
249,127,69,0,15,0,1,215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,432,0,432,0
250,204,68,0,23,0,0,246,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,547,0,547,0
251,218,82,1,21,0,0,282,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,7,7,615,0,615,0
252,158,92,0,25,0,0,397,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,678,0,678,0
253,263,61,0,20,0,1,330,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,682,0,682,0
254,213,47,0,24,0,0,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,536,0,536,0
255,280,55,0,18,1,0,305,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,665,0,665,0
256,213,90,2,29,2,0,317,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,661,0,661,0
257,206,62,0,36,0,1,357,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,665,0,665,0
258,165,68,1,28,0,1,326,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,4,599,0,599,0
259,175,66,1,19,1,0,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,457,0,457,0
260,193,69,0,30,0,1,226,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,524,0,524,0
261,132,65,1,21,0,0,210,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,435,0,435,0
262,212,89,1,18,1,1,216,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,543,0,543,0
263,118,105,3,24,0,2,262,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,4,522,0,522,0
264,139,80,0,17,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,473,0,473,0
265,171,78,0,25,0,0,272,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,552,0,552,0
266,252,64,0,14,0,0,263,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,599,0,599,0
267,209,55,0,23,0,1,308,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,602,0,602,0
268,203,127,1,20,0,0,266,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,3,1,1,0,1,3,3,632,0,632,0
269,210,87,0,16,0,1,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,634,0,634,0
270,118,71,1,20,0,3,241,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,460,0,460,0
271,106,59,0,27,0,1,325,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,524,0,524,0
272,187,82,1,22,0,1,308,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,607,0,607,0
273,189,91,1,48,0,1,371,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,711,0,711,0
274,182,79,2,9,1,0,403,2,0,1,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,6,6,692,0,692,0
275,243,91,2,21,0,1,232,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,598,0,598,0
276,154,96,0,35,0,0,406,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,699,0,699,0
277,170,56,1,24,0,2,330,0,0,0,2,0,1,0,2,0,1,1,0,0,0,1,1,1,2,1,0,2,2,598,0,598,0
278,148,90,1,29,0,1,371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,2,646,0,646,0
279,179,75,0,37,0,0,403,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,1,2,2,707,0,707,0
280,200,88,0,32,0,0,350,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,678,0,678,0
281,174,121,0,23,0,1,335,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,661,0,661,0
282,194,123,1,32,0,0,354,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,4,4,715,0,715,0
283,203,141,0,25,0,1,245,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,6,626,0,626,0
284,191,97,0,45,0,0,332,0,5,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5,5,681,0,681,0
285,118,59,0,24,0,1,318,1,0,1,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,529,0,529,0
286,188,74,0,35,0,1,357,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,660,0,660,0
287,205,99,0,47,0,1,397,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,2,756,0,756,0
288,190,119,2,16,0,0,393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,724,0,724,0
289,213,101,1,37,0,1,455,0,0,2,0,0,0,0,0,0,2,3,0,1,0,1,0,1,0,0,1,2,2,821,0,821,0
290,187,76,0,21,1,1,334,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3,3,627,0,627,0
291,177,98,1,14,0,1,366,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,2,0,0,0,3,3,669,0,669,0
292,237,91,0,31,0,0,363,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,3,3,732,0,732,0
293,176,112,0,26,0,0,382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,700,0,700,0
294,158,72,1,29,1,1,343,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,6,617,0,617,0
295,292,113,1,28,0,1,261,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,8,8,709,0,709,0
296,167,72,0,15,0,0,362,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,2,1,1,1,1,628,0,628,0
297,219,62,0,24,1,0,314,1,0,0,0,1,0,0,1,0,3,2,0,0,0,1,2,0,0,0,0,3,3,634,0,634,0
298,125,124,2,36,0,1,243,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,5,541,0,541,0
299,170,125,0,37,0,1,303,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,641,0,641,0
300,169,122,0,38,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,584,0,584,0
301,201,87,1,38,0,2,301,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,638,0,638,0
302,200,101,0,49,0,0,250,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,5,5,613,0,613,0
303,180,88,0,29,0,0,288,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,5,595,0,595,0
304,239,125,0,25,0,3,276,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,671,0,671,0
305,118,87,0,39,0,2,457,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,707,0,707,0
306,151,57,1,37,0,0,346,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,3,3,602,0,602,0
307,222,50,1,26,0,1,314,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3,3,622,0,622,0
308,175,129,2,43,0,3,244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,603,0,603,0
309,146,89,2,30,0,0,223,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,5,5,502,0,502,0
310,160,76,0,34,0,1,419,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,3,3,699,0,699,0
311,178,94,0,27,0,1,290,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,596,0,596,0
312,207,110,0,50,0,0,255,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,4,633,0,633,0
313,319,141,0,59,0,0,228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,754,0,754,0
314,209,57,1,13,0,0,362,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,1,1,0,1,1,652,0,652,0
315,126,44,0,35,0,1,297,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,508,0,508,0
316,166,67,3,26,0,3,410,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,681,0,681,0
317,132,55,0,24,0,1,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,543,0,543,0
318,129,66,0,28,1,1,353,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,586,0,586,0
319,172,75,0,49,0,1,423,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,3,730,0,730,0
320,147,55,1,30,0,1,421,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,3,663,0,663,0
321,221,154,0,26,0,2,283,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,3,694,0,694,0
322,158,162,0,32,0,0,274,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,6,637,0,637,0
323,224,107,0,42,1,0,271,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,5,654,0,654,0
324,235,164,1,34,0,2,299,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,4,744,0,744,0
325,180,127,1,29,0,0,253,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,4,597,0,597,0
326,162,68,2,34,0,2,281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,551,0,551,0
327,242,125,1,23,1,2,320,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,721,0,721,0
328,193,118,0,34,0,2,326,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,678,0,678,0
329,139,130,1,40,0,0,379,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,7,7,702,0,702,0
330,153,90,0,31,0,0,288,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,570,0,570,0
331,196,92,1,32,0,2,293,0,0,0,0,0,2,0,0,2,0,4,0,1,1,0,1,0,1,0,0,0,0,628,0,628,0
332,194,90,3,27,0,1,334,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,5,5,662,0,662,0
333,257,86,0,41,0,3,377,1,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,775,0,775,0
334,157,81,0,34,0,0,299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,576,0,576,0
335,223,95,0,50,0,1,272,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,648,0,648,0
336,118,149,1,23,0,0,326,0,1,1,0,1,1,0,2,3,1,1,2,1,0,0,1,0,1,0,0,2,2,635,0,635,0
337,182,60,0,35,0,0,304,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,586,0,586,0
338,212,155,1,27,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,676,0,676,0
339,178,70,0,24,0,1,265,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,545,0,545,0
340,157,154,1,22,1,2,336,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,679,0,679,0
341,228,238,2,51,0,0,388,0,0,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,1,0,6,6,922,0,922,0
342,161,64,0,21,1,0,450,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,2,2,707,0,707,0
343,192,105,1,25,0,0,467,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,2,2,800,0,800,0
344,152,62,0,15,1,0,362,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,596,0,596,0
345,108,54,1,17,1,1,255,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,1,1,445,0,445,0
346,74,24,1,23,0,2,255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,380,0,380,0
347,199,46,1,47,0,4,331,1,0,0,0,0,0,1,0,1,3,1,0,0,1,0,2,0,1,0,2,2,2,643,0,643,0
348,147,51,1,34,0,0,395,1,0,0,2,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,637,0,637,0
349,117,34,0,25,1,1,345,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,532,0,532,0
350,130,68,1,11,0,3,341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,556,0,556,0
351,88,28,1,15,0,1,203,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,2,0,0,4,4,349,0,349,0
352,109,54,0,20,0,0,283,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,473,0,473,0
353,119,76,2,22,0,2,345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,569,0,569,0
354,145,70,1,18,1,0,409,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,651,0,651,0
355,110,63,1,8,0,3,283,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,472,0,472,0
356,82,52,0,12,0,1,231,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,382,0,382,0
357,125,62,0,14,0,1,318,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,1,528,0,528,0
358,91,58,2,22,0,1,246,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,426,0,426,0
359,76,47,0,12,0,0,232,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,374,0,374,0
360,89,37,1,9,0,2,276,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,423,0,423,0
361,119,70,1,23,1,1,307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,527,0,527,0
362,110,42,1,10,1,1,257,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,2,1,1,1,0,0,0,432,0,432,0
363,79,44,1,9,0,0,248,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,387,0,387,0
364,119,36,1,11,0,0,304,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,475,0,475,0
365,119,60,0,22,0,2,360,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,0,0,1,1,571,0,571,0
366,104,34,0,10,0,1,265,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,420,0,420,0
367,97,42,2,10,0,1,266,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,423,0,423,0
368,89,50,0,17,0,0,257,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,421,0,421,0
369,124,55,0,16,2,2,326,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,1,0,0,2,0,0,535,0,535,0
370,117,47,2,12,0,0,325,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,507,0
371,118,41,0,9,0,0,394,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,2,0,0,570,0,570,0
372,85,20,0,13,0,0,236,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,360,0,360,0
373,107,53,1,4,0,1,332,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,505,0,505,0
374,51,24,1,5,0,0,191,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,278,0,278,0
375,106,50,0,12,0,0,228,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,399,0,399,0
376,123,36,0,18,0,3,394,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,1,1,583,0,583,0
377,150,36,1,18,0,6,373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,587,0,587,0
378,85,31,0,15,0,1,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,386,0,386,0
379,104,33,2,4,1,0,269,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,420,0,420,0
380,111,29,1,7,0,0,224,1,1,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,2,382,0,382,0
381,98,30,0,7,0,0,234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,371,0,371,0
382,125,55,1,14,0,2,309,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,1,1,0,1,1,1,517,0,517,0
383,82,33,0,12,0,0,241,2,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,380,0,380,0
384,95,39,0,7,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,378,0,378,0
385,98,41,2,10,0,0,264,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,1,1,423,0,423,0
386,280,73,1,25,0,3,360,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,3,749,0,749,0
387,173,66,1,21,1,1,332,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,601,0,601,0
388,203,55,3,20,0,1,324,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,7,617,0,617,0
389,235,90,0,30,0,0,291,1,1,0,1,1,0,0,0,1,2,3,0,0,0,2,2,1,1,1,0,5,5,668,0,668,0
390,242,85,0,28,0,2,357,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,720,0,720,0
391,293,64,0,35,1,3,371,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,3,0,0,0,3,3,779,0,779,0
392,255,68,0,34,0,1,322,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,687,0,687,0
393,396,38,1,20,0,0,199,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,3,3,664,0,664,0
394,280,96,2,44,0,1,463,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,5,5,899,0,899,0
395,130,55,0,26,1,0,283,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,502,0,502,0
396,153,95,1,24,0,0,353,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,632,0,632,0
397,224,85,1,46,0,1,447,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,811,0,811,0
398,170,68,2,51,0,0,402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,698,0,698,0
399,181,51,1,51,1,0,387,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,2,1,3,3,685,0,685,0
400,135,58,2,39,0,1,367,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,5,0,1,0,3,1,1,618,0,618,0
