Polling Station No,Candidate_1,AYLASWOK S,AJORAS.E,NASAVINIRS.P,HTASARP NINEL.M,AYITTEVANANG LAMUREPAVIS K. N,M.RAKNASIVAR,MAKCINAMAJAR .T,AJORAS.E,AJORAS.K,AJORAS.P,MAVLES.K,G. MAVLES,AMUKHSENIHD .G R,UGAHZAHTUM .N,NARDNAHCIVAR .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
30,30,44,271,4,120,3,248,1,1,1,2,4,1,0,1,3,704,0,1,705,0
31,31,40,174,2,144,3,208,2,0,0,1,1,1,2,0,1,579,0,5,584,0
32,32,47,221,1,118,2,235,1,1,0,1,2,0,1,0,1,631,0,1,632,0
33,33,14,198,2,145,2,225,1,1,1,1,4,0,1,1,1,597,0,1,598,0
34,34,52,196,4,147,4,391,1,0,1,1,0,0,1,0,1,799,0,2,801,0
35,35,42,134,5,140,3,224,1,0,0,0,2,1,2,4,2,560,0,3,563,0
36,36,35,240,0,138,3,317,0,1,0,1,1,1,2,1,1,741,0,3,744,0
37,37,43,201,2,345,1,231,2,1,1,2,2,0,2,2,1,836,0,8,844,0
38,38,37,202,5,204,3,215,0,0,0,2,3,1,3,1,2,678,0,1,679,0
39,39,17,146,1,182,2,149,0,0,1,0,2,0,0,0,0,500,0,1,501,0
40,40,43,271,2,199,5,413,3,1,1,0,1,1,2,2,6,950,0,0,950,0
41,41,6,119,0,124,0,137,0,0,0,0,0,1,3,0,0,390,0,4,394,0
42,42,24,195,0,132,2,219,0,1,0,0,2,0,2,1,0,578,0,4,582,0
43,43,12,74,0,165,1,153,0,0,0,0,0,0,0,0,0,405,0,2,407,0
44,44,25,100,2,131,0,129,0,1,0,0,0,1,0,0,1,390,0,0,390,0
45,45,33,133,1,254,3,171,1,0,1,1,1,1,1,0,2,603,0,0,603,0
46,46,29,200,4,146,3,307,1,0,0,1,0,1,0,0,5,697,0,2,699,0
47,47,14,132,3,178,0,202,0,0,0,0,0,1,2,0,0,532,0,1,533,0
48,48,6,61,0,88,0,79,1,0,0,1,0,0,0,0,0,236,0,0,236,0
49,49,30,45,1,175,1,145,0,0,0,1,1,1,1,0,1,402,0,2,404,0
50,50,35,94,5,310,2,160,0,0,0,2,0,0,1,0,0,609,0,0,609,0
51,51,23,148,0,151,1,261,0,0,0,0,0,1,1,1,2,589,0,1,590,0
52,52,20,116,0,115,0,193,0,0,0,0,0,0,1,0,0,445,0,1,446,0
53,53,15,129,1,166,2,177,0,1,1,0,2,1,0,1,1,497,0,3,500,0
54,54,40,148,2,131,3,303,1,0,0,1,1,1,8,0,1,640,0,1,641,0
55,55,18,233,4,154,5,264,0,0,1,0,0,2,0,0,1,682,0,2,684,0
56,56,46,207,3,146,2,410,1,0,1,1,3,2,2,3,2,829,0,6,835,0
57,57,7,141,1,108,6,166,1,1,1,0,1,1,1,0,0,435,0,3,438,0
58,58,30,174,1,377,4,361,2,0,0,0,3,1,0,0,2,955,0,1,956,0
59,59,27,175,2,124,3,190,0,0,1,0,1,0,2,2,2,529,0,6,535,0
60,60,56,303,4,163,2,349,4,0,0,1,1,1,1,0,3,888,0,2,890,0
61,61,64,320,2,188,4,249,0,0,0,0,3,1,1,0,3,835,0,2,837,0
62,62,30,144,1,186,2,217,2,0,1,0,1,0,0,2,0,586,0,3,589,0
63,63,22,188,4,90,0,154,0,0,0,0,0,0,0,0,1,459,0,5,464,0
64,64,21,182,0,178,2,202,5,0,0,1,2,1,1,0,2,597,0,4,601,0
65,65,91,208,3,250,3,229,9,0,2,1,2,2,2,2,1,805,0,4,809,0
66,66,33,244,3,214,1,228,2,0,0,1,0,1,1,2,1,731,0,4,735,0
67,67,32,252,1,298,3,147,0,0,1,0,0,0,1,1,1,737,0,0,737,0
68,68,45,203,1,181,3,209,2,0,1,2,1,1,1,1,2,653,0,4,657,0
69,69,20,217,1,209,2,242,1,0,1,1,0,0,2,2,1,699,0,2,701,0
70,70,40,227,5,153,1,266,1,0,0,2,2,0,0,1,1,699,0,1,700,0
71,71,36,179,1,191,2,198,1,0,0,0,0,0,2,1,0,611,0,1,612,0
72,72,37,166,3,127,0,234,1,0,0,0,0,0,1,0,0,569,0,3,572,0
73,73,32,235,2,162,1,156,0,0,0,4,2,1,2,1,2,600,0,2,602,0
74,74,18,115,4,155,0,148,2,0,0,0,0,1,2,0,0,445,0,1,446,0
75,75,20,123,2,265,2,202,0,0,1,0,0,2,1,1,1,620,0,1,621,0
76,76,25,141,0,195,0,211,0,0,0,0,1,0,0,0,1,574,0,2,576,0
77,77,16,119,4,145,0,152,1,0,0,1,1,0,4,0,1,444,0,0,444,0
78,78,33,168,1,191,3,170,2,0,1,0,2,0,2,2,0,575,0,4,579,0
79,79,27,139,3,179,2,118,2,2,0,1,0,0,2,1,3,479,0,1,480,0
80,80,13,96,2,93,1,97,0,0,0,0,0,0,0,1,0,303,0,1,304,0
81,81,52,317,4,215,2,291,1,0,0,3,2,3,4,0,1,895,0,1,896,0
82,82,32,173,1,193,1,240,0,0,1,0,0,1,0,0,0,642,0,3,645,0
83,83,15,157,6,200,3,218,4,1,1,0,0,0,1,2,2,610,0,2,612,0
84,84,19,153,2,294,1,139,1,0,2,1,0,0,1,0,1,614,0,6,620,0
85,85,18,120,0,104,0,99,1,0,0,0,1,0,0,0,1,344,0,0,344,0
86,86,44,220,3,195,0,290,0,0,1,0,1,1,0,0,1,756,0,5,761,0
87,87,45,235,1,191,4,253,0,0,0,0,0,1,0,3,3,736,0,2,738,0
88,88,25,197,1,74,1,152,1,0,0,0,1,0,0,1,1,454,0,2,456,0
89,89,7,97,1,146,3,123,0,0,0,0,1,0,3,1,1,383,0,1,384,0
90,90,23,186,2,197,5,141,1,0,0,0,0,1,2,3,0,561,0,1,562,0
91,91,21,133,1,76,0,105,1,0,0,1,2,1,2,0,0,343,0,1,344,0
92,92,28,228,0,184,2,204,0,1,2,0,2,3,0,0,1,655,0,0,655,0
93,93,23,272,0,205,2,229,0,0,0,0,1,0,1,0,0,733,0,1,734,0
94,94,23,241,3,144,0,261,3,1,0,0,0,0,1,1,0,678,0,0,678,0
95,95,31,222,1,248,2,324,0,0,1,1,1,1,1,1,0,834,0,2,836,0
96,96,39,263,3,214,2,311,2,0,0,0,3,0,4,0,2,843,0,6,849,0
97,97,38,208,4,313,2,242,3,0,1,0,2,2,2,0,0,817,0,2,819,0
98,98,24,86,3,368,1,130,1,0,1,0,4,3,1,1,0,623,0,0,623,0
99,99,23,377,2,178,4,237,0,0,1,1,0,1,3,1,2,830,0,3,833,0
100,100,19,164,2,129,2,216,0,0,0,0,1,0,1,0,1,535,0,3,538,0
101,101,31,188,2,212,1,189,2,0,0,0,1,0,0,0,0,626,0,3,629,0
102,102,29,269,0,114,0,252,1,0,1,0,0,0,1,0,1,668,0,3,671,0
103,103,29,205,0,96,0,162,1,0,0,0,0,0,1,0,1,495,0,3,498,0
104,104,19,185,5,200,3,214,0,1,0,0,1,1,1,1,2,633,0,4,637,0
105,105,29,183,0,78,1,195,0,0,0,0,1,0,1,0,1,489,0,0,489,0
106,106,11,162,0,112,0,82,0,0,0,0,0,0,0,0,0,367,0,0,367,0
107,107,47,236,1,184,0,179,1,0,0,0,1,0,1,1,1,652,0,0,652,0
108,108,36,220,3,120,4,285,0,0,1,0,0,1,3,1,5,679,0,2,681,0
109,109,38,180,2,135,0,176,3,0,0,0,0,2,3,0,2,541,0,4,545,0
110,110,34,205,2,159,5,217,1,0,0,0,1,2,2,1,4,633,0,1,634,0
111,111,31,214,0,145,1,331,3,1,0,3,2,0,2,0,2,735,0,2,737,0
112,112,36,228,0,133,0,179,0,0,0,0,0,0,0,0,1,577,0,1,578,0
113,113,17,121,0,122,2,214,0,0,0,1,0,4,0,2,0,483,0,4,487,0
114,114,31,210,2,134,0,220,0,0,1,0,4,0,3,0,0,605,0,1,606,0
115,115,30,245,1,274,4,334,2,0,1,1,3,1,5,1,3,905,0,5,910,0
116,116,33,205,3,128,2,211,2,0,0,0,1,1,0,0,3,589,0,3,592,0
117,117,25,172,2,100,3,111,1,0,0,0,1,1,0,2,2,420,0,1,421,0
118,118,46,185,0,248,1,257,2,0,0,1,0,0,1,1,1,743,0,4,747,0
119,119,51,136,2,273,1,264,1,0,0,0,0,1,1,0,0,730,0,0,730,0
120,120,36,197,1,153,0,189,2,0,0,1,2,1,1,1,0,584,0,9,593,0
121,121,26,194,1,137,1,207,1,0,0,1,1,0,1,3,1,574,0,4,578,0
122,122,33,224,4,152,3,135,0,0,0,0,1,0,2,1,3,558,0,1,559,0
123,123,21,128,2,122,1,175,1,0,0,0,0,1,1,0,1,453,0,6,459,0
124,124,27,259,2,108,3,214,2,1,0,0,0,2,1,3,1,623,0,2,625,0
125,125,19,148,2,88,1,79,0,0,0,0,0,0,1,0,2,340,0,1,341,0
126,126,41,222,3,91,3,423,2,0,0,0,6,2,0,1,3,797,0,4,801,0
127,127,22,152,3,119,2,186,0,0,0,1,2,1,0,0,1,489,0,0,489,0
128,128,36,214,2,171,1,340,2,1,1,1,3,0,2,1,2,777,0,7,784,0
129,129,6,140,5,145,4,152,0,0,0,0,3,2,2,2,2,463,0,1,464,0
130,130,29,204,8,131,0,209,2,0,0,2,1,0,2,1,5,594,0,1,595,0
131,131,9,130,0,106,3,116,0,1,0,4,8,5,4,1,3,390,0,1,391,0
132,132,25,165,5,117,3,132,2,2,1,1,6,3,6,2,1,471,0,1,472,0
133,133,20,179,1,148,5,142,3,1,0,0,3,0,1,0,2,505,0,0,505,0
134,134,7,171,4,112,0,119,0,0,0,2,2,0,3,0,2,422,0,1,423,0
135,135,18,178,5,102,4,186,2,1,1,0,2,1,3,1,1,505,0,2,507,0
136,136,23,187,4,88,1,146,0,1,0,2,3,0,2,1,3,461,0,1,462,0
137,137,2,44,0,49,0,45,0,1,2,1,1,2,5,0,1,153,0,2,155,0
138,138,35,219,3,198,4,238,0,0,0,1,6,1,3,2,0,710,0,3,713,0
139,139,40,245,1,160,2,272,1,1,1,2,2,1,5,3,1,737,0,0,737,0
140,140,25,159,7,113,0,258,1,1,0,1,2,1,4,0,2,574,0,3,577,0
141,141,24,178,1,199,1,250,1,0,0,0,0,0,0,1,2,657,0,3,660,0
142,142,31,172,3,142,4,179,0,2,0,0,2,1,0,0,2,538,0,2,540,0
143,143,42,188,0,158,0,252,1,0,0,1,3,1,1,1,1,649,0,2,651,0
144,144,42,272,4,282,4,309,1,1,0,0,1,0,11,0,5,932,0,3,935,0
145,145,36,300,7,144,0,299,1,1,1,0,1,0,1,0,2,793,0,4,797,0
146,146,38,297,3,111,0,238,0,0,2,1,3,1,1,1,1,697,0,4,701,0
147,147,12,110,1,84,2,78,0,0,0,0,1,1,0,1,0,290,0,0,290,0
148,148,24,282,2,201,2,282,0,0,0,0,0,0,1,2,0,796,0,6,802,0
149,149,31,204,8,150,1,178,0,0,0,1,1,1,2,1,0,578,0,3,581,0
150,150,12,129,1,94,1,266,0,0,0,0,1,0,0,0,3,507,0,2,509,0
151,151,25,164,3,83,2,214,1,1,0,0,0,0,0,0,2,495,0,2,497,0
152,152,26,327,2,167,0,304,0,0,0,0,3,1,0,0,5,835,0,4,839,0
153,153,27,151,3,138,2,245,0,0,0,0,0,1,0,0,2,569,0,1,570,0
154,154,17,98,3,50,0,118,0,0,0,0,1,0,0,0,2,289,0,2,291,0
155,155,13,104,2,130,1,147,2,1,0,1,1,1,0,0,0,403,0,1,404,0
156,156,47,241,4,146,2,310,1,1,5,2,4,1,4,1,10,779,0,6,785,0
157,157,23,162,2,276,1,257,1,1,0,0,2,0,1,1,4,731,0,4,735,0
158,158,17,156,1,142,2,224,0,0,0,0,0,0,0,2,3,547,0,3,550,0
159,159,14,136,3,158,0,189,0,0,1,1,2,1,2,3,2,512,0,4,516,0
160,160,36,187,2,220,1,307,0,0,1,0,2,0,0,0,1,757,0,2,759,0
161,161,25,149,1,185,1,191,1,1,0,0,0,0,0,0,0,554,0,2,556,0
162,162,28,263,2,195,1,206,0,1,0,0,1,0,1,1,1,700,0,7,707,0
163,163,44,333,1,170,0,276,0,1,0,0,1,0,2,2,1,831,0,2,833,0
164,164,38,135,1,215,2,196,0,0,0,0,2,0,1,0,0,590,0,5,595,0
165,165,27,331,1,208,2,245,0,0,0,0,1,0,1,0,0,816,0,0,816,0
166,166,31,219,1,92,0,254,0,1,1,1,1,0,2,1,1,605,0,0,605,0
167,167,29,179,0,160,2,154,3,2,1,0,0,1,2,1,4,538,0,2,540,0
168,168,20,140,3,183,2,122,0,0,1,1,1,0,0,0,0,473,0,2,475,0
169,169,38,185,3,204,1,223,0,0,0,2,3,1,1,2,0,663,0,5,668,0
170,170,23,66,0,115,1,159,1,0,0,0,2,0,0,0,1,368,0,1,369,0
171,171,29,292,3,194,2,255,0,0,1,0,0,1,1,1,2,781,0,3,784,0
172,172,19,244,3,186,0,333,0,3,0,1,0,0,2,0,1,792,0,4,796,0
173,173,17,149,2,86,2,153,0,0,0,0,1,1,1,1,0,413,0,0,413,0
174,174,25,244,2,129,2,168,1,2,1,0,0,0,3,1,2,580,0,2,582,0
175,175,21,228,3,145,0,239,0,0,0,1,0,0,0,1,0,638,0,0,638,0
176,176,34,192,3,175,8,358,3,0,0,1,1,1,1,2,3,782,0,3,785,0
177,177,23,274,2,206,3,179,0,0,0,0,0,1,2,1,3,694,0,4,698,0
178,178,17,231,2,200,2,162,0,0,1,0,1,1,2,0,1,620,0,3,623,0
179,179,38,268,2,242,2,175,0,0,0,0,2,0,1,0,1,731,0,2,733,0
180,180,18,219,5,287,2,299,0,1,3,1,1,1,1,3,2,843,0,1,844,0
