Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
246,246,0,27,265,108,1,1,2,207,0,0,0,1,0,0,0,0,0,0,612,0,3,615,0
247,247,4,22,272,115,2,2,0,219,1,1,0,1,0,3,0,0,0,0,642,0,3,645,0
248,248,1,9,126,102,0,0,1,137,0,1,0,0,0,0,0,0,0,0,377,0,3,380,0
249,249,1,19,114,123,1,1,2,181,1,0,0,0,0,1,0,2,0,0,446,0,1,447,0
250,250,2,15,137,79,3,0,0,183,0,0,1,0,0,0,0,0,0,0,420,0,2,422,0
251,251,1,19,162,119,5,0,1,205,0,0,1,1,0,0,0,0,0,1,515,0,3,518,0
252,252,0,21,183,115,2,1,1,258,1,1,0,1,1,0,1,0,0,1,587,0,2,589,0
253,253,0,24,203,173,0,1,0,248,0,1,0,0,1,1,0,0,1,0,653,0,9,662,0
254,254,0,31,248,129,1,1,0,216,0,1,1,0,0,1,0,3,0,0,632,0,3,635,0
255,255,1,51,262,167,1,1,3,280,0,0,0,0,0,0,0,0,0,1,767,0,3,770,0
256,256,3,42,262,155,1,1,3,222,0,0,2,2,0,0,2,1,0,1,697,0,1,698,0
257,257,1,21,128,103,0,0,1,163,0,0,0,0,0,0,0,0,1,0,418,0,0,418,0
258,258,1,10,164,131,0,0,0,136,0,0,1,0,1,0,0,0,0,1,445,0,4,449,0
259,259,0,29,202,218,3,0,1,241,0,2,0,4,0,0,1,0,0,4,705,0,1,706,0
260,260,2,25,248,200,0,1,3,358,0,1,0,2,1,1,0,0,0,0,842,0,6,848,0
261,261,0,32,172,155,2,0,2,416,2,0,1,1,0,0,2,0,0,1,786,0,6,792,0
262,262,0,6,204,129,1,0,3,115,0,0,1,0,0,0,0,0,0,0,459,0,0,459,0
263,263,0,24,151,168,1,0,0,172,0,0,0,1,0,0,0,1,0,0,518,0,0,518,0
264,264,0,11,157,136,0,0,0,183,0,0,0,0,0,1,1,1,0,0,490,0,1,491,0
265,265,0,56,352,133,2,0,2,246,0,0,0,1,1,0,0,2,1,5,801,0,0,801,0
266,266,3,63,349,121,1,0,3,143,0,0,1,1,0,0,0,0,0,0,685,0,3,688,0
