Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
83,83,296,49,23,2,0,0,0,271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,642,0,1,643,0
84,84,217,76,23,0,1,0,1,239,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,561,0,0,561,0
85,85,166,61,15,0,0,0,0,268,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,514,0,2,516,0
86,86,314,74,22,0,2,0,1,193,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,611,0,3,614,0
87,87,193,76,25,1,3,0,3,243,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,547,0,0,547,0
88,88,288,84,31,0,1,0,1,328,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,2,0,0,743,0,2,745,0
89,89,331,84,29,0,0,0,0,408,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,857,0,1,858,0
90,90,330,79,16,1,1,0,3,317,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,754,0,1,755,0
91,91,269,75,30,1,0,0,0,282,1,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,2,0,667,0,5,672,0
92,92,283,72,21,0,0,1,1,291,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,676,0,4,680,0
93,93,396,80,28,0,1,2,1,361,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,875,0,3,878,0
94,94,341,70,36,0,0,0,3,412,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,1,870,0,3,873,0
95,95,369,67,28,0,0,0,0,329,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,800,0,2,802,0
96,96,348,84,35,0,0,0,0,365,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,840,0,2,842,0
97,97,363,85,36,0,1,1,1,361,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,853,0,2,855,0
98,98,285,75,14,0,1,0,2,296,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,1,1,2,685,0,2,687,0
99,99,296,67,32,0,0,1,0,296,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,697,0,0,697,0
100,100,206,68,32,0,0,3,0,321,0,0,0,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,638,0,0,638,0
101,101,259,84,24,0,0,0,1,262,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,637,0,2,639,0
102,102,328,103,36,1,0,1,0,370,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,1,0,0,846,0,2,848,0
103,103,284,179,25,0,0,0,0,391,0,0,1,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,888,0,4,892,0
104,104,214,78,18,0,1,0,1,338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,1,652,0
105,105,188,114,18,0,0,0,0,292,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,2,0,622,0,1,623,0
106,106,203,150,24,1,0,0,1,276,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,658,0
107,107,524,62,11,0,0,0,1,328,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,932,0,0,932,0
108,108,218,31,23,2,1,0,0,218,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,499,0,1,500,0
109,109,218,69,26,0,1,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,5,561,0
110,110,287,52,10,1,0,0,0,243,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,596,0,2,598,0
111,111,350,83,24,1,1,0,1,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,790,0,1,791,0
112,112,295,85,22,1,0,1,2,440,1,0,0,0,1,1,1,1,3,0,0,0,0,0,0,1,1,1,857,0,1,858,0
113,113,200,114,24,0,0,1,1,443,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,1,2,794,0,1,795,0
