Polling Station No,ISAKI PANDIAN,DR.KALAI KATHIRAVAN,S.SELVA MOHANDAS PANDIAN,P. PUSHPALATHA,GOMATHI SANKAR,R. SELVAKUMAR,S.THIRUMALAI KUMAR,M.POOSA DURAI,S.MANOGARAN,A. RAJAPRAKASH,GANESHAN. S,K.M.KALIAPPAN,R.KRISHNAN,SHAHUL HAMEED,S. THANGAPALAM,DURAIRAJ,P.NOBLE KRISHNA,G. POORANA SELVAN,M. PONNUDURAI,A.MARIAPPAN,K.MUTHU,R. RAMKUMAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
240,3,294,198,44,1,0,0,7,3,246,2,0,0,4,1,1,2,0,1,2,1,1,811,0,4,815,0
241,2,99,118,11,1,0,0,0,0,108,0,0,0,1,0,1,0,0,0,0,0,0,341,0,1,342,0
242,0,169,143,49,1,1,3,198,5,95,0,0,1,1,1,1,2,2,1,0,1,0,674,0,0,674,0
243,0,117,69,31,0,0,1,29,0,72,0,0,0,0,1,1,0,1,0,1,0,0,323,0,2,325,0
244,0,207,89,73,0,0,0,1,0,123,1,0,1,0,0,1,0,1,1,0,0,1,499,0,1,500,0
245,2,263,119,55,1,0,0,0,0,86,0,1,0,1,0,0,0,1,0,0,0,0,529,0,0,529,0
246,2,196,149,50,1,0,0,0,0,122,0,0,0,0,0,0,0,1,1,0,0,1,523,0,1,524,0
247,5,198,199,49,1,1,0,11,1,175,1,2,1,3,2,1,1,3,0,0,0,1,655,0,2,657,0
248,0,135,56,20,0,0,0,1,0,61,0,0,1,0,1,0,0,0,0,0,0,0,275,0,1,276,0
249,0,166,140,45,0,1,3,4,1,186,1,1,0,0,1,1,0,0,1,0,0,0,551,0,2,553,0
250,0,261,223,56,0,0,0,4,0,140,0,0,0,2,0,5,0,2,0,0,0,0,693,0,1,694,0
251,0,269,144,50,0,1,0,2,1,136,0,0,0,1,1,2,1,1,1,0,0,0,610,0,1,611,0
252,1,473,94,174,1,0,1,1,2,198,1,0,0,0,0,2,0,1,0,1,1,1,952,0,2,954,0
253,0,270,101,92,0,0,0,39,0,150,0,0,1,0,0,3,1,4,0,0,0,0,661,0,1,662,0
254,0,222,129,116,1,0,0,0,0,121,0,0,0,0,1,0,0,7,4,1,0,0,602,0,2,604,0
255,3,167,336,104,2,0,2,0,2,201,1,0,0,1,2,3,5,5,5,2,0,0,841,0,1,842,0
256,0,119,262,61,0,1,1,0,1,132,0,0,0,0,0,1,0,2,2,1,1,1,585,0,2,587,0
257,2,125,203,53,1,0,0,0,1,108,0,1,0,0,0,0,0,0,3,1,0,0,498,0,3,501,0
258,2,182,174,74,0,0,0,1,2,113,0,1,0,0,1,2,1,4,2,0,0,0,559,0,2,561,0
259,3,141,209,48,1,0,0,0,0,101,1,0,0,0,0,0,0,0,1,0,0,0,505,0,0,505,0
260,0,111,282,46,2,0,0,2,1,128,0,0,0,0,1,0,0,0,2,1,0,2,578,0,4,582,0
261,0,356,75,134,0,0,1,0,0,116,0,0,0,0,0,0,0,1,0,0,0,0,683,0,2,685,0
262,2,272,172,87,0,0,0,0,1,124,0,1,0,0,2,1,0,0,0,1,1,0,664,0,3,667,0
263,1,206,295,88,1,0,0,1,3,209,1,1,0,5,0,3,1,0,1,0,1,1,818,0,3,821,0
264,3,254,265,75,1,1,0,138,2,143,1,1,0,1,3,2,0,2,5,0,1,0,898,0,3,901,0
265,2,156,179,55,0,0,0,9,0,128,0,1,0,0,1,3,0,0,0,0,0,0,534,0,0,534,0
266,1,267,173,91,0,0,0,3,0,165,0,1,0,0,1,0,2,1,0,0,1,1,707,0,4,711,0
267,3,474,171,52,1,1,10,1,5,212,0,0,1,0,1,1,0,5,2,0,1,0,941,0,2,943,0
268,1,367,217,79,4,0,4,3,0,125,0,0,0,0,0,5,1,1,2,1,0,0,810,0,1,811,0
269,1,178,142,58,0,0,0,14,1,162,0,0,0,1,1,2,0,4,0,0,0,0,564,0,4,568,0
270,5,184,152,74,1,1,0,66,0,271,0,1,0,2,4,0,6,1,1,1,1,0,771,0,1,772,0
271,3,164,188,48,0,1,0,47,2,135,1,1,0,0,0,3,1,0,0,1,0,0,595,0,0,595,0
272,0,96,124,20,0,1,1,65,0,127,0,2,0,1,0,2,1,0,0,0,0,0,440,0,0,440,0
273,1,176,141,50,1,0,1,72,2,146,0,0,2,1,2,2,1,1,1,0,1,2,603,0,2,605,0
274,1,150,201,35,1,0,0,14,1,152,0,0,0,0,0,2,0,0,1,1,0,0,559,0,1,560,0
275,3,265,282,31,0,1,3,4,1,213,2,0,0,0,3,1,1,2,1,1,0,0,814,0,1,815,0
276,2,134,279,23,1,0,1,1,0,109,0,0,0,0,3,0,2,2,1,0,0,1,559,0,1,560,0
277,0,175,100,10,0,0,0,100,2,143,0,0,1,0,0,3,2,3,1,0,0,0,540,0,1,541,0
278,0,145,46,9,0,2,0,68,2,89,0,0,0,0,1,0,1,0,1,0,0,0,364,0,0,364,0
279,0,169,248,37,0,1,1,1,1,70,0,0,1,0,1,1,1,5,3,1,0,0,541,0,1,542,0
280,1,125,196,18,0,5,2,0,1,77,0,0,1,0,0,1,0,1,0,0,2,0,430,0,0,430,0
281,3,350,190,65,1,0,6,203,4,128,1,1,2,2,4,2,0,2,0,1,0,2,967,0,2,969,0
282,1,228,129,36,1,0,3,130,1,99,1,0,5,3,3,1,0,2,0,1,0,0,644,0,2,646,0
283,0,193,64,11,0,0,2,77,1,110,0,0,2,0,3,0,1,2,0,0,0,0,466,0,0,466,0
284,2,219,158,35,0,0,7,11,0,163,0,2,1,1,0,1,1,3,0,0,1,0,605,0,1,606,0
285,3,275,124,60,2,0,3,133,1,182,0,1,3,0,0,4,1,2,0,0,0,1,795,0,2,797,0
286,1,242,135,80,1,0,0,2,1,149,0,1,0,0,1,1,0,0,0,0,1,0,615,0,2,617,0
287,2,213,131,54,2,0,1,2,0,132,0,0,2,0,3,1,1,1,1,0,0,0,546,0,1,547,0
288,1,332,154,50,2,1,4,54,0,131,0,0,1,1,2,16,1,1,1,0,1,1,754,0,0,754,0
289,1,208,357,26,1,0,0,0,0,51,0,1,0,1,3,67,0,1,2,0,0,0,719,0,1,720,0
290,0,385,91,20,0,0,21,32,1,137,0,0,0,0,0,0,3,5,0,0,0,1,696,0,2,698,0
291,2,130,145,23,0,0,14,2,0,90,0,1,0,0,4,0,0,1,0,1,0,0,413,0,2,415,0
292,1,178,199,25,1,0,3,33,0,78,0,0,0,0,1,1,1,2,0,0,0,0,523,0,2,525,0
293,4,78,74,16,0,0,3,5,0,107,1,0,1,1,1,0,1,1,1,0,0,0,294,0,0,294,0
294,1,161,176,27,1,1,3,38,2,127,0,0,1,2,1,0,1,3,0,0,0,1,546,0,0,546,0
295,4,197,164,36,1,2,1,126,0,56,0,0,2,4,1,3,2,6,4,2,1,1,613,0,2,615,0
296,1,157,152,32,3,0,2,126,3,74,0,1,3,1,1,1,0,2,0,0,0,0,559,0,2,561,0
297,3,355,289,30,1,0,1,59,0,164,0,0,0,4,2,0,2,8,3,0,1,0,922,0,2,924,0
298,0,98,122,12,1,1,0,19,1,58,0,0,0,0,0,0,0,1,0,0,1,0,314,0,1,315,0
299,0,106,135,11,0,0,0,2,1,113,0,1,0,1,0,1,1,0,1,0,0,0,373,0,2,375,0
300,1,195,108,40,0,2,1,289,5,116,2,2,1,1,2,0,2,4,0,2,0,1,774,0,4,778,0
301,11,226,201,46,5,1,110,0,4,105,0,1,0,7,4,1,0,1,3,0,0,0,726,0,2,728,0
302,2,144,197,55,0,0,1,130,2,176,1,0,9,1,1,0,1,2,0,1,0,0,723,0,1,724,0
303,1,108,137,27,1,0,0,100,1,104,0,1,5,0,1,1,1,3,0,1,0,0,492,0,2,494,0
304,1,145,167,41,2,0,1,114,1,149,1,0,4,0,0,1,2,0,0,2,0,0,631,0,0,631,0
305,3,129,163,22,2,0,1,41,2,297,0,0,10,2,1,3,3,1,3,2,1,0,686,0,0,686,0
306,1,476,67,13,0,0,0,3,1,68,0,0,1,0,3,0,0,5,0,0,0,0,638,0,1,639,0
307,0,466,30,5,0,0,0,0,0,53,0,0,1,1,2,1,0,1,0,1,0,0,561,0,1,562,0
308,2,482,191,49,0,0,1,51,2,119,0,0,0,0,2,2,0,4,1,1,0,2,909,0,1,910,0
309,3,294,99,32,3,1,71,11,1,148,1,0,1,0,1,1,1,3,0,0,1,1,673,0,2,675,0
310,0,177,120,22,2,0,24,20,1,88,0,0,0,1,1,1,1,0,0,0,0,0,458,0,1,459,0
311,1,81,131,27,0,0,2,315,3,73,0,1,0,0,0,1,0,0,1,0,1,0,637,0,0,637,0
312,1,112,94,36,0,0,0,235,1,78,0,0,0,0,0,0,1,2,1,1,0,1,563,0,2,565,0
313,3,121,214,80,1,0,2,112,0,132,0,0,0,3,1,0,0,0,0,1,0,0,670,0,0,670,0
314,1,144,132,73,0,0,5,36,0,120,0,0,2,0,3,1,3,2,1,0,0,0,523,0,1,524,0
315,1,311,273,29,0,0,1,26,1,268,1,0,2,3,0,1,0,4,5,0,0,0,926,0,1,927,0
316,2,318,253,40,2,0,1,8,1,246,0,0,0,1,3,1,0,3,0,0,0,0,879,0,1,880,0
317,1,154,282,84,1,1,3,0,1,202,0,1,1,2,2,1,0,0,1,1,2,1,741,0,3,744,0
318,1,167,242,56,1,0,2,0,1,181,1,1,1,1,3,0,0,0,3,0,0,0,661,0,7,668,0
319,1,137,141,27,0,0,0,1,0,150,0,1,1,0,1,1,0,0,4,1,3,1,470,0,3,473,0
320,1,426,84,37,1,0,1,3,1,177,0,0,0,1,3,0,0,2,1,0,0,0,738,0,4,742,0
321,0,280,187,66,0,0,1,1,0,222,0,0,1,2,4,1,0,0,1,1,0,0,767,0,2,769,0
322,0,189,180,71,0,1,0,0,1,173,0,0,0,0,3,1,3,3,2,0,0,2,629,0,3,632,0
323,1,195,231,109,0,0,0,0,0,272,0,0,1,1,4,0,0,5,0,1,0,1,821,0,5,826,0
324,2,96,122,49,0,0,0,0,0,107,0,1,0,0,6,0,0,1,3,1,0,0,388,0,1,389,0
325,1,149,235,73,1,0,0,1,1,217,0,1,0,1,3,1,0,1,0,0,0,3,688,0,4,692,0
326,1,173,198,88,1,0,1,5,0,293,0,1,0,0,1,0,0,1,1,0,0,0,764,0,5,769,0
327,1,197,233,64,0,0,3,7,2,131,0,0,2,2,0,2,1,3,1,1,1,1,652,0,4,656,0
328,4,137,185,90,0,0,0,1,2,255,0,0,0,0,2,0,0,0,1,0,0,1,678,0,2,680,0
329,1,158,189,60,1,0,0,0,0,184,0,0,1,1,4,0,1,1,1,0,0,1,603,0,4,607,0
330,2,232,204,69,2,0,1,13,0,230,1,0,0,0,2,1,1,1,5,0,1,0,765,0,1,766,0
331,2,209,187,62,0,1,1,1,1,211,0,1,0,0,0,0,0,1,1,1,0,0,679,0,2,681,0
332,2,240,127,38,0,0,0,0,1,193,0,0,0,0,0,1,0,0,1,0,1,0,604,0,2,606,1
333,0,155,133,42,0,1,0,3,0,140,1,0,0,0,0,1,0,0,0,0,2,0,478,0,3,481,0
334,1,109,213,44,0,0,1,92,1,185,0,0,2,0,0,0,0,0,2,0,0,0,650,0,2,652,0
335,1,214,259,48,1,0,0,30,0,233,0,2,0,2,0,0,2,1,2,0,0,1,796,0,5,801,0
336,1,156,222,43,1,0,0,17,1,198,0,0,0,0,4,1,2,1,2,0,2,0,651,0,1,652,0
337,2,222,210,47,0,0,0,60,2,249,0,0,0,2,2,0,1,2,1,0,1,3,804,0,1,805,0
338,2,205,245,75,0,0,1,2,0,276,2,0,0,1,2,1,1,3,3,0,0,0,819,0,5,824,0
339,1,136,117,26,2,0,1,2,0,122,0,0,1,0,2,4,1,0,1,0,0,0,416,0,1,417,0
340,1,179,240,56,1,0,3,0,0,217,0,1,0,1,3,0,0,0,0,0,0,1,703,0,1,704,0
341,1,157,318,69,1,0,0,2,0,241,0,0,1,1,2,0,0,1,1,0,1,0,796,0,3,799,0
342,1,179,101,39,1,0,25,0,0,177,0,0,1,0,0,2,0,1,0,0,1,0,528,0,3,531,0
343,1,150,172,29,2,1,112,1,1,106,0,0,1,0,0,0,0,2,1,0,0,2,581,0,2,583,0
344,1,293,217,59,2,0,5,1,3,246,0,0,0,1,1,1,0,1,1,0,0,1,833,0,1,834,0
345,3,298,260,67,1,0,1,3,1,196,0,0,0,3,3,1,0,2,1,1,1,3,845,0,2,847,0
346,2,332,127,62,0,0,0,0,0,139,0,0,0,0,1,1,1,2,1,0,0,1,669,0,1,670,0
347,2,182,239,70,1,1,1,1,0,255,0,0,1,0,4,0,1,0,1,1,0,1,761,0,3,764,0
348,1,177,233,23,0,0,0,5,0,245,0,1,2,2,1,1,0,0,0,0,0,1,692,0,2,694,0
349,4,211,320,53,0,1,0,21,0,182,0,1,0,2,0,2,1,0,2,0,1,1,802,0,3,805,0
350,5,266,158,54,0,0,0,54,0,140,0,0,0,0,1,0,1,3,3,0,0,0,685,0,2,687,0
351,2,291,209,59,0,0,1,25,0,135,0,0,0,1,0,0,0,2,1,0,1,1,728,0,1,729,0
352,2,316,200,72,0,0,0,31,1,132,0,0,0,0,0,1,0,2,2,0,0,0,759,0,2,761,0
353,0,268,260,74,0,0,2,1,2,178,0,0,0,1,3,1,1,3,1,1,0,2,798,0,2,800,0
354,3,253,336,98,0,0,3,98,2,135,0,1,0,0,5,2,1,1,1,0,0,1,940,0,0,940,0
355,1,267,266,89,1,2,1,3,5,281,0,0,0,0,0,0,2,1,0,0,2,0,921,0,1,922,0
356,1,209,241,61,2,0,2,0,0,133,0,1,0,2,1,0,2,8,1,2,2,0,668,0,1,669,0
357,1,259,215,51,0,0,0,0,0,165,0,0,0,1,0,1,3,0,1,0,0,1,698,0,2,700,0
358,2,382,91,12,1,0,0,1,0,71,0,0,0,1,1,0,0,3,1,0,0,0,566,0,1,567,0
359,1,287,191,95,1,0,3,154,1,212,1,0,0,2,3,2,4,2,2,0,0,4,965,0,3,968,0
