Polling Station No,KASI. C,EDAPPADI PALANISWAMI. K,PRIYADHARSHINI. A,GOVINDARAJ.V,SURESH. L,ELUMALAI. P,IYYAPPAN PERUMAL. P,KUMARESAN. M,SAKTHIVEL. S,SUBRAMANI. P,THULASIMANI. P,PREMKUMAR. K,MURUGAN. C,STUDENT'S FRIEND MURUGAN. M,RAJA. K. B.SC. B.TECH. EX.INAS,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
321,129,293,15,4,0,1,1,1,0,0,1,114,0,0,1,560,0,1,561,0
322,104,373,13,12,0,1,6,2,0,2,5,268,2,2,3,793,0,3,796,1
323,144,331,10,3,1,1,3,1,0,0,0,187,0,0,1,682,0,3,685,0
324,220,433,17,11,3,0,0,0,0,0,2,259,0,1,4,950,0,5,955,0
325,137,337,23,4,0,0,1,1,0,0,0,116,0,2,5,626,0,3,629,0
326,145,330,17,3,1,0,0,0,0,0,0,105,0,2,1,604,0,6,610,0
327,96,345,8,4,0,0,0,0,0,1,1,148,2,3,7,615,0,10,625,0
328,79,279,16,2,0,1,0,0,0,1,0,75,0,1,1,455,0,2,457,0
329,193,463,26,5,6,0,2,1,0,0,0,169,0,1,2,868,0,7,875,0
330,170,601,35,1,0,0,0,1,0,0,7,163,1,2,2,983,0,1,984,0
331,181,402,18,1,1,0,2,1,0,0,1,147,0,4,4,762,0,7,769,0
332,138,414,16,6,2,1,2,0,0,0,1,127,1,1,4,713,0,5,718,0
333,144,535,38,4,2,0,0,0,0,0,0,157,1,1,1,883,0,7,890,0
334,139,591,40,8,2,2,1,0,1,0,2,127,1,1,7,922,0,7,929,0
335,135,445,11,3,2,0,3,1,0,0,0,124,0,2,5,731,0,9,740,0
336,92,293,10,1,0,0,1,0,0,0,0,43,0,0,0,440,0,3,443,0
337,91,485,20,5,0,0,2,1,1,0,2,159,2,0,8,776,0,8,784,0
338,180,476,45,8,2,0,2,1,2,1,3,204,3,1,2,930,0,7,937,0
339,58,275,11,1,0,1,1,0,0,0,0,76,0,2,0,425,0,4,429,0
340,148,435,23,2,2,0,2,0,0,1,1,79,0,2,4,699,0,5,704,0
341,146,422,18,6,4,1,1,0,0,0,1,131,0,1,5,736,0,7,743,0
342,110,312,15,2,0,1,1,0,1,0,0,117,0,0,1,560,0,3,563,0
