Polling Station No,oN .SP,NITSUA,R .M IHDNAG,M RAMUKUHTUM,LEAHCIM YNOTNA J,A JARAGANAK ETALAS,T ONID,L NAJARAGAN,G SGNIK NIVREB,P LIYAMILLAV,A RAMUK HTIJA,S NARAKESANUG,A RAMUKAVIS,MAGNILUBMAYUS A,MAGNILUBMAYUS P,HSENID,NAREEM U DEMAHOM ROOGAN REEP,EEGIAF YDUKNAROOS NEEDIHOM EEGIAF sailA,S YNOM ANTER,S IALLIP MARIAV,S NOSRABEJ,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
249,249,152,182,31,1,0,1,1,296,3,0,0,1,0,0,0,1,5,3,0,0,677,0,0,0,677
250,250,146,297,35,0,0,1,2,296,0,0,0,0,0,0,1,1,2,0,0,1,782,0,0,0,782
251,251,225,232,36,1,0,4,2,296,3,1,2,0,1,0,0,1,1,0,0,0,805,0,0,0,805
252,252,219,292,35,0,0,2,1,240,0,0,1,1,1,0,0,1,0,0,0,0,793,2,0,0,795
253,253,147,119,13,0,0,0,0,171,0,0,2,0,0,0,0,1,0,0,0,0,453,3,0,0,456
254,254,162,157,24,0,0,0,0,172,2,0,0,0,0,0,0,1,0,0,0,0,518,0,0,0,518
255,255,118,92,12,0,0,0,0,125,0,0,1,0,0,0,0,0,0,0,0,0,348,3,0,0,351
256,256,133,90,13,0,0,1,0,148,0,0,0,0,0,0,0,0,1,0,0,0,386,0,0,0,386
257,257,247,87,26,1,0,2,1,257,1,0,1,1,1,0,1,0,1,0,0,0,627,2,0,0,629
258,258,211,285,34,0,0,2,0,305,0,0,0,2,1,0,0,2,1,0,0,0,843,1,0,0,844
259,259,159,270,24,0,0,1,1,287,0,3,4,0,1,0,0,2,0,0,0,1,753,0,0,0,753
260,260,120,195,21,1,0,0,0,204,0,0,0,1,2,0,1,1,1,1,0,0,548,0,0,0,548
261,261,99,168,25,0,1,0,1,192,0,0,0,0,0,0,1,0,1,0,0,0,488,1,0,0,489
262,262,66,170,40,0,2,2,0,141,1,0,0,0,2,0,0,2,4,0,0,1,431,2,0,0,433
263,263,89,160,13,0,0,1,2,126,0,0,0,0,2,0,0,0,0,0,0,0,393,1,0,0,394
264,264,73,153,27,0,0,0,1,143,2,0,0,0,0,0,0,0,0,1,0,0,400,0,0,0,400
265,265,153,235,38,0,0,0,1,267,0,0,0,2,1,0,0,2,1,1,1,0,702,3,0,0,705
266,266,653,14,9,0,0,2,0,88,1,0,0,1,1,1,0,2,2,0,0,0,774,2,0,0,776
267,267,259,89,14,0,0,3,0,144,2,0,0,0,0,0,0,0,2,0,0,0,513,1,0,0,514
268,268,253,81,24,0,0,2,0,113,0,0,0,0,1,0,0,1,1,0,0,0,476,1,0,0,477
269,269,397,3,5,0,0,1,0,44,0,0,0,0,0,0,0,0,1,0,0,1,452,1,0,0,453
270,270,283,1,7,0,0,1,0,41,0,0,0,0,0,0,0,0,1,0,0,0,334,3,0,0,337
271,271,473,4,8,0,0,1,0,39,1,0,0,0,0,0,0,0,3,0,0,1,530,1,0,0,531
272,272,473,4,20,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,559,2,0,0,561
273,273,192,1,3,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,228,1,0,0,229
274,274,422,99,40,2,0,2,0,181,0,0,0,0,0,0,0,1,1,0,0,0,748,0,0,0,748
275,275,321,117,26,2,1,1,1,186,1,0,0,0,0,0,3,0,0,0,0,0,659,1,0,0,660
276,276,560,32,23,3,0,1,1,138,0,0,0,1,0,0,0,0,0,0,0,0,759,2,0,0,761
277,277,204,50,14,0,0,1,0,75,0,1,0,0,0,0,0,0,1,0,0,0,346,1,0,0,347
278,278,122,133,10,0,0,1,0,169,3,0,1,1,0,0,0,1,1,0,0,0,442,1,0,0,443
279,279,161,125,23,1,0,3,1,163,0,0,0,2,2,0,0,0,0,1,0,0,482,0,1,0,482
280,280,222,52,17,0,0,2,0,79,0,0,0,1,1,0,0,0,0,0,0,0,374,0,0,0,374
281,281,128,205,21,0,0,2,1,160,1,0,1,0,1,0,0,0,2,1,0,0,523,0,0,0,523
282,282,129,155,15,0,0,3,0,207,1,0,1,0,2,0,0,0,0,0,0,1,514,2,0,0,516
283,283,122,163,19,0,0,0,1,145,0,0,2,1,0,0,0,0,2,0,0,0,455,2,0,0,457
284,284,135,154,10,0,0,1,0,151,0,0,1,1,3,0,0,0,3,0,0,0,459,0,0,0,459
285,285,119,176,16,1,0,0,0,214,0,0,0,0,0,0,0,0,0,1,0,0,527,1,0,0,528
286,286,487,156,34,0,0,2,0,200,1,0,0,0,3,1,0,1,1,1,0,3,890,5,0,0,895
287,287,246,118,49,1,0,1,0,193,1,0,0,0,1,0,0,0,3,0,0,0,613,2,0,0,615
288,288,169,198,45,0,0,1,1,204,0,0,1,0,0,0,0,0,1,0,0,0,620,2,0,0,622
289,289,137,97,22,0,0,0,0,120,0,0,0,0,0,1,0,1,1,2,0,0,381,3,0,0,384
290,290,287,41,57,1,0,0,1,227,1,0,0,0,0,0,0,0,0,0,0,0,615,4,0,0,619
291,291,347,43,50,0,0,2,1,228,0,0,0,0,1,0,2,0,1,1,0,0,676,1,0,0,677
292,292,146,266,33,0,0,0,0,189,0,1,0,0,1,0,1,0,2,1,0,0,640,3,0,0,643
293,293,101,287,33,0,0,0,0,142,0,0,0,0,1,0,0,0,1,0,0,1,566,1,0,0,567
294,294,68,152,19,0,0,1,1,126,1,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,368
295,295,98,187,15,0,0,0,1,82,1,0,0,0,0,0,0,1,0,1,0,0,386,0,0,0,386
296,296,155,359,37,0,1,1,0,271,3,1,0,5,1,0,0,3,1,4,0,2,844,0,0,0,844
297,297,142,172,23,0,0,1,0,229,0,1,0,1,0,2,0,0,0,1,0,2,574,1,0,0,575
298,298,202,200,25,1,0,1,2,152,2,0,2,0,1,0,1,1,2,1,0,3,596,3,0,0,599
299,299,160,58,5,0,0,1,0,80,0,1,0,1,0,0,0,0,0,0,0,0,306,1,0,0,307
300,300,280,163,24,0,0,0,1,136,0,0,0,2,0,0,0,1,1,0,0,0,608,1,0,0,609
301,301,321,148,22,0,0,2,1,234,0,0,0,0,0,0,0,1,0,0,0,0,729,1,0,0,730
302,302,184,184,24,0,0,0,1,198,0,0,0,3,0,0,0,2,2,1,0,0,599,2,0,0,601
303,303,112,214,16,2,0,0,2,209,0,0,0,0,0,0,1,0,0,0,0,0,556,2,0,0,558
304,304,88,245,6,0,0,0,1,127,0,1,0,0,0,0,0,1,1,0,0,0,470,0,0,0,470
305,305,363,76,13,0,1,2,4,193,0,0,1,1,0,1,1,0,1,0,0,0,657,1,0,0,658
306,306,303,295,33,1,0,1,1,216,0,0,0,1,2,0,0,1,1,0,0,3,858,3,0,0,861
307,307,139,247,38,0,0,0,0,176,0,0,0,1,2,0,0,1,2,0,0,0,606,0,0,0,606
308,308,161,156,22,0,0,0,1,124,1,0,0,0,1,0,0,1,2,0,0,0,469,0,0,0,469
309,309,144,564,27,1,0,1,0,208,0,1,0,1,0,0,0,0,0,1,2,0,950,0,0,0,950
310,310,393,91,36,0,0,1,0,167,0,0,0,0,0,0,0,0,0,0,0,0,688,3,0,0,691
311,311,375,208,19,0,0,1,0,213,1,1,0,1,0,0,2,1,0,1,2,0,825,2,0,0,827
312,312,331,41,58,0,0,2,0,210,0,0,1,0,0,0,0,0,0,0,0,2,645,0,0,0,645
313,313,299,21,51,0,0,1,1,130,1,0,0,0,0,0,0,0,2,0,0,0,506,1,0,0,507
314,314,136,188,31,0,0,0,1,138,2,0,0,1,0,0,1,1,0,0,0,0,499,1,0,0,500
315,315,125,191,25,0,0,0,3,124,0,0,0,4,1,0,1,0,2,0,0,0,476,2,0,0,478
316,316,85,183,14,0,0,0,2,106,0,0,0,0,0,0,0,0,1,2,0,0,393,0,0,0,393
317,317,209,295,38,0,0,1,1,271,0,2,0,0,0,1,0,0,0,0,0,0,818,1,0,0,819
318,318,174,201,19,3,0,2,0,256,0,1,0,0,0,0,1,1,2,0,0,1,661,0,0,0,661
319,319,133,104,29,0,0,0,1,159,0,1,0,1,2,0,0,0,0,0,0,1,431,1,0,0,432
320,320,363,105,37,0,0,0,3,287,1,1,0,0,2,0,1,2,1,0,1,0,804,0,0,0,804
321,321,265,130,30,0,0,0,3,290,0,0,0,0,1,0,0,1,4,1,0,0,725,3,0,0,728
322,322,190,167,50,0,1,2,2,346,1,0,1,0,3,2,0,2,1,0,0,0,768,0,0,0,768
