Polling Station No,Candidate_1,M .IHTAMOG,V .AYIHTAS,S .AYVIHD .RD,K.C .AJAR,M .AYHTAS,V .NANAVARAS,S .NAIDNAPARDNUOS,B .YMASLAB,M.URUGAJAR,P .IHDNAGARDNI,P .NASENAG,A .LEVIHTKAS,M .RAMUKISAS,M.P .LIHTNES,M .IARUDALLEHC,S .RAMUKAVLES,A.RAMUK HSENID,N .RAMUK HSENID,M .HTNEEVAN,M .NARAWSEMARAP,D .HTNASARP,P .YBAB,S.B .NAVLESROP,A .INUMAHAM,R .LEVAKCINAM,S .NAGURUM,K.P .MAHDNANAGURUM,S .JARLAMIV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
190,190,2,25,215,290,287,1,0,1,0,0,1,1,2,0,0,1,4,2,3,3,1,3,0,0,4,0,0,0,846,0,9,855,0
191,191,2,32,138,217,287,1,0,3,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,688,0,2,690,0
192,192,2,42,102,181,213,2,0,0,1,0,0,0,1,0,1,2,0,1,1,0,1,1,0,1,0,0,0,1,553,0,0,553,0
193,193,0,3,117,114,84,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,322,0,3,325,0
194,194,2,8,107,162,119,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,406,0,0,406,0
195,195,3,13,271,224,134,0,0,0,0,0,0,1,2,1,0,0,1,1,2,0,2,1,0,0,1,1,0,0,658,0,3,661,0
196,196,2,35,234,283,303,2,1,1,0,0,0,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,3,1,878,0,2,880,0
197,197,0,28,205,278,282,0,1,2,0,0,4,0,0,0,1,1,0,1,1,2,2,0,1,1,2,1,0,1,814,0,1,815,0
198,198,1,27,206,187,182,2,1,1,0,0,1,0,0,1,1,2,1,1,2,4,3,1,0,1,2,1,0,0,628,0,1,629,0
199,199,3,50,352,251,266,0,1,1,0,0,2,1,1,1,2,5,1,0,2,5,4,2,0,0,5,1,0,2,958,0,2,960,0
200,200,2,27,230,319,269,0,3,3,0,0,1,0,1,0,0,4,1,2,2,7,5,0,0,1,1,0,0,1,879,0,1,880,0
201,201,4,12,139,160,154,0,1,1,1,0,5,3,1,1,5,2,2,1,0,2,3,0,0,0,1,3,0,2,503,0,3,506,0
202,202,0,8,140,430,160,0,1,0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,748,0,0,748,0
203,203,0,12,286,147,190,0,0,1,0,0,0,1,2,3,0,0,0,0,1,1,0,2,1,0,0,0,0,3,650,0,3,653,0
204,204,2,24,329,236,136,0,0,0,0,0,0,2,2,1,0,1,0,3,3,1,2,0,1,0,0,1,0,0,744,0,3,747,0
205,205,1,12,248,230,236,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,735,0,0,735,0
206,206,2,23,290,244,264,1,1,1,1,1,3,0,1,1,1,0,1,1,1,7,0,1,1,0,2,2,5,0,855,0,3,858,0
207,207,3,7,101,93,116,2,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,1,0,0,2,0,0,1,332,0,0,332,0
208,208,3,55,296,230,209,2,1,3,1,1,5,4,5,4,2,4,1,0,3,1,2,1,1,1,4,3,2,1,845,0,4,849,0
209,209,3,26,231,225,303,0,1,1,0,0,0,3,5,1,0,1,0,0,2,6,3,0,0,1,1,0,0,1,814,0,2,816,0
210,210,0,18,162,139,141,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,467,0,1,468,0
211,211,1,35,192,201,269,1,1,4,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,714,0,1,715,0
212,212,2,21,350,212,253,0,0,1,0,0,1,0,0,2,1,1,0,0,5,1,1,0,0,0,0,1,0,0,852,0,0,852,0
213,213,1,15,253,199,259,0,2,2,0,1,1,3,1,4,1,1,2,0,1,1,1,1,0,0,1,3,0,1,754,0,4,758,0
214,214,0,33,249,272,271,0,1,2,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,836,0,0,836,0
215,215,2,31,161,236,232,0,2,0,0,0,0,0,1,1,0,0,2,0,2,1,0,0,0,0,1,1,1,1,675,0,1,676,0
216,216,2,35,195,125,124,0,0,4,0,0,1,0,0,0,1,2,1,0,1,5,2,0,1,1,2,1,1,1,505,0,2,507,0
217,217,1,63,202,181,191,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,644,0,2,646,0
218,218,3,60,220,197,229,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,718,0,5,723,0
219,219,1,30,220,198,212,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,1,0,0,0,2,671,0,0,671,0
220,220,1,19,110,153,158,0,1,0,1,0,1,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,451,0,1,452,0
221,221,1,2,242,155,169,1,0,0,0,0,3,0,1,2,0,0,0,0,3,3,1,0,0,0,1,2,0,2,588,0,1,589,0
222,222,2,7,84,272,176,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,545,0,0,545,0
223,223,0,9,61,469,119,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,665,0,1,666,0
224,224,3,12,111,528,258,5,0,2,0,0,1,1,4,0,1,0,0,1,0,4,0,0,0,0,2,1,0,1,935,0,0,935,0
225,225,0,29,268,187,220,2,1,3,0,0,1,0,4,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,720,0,2,722,0
226,226,0,8,218,87,183,0,0,2,0,0,2,3,2,0,1,2,0,0,2,0,1,0,1,0,1,1,0,2,516,0,2,518,0
227,227,2,13,198,140,192,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,4,0,0,0,558,0,3,561,0
228,228,0,4,265,139,175,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,588,0,1,589,0
229,229,0,19,128,164,160,0,1,1,0,0,0,1,1,2,2,0,0,0,2,2,0,0,0,0,1,0,0,0,484,0,2,486,0
230,230,3,61,211,393,298,3,1,1,0,1,1,1,4,1,0,2,0,0,1,2,1,0,1,0,2,2,0,0,990,0,1,991,0
231,231,0,47,263,240,335,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,896,0,2,898,0
232,232,1,8,214,291,208,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,726,0,1,727,0
233,233,2,10,218,151,164,0,0,0,1,3,0,1,2,2,0,0,2,1,5,4,1,0,0,1,6,2,2,1,579,0,2,581,0
234,234,4,23,208,177,229,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,648,0,1,649,0
235,235,1,21,186,188,178,0,1,0,1,0,0,0,1,0,1,1,0,2,0,3,1,1,0,0,2,0,0,1,589,0,3,592,0
236,236,1,24,298,214,250,0,0,1,2,0,0,1,3,1,1,4,3,1,3,2,2,0,0,0,0,1,0,1,813,0,0,813,0
237,237,3,36,269,213,305,0,2,0,0,1,0,4,1,2,1,0,1,2,1,4,2,0,1,0,2,2,0,0,852,0,3,855,0
238,238,1,21,221,182,174,0,2,3,0,1,0,1,3,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,616,0,0,616,0
239,239,1,18,120,124,175,1,1,2,0,0,1,0,2,4,0,0,2,0,3,3,4,1,0,1,6,0,1,1,471,0,2,473,0
240,240,4,32,173,256,216,1,0,1,0,0,4,0,3,0,2,2,1,0,0,3,3,0,0,0,1,0,0,0,702,0,3,705,0
241,241,1,10,167,101,100,0,0,0,0,0,0,0,2,1,0,2,2,0,1,2,1,0,0,0,0,2,1,0,393,0,1,394,0
242,242,1,17,250,178,183,2,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,0,0,641,0,1,642,0
243,243,2,14,239,204,287,1,0,1,1,0,1,3,1,0,3,0,0,0,0,1,0,0,0,0,1,0,2,0,761,0,0,761,0
244,244,0,16,216,268,292,0,1,0,1,1,0,2,1,0,0,0,2,1,2,0,3,1,0,0,1,1,1,0,810,0,1,811,0
245,245,1,5,225,104,206,2,0,1,1,0,1,0,0,0,3,2,1,2,1,1,0,0,0,0,1,1,0,0,558,0,0,558,0
246,246,0,20,214,241,314,0,0,0,0,0,2,0,1,4,1,1,0,0,1,5,1,1,0,0,2,1,1,1,811,0,1,812,0
247,247,1,14,251,239,174,1,0,0,0,0,0,1,4,4,0,0,0,1,3,6,1,0,0,0,3,1,2,0,706,0,4,710,0
248,248,0,23,164,182,236,0,0,2,0,0,1,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,2,618,0,1,619,0
249,249,2,24,238,115,313,0,0,1,0,0,1,0,0,0,0,2,2,1,4,2,1,0,0,0,1,2,0,0,709,0,2,711,0
250,250,1,18,290,253,192,0,0,3,0,0,1,1,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,767,0,3,770,0
251,251,2,12,110,237,246,0,0,1,0,0,1,0,2,2,0,0,0,0,2,3,0,1,1,0,0,0,0,0,620,0,2,622,0
252,252,0,19,168,176,180,0,0,1,1,1,0,0,3,0,1,0,1,0,1,1,0,0,0,0,4,1,1,0,559,0,0,559,0
253,253,0,21,200,196,205,2,0,1,0,0,1,1,0,2,0,1,1,0,1,2,3,1,2,0,1,0,1,0,642,0,3,645,0
254,254,2,13,130,131,146,1,0,2,0,1,0,0,2,1,2,2,0,1,0,0,0,0,0,0,0,2,2,0,438,0,0,438,0
255,255,1,20,151,115,145,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,2,438,0
256,256,0,14,284,146,240,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,2,0,1,0,0,1,694,0,1,695,0
257,257,1,28,119,214,227,0,0,0,0,0,0,1,1,1,0,1,0,2,1,2,0,0,0,0,0,2,0,1,601,0,0,601,0
258,258,1,27,307,132,266,1,2,0,2,0,0,4,5,4,4,2,0,1,1,1,0,0,1,0,0,1,2,0,764,0,1,765,0
259,259,0,19,249,163,171,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,610,0,0,610,0
260,260,0,11,128,235,199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,580,0,0,580,0
261,261,1,20,160,269,184,1,1,0,0,0,1,1,5,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,651,0,1,652,0
262,262,0,15,170,237,154,3,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,586,0,2,588,0
263,263,0,25,194,196,163,0,0,0,1,0,0,1,1,1,0,1,0,1,6,7,1,2,0,0,7,3,0,1,611,0,2,613,0
264,264,1,4,221,268,162,0,2,0,0,0,2,0,1,2,0,2,0,2,4,3,2,3,0,0,2,0,1,0,682,0,1,683,0
265,265,0,25,131,250,166,1,0,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,580,0,1,581,0
266,266,1,17,318,199,221,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,764,0,0,764,0
267,267,0,17,233,184,256,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,1,1,0,0,1,701,0,1,702,0
268,268,0,16,203,277,306,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,812,0,0,812,0
269,269,0,39,334,169,173,0,0,0,0,0,1,2,4,0,1,0,1,1,1,2,0,0,0,1,2,1,0,0,732,0,2,734,0
270,270,2,31,200,215,227,2,0,4,1,0,0,1,0,0,1,2,0,2,1,2,3,0,0,0,4,0,1,0,699,0,3,702,0
271,271,1,36,323,210,314,2,1,1,0,1,0,1,2,1,4,0,1,0,3,1,0,0,0,0,4,3,1,0,910,0,0,910,0
272,272,0,20,196,150,123,0,0,2,0,0,1,1,3,1,0,0,1,0,0,2,1,0,0,1,1,0,0,1,504,0,0,504,0
273,273,1,10,113,306,182,0,0,0,1,0,0,0,3,0,0,2,0,0,0,3,2,0,1,1,0,0,0,3,628,0,0,628,0
274,274,0,16,122,147,123,0,0,3,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,421,0,0,421,0
275,275,1,16,102,230,117,0,0,0,0,1,0,3,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,477,0,0,477,0
