Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
232,124,41,173,0,0,0,0,292,0,0,0,0,0,0,0,630,0,6,636,0
233,229,38,129,1,1,2,2,291,0,0,0,0,0,4,0,697,0,6,703,0
234,141,30,108,0,0,1,4,321,0,1,0,0,0,0,0,606,0,4,610,1
235,240,49,96,0,0,0,1,288,0,1,4,0,0,0,0,679,0,2,681,0
236,236,36,62,0,0,0,2,206,0,0,0,0,0,0,0,542,0,3,545,0
237,273,63,171,0,1,0,4,298,1,0,0,0,0,0,1,812,0,1,813,0
238,174,37,192,0,0,0,2,356,0,0,2,1,1,0,0,765,0,1,766,0
239,140,36,114,1,2,0,3,188,0,0,0,2,0,1,0,487,0,2,489,0
240,206,66,143,1,0,1,2,284,2,0,3,0,0,1,0,709,0,2,711,0
241,230,35,122,0,10,1,3,278,0,0,0,0,0,0,2,681,0,3,684,0
242,230,67,207,3,3,2,6,379,4,6,2,2,3,4,4,922,0,7,929,0
243,115,33,119,1,2,1,6,237,2,0,0,1,1,1,1,520,0,5,525,0
244,173,35,85,1,0,0,2,172,0,1,0,0,0,1,0,470,0,1,471,0
245,65,13,149,0,1,1,2,308,0,0,0,0,0,1,0,540,0,1,541,0
246,70,14,163,1,0,1,1,244,0,0,0,0,0,1,0,495,0,0,495,0
247,101,30,212,1,0,1,1,371,1,3,0,0,1,2,0,724,0,2,726,0
248,147,21,239,3,0,0,1,438,1,0,1,2,0,1,0,854,0,6,860,0
249,188,57,202,1,0,1,4,364,1,0,2,0,0,3,1,824,0,4,828,0
250,167,54,170,0,0,1,2,417,1,0,0,0,0,5,0,817,0,3,820,0
251,116,37,161,0,1,0,5,322,0,0,0,0,0,1,0,643,0,1,644,0
252,217,60,159,0,0,0,3,411,0,2,0,1,1,0,0,854,0,1,855,0
253,274,49,139,1,0,1,2,310,0,0,0,0,0,2,1,779,0,7,786,0
254,180,26,110,1,2,0,1,295,0,0,0,0,0,2,0,617,0,1,618,0
255,234,66,150,0,2,0,4,251,0,1,0,0,0,2,1,711,0,6,717,0
