Polling Station No,Candidate_1,. P . K ) .K N M A GD AA LI AA B( N A,. S . R A V M) N UK D KM . RLD D I H ( T N E S,. R . I H) K T T A N P ( O O B,. R ) .K IV P T O ( G,. M . L A M ) MK AM YT I( N A L A P,) K . PL K . HM SM E ML D AA RN (,N . P A M. L) K AA V RM A AUT YR( AE JP,. L . N A) D N N H I S( I R K,. N . Y M ) AD SN A I N( N I H C,. G . R A M ) UD KN LI I( H T N E S,. K . R A M ) UD KN LI I( H T N E S,. M L . AY MM) D UA N S R I U( E PN U M,. P . N A) PD PN AI H( D A M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
42,42,256,115,26,150,0,0,1,1,2,1,0,0,0,1,553,0,0,553
43,43,284,103,23,151,0,1,0,0,3,0,0,0,0,0,565,0,3,568
44,44,441,107,17,198,0,1,0,0,1,0,1,0,0,1,767,0,8,775
45,45,162,74,5,47,0,0,0,0,0,1,0,0,0,0,289,0,0,289
46,46,322,125,19,107,0,0,0,0,0,2,0,0,0,0,575,0,2,577
47,47,291,171,17,131,0,1,0,0,0,2,0,0,4,6,623,0,7,630
48,48,113,61,2,82,0,1,0,0,0,0,0,0,2,0,261,0,1,262
49,49,326,37,10,90,0,0,0,0,0,1,0,0,0,1,465,0,4,469
50,50,92,165,4,52,0,0,0,0,0,0,0,0,0,0,313,0,0,313
51,51,90,87,6,48,0,0,2,0,0,1,0,0,1,1,236,0,1,237
52,52,169,32,9,49,0,0,0,0,0,0,0,0,0,3,262,0,3,265
53,53,152,123,11,207,0,1,0,2,0,0,1,2,2,1,502,0,3,505
54,54,277,117,5,155,0,1,0,0,0,0,0,1,0,0,556,0,2,558
55,55,312,129,10,155,0,1,0,0,1,0,0,0,0,0,608,0,4,612
56,56,314,181,24,209,2,0,1,0,0,1,0,2,0,0,734,0,3,737
57,57,282,192,22,218,0,1,0,1,0,0,0,0,2,0,718,0,5,723
58,58,331,247,19,220,2,1,2,0,2,0,1,0,10,2,837,0,4,841
59,59,254,124,9,70,2,2,1,1,1,1,0,1,0,0,466,0,3,469
60,60,176,173,8,105,0,0,0,1,0,0,0,0,2,0,465,0,0,465
61,61,175,58,7,67,0,0,0,0,0,0,0,0,0,0,307,0,3,310
62,62,195,103,20,158,0,1,0,0,0,0,1,1,2,2,483,0,3,486
63,63,150,93,6,88,0,0,0,0,0,0,1,0,1,0,339,0,3,342
64,64,424,118,33,274,0,0,0,0,0,0,0,3,2,2,856,0,6,862
65,65,263,61,10,149,0,0,0,1,0,0,1,1,2,0,488,0,3,491
66,66,361,265,17,309,1,1,1,1,0,0,0,1,0,2,959,0,7,966
67,67,361,202,16,216,1,0,0,0,0,0,0,1,0,0,797,0,8,805
68,68,290,203,40,368,2,0,0,0,1,0,1,1,0,2,908,0,6,914
69,69,436,163,16,187,1,0,0,0,0,2,2,0,0,1,808,0,6,814
70,70,226,66,7,155,0,2,1,0,0,1,0,2,1,0,461,0,3,464
71,71,148,94,16,96,0,1,0,0,0,0,0,1,0,1,357,0,2,359
72,72,99,137,6,120,0,2,0,0,0,0,0,0,0,1,365,0,4,369
73,73,466,190,24,284,0,1,0,0,3,1,0,1,2,2,974,0,4,978
74,74,368,227,21,199,1,1,0,0,0,0,0,1,0,2,820,0,3,823
75,75,436,104,11,186,1,0,1,0,1,1,0,1,2,0,744,0,6,750
76,76,424,218,27,200,1,0,0,0,0,0,0,0,1,1,872,0,5,877
77,77,325,182,9,148,1,1,0,0,0,0,0,0,0,1,667,0,2,669
78,78,245,180,19,156,0,1,0,0,1,0,0,1,0,1,604,0,3,607
79,79,87,180,14,95,0,1,0,0,0,0,0,0,0,2,379,0,3,382
