Polling Station No,K. S. RAVICHANDRAN,PORKODI ARMSTRONG,JAGADESH CHANDER .M,C. CHRISTY,A. SELVA KUMAR,M. R. PALLAVI,S JAYAKALPANA,R. ANANDAN,M. KANNADASAN,M. KOLANJI,D. SATHISH KUMAR,SATHISH,S. SENTHAMIZHAN,G. J. DHARANIRAJ,S. PARTHIBAN,PRAKASH ARUNACHALAM,PRASANTH. D,PRAVEEN THIYAGARAJAN,R. MURUGAN,M. MOHAN,S. RAJENDRAN,M. LOKESH,C. JAGAN MOHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
147,149,91,8,3,0,383,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,640,0,2,642,0
148,250,116,16,0,1,322,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,709,0,0,709,0
149,157,73,7,0,1,325,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,569,0,2,571,0
150,143,62,11,0,0,328,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,552,0,0,552,0
151,126,53,7,0,0,253,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,443,0,2,445,0
152,184,77,10,3,1,324,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,606,0,1,607,0
153,231,58,7,0,0,275,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,575,0,0,575,1
154,218,99,11,0,1,368,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,700,0,1,701,0
155,230,59,13,0,4,290,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,600,0,0,600,0
156,133,57,18,0,0,302,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,515,0,0,515,0
157,209,78,5,0,2,303,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,603,0,0,603,0
158,213,102,19,0,2,375,1,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,718,0,2,720,0
159,397,34,7,0,1,258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,1,699,0
160,220,72,2,1,0,339,3,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,1,644,0,2,646,0
161,332,45,10,0,2,278,1,0,1,0,1,0,0,0,1,3,0,1,0,0,0,0,1,676,0,2,678,0
162,285,50,4,1,2,347,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,695,0,0,695,0
163,216,37,8,2,1,366,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,640,0,1,641,0
164,265,43,5,2,3,402,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,724,0,1,725,0
165,206,75,7,0,2,373,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,669,0,1,670,0
166,155,66,7,0,1,369,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,604,0,1,605,0
167,331,49,13,1,1,403,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,803,0,4,807,0
168,302,50,16,2,0,337,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,713,0,0,713,0
169,252,63,5,0,0,242,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,564,0,2,566,0
170,238,72,11,0,1,406,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,1,0,735,0,3,738,1
171,179,40,9,0,0,194,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,425,0,0,425,0
172,335,39,10,0,0,225,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,613,0,1,614,0
173,186,91,19,0,1,390,3,0,0,0,0,1,0,0,0,0,3,0,2,0,0,1,1,698,0,0,698,0
174,318,78,9,2,0,303,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,716,0,2,718,0
175,283,94,13,1,0,396,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,795,0,0,795,0
176,194,58,8,0,1,340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,1,604,0
177,218,89,21,0,2,533,1,0,0,2,0,0,0,1,1,3,1,0,1,0,0,2,0,875,0,5,880,0
178,210,86,8,1,2,321,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,631,0,1,632,0
179,216,62,8,0,1,428,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,721,0,0,721,0
180,210,111,11,2,0,368,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,708,0,2,710,0
181,207,110,15,0,2,433,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,0,777,0,0,777,0
182,304,71,7,4,0,243,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,634,0,1,635,0
183,337,48,6,0,1,169,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,564,0,0,564,0
184,492,18,6,0,0,144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,662,0,3,665,0
185,474,19,7,0,0,160,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,666,0,1,667,0
186,405,13,3,0,0,170,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,594,0,1,595,0
187,379,48,9,1,1,298,3,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,745,0,2,747,0
188,447,18,2,0,0,245,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,718,0,1,719,0
189,e 3264,44,4,1,1,287,2,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,608,0,2,610,0
190,170,170,16,1,0,355,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,724,0,3,727,0
191,200,131,15,0,0,436,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,787,0,0,787,0
192,215,143,11,0,2,379,2,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,1,760,0,3,763,0
193,113,82,10,1,0,296,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,509,0,0,509,0
194,103,81,3,0,0,193,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,382,0,2,384,0
195,200,144,13,1,4,353,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,724,0,1,725,0
196,219,111,9,0,0,326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,671,0,1,672,0
197,263,193,10,0,1,369,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,844,0,2,846,0
198,182,160,14,0,2,327,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,692,0,0,692,0
