Polling Station No,SUBRAMANI.P,SENDHIL KUMAR.G,MURUGESAN.G,ANBARASU.P,SUNDARAMMAL,SYED FAROOQ BASHA SSB,SYED BHURHANUDEEN,DEVENDRAN.J,ABDUL WAHID.A,SRINIVASAN.A,SELVARAJ.M,NAVEEN.R,MANJUNATH.K,MANOJ.S,RAJESH.T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
97,1,12,2,0,1,666,98,1,0,1,0,0,1,0,0,783,0,2,785,0
98,1,10,0,1,1,633,74,0,0,0,0,0,0,0,0,720,0,0,720,0
99,2,10,1,0,0,735,104,0,1,0,1,1,0,0,0,855,0,3,858,0
100,0,13,1,0,0,381,65,0,0,0,1,0,0,0,0,461,0,2,463,0
101,0,5,1,0,0,385,46,0,0,0,2,0,0,0,0,439,0,1,440,0
102,1,14,2,0,0,801,127,0,2,0,0,0,0,0,0,947,0,0,947,0
103,1,4,0,0,1,466,56,1,0,0,0,0,0,0,0,529,0,0,529,0
104,1,7,1,0,1,479,55,0,1,0,1,0,1,0,0,547,0,0,547,0
105,1,8,0,0,0,475,46,0,0,1,0,0,0,0,0,531,0,0,531,0
106,3,21,0,0,0,676,113,0,0,0,0,1,0,0,0,814,0,4,818,0
107,1,9,2,0,1,598,75,0,0,0,0,0,0,0,0,686,0,0,686,0
108,2,18,0,0,1,540,123,0,2,0,0,0,1,0,0,687,0,1,688,0
109,1,4,0,1,3,552,63,0,0,0,0,0,0,1,1,626,0,0,626,0
110,0,10,1,2,1,644,42,1,0,0,0,0,0,1,0,702,0,1,703,0
111,0,4,0,0,2,529,37,0,0,0,1,0,0,0,0,573,0,2,575,0
112,1,96,6,0,0,353,114,1,1,0,0,0,0,0,0,572,0,1,573,0
113,0,59,7,0,1,419,94,1,0,0,0,0,0,3,1,585,0,2,587,0
114,2,187,16,0,0,321,351,1,0,1,0,1,0,0,0,880,0,0,880,0
115,1,9,1,0,0,537,37,0,0,1,0,0,0,0,0,586,0,1,587,0
116,0,4,0,0,1,513,34,0,0,0,0,0,0,0,0,552,0,0,552,0
117,1,6,0,0,0,634,39,0,0,0,0,0,1,0,0,681,0,1,682,0
118,0,5,2,1,0,772,119,0,0,1,0,0,0,0,0,900,0,2,902,0
119,1,57,5,0,0,597,157,1,0,0,0,0,1,0,0,819,0,3,822,0
120,1,52,1,0,0,613,164,1,2,0,1,2,0,0,0,837,0,4,841,0
121,1,19,2,0,3,728,74,0,0,0,0,1,0,0,0,828,0,1,829,0
122,0,8,1,0,0,526,47,0,0,0,0,0,0,0,0,582,0,0,582,0
123,2,43,2,0,2,602,91,0,0,0,0,1,0,0,0,743,0,2,745,0
124,2,94,6,0,1,420,138,0,1,0,0,0,0,0,1,663,0,0,663,0
125,2,127,4,0,2,424,160,0,0,0,0,0,1,0,0,720,0,0,720,0
126,2,25,6,1,1,477,250,0,0,0,0,0,1,0,0,763,0,1,764,0
127,0,24,8,1,1,522,127,1,1,0,1,0,0,0,2,688,0,2,690,0
128,1,13,2,0,1,504,196,0,2,1,0,1,1,0,0,722,0,0,722,0
129,3,101,10,0,2,199,344,0,0,0,0,0,0,0,0,659,0,2,661,0
130,0,85,12,0,2,154,280,2,0,1,0,0,1,0,0,537,0,1,538,0
131,0,95,5,0,1,185,314,2,0,0,0,0,0,0,0,602,0,1,603,0
132,0,104,11,0,0,167,277,2,0,0,0,0,1,1,0,563,0,2,565,0
133,2,122,10,0,1,179,282,2,0,0,1,0,0,0,0,599,0,4,603,0
134,1,160,8,1,3,244,373,1,0,1,0,0,0,0,0,792,0,3,795,0
135,1,252,20,0,0,119,295,2,0,0,1,1,0,0,0,691,0,3,694,0
136,3,97,7,0,1,136,202,0,1,1,1,1,0,2,0,452,0,7,459,0
137,1,177,15,4,2,107,244,0,1,3,3,4,4,1,3,569,0,14,583,0
138,3,187,24,0,0,169,361,1,1,2,0,0,1,1,1,751,0,6,757,0
