Polling Station No,Candidate_1,DEMAS LUDBA .P,IRIGANURA .M,RAMUKAYAJIV .LP .RD,A. JARAIKCORA,NAVARIHTAK .R,ANEEM .P,R. NAMRAVAJAR,NAMAR .A,M. NAVARIHTAK,NAPPURAK .M,NAIATTUK,NIDUHPRAS,NANNIHC .P,LIHTNES RAMUK .A,AKKAYIREP,M. HSEJAR,RAMUKAYAJIV .P,RAMUK AYAJIV .M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
270,270,128,24,201,1,203,0,0,0,0,3,2,1,1,0,0,1,2,1,568,0,7,575,0
271,271,76,21,294,3,238,0,1,0,1,0,0,2,1,0,1,2,1,0,641,0,2,643,0
272,272,135,43,242,0,254,7,1,0,2,2,0,1,0,0,2,4,3,0,696,0,3,699,0
273,273,155,33,258,1,258,0,0,0,0,0,0,2,0,0,0,1,1,0,709,0,1,710,0
274,274,145,91,276,1,337,1,1,1,0,1,1,1,2,1,2,1,3,0,865,0,5,870,0
275,275,150,23,327,5,298,1,1,0,0,1,0,0,0,2,3,3,2,0,816,0,3,819,0
276,276,187,17,179,2,385,2,0,1,1,1,0,6,1,0,1,9,5,4,801,0,10,811,0
277,277,202,12,193,6,386,3,0,0,2,2,0,2,0,2,0,2,6,0,818,0,4,822,0
278,278,191,23,100,0,306,0,1,0,1,1,1,1,0,0,3,4,6,0,638,0,2,640,0
279,279,151,29,258,0,193,0,0,0,0,1,0,2,0,0,0,1,1,0,636,0,1,637,0
280,280,186,40,385,3,287,0,1,1,0,2,1,1,2,0,0,0,7,2,918,0,6,924,0
281,281,142,33,206,4,245,0,2,0,2,0,1,3,1,0,2,1,2,1,645,0,4,649,0
282,282,173,43,261,10,262,2,0,0,1,0,0,1,1,1,1,1,3,2,762,0,2,764,0
283,283,216,25,371,2,361,1,2,0,1,0,1,1,0,1,0,1,4,1,988,0,2,990,0
284,284,156,31,148,2,298,1,0,0,0,0,0,2,0,1,0,1,1,0,641,0,0,641,0
285,285,167,33,345,2,299,2,0,0,0,3,1,0,0,2,0,1,3,2,860,0,6,866,0
286,286,117,15,180,2,199,0,0,0,1,3,0,0,0,2,1,1,1,2,524,0,2,526,0
287,287,139,32,294,0,270,1,0,0,4,2,0,1,2,2,1,3,1,1,753,0,5,758,0
288,288,164,24,293,5,364,1,0,0,3,9,0,0,0,2,0,5,1,0,871,0,3,874,0
289,289,66,12,107,2,193,1,0,0,0,1,0,0,0,0,0,1,0,0,383,0,0,383,0
290,290,216,44,282,3,216,1,0,1,1,2,0,3,1,0,2,3,3,2,780,0,2,782,0
291,291,89,25,91,1,187,0,0,0,0,0,0,0,0,1,0,3,1,1,399,0,0,399,0
292,292,160,28,268,2,288,1,0,0,0,1,2,4,2,1,0,4,2,1,764,0,3,767,0
293,293,160,46,253,3,293,1,0,0,0,1,1,1,0,2,1,5,0,0,767,0,0,767,0
294,294,186,62,323,4,285,3,0,0,0,2,0,2,1,0,0,4,2,3,877,0,8,885,0
295,295,227,85,342,0,372,2,0,0,1,3,0,1,2,3,0,4,2,3,1047,0,6,1053,0
296,296,189,114,349,3,302,1,0,1,1,1,1,2,0,1,1,3,4,2,975,0,4,979,0
297,297,130,27,134,2,207,1,1,0,0,1,2,0,1,1,2,4,8,3,524,0,3,527,0
298,298,163,35,222,5,222,0,0,0,0,1,0,0,1,1,0,2,4,0,656,0,0,656,0
299,299,158,28,64,3,166,0,0,0,1,0,1,0,0,0,0,0,0,0,421,0,2,423,0
300,300,131,26,165,2,225,0,0,0,2,1,0,1,0,1,0,0,1,0,555,0,1,556,0
301,301,140,11,130,2,155,0,0,0,0,0,0,0,0,0,0,2,3,0,443,0,2,445,0
302,302,102,32,212,2,215,0,1,0,2,2,0,1,0,0,0,7,2,0,578,0,1,579,0
303,303,164,38,191,1,139,0,1,0,0,0,0,0,0,0,1,0,1,0,536,0,2,538,0
304,304,158,46,278,4,164,1,0,0,0,0,0,0,0,0,0,2,1,1,655,0,1,656,0
305,305,189,42,189,0,194,0,0,0,1,1,0,1,0,2,0,0,0,1,620,0,0,620,0
306,306,123,37,206,2,249,1,0,0,0,1,0,0,1,0,1,2,1,0,624,0,4,628,0
307,307,91,16,190,3,240,0,2,0,0,0,1,3,1,0,0,2,1,0,550,0,3,553,0
308,308,92,28,205,4,219,2,0,0,0,1,0,0,2,3,1,2,0,0,559,0,4,563,0
309,309,56,35,181,5,210,1,1,0,0,1,0,2,1,3,1,1,0,0,498,0,2,500,0
310,310,151,23,254,3,251,0,1,0,0,1,0,1,1,0,0,3,1,0,690,0,1,691,0
311,311,139,15,141,1,143,0,0,0,0,0,0,0,1,0,0,0,0,0,440,0,2,442,0
312,312,81,9,105,1,148,0,0,1,0,0,1,0,0,0,0,0,0,0,346,0,2,348,0
313,313,132,30,305,4,345,0,0,1,1,1,1,1,1,1,1,2,1,0,827,0,2,829,0
314,314,634,16,16,0,174,0,0,0,1,0,0,0,0,0,0,2,0,0,843,0,1,844,0
315,315,509,7,55,0,125,1,0,0,0,0,0,2,0,0,1,3,1,0,704,0,1,705,0
316,316,130,17,225,1,302,4,1,0,0,1,0,1,1,1,2,0,1,0,687,0,0,687,0
317,317,342,16,127,2,219,0,1,0,0,0,0,0,0,0,0,1,1,1,710,0,1,711,0
318,318,626,5,22,0,143,0,1,0,0,1,0,0,0,1,0,2,1,0,802,0,5,807,0
319,319,182,14,105,0,133,0,0,0,0,0,0,0,1,0,0,0,0,0,435,0,2,437,0
320,320,132,25,170,1,299,0,0,0,0,0,0,1,0,0,0,2,3,1,634,0,3,637,0
321,321,167,26,156,1,155,0,1,0,1,2,0,3,0,1,1,0,2,1,517,0,2,519,0
322,322,76,21,277,6,291,0,0,1,1,2,0,0,0,2,0,1,0,0,678,0,5,683,0
323,323,53,12,153,4,176,2,0,3,3,2,1,0,1,0,0,1,0,0,411,0,1,412,0
324,324,195,38,234,5,284,2,0,1,0,1,1,2,0,1,0,2,1,0,767,0,6,773,0
325,325,61,8,96,1,121,0,0,1,1,0,0,1,1,2,0,0,1,0,294,0,0,294,0
326,326,91,12,177,4,229,0,1,0,1,1,0,6,0,3,0,3,2,0,530,0,3,533,0
327,327,127,20,254,0,274,0,0,0,1,1,0,1,0,1,0,2,2,1,684,0,1,685,0
328,328,143,25,184,0,262,0,1,0,0,0,0,1,1,0,0,1,1,0,619,0,2,621,0
329,329,93,19,57,2,193,0,0,0,0,1,0,0,0,0,0,0,0,0,365,0,0,365,0
330,330,137,26,213,2,319,1,0,0,1,4,0,1,0,0,0,2,0,0,706,0,1,707,0
331,331,68,7,213,3,247,2,0,1,1,2,1,1,2,1,1,3,2,6,561,0,5,566,0
332,332,108,57,222,4,325,3,0,0,1,1,0,0,1,0,0,1,1,0,724,0,0,724,0
333,333,154,42,303,4,320,2,1,2,1,3,0,0,2,0,0,3,3,0,840,0,5,845,0
334,334,93,24,450,0,343,1,0,1,0,0,0,2,1,3,0,0,1,2,921,0,9,930,0
335,335,146,27,301,1,390,2,1,0,0,1,0,2,3,0,1,2,1,0,878,0,2,880,0
336,336,137,24,221,4,279,0,1,0,1,0,0,2,2,0,0,4,5,1,681,0,3,684,0
337,337,134,15,250,1,217,0,0,0,2,2,0,2,1,0,0,1,3,1,629,0,0,629,0
338,338,109,20,160,1,229,1,3,2,0,3,1,3,0,0,0,2,1,0,535,0,0,535,0
339,339,131,46,129,1,177,3,1,1,1,2,1,5,1,1,3,6,3,1,513,0,3,516,0
340,340,146,28,175,0,154,0,0,0,0,0,0,0,0,1,0,1,0,1,506,0,1,507,0
341,341,188,22,314,2,266,0,0,0,0,3,0,2,0,0,1,2,2,0,802,0,2,804,0
342,342,148,21,324,2,176,2,1,0,1,1,0,0,6,1,2,0,3,0,688,0,2,690,0
343,343,197,39,250,3,395,1,0,2,0,1,0,6,1,1,0,1,2,0,899,0,7,906,0
344,344,144,37,491,2,212,0,0,1,0,2,0,1,1,0,0,4,1,1,897,0,1,898,0
345,345,130,41,295,3,211,17,0,0,1,1,0,1,3,1,2,1,4,1,712,0,2,714,0
346,346,113,9,149,3,123,1,0,0,0,0,0,1,1,0,0,3,7,1,411,0,5,416,0
