Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
121,121,139,475,34,284,0,1,0,1,0,0,0,2,1,2,0,7,2,5,1,0,0,0,1,955,0,2,957,0
122,122,169,328,20,266,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,790,0,1,791,0
123,123,55,423,20,129,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,634,0,2,636,0
124,124,114,436,15,153,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,1,725,0,1,726,0
125,125,98,317,9,240,0,0,0,1,0,0,1,2,2,0,2,1,0,1,0,1,1,0,1,677,0,3,680,0
126,126,152,388,15,330,2,1,1,0,0,0,0,2,1,2,3,5,2,1,1,3,3,0,0,912,0,4,916,0
127,127,233,354,23,364,2,0,0,0,1,0,0,1,0,2,3,4,0,1,0,1,0,0,0,989,0,1,990,0
128,128,146,216,13,268,3,1,0,0,0,1,0,0,2,2,4,4,1,0,0,0,1,0,1,663,0,2,665,0
129,129,85,162,10,170,2,0,0,0,0,0,0,1,3,1,0,2,0,1,1,1,1,0,0,440,0,3,443,0
130,130,118,126,18,265,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,534,0,1,535,0
131,131,91,170,16,257,1,0,1,0,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,544,0,2,546,0
132,132,224,90,40,364,0,1,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,726,0,2,728,0
133,133,169,187,32,370,2,3,0,0,0,0,0,0,2,12,1,1,0,1,0,2,0,0,0,782,0,3,785,0
134,134,127,80,19,193,1,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,426,0,1,427,0
135,135,279,177,22,324,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,809,0,3,812,0
136,136,224,115,25,351,1,0,0,0,0,0,0,0,1,13,0,0,1,1,0,0,0,0,0,732,0,5,737,0
137,137,144,99,13,137,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,401,0,2,403,0
138,138,132,57,12,200,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,408,0,3,411,0
139,139,185,96,30,255,0,2,1,2,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,584,0,6,590,0
140,140,98,78,4,144,1,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,334,0,1,335,0
141,141,142,130,25,269,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,579,0,2,581,0
142,142,207,97,21,379,2,2,0,0,1,0,0,0,0,10,0,1,1,0,0,0,0,0,0,721,0,1,722,0
143,143,138,115,21,408,2,1,0,0,0,0,0,1,4,8,0,7,3,1,2,1,2,0,0,714,0,3,717,0
144,144,209,130,7,299,0,2,0,0,0,1,0,0,1,17,0,0,0,0,0,1,0,0,0,667,0,0,667,0
145,145,153,81,10,281,1,0,0,0,0,0,0,0,1,10,0,1,0,1,0,1,1,0,0,541,0,1,542,0
146,146,139,73,12,270,1,0,2,0,0,1,0,0,0,7,1,1,0,1,0,2,0,0,0,510,0,0,510,0
147,147,194,121,19,339,3,1,2,0,0,0,0,0,1,13,1,3,1,0,0,2,0,0,0,700,0,1,701,0
148,148,138,85,8,207,0,0,0,0,0,0,0,0,1,14,1,1,1,0,1,0,1,0,0,458,0,0,458,0
149,149,224,120,19,383,1,0,0,0,0,0,0,0,1,28,0,0,0,0,0,2,0,0,0,778,0,7,785,0
150,150,182,120,16,313,0,0,10,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,657,0,0,657,0
151,151,130,115,7,203,1,0,0,0,0,0,0,0,0,9,2,1,0,0,0,3,0,0,0,471,0,1,472,0
152,152,200,152,13,335,2,1,1,0,0,0,0,0,1,18,1,1,1,1,0,0,0,0,0,727,0,4,731,0
153,153,218,137,9,308,1,1,0,1,0,0,0,1,0,10,0,4,3,1,0,1,1,0,0,696,0,0,696,0
154,154,142,111,10,256,1,0,0,0,0,0,0,0,0,6,0,1,3,0,0,2,1,0,0,533,0,1,534,0
155,155,235,139,25,302,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,2,0,0,0,712,0,2,714,0
156,156,202,187,16,415,1,3,1,0,0,0,0,0,1,2,0,1,4,0,0,7,2,0,0,842,0,3,845,0
157,157,149,153,11,179,1,2,0,1,0,0,0,0,1,1,0,1,1,0,0,3,1,0,0,504,0,2,506,0
158,158,168,83,20,265,1,0,0,0,0,0,0,0,1,4,0,1,2,0,0,1,0,0,0,546,0,3,549,0
159,159,152,145,21,286,0,2,1,0,1,2,0,0,0,17,0,1,0,1,0,1,0,0,0,630,0,3,633,0
160,160,240,101,21,336,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,703,0,1,704,0
161,161,212,176,17,336,1,0,0,0,0,0,0,0,0,15,0,1,3,0,0,0,0,0,0,761,0,4,765,0
162,162,184,190,23,256,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,658,0,5,663,0
163,163,170,189,13,389,1,1,0,0,0,1,0,0,0,8,0,0,1,0,0,0,1,0,0,774,0,1,775,0
164,164,228,196,13,324,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,1,0,770,0,2,772,0
165,165,122,75,15,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,3,403,0
166,166,84,45,9,158,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,299,0,0,299,0
167,167,166,74,8,312,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,565,0,4,569,0
168,168,144,59,14,260,1,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,486,0,0,486,0
169,169,63,42,11,130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,248,0,0,248,0
170,170,173,106,19,367,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,671,0,1,672,0
171,171,107,62,8,270,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,453,0,1,454,0
172,172,274,107,17,514,1,2,0,1,0,0,0,0,3,0,1,6,1,2,0,3,1,2,0,935,0,2,937,0
173,173,206,125,28,340,2,2,0,1,0,0,0,0,1,2,1,0,1,1,1,1,2,0,1,715,0,2,717,0
174,174,96,61,5,211,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,381,0,2,383,0
175,175,120,79,11,294,1,2,0,0,0,0,0,0,0,0,2,2,0,1,0,4,0,0,0,516,0,1,517,0
