Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
75,241,41,97,4,0,402,0,1,2,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,794,0,2,796,0
76,216,12,107,2,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,5,635,0
77,188,14,72,1,0,218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,496,0,4,500,0
78,139,27,102,1,0,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,4,456,0
79,233,19,55,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,3,647,0
80,193,26,120,0,1,307,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,651,0,5,656,0
81,231,32,83,0,1,292,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,644,0,8,652,0
82,222,25,126,3,1,267,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,652,0,6,658,0
83,162,23,153,0,0,238,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,582,0,3,585,0
84,131,13,49,1,1,263,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,462,0,3,465,0
85,135,16,79,2,0,194,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,428,0,1,429,0
86,274,23,120,3,1,313,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,737,0,10,747,1
87,95,7,65,1,0,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,1,330,0
88,178,13,76,0,3,365,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,644,0,0,644,0
