Polling Station No,SIVAJI PERUMAL,NEHRUJI GUNASEKARAN,K.R.JAYARAM,V.SRINIDHI,N.R.APPATHURAI,SARVESWARAN,S.S.SUNDHARAM,MURUGAN.O,K.S.SRI GIRI PRASATH,AKBAR ALI,M.ASHOK KUMAR,AYOOB RIYAS,N.RAJASEKARAN,UMA PARAMASIVAM,KARTHIK,K.KUMAR BABU,S.SATHEESH,SUBARAMANIAN.N,P.TAMILSELVI,THAHIR HUSSAIN,V.BALAMURUGAN,R.MANIKANDABRABHU,A.MOUNAKUMAR,DR.K.RAJKUMAR,RAJKUMAR.M,VASANTHI,VIJAYAKUMAR,JANANI.D,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
158,1,31,239,111,0,2,1,1,268,1,0,0,1,0,0,1,1,0,4,1,2,0,0,1,0,0,0,0,666,0,8,674,0
159,1,32,204,160,1,1,0,1,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,589,0,11,600,0
160,0,27,252,120,1,0,0,1,239,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,642,0,7,649,0
161,1,32,206,151,0,0,0,0,243,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,2,640,0,9,649,0
162,2,28,217,152,0,0,1,0,262,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,668,0,5,673,0
163,1,22,207,153,1,0,0,0,278,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,669,0,6,675,0
164,0,24,243,133,0,0,0,0,233,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,638,0,3,641,0
165,0,17,181,140,0,0,0,0,184,0,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,1,530,0,3,533,0
166,0,24,222,121,0,0,0,0,255,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,625,0,6,631,1
167,0,23,154,128,1,0,0,0,224,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,536,0,4,540,0
168,2,15,162,139,0,1,1,0,187,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,515,0,1,516,0
169,1,24,175,134,0,1,1,0,192,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,534,0,4,538,0
170,0,41,139,166,1,0,0,1,249,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,600,0,2,602,0
171,2,28,165,112,2,0,0,1,173,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,486,0,8,494,0
172,1,26,177,112,4,1,1,0,186,0,1,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,516,0,5,521,0
173,1,20,91,166,0,0,0,0,205,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,490,0,2,492,0
174,3,27,137,186,2,0,0,0,217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,576,0,0,576,0
175,0,25,119,159,3,0,0,2,174,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,486,0,5,491,0
176,2,26,153,138,0,0,1,1,300,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,1,1,630,0,8,638,1
177,1,18,166,140,0,0,0,0,199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,526,0,5,531,0
178,2,38,145,144,1,0,0,0,207,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,540,0,4,544,0
179,0,36,187,192,0,0,1,0,283,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,703,0,3,706,0
180,0,27,122,147,1,1,0,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,497,0,5,502,1
181,3,28,163,176,1,0,0,0,420,4,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,0,0,0,804,0,1,805,0
182,4,15,149,188,0,1,0,1,267,0,0,1,1,0,0,1,2,1,1,2,0,0,0,0,0,0,0,1,635,0,0,635,0
183,5,23,138,204,0,1,1,2,340,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,721,0,6,727,0
184,0,27,134,160,0,1,0,0,250,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,579,0,6,585,0
