Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
344,343,92,28,140,216,0,0,0,0,1,0,1,1,0,479,0,0,479,0
345,344,135,38,217,267,4,0,1,0,0,0,3,2,0,667,0,1,668,0
346,345,53,16,120,101,1,0,0,0,0,1,2,0,0,294,0,3,297,0
347,346,237,30,72,399,1,1,2,0,0,3,2,1,0,748,0,3,751,0
348,347,285,36,81,295,2,1,0,0,0,0,0,0,2,702,0,5,707,0
349,348,214,49,104,298,1,1,0,0,0,1,3,0,0,671,0,6,677,0
350,349,114,44,157,295,0,0,2,1,1,2,1,0,0,617,0,5,622,0
351,350,126,46,117,334,5,1,1,1,0,1,0,1,1,634,0,5,639,0
352,351,62,20,70,180,2,0,0,1,0,0,1,0,0,336,0,3,339,0
353,352,103,30,137,252,0,1,0,0,0,0,1,1,0,525,0,14,539,0
354,353,123,24,117,235,0,0,2,0,0,0,0,0,0,501,0,10,511,0
355,354,113,34,75,191,2,0,0,0,0,0,0,0,0,415,0,0,415,0
356,355,142,32,120,230,1,3,0,0,0,0,1,1,0,530,0,5,535,0
357,356,116,24,59,244,1,2,0,0,0,1,1,0,0,448,0,3,451,0
358,357,75,26,29,191,0,0,0,0,0,0,2,2,0,325,0,1,326,0
359,358,180,18,47,255,0,3,0,0,0,2,4,0,1,510,0,7,517,0
360,359,148,30,41,238,2,0,1,0,1,1,0,0,1,463,0,0,463,0
