Polling Station No,ANUSHA V,SATHIYANARAYANAN B,RAJA ANBAZHAGAN,ANAND N,RAVI M L,ABUKITHER M,ARAVIND GOSH Y T,EASAN NATARAJAN T,KUMAR SRI SRI B,SATHISH KUMAR B,GNANASEKARAN G,THENNARASU P,PADMINI NARASIMHAN,BADRI S,BALAJI S,PRASATH D,MANIKANDAN T,MANIKANDAN N,MOORTHY N,MYTHILI C,RAMKUMAR L,RAMACHANDRAN O N,RAJESH E,VETRIVEL K,JAYAVEL,JOTHIRAJ G M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
210,27,305,75,161,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,573,0,2,575,0
211,22,381,62,157,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,627,0,7,634,0
212,12,244,54,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,412,0,3,415,0
213,13,257,62,106,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,1,451,0,4,455,0
214,20,368,74,183,2,0,0,0,0,0,0,0,3,1,0,1,1,3,0,0,0,0,0,0,0,0,656,0,5,661,0
215,29,221,49,149,0,1,0,0,0,0,0,0,1,1,0,1,1,2,0,3,0,1,0,0,0,0,459,0,1,460,0
216,19,282,38,134,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,479,0,3,482,0
217,28,371,80,209,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,691,0,7,698,0
218,17,193,84,136,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,435,0,5,440,0
219,16,222,42,104,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,390,0,6,396,0
220,22,274,94,157,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,555,0,6,561,0
221,23,186,93,132,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,439,0,0,439,0
222,28,267,63,143,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,2,507,0
223,17,125,143,219,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,1,1,0,0,0,0,512,0,2,514,0
224,12,79,90,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,355,0,3,358,0
225,20,282,74,173,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,553,0,1,554,0
226,8,137,138,243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,529,0,5,534,0
227,25,265,74,142,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,510,0,1,511,0
228,20,244,82,152,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,502,0,6,508,0
229,21,178,76,122,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,401,0,1,402,0
230,28,322,65,122,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,543,0,6,549,0
231,26,273,50,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,469,0,6,475,0
232,20,221,213,224,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,683,0,5,688,0
233,19,100,121,202,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,449,0,4,453,0
234,18,84,165,182,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,451,0,3,454,0
235,13,115,280,206,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,617,0,4,621,0
236,20,85,188,186,1,3,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,489,0,2,491,0
237,10,44,154,135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,345,0,1,346,0
238,6,110,180,223,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,527,0,1,528,0
239,17,169,121,218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,529,0,2,531,0
240,9,87,139,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,386,0,3,389,0
241,6,102,72,118,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300,0,5,305,0
242,17,169,224,222,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,637,0,4,641,0
243,25,189,142,217,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,579,0,8,587,0
244,12,172,114,137,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,439,0,1,440,0
245,17,187,158,225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,588,0,8,596,0
246,19,124,273,303,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,725,0,5,730,0
247,23,85,320,261,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,692,0,0,692,0
248,22,106,253,157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,2,541,0
249,17,113,141,191,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,465,0,1,466,0
250,30,130,217,202,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,582,0,1,583,0
251,11,84,255,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,572,0,1,573,0
