Polling Station No,E.KRITHIKA,S.SUDHARSANAM,MADHAVARAM V.MOORTHY,N.JANAKIRAMAN,R.KARTHIKEYAN,I.RAFFIK,M.L.VIJAYPRABHU,S.SIVAKUMAR,SUDARSANAM,A.NAGARAJAN,R.S.BALAJI,G.PRABU,A.PONNALAGAN,C.MOORTHY,V.MURTHY,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
324,20,156,144,1,0,0,261,1,0,0,0,3,0,0,0,586,0,1,587,0
325,29,233,319,1,0,3,412,1,2,2,4,0,2,0,0,1008,0,4,1012,0
326,24,220,386,2,0,3,408,0,0,0,0,0,0,1,1,1045,0,10,1055,0
327,12,165,421,1,0,1,257,0,4,0,0,1,0,4,2,868,0,4,872,0
328,24,234,113,3,0,0,522,2,0,1,0,0,0,0,0,899,0,5,904,0
329,18,226,141,3,0,0,437,0,0,0,1,2,0,0,2,830,0,1,831,0
330,1,82,73,0,0,0,110,0,0,1,0,0,0,0,1,268,0,2,270,0
331,9,97,100,0,1,3,237,1,0,0,0,0,0,0,0,448,0,0,448,0
332,17,242,147,0,0,3,263,0,0,0,0,0,0,0,1,673,0,1,674,0
333,13,130,122,0,0,2,235,1,0,1,0,0,0,2,1,507,0,2,509,0
334,20,197,211,4,0,4,440,3,1,0,0,0,0,0,0,880,0,2,882,0
335,19,205,276,1,1,1,504,1,0,2,0,0,0,1,0,1011,0,2,1013,0
336,17,296,254,2,1,2,387,0,1,0,1,1,0,2,0,964,0,2,966,0
337,35,145,120,1,0,2,373,0,1,0,0,0,0,0,0,677,0,3,680,0
338,11,132,96,0,1,2,229,0,0,0,0,0,1,0,0,472,0,1,473,0
339,13,236,102,2,1,4,251,0,0,0,0,0,0,1,0,610,0,0,610,0
340,12,235,93,2,0,1,339,1,0,0,0,1,0,0,0,684,0,1,685,0
341,6,171,236,0,0,1,229,0,1,1,0,0,0,1,0,646,0,1,647,0
342,14,89,107,0,0,0,198,0,1,0,0,0,0,0,0,409,0,0,409,0
343,24,185,202,0,0,2,425,1,2,1,0,1,2,2,1,848,0,2,850,0
344,28,154,109,3,0,2,437,1,0,0,0,1,0,2,0,737,0,0,737,0
345,37,231,77,2,0,0,453,0,1,0,0,0,0,0,0,801,0,6,807,0
346,27,119,63,2,0,1,346,0,0,2,0,1,1,0,0,562,0,3,565,0
347,34,146,77,1,0,2,372,0,0,0,1,1,1,1,2,638,0,3,641,0
348,33,153,87,0,1,2,316,0,0,0,0,2,1,0,0,595,0,3,598,0
349,26,128,117,1,0,2,353,0,0,0,1,0,0,1,0,629,0,0,629,0
350,26,105,61,3,0,1,424,0,0,1,0,0,0,0,1,622,0,2,624,0
351,15,46,62,2,0,0,306,1,0,0,0,0,0,0,0,432,0,1,433,0
352,30,102,63,2,0,0,577,0,0,0,0,0,0,1,0,775,0,1,776,0
353,14,61,45,2,0,3,360,0,0,0,0,0,0,0,0,485,0,1,486,0
354,20,156,58,2,0,2,340,0,0,0,0,1,1,0,1,581,0,4,585,0
355,11,139,79,1,0,0,345,2,0,0,0,0,0,1,0,578,0,1,579,0
356,9,76,109,0,0,1,207,0,0,0,0,0,0,0,0,402,0,2,404,0
357,e 721,141,126,1,0,1,321,0,1,0,0,0,1,0,0,613,0,3,616,0
358,22,141,209,2,0,3,458,1,0,0,0,0,0,1,1,838,0,4,842,0
359,23,202,119,1,1,3,396,0,0,1,0,0,0,0,0,746,0,5,751,0
360,37,215,83,1,0,2,494,0,2,1,0,0,0,1,1,837,0,2,839,0
361,25,109,59,1,0,0,287,0,0,0,0,0,0,0,0,481,0,1,482,0
362,23,129,77,0,0,0,295,0,0,1,0,0,0,0,0,525,0,3,528,0
363,22,117,46,1,1,0,242,0,0,0,0,0,0,0,0,429,0,2,431,0
364,39,177,92,1,1,1,499,0,0,2,0,0,0,1,0,813,0,3,816,0
365,56,196,140,1,0,2,519,1,0,0,1,0,0,0,0,916,0,2,918,0
366,27,251,95,0,1,1,355,1,0,0,0,0,0,0,0,731,0,2,733,0
367,18,164,98,0,0,2,371,1,0,1,0,0,0,0,1,656,0,1,657,0
368,21,184,131,2,0,0,409,0,1,0,0,0,0,0,1,749,0,3,752,0
369,22,240,74,1,0,2,409,0,1,0,0,1,0,0,0,750,0,1,751,0
370,29,189,98,0,0,1,432,0,0,2,0,0,0,0,1,752,0,3,755,0
371,10,62,43,0,0,0,141,0,0,0,0,0,0,0,0,256,0,2,258,0
372,53,200,105,1,2,1,455,1,0,0,0,0,0,0,0,818,0,2,820,0
373,62,213,107,1,0,0,465,0,0,0,0,1,0,0,0,849,0,3,852,0
374,43,165,149,1,0,0,406,1,0,0,0,0,0,0,0,765,0,2,767,0
375,60,194,111,1,0,1,492,0,0,1,1,0,0,1,0,862,0,5,867,0
376,26,105,117,0,0,2,323,1,1,1,0,1,0,0,1,578,0,4,582,0
377,24,158,177,0,0,1,516,0,0,0,1,3,0,0,0,880,0,2,882,0
378,26,117,161,0,0,0,332,1,0,0,1,3,0,1,0,642,0,1,643,0
379,15,71,97,0,0,1,171,1,0,0,0,0,0,0,0,356,0,0,356,0
380,45,137,160,1,0,2,452,0,0,0,0,2,0,0,0,799,0,3,802,0
381,42,190,111,0,0,0,407,0,1,1,0,1,1,0,0,754,0,4,758,0
382,33,135,134,1,0,2,483,2,0,3,1,2,2,2,2,802,0,3,805,0
383,37,185,195,0,0,1,471,0,1,0,1,0,0,1,1,893,0,1,894,0
384,36,125,103,0,1,0,354,0,1,0,1,1,0,1,0,623,0,1,624,0
385,22,58,148,1,0,1,319,0,1,0,1,0,0,0,2,553,0,0,553,0
386,41,128,97,0,0,1,436,0,0,1,0,1,0,1,0,706,0,0,706,0
387,8,39,33,1,0,0,94,0,0,0,0,0,0,0,0,175,0,2,177,0
388,22,201,221,1,0,0,429,0,1,0,0,0,0,1,2,878,0,2,880,0
389,31,282,102,2,1,0,488,0,0,0,0,1,0,0,0,907,0,5,912,0
390,20,151,162,0,1,0,399,0,0,1,1,1,0,0,0,736,0,1,737,0
391,43,187,135,0,1,1,512,0,0,0,1,0,0,0,0,880,0,3,883,0
392,19,173,73,1,0,1,376,0,0,0,0,0,0,0,0,643,0,2,645,0
393,13,109,90,1,0,0,308,0,0,1,0,0,0,0,0,522,0,1,523,0
394,16,325,131,1,1,1,394,0,0,0,0,0,0,0,1,870,0,2,872,0
395,19,107,244,0,0,0,419,0,0,1,0,0,0,3,0,793,0,0,793,0
396,22,181,248,2,1,2,429,1,2,1,0,1,1,0,4,895,0,2,897,0
397,3,95,156,2,1,0,211,0,1,0,0,0,0,2,2,473,0,2,475,0
398,22,140,240,3,0,2,417,0,2,1,0,0,1,1,2,831,0,0,831,0
399,31,180,227,6,1,2,525,0,0,1,0,0,2,0,1,976,0,3,979,0
400,24,242,95,20,1,1,497,0,0,0,0,1,0,0,0,881,0,4,885,0
401,6,69,72,1,0,0,255,0,0,1,0,2,0,1,1,408,0,1,409,0
402,19,110,106,1,0,1,320,0,1,2,0,1,0,1,1,563,0,2,565,0
403,40,107,71,0,0,0,376,0,1,0,0,0,0,0,0,595,0,3,598,0
404,59,180,149,1,0,0,473,0,0,0,0,0,0,0,1,863,0,3,866,0
405,1,34,17,0,0,0,123,0,0,0,0,1,0,0,0,176,0,0,176,0
406,39,213,87,5,1,1,548,2,4,1,0,0,1,0,0,902,0,6,908,0
407,39,198,225,1,0,1,478,2,1,1,0,2,0,2,1,951,0,1,952,0
408,e 819,252,201,2,1,1,321,0,1,0,0,1,0,3,3,805,0,1,806,0
409,13,179,106,1,0,2,495,0,2,1,1,0,0,0,1,801,0,0,801,0
410,30,123,82,4,1,2,540,0,0,1,0,1,0,1,0,785,0,5,790,0
411,16,226,120,0,1,3,594,1,0,1,0,0,0,0,3,965,0,1,966,0
412,9,131,81,2,0,0,257,0,0,0,0,0,0,0,0,480,0,2,482,0
413,29,249,257,1,2,3,455,1,0,2,1,0,0,1,1,1002,0,2,1004,0
414,13,97,82,0,0,1,309,0,0,0,0,0,0,0,0,502,0,0,502,0
415,7,96,110,1,0,2,204,1,0,0,0,0,1,0,0,422,0,6,428,0
416,29,169,156,0,0,1,299,0,0,0,0,1,0,0,0,655,0,4,659,0
417,20,130,108,1,0,1,374,0,0,0,0,0,0,1,0,635,0,2,637,0
418,19,198,100,4,0,3,339,0,0,0,0,0,0,0,3,666,0,0,666,0
419,26,153,167,2,0,3,399,0,0,0,0,0,1,1,0,752,0,1,753,0
420,19,220,203,5,0,2,414,0,1,0,1,0,0,0,0,865,0,2,867,0
421,19,120,89,2,1,0,356,0,0,1,1,1,2,0,2,594,0,1,595,0
422,17,162,89,1,0,1,293,1,0,0,0,0,1,0,2,567,0,0,567,0
423,14,271,137,6,0,3,312,1,2,1,0,1,0,1,1,750,0,3,753,0
424,25,92,160,2,0,1,418,1,0,0,1,2,0,1,0,703,0,3,706,0
425,25,245,118,1,0,4,522,1,3,2,0,2,1,0,2,926,0,2,928,0
426,9,163,87,2,0,0,213,0,0,1,0,0,0,2,1,478,0,0,478,0
427,16,205,108,1,1,1,484,1,0,0,1,0,1,2,0,821,0,0,821,0
428,19,109,71,0,0,1,333,0,1,0,0,0,0,0,1,535,0,2,537,0
429,14,101,90,1,0,1,242,0,0,0,0,0,0,0,1,450,0,0,450,0
430,8,146,59,0,0,1,252,0,0,0,0,1,1,0,0,468,0,1,469,0
431,16,108,72,1,0,0,215,0,0,0,0,0,0,0,0,412,0,2,414,0
432,13,98,56,2,0,2,270,1,0,1,0,0,0,0,0,443,0,2,445,0
433,13,150,50,0,0,2,279,1,0,1,0,0,0,0,0,496,0,2,498,0
434,16,182,99,1,0,0,376,1,0,0,0,2,0,1,0,678,0,5,683,0
435,13,133,74,0,0,3,331,0,0,0,0,0,0,0,0,554,0,0,554,0
436,26,139,141,1,1,0,329,0,0,0,1,1,0,0,0,639,0,4,643,0
437,26,145,150,1,0,5,513,0,1,1,0,0,0,2,1,845,0,2,847,0
438,25,190,114,1,0,1,436,0,0,0,0,0,0,0,1,768,0,1,769,0
439,9,175,108,1,1,1,343,0,0,0,0,0,1,0,0,639,0,3,642,0
440,11,237,185,3,0,0,269,1,0,1,0,1,0,0,1,709,0,4,713,0
441,24,110,75,0,1,1,245,1,0,0,1,0,0,0,1,459,0,0,459,0
442,22,166,77,0,1,0,301,1,1,0,0,1,0,0,1,571,0,1,572,0
443,20,217,68,0,1,1,434,2,0,2,0,0,3,0,1,749,0,2,751,0
444,25,199,38,0,1,3,656,1,0,1,0,3,2,0,0,929,0,3,932,0
445,25,210,44,1,1,1,516,0,0,1,0,0,0,0,1,800,0,4,804,0
446,16,176,135,1,0,1,450,1,0,2,0,0,0,0,0,782,0,1,783,0
447,23,111,81,0,0,1,361,1,1,0,0,0,0,0,1,580,0,1,581,0
448,29,131,58,0,0,3,384,0,1,0,0,0,0,0,0,606,0,6,612,0
449,17,133,77,0,1,0,317,0,0,1,0,1,0,1,1,549,0,0,549,0
450,19,144,65,1,1,1,434,0,1,1,2,0,1,1,0,671,0,1,672,0
451,23,132,81,0,3,5,420,2,0,2,1,2,0,1,1,673,0,1,674,0
452,12,139,101,2,5,1,440,0,0,0,0,1,1,0,1,703,0,4,707,0
453,17,96,41,0,1,1,257,1,0,2,1,1,0,0,0,418,0,0,418,0
454,26,176,124,3,1,4,480,0,0,1,0,0,0,0,1,816,0,5,821,0
455,23,168,74,0,0,1,471,0,0,0,0,0,1,1,1,740,0,3,743,0
456,39,164,68,0,1,0,490,1,0,2,0,0,3,0,0,768,0,2,770,0
457,29,141,60,0,0,3,506,1,0,1,0,1,0,0,2,744,0,3,747,0
458,17,111,91,0,0,0,339,0,0,0,0,1,0,0,0,559,0,2,561,0
459,e 912,151,83,0,0,1,277,1,0,0,0,1,0,1,0,527,0,1,528,0
460,17,144,55,0,0,0,331,0,0,0,0,1,0,0,1,549,0,0,549,0
461,21,159,67,0,1,2,277,0,1,0,0,0,0,0,0,528,0,0,528,0
462,33,217,103,0,1,4,562,1,1,1,0,0,0,0,1,924,0,3,927,0
463,19,89,50,0,1,1,321,1,0,0,0,0,1,1,0,484,0,1,485,0
464,46,168,79,3,0,0,510,2,0,1,2,0,1,0,0,812,0,1,813,0
465,24,115,59,0,0,2,234,1,1,0,0,0,1,0,0,437,0,1,438,0
466,32,125,58,0,0,1,371,0,0,0,1,0,0,0,0,588,0,2,590,0
467,41,176,97,1,0,0,521,0,0,0,0,1,1,2,0,840,0,2,842,0
468,16,117,64,0,0,2,266,0,0,1,0,0,0,0,0,466,0,4,470,0
469,19,129,55,0,0,2,320,0,0,0,0,0,0,0,0,525,0,1,526,0
470,15,110,53,0,0,0,277,0,0,0,0,0,0,0,0,455,0,0,455,0
471,23,96,45,0,0,0,313,0,0,1,0,1,0,0,0,479,0,5,484,0
472,25,145,81,0,2,1,365,0,0,0,0,2,0,0,0,621,0,1,622,0
473,20,73,59,0,0,1,206,0,1,0,0,0,0,0,0,360,0,0,360,0
474,15,95,34,2,0,1,266,0,0,0,0,0,0,0,0,413,0,0,413,0
475,23,128,64,0,0,2,287,0,0,0,0,0,0,0,0,504,0,2,506,0
476,14,161,41,1,1,0,231,0,0,1,0,1,0,1,0,452,0,1,453,0
477,12,183,42,0,0,0,453,1,0,0,0,0,0,0,0,691,0,0,691,0
478,41,156,68,0,0,0,351,0,0,0,1,0,0,0,0,617,0,1,618,0
479,23,152,39,2,0,0,408,0,0,0,0,0,0,0,0,624,0,5,629,0
480,15,86,40,0,2,1,228,0,0,0,0,0,0,0,0,372,0,3,375,0
481,22,111,66,1,0,0,430,0,0,0,0,0,0,0,0,630,0,2,632,0
482,37,136,72,0,0,1,370,0,0,1,1,0,0,0,1,619,0,2,621,0
483,26,133,54,1,1,1,296,0,0,0,0,0,0,0,0,512,0,1,513,0
484,27,189,73,2,0,1,416,1,0,0,0,0,0,0,2,711,0,3,714,0
485,47,195,45,0,0,0,418,1,1,0,0,1,0,0,0,708,0,0,708,0
486,27,127,71,1,0,2,309,0,1,0,0,1,0,0,0,539,0,4,543,0
487,36,201,104,0,1,4,383,1,0,0,1,0,0,0,0,731,0,0,731,0
488,37,215,204,1,0,3,435,1,1,1,0,0,0,0,0,898,0,5,903,0
489,20,168,106,2,0,0,314,0,0,1,0,0,0,0,0,611,0,6,617,0
490,30,220,175,1,0,2,668,1,1,1,1,0,1,1,1,1103,0,3,1106,0
491,9,173,217,1,0,2,383,1,1,3,0,0,1,2,0,793,0,2,795,0
492,13,184,122,2,1,4,322,0,1,0,1,0,0,1,1,652,0,0,652,0
493,17,101,66,1,0,2,194,2,0,0,0,0,0,0,0,383,0,1,384,0
494,13,255,91,1,1,1,233,0,0,0,0,0,0,0,1,596,0,1,597,0
495,30,258,113,2,0,2,432,1,0,0,0,0,0,1,0,839,0,2,841,0
496,25,169,117,2,0,4,431,0,0,0,0,0,2,0,0,750,0,6,756,0
497,26,171,144,0,0,1,497,1,0,1,0,0,0,1,0,842,0,2,844,0
498,12,102,69,1,1,1,287,0,0,0,0,0,0,0,0,473,0,2,475,0
499,13,158,204,2,2,2,405,0,0,1,0,0,0,2,0,789,0,3,792,0
500,25,130,68,0,0,2,289,0,1,0,0,0,0,0,0,515,0,1,516,0
501,21,140,65,0,0,0,226,1,0,0,0,1,1,0,1,456,0,2,458,0
502,4,49,21,0,0,1,107,0,0,0,0,0,0,0,0,182,0,0,182,0
503,26,198,103,0,1,4,339,0,1,0,0,2,0,0,0,674,0,1,675,0
504,23,170,82,2,0,2,351,2,1,1,1,1,0,0,0,636,0,0,636,0
505,31,196,63,0,0,1,298,0,0,0,0,1,0,0,0,590,0,3,593,0
506,17,159,73,0,1,1,414,0,0,1,0,0,0,0,0,666,0,2,668,0
507,21,153,89,0,1,3,313,0,0,0,0,0,0,0,0,580,0,1,581,0
508,18,157,110,0,3,0,338,1,0,0,0,0,0,0,1,628,0,4,632,0
509,29,178,106,0,0,2,555,0,0,1,0,0,1,0,1,873,0,2,875,0
510,e 1202,217,104,0,1,0,325,0,1,0,0,0,1,0,0,671,0,2,673,0
511,10,84,73,0,0,0,139,0,0,0,0,0,0,0,0,306,0,2,308,0
512,13,124,60,0,1,2,185,1,0,0,0,0,0,0,0,386,0,3,389,0
513,29,147,109,1,0,0,302,0,1,0,0,0,0,0,0,589,0,2,591,0
514,17,132,73,0,0,0,256,0,0,1,0,0,1,0,2,482,0,2,484,0
515,17,192,89,2,0,1,243,0,0,0,0,0,0,0,0,544,0,0,544,0
516,26,177,95,0,0,3,454,0,0,0,1,1,0,0,0,757,0,4,761,0
517,18,180,67,0,0,2,288,2,0,0,0,0,1,0,1,559,0,0,559,0
518,32,178,132,1,0,3,290,1,0,0,0,0,0,0,0,637,0,4,641,0
519,21,186,73,0,1,0,275,0,0,0,0,2,0,0,0,558,0,5,563,0
520,43,152,113,0,1,2,316,0,0,1,0,0,0,1,0,629,0,3,632,0
521,38,178,113,0,1,0,441,0,0,2,0,0,0,0,0,773,0,4,777,0
522,19,165,139,1,2,3,411,1,0,1,0,0,0,0,0,742,0,4,746,0
523,14,122,65,1,0,2,200,0,0,0,0,0,1,0,0,405,0,2,407,0
524,23,152,83,0,1,0,255,0,1,0,0,1,1,0,0,517,0,1,518,0
525,27,152,75,0,2,1,275,0,1,0,0,0,0,0,0,533,0,2,535,0
526,21,122,132,1,0,0,315,0,0,0,0,0,0,0,0,591,0,1,592,0
