Polling Station No,V. SOMASUNDARAM,NITHYA SUGUMAR,VETRISELVI,R.V. RANJITHKUMAR,M. NANDHAKUMAR,V. NARESH,P. VENKATESAN,M. SOMASUNDARAM,V. SOMASUNDARAM,GNANAMOORTHY,C. DILLIBABU,E. DHAKSHNAMOORTHY,G. BABU,M. BALAJI,M. MEGANATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
23,282,281,19,358,3,0,0,0,1,0,0,0,1,1,0,946,0,0,946,0
24,224,260,22,260,1,0,0,0,0,0,0,0,1,0,0,768,0,0,768,0
25,252,314,25,353,2,0,0,0,0,0,1,1,1,1,0,950,0,5,955,0
26,310,258,12,294,1,1,0,0,0,0,0,0,2,0,1,879,0,4,883,0
27,315,235,10,68,0,0,0,0,0,0,0,0,0,0,1,629,0,4,633,0
28,274,180,14,100,0,0,0,1,0,0,0,0,1,0,0,570,0,4,574,0
29,176,166,19,122,1,1,0,0,0,0,0,1,1,1,0,488,0,1,489,0
30,300,220,10,247,0,0,0,0,0,1,0,0,1,1,2,782,0,2,784,0
31,258,224,24,102,0,1,0,0,0,0,0,0,0,1,0,610,0,0,610,0
32,284,301,21,206,1,0,0,0,0,1,0,0,3,1,4,822,0,4,826,0
33,547,142,21,180,1,0,0,0,0,1,0,0,1,0,1,894,0,3,897,0
34,373,124,9,157,1,1,0,0,0,0,0,0,0,0,1,666,0,3,669,0
35,171,230,15,172,0,0,0,0,0,0,0,0,2,0,0,590,0,0,590,0
36,495,199,25,158,1,0,4,0,0,0,1,0,1,1,1,886,0,4,890,0
37,234,111,13,293,2,1,0,0,0,0,0,0,3,0,0,657,0,2,659,0
38,128,201,14,189,1,0,0,0,0,0,0,0,0,1,0,534,0,2,536,0
39,216,326,16,233,0,0,0,1,0,0,0,1,0,0,5,798,0,2,800,0
40,453,223,25,187,1,1,0,0,0,0,0,1,0,0,4,895,0,4,899,0
41,245,320,16,323,0,0,0,0,0,0,0,0,1,0,2,907,0,4,911,0
42,231,310,22,234,0,1,0,1,0,0,0,0,1,0,3,803,0,0,803,0
43,362,323,11,209,0,1,1,0,0,0,0,4,0,1,2,914,0,4,918,0
44,420,295,17,288,0,0,0,0,0,0,0,0,2,1,1,1024,0,2,1026,0
45,415,170,25,302,1,3,0,1,0,0,2,0,1,0,4,924,0,3,927,0
46,107,382,19,369,0,0,0,1,0,0,0,2,0,0,0,880,0,2,882,0
47,181,309,23,278,2,1,0,0,0,0,0,0,2,2,8,806,0,5,811,0
48,385,235,20,361,1,1,0,3,0,0,0,2,0,1,4,1013,0,5,1018,0
49,168,215,22,287,0,0,0,0,0,0,0,1,1,0,1,695,0,3,698,0
50,204,173,10,278,1,0,0,0,0,0,0,2,0,0,4,672,0,1,673,0
51,125,131,8,144,0,1,1,0,0,0,0,0,0,0,1,411,0,1,412,0
52,284,286,26,268,1,0,0,0,0,0,0,1,1,0,0,867,0,4,871,0
53,227,160,15,285,1,0,0,0,1,0,1,2,2,1,1,696,0,1,697,0
54,382,316,20,314,0,0,0,0,0,0,0,2,0,0,2,1036,0,3,1039,0
55,123,145,18,207,1,0,0,0,0,0,1,0,0,0,1,496,0,5,501,0
56,121,142,26,243,0,0,2,0,0,0,0,0,0,0,0,534,0,6,540,0
57,179,107,22,186,0,0,0,0,0,0,0,0,1,1,0,496,0,5,501,0
58,168,165,20,237,0,0,1,0,0,0,0,1,0,0,2,594,0,3,597,0
59,178,179,32,263,1,1,0,0,0,0,0,0,0,0,0,654,0,9,663,0
60,137,133,14,197,0,1,2,0,0,0,0,0,0,0,1,485,0,6,491,0
61,141,129,13,230,4,0,0,0,0,0,0,0,0,0,0,517,0,9,526,0
62,161,203,17,283,0,0,0,0,0,0,0,0,0,0,0,664,0,2,666,0
63,172,203,27,295,1,0,0,0,1,0,0,1,0,0,0,700,0,6,706,0
64,171,133,27,192,1,0,2,0,0,0,0,0,0,0,0,526,0,5,531,0
65,108,169,14,163,2,0,0,1,0,0,0,0,0,0,0,457,0,3,460,0
66,88,119,12,131,0,0,1,0,0,0,0,0,1,0,0,352,0,1,353,0
67,181,203,27,181,0,0,0,1,0,0,1,0,1,0,0,595,0,2,597,0
68,148,129,16,194,0,0,0,0,0,0,0,0,0,1,0,488,0,5,493,0
69,210,140,25,223,3,0,0,0,0,0,0,0,0,0,2,603,0,5,608,0
70,198,151,21,275,1,0,0,0,0,0,0,0,0,1,0,647,0,3,650,1
71,287,220,21,276,1,2,0,0,0,0,0,0,1,1,2,811,0,2,813,0
72,319,280,20,324,1,2,1,0,0,0,0,0,2,0,1,950,0,8,958,0
73,283,238,39,261,0,1,0,0,0,0,0,1,1,0,1,825,0,2,827,0
74,243,225,20,218,0,0,1,0,0,0,0,0,1,1,3,712,0,3,715,0
75,192,239,22,443,1,0,0,0,0,0,0,1,2,0,0,900,0,4,904,0
76,183,227,22,288,0,1,0,0,0,0,1,0,3,0,2,727,0,3,730,0
77,184,182,34,342,0,0,0,0,0,0,0,1,0,1,1,745,0,4,749,0
78,161,157,23,186,1,2,0,0,0,1,0,0,0,0,0,531,0,2,533,0
79,272,178,26,306,2,0,0,0,0,0,0,0,0,1,1,786,0,4,790,0
80,52,597,4,117,0,0,0,0,0,0,0,3,1,0,1,775,0,1,776,1
81,65,477,9,147,0,0,0,0,0,0,0,0,0,0,1,699,0,1,700,0
82,172,226,14,219,0,0,1,0,0,0,0,0,1,0,0,633,0,0,633,0
83,222,243,19,264,0,2,1,0,0,1,0,2,2,0,3,759,0,4,763,0
84,250,280,18,312,1,1,0,0,0,0,0,0,1,0,2,865,0,5,870,0
85,120,199,17,183,0,1,0,0,0,0,0,1,0,0,1,522,0,7,529,0
86,204,196,23,311,0,1,0,0,0,0,0,1,0,1,0,737,0,1,738,0
87,322,175,38,313,1,1,0,0,0,0,1,2,1,1,0,855,0,6,861,0
88,61,73,18,80,0,0,0,0,1,0,0,0,1,0,0,234,0,6,240,0
89,204,178,15,177,0,0,0,1,1,0,0,0,2,0,0,578,0,3,581,0
90,207,224,27,226,1,1,0,1,1,0,0,1,0,0,1,690,0,6,696,0
91,249,182,15,231,0,1,0,1,0,0,0,0,1,0,0,680,0,1,681,0
92,214,210,23,263,1,2,2,1,0,1,0,0,1,0,0,718,0,3,721,0
93,161,317,18,298,2,0,0,0,0,0,0,0,0,0,0,796,0,4,800,0
94,216,140,19,200,1,2,1,0,0,0,0,0,0,0,1,580,0,1,581,0
95,107,325,23,267,0,0,0,0,0,0,0,0,1,0,0,723,0,1,724,0
96,124,357,12,193,3,0,0,0,1,1,0,0,0,0,0,691,0,1,692,0
97,155,182,9,272,2,0,2,0,0,0,0,0,0,0,3,625,0,2,627,0
98,113,97,20,300,0,7,3,0,0,0,0,0,0,0,0,540,0,1,541,0
99,139,145,13,188,1,10,4,0,0,0,0,0,0,0,0,500,0,3,503,0
100,100,91,12,181,0,2,0,0,0,0,0,0,1,0,0,387,0,2,389,0
101,207,144,25,312,0,15,0,0,1,0,0,1,0,0,0,705,0,3,708,0
102,288,239,39,416,0,2,1,0,0,0,0,1,0,1,2,989,0,5,994,0
103,179,208,35,319,0,1,0,0,0,0,0,3,0,0,0,745,0,2,747,0
104,147,211,21,234,1,1,0,0,0,1,0,0,6,0,0,622,0,2,624,0
105,99,137,2,166,0,0,0,1,0,0,0,2,0,0,0,407,0,0,407,0
106,190,245,14,313,1,0,0,0,0,0,0,0,1,0,0,764,0,6,770,0
107,187,142,13,297,0,0,0,0,1,0,0,2,1,0,1,644,0,0,644,0
108,107,172,8,254,0,0,1,0,0,1,0,1,3,2,1,550,0,2,552,0
109,119,165,22,203,0,0,0,0,0,0,0,0,0,0,1,510,0,0,510,0
110,220,191,15,309,0,0,1,0,0,0,0,1,1,2,0,740,0,1,741,0
111,185,172,16,231,0,0,0,0,0,0,0,0,4,0,0,608,0,2,610,0
112,150,153,9,227,0,2,2,0,0,1,0,1,0,1,0,546,0,2,548,0
113,91,110,13,126,0,0,0,0,0,0,0,1,0,0,0,341,0,0,341,0
114,217,206,11,288,0,0,0,0,0,0,0,1,0,0,1,724,0,2,726,0
115,221,184,19,297,1,0,1,0,0,0,0,1,0,1,0,725,0,4,729,0
116,254,223,27,353,0,0,2,1,0,1,0,2,2,0,0,865,0,5,870,0
117,173,175,27,286,0,1,0,0,1,0,0,0,2,1,0,666,0,2,668,0
118,243,120,19,163,0,0,0,1,1,0,0,0,0,0,2,549,0,3,552,0
119,162,195,32,255,0,1,0,1,0,1,0,0,1,0,0,648,0,7,655,0
120,235,171,19,243,1,1,0,0,0,0,0,1,2,0,0,673,0,3,676,0
121,131,167,15,143,1,0,0,1,0,0,0,1,0,0,1,460,0,0,460,0
122,98,123,9,126,2,0,0,0,0,0,0,0,0,0,0,358,0,2,360,0
123,92,76,10,113,0,0,0,0,0,0,0,0,0,1,0,292,0,3,295,0
124,164,195,9,215,0,0,0,0,0,0,0,0,0,0,0,583,0,5,588,0
125,203,102,9,141,0,1,0,0,0,0,0,0,0,0,0,456,0,1,457,0
126,138,189,19,219,0,1,0,0,0,0,0,1,1,1,0,569,0,2,571,0
127,186,156,21,226,1,0,0,0,0,0,0,2,1,0,1,594,0,6,600,0
128,146,156,20,280,2,2,4,0,0,0,0,0,1,0,0,611,0,4,615,0
129,146,146,19,132,0,0,0,0,0,0,0,0,1,0,0,444,0,3,447,0
130,203,224,23,306,0,0,1,2,0,1,0,0,4,2,0,766,0,3,769,0
131,257,103,26,213,1,0,2,0,0,0,0,0,0,0,0,602,0,3,605,0
