Polling Station No,ALAGAAPURAM. R. MOHANRAJ,GUNASEKARAN .R,SURESH KUMAR.R,ARUL RAMADAS,KARTHE.M,PRABU .K,RAJ KUMAR .G,LAKSHMANAN.S,AMIRTHALINGAM.N,ARUL .S,ARUL. T,ARUL.D,ARUL.P,KARTHICK.M,KARTHICK.R,KUMAR.A.P,CHANDRASEKARAN.G,SELVAM.R,DHANAPAL,THIYAGARAJAN.M,BHARATH.S,BHARANITHARAN.D.K,PANNEERSELVAM.P,ER.PRABAKARAN.S,PERUMAL. A,MANOHAR.C,MOHAN RAJ. R,RADHAKRISHNAN. R,VIJAYAKUMAR. S,VELMANIKANDAN. S,SRISABARINATHAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
61,82,1,14,58,172,3,7,471,2,1,1,1,2,0,0,2,4,0,0,2,1,0,0,4,3,1,0,0,0,4,3,839,0,3,842,0
62,77,3,16,27,211,3,5,440,4,0,0,1,3,1,1,1,1,0,0,1,0,0,0,12,1,0,0,0,0,4,0,812,0,2,814,0
63,71,0,20,33,162,0,0,339,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,1,3,0,0,0,2,3,640,0,3,643,0
64,80,1,21,57,160,2,7,507,3,0,1,2,1,0,0,2,4,1,1,0,3,1,0,5,7,4,0,0,2,7,2,881,0,1,882,0
65,103,2,12,74,280,5,2,400,1,0,0,0,0,1,0,0,1,2,0,2,1,3,0,4,0,2,0,0,0,2,0,897,0,2,899,0
66,88,1,19,19,232,0,3,367,2,0,0,1,0,0,0,1,2,1,0,1,1,0,0,2,0,0,0,0,0,1,2,743,0,4,747,0
67,57,2,8,56,275,1,6,488,0,0,0,2,0,1,0,1,0,1,0,1,5,2,1,4,1,5,1,0,0,3,4,925,0,1,926,0
68,117,1,14,106,155,1,0,422,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,3,829,0,3,832,0
69,79,0,21,69,81,1,3,293,0,0,0,1,1,2,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,561,0,3,564,0
70,68,4,17,40,149,4,1,242,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,2,0,536,0,1,537,0
71,151,4,17,61,195,1,0,441,1,1,0,4,3,1,1,3,2,0,0,0,1,1,0,2,1,0,1,0,1,1,2,896,0,7,903,0
72,108,1,11,21,83,0,0,215,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,446,0,1,447,0
73,126,3,25,33,178,0,2,547,0,0,0,1,2,1,0,0,6,6,3,4,4,3,0,11,0,2,0,3,1,4,8,973,0,8,981,0
74,165,4,16,43,193,2,1,511,8,0,0,0,2,1,1,3,1,1,0,1,0,0,0,4,0,1,0,0,0,0,3,961,0,5,966,0
75,126,9,17,31,151,2,3,420,1,0,0,0,3,0,1,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0,771,0,1,772,0
76,175,2,41,51,195,4,8,467,3,0,1,1,2,0,0,1,1,0,0,0,2,1,0,0,2,0,0,0,1,1,0,959,0,8,967,0
77,181,1,24,31,198,0,2,558,0,0,0,0,3,0,0,1,1,1,1,1,1,1,0,3,2,1,0,0,0,1,0,1012,0,5,1017,0
78,160,0,32,42,132,1,1,501,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,2,0,1,0,0,2,3,0,883,0,0,883,0
79,146,1,21,45,80,0,2,538,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,839,0,5,844,0
80,169,1,41,36,73,0,0,555,0,0,1,2,0,0,0,0,1,1,0,0,3,0,0,3,1,0,0,2,0,1,1,891,0,2,893,0
81,128,2,26,96,117,0,2,480,1,0,2,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,863,0,2,865,0
82,164,0,18,34,159,1,6,404,0,0,1,1,1,0,0,2,1,1,0,1,2,2,0,2,1,0,0,0,0,1,1,803,0,2,805,0
83,146,1,7,29,122,1,3,482,3,1,0,0,2,1,1,3,0,0,0,0,2,0,1,3,2,4,0,0,2,4,3,823,0,3,826,0
84,122,2,26,58,168,3,2,431,0,1,0,3,0,3,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,827,0,1,828,0
85,122,1,30,36,266,2,2,642,2,0,0,0,0,0,1,1,2,2,1,0,1,1,0,2,1,0,0,0,0,0,0,1115,0,3,1118,0
