Polling Station No,Polling,A LAMMAGALA,K RAMUKAVLES,R NAHTANAWSIV MAHTAN,S XELA,N L HSEMAR,P NARAKESAJAR,S RAMUKAYAJIV,R LAPOG,NIASU MAHTAS M,C RADNUS,K INABADNAHD,C NAVLESLIMAT,V NADNAKINAM,S MAIKCORA AIRAM,K NAGURUM,C NASEGURUM,S NANAHTRANAJ AMAR,K LEVIDAV,S RAMUKAYAJIV,G NASETAKNEV,P HSETAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
169,169,56,213,318,1,188,0,0,1,0,0,0,1,2,2,3,4,1,3,0,0,0,793,0,1,794,0
170,170,22,105,331,2,165,0,0,3,0,0,0,2,1,0,0,2,1,2,1,0,0,637,0,4,641,0
171,171,15,165,224,1,106,0,0,2,0,1,0,0,2,0,2,0,0,0,1,0,0,519,0,1,520,0
172,172,16,129,177,0,122,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,447,0,0,447,0
173,173,50,201,340,4,266,0,0,1,0,0,0,0,0,2,0,0,1,2,4,1,0,872,0,2,874,0
174,174,23,182,150,0,91,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,453,0,2,455,0
175,175,15,118,277,2,210,0,0,1,1,0,1,0,0,1,0,3,0,0,0,1,1,631,0,1,632,0
176,176,32,232,197,1,289,1,1,2,0,0,0,0,0,0,0,2,0,2,1,1,1,762,0,7,769,0
177,177,25,159,252,1,173,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,616,0,3,619,0
178,178,20,159,156,1,173,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,515,0,4,519,0
179,179,24,180,278,0,168,0,0,1,0,1,0,0,0,2,0,0,0,0,3,5,2,664,0,2,666,0
180,180,37,434,278,3,211,0,0,1,0,0,0,1,1,1,1,2,3,1,3,1,3,981,0,2,983,0
181,181,17,128,248,1,233,0,0,0,1,1,0,0,1,1,2,2,1,3,2,2,1,644,0,1,645,0
182,182,28,172,293,2,215,0,1,1,0,0,0,0,1,1,0,3,0,2,4,0,1,724,0,1,725,0
183,183,18,101,162,1,212,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,496,0,1,497,0
184,184,17,108,172,3,174,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,481,0,3,484,0
185,185,16,130,179,3,209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,538,0,1,539,0
186,186,16,117,145,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,470,0,3,473,0
187,187,17,54,97,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,342,0
188,188,15,194,177,1,113,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,508,0,1,509,0
189,189,4,209,166,5,74,1,0,3,0,0,1,1,1,4,3,2,0,2,0,0,2,478,0,2,480,0
190,190,21,129,178,1,140,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,473,0,0,473,0
191,191,22,215,294,1,114,0,0,3,1,0,0,0,0,0,2,1,0,1,2,0,0,656,0,2,658,0
192,192,27,369,311,4,232,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,951,0,0,951,0
193,193,29,149,139,1,155,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,479,0,0,479,0
194,194,57,147,160,3,231,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,601,0,3,604,0
195,195,14,147,162,1,107,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,437,0,2,439,0
196,196,4,212,196,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,494,0,1,495,0
197,197,9,280,210,1,127,0,0,3,0,0,0,0,0,0,1,2,1,3,2,0,1,640,0,1,641,0
198,198,13,557,138,1,91,1,1,3,0,0,0,1,0,0,2,1,0,4,2,1,0,816,0,0,816,0
199,199,12,320,218,5,117,0,0,2,1,2,0,0,0,0,0,2,2,1,0,1,0,683,0,2,685,0
200,200,12,301,384,6,148,0,0,2,0,0,1,1,3,4,3,0,1,9,0,1,0,876,0,2,878,0
201,201,24,173,263,2,125,0,0,2,0,0,0,0,0,1,2,0,2,1,2,1,1,599,0,1,600,0
202,202,35,194,340,4,144,0,0,0,0,0,0,0,1,2,2,0,1,2,2,1,0,728,0,1,729,0
203,203,57,300,410,2,144,0,0,1,1,0,0,2,1,2,0,1,0,5,2,0,1,929,0,2,931,0
204,204,41,225,294,2,282,0,0,2,0,0,0,0,1,0,0,1,0,2,1,0,2,853,0,3,856,0
205,205,27,220,285,2,291,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,832,0,4,836,0
206,206,18,179,290,1,102,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,594,0,1,595,0
207,207,8,46,117,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,245,0,1,246,0
208,208,11,259,268,5,172,1,0,3,0,0,0,1,0,0,0,1,1,1,5,1,1,730,0,1,731,0
209,209,53,248,436,2,146,0,0,2,0,0,0,1,1,0,2,0,1,2,3,0,3,900,0,1,901,0
210,210,36,241,446,1,214,1,0,2,0,0,0,0,0,0,1,0,3,0,4,2,0,951,0,0,951,0
