Polling Station No,SABARI KARTHIKEYAN K.V.K.S,DAMODARAN S,BANUPRIYA M,MARIYAPPAN R,VIGNESH K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
242,221,228,22,2,404,877,0,4,881,0
243,258,121,30,0,262,671,0,1,672,0
244,158,226,33,0,292,709,0,5,714,0
245,126,134,22,3,241,526,0,3,529,0
246,222,244,16,2,341,825,0,4,829,0
247,158,231,16,1,189,595,0,6,601,0
248,346,284,29,3,309,971,0,4,975,0
249,336,346,15,1,269,967,0,3,970,0
250,236,248,22,0,229,735,0,4,739,0
251,141,151,26,1,236,555,0,5,560,0
252,193,230,40,1,322,786,0,9,795,0
253,258,283,21,0,422,984,0,2,986,0
254,221,82,13,1,139,456,0,3,459,0
255,231,262,31,0,282,806,0,3,809,0
256,167,305,27,1,344,844,0,8,852,0
257,298,168,21,1,206,694,0,4,698,0
258,166,207,19,2,355,749,0,1,750,0
259,419,50,5,0,225,699,0,0,699,0
260,234,204,10,1,234,683,0,3,686,0
261,160,132,22,1,242,557,0,2,559,0
262,157,170,30,1,380,738,0,8,746,0
263,141,131,15,2,292,581,0,4,585,0
264,308,215,39,1,460,1023,0,6,1029,0
265,216,159,29,1,415,820,0,4,824,0
266,210,219,18,2,237,686,0,1,687,0
267,203,210,36,4,281,734,0,4,738,0
268,288,241,20,1,239,789,0,6,795,0
269,186,187,13,0,322,708,0,4,712,0
270,190,190,18,3,287,688,0,8,696,0
271,265,307,29,2,213,816,0,3,819,0
272,194,231,21,1,277,724,0,2,726,0
273,266,292,24,2,386,970,0,10,980,0
274,219,412,29,1,235,896,0,8,904,0
275,209,411,22,1,263,906,0,5,911,0
276,238,399,13,6,250,906,0,4,910,0
277,141,143,8,0,115,407,0,4,411,0
278,148,227,11,0,235,621,0,7,628,0
279,340,235,21,1,205,802,0,4,806,0
280,158,190,10,5,251,614,0,3,617,0
281,254,181,11,4,236,686,0,3,689,0
282,145,252,10,0,210,617,0,6,623,0
283,140,247,12,2,132,533,0,2,535,0
284,138,108,10,0,86,342,0,1,343,0
285,210,284,24,1,201,720,0,5,725,0
286,283,195,29,1,262,770,0,4,774,0
287,204,237,26,1,204,672,0,3,675,0
288,205,318,25,1,232,781,0,6,787,0
289,233,380,28,1,235,877,0,7,884,0
290,220,262,22,4,198,706,0,6,712,0
291,228,239,16,0,268,751,0,7,758,0
292,157,324,20,2,228,731,0,6,737,0
293,277,326,19,2,255,879,0,5,884,0
294,285,362,21,3,236,907,0,8,915,0
295,264,326,25,2,247,864,0,8,872,0
296,155,248,19,2,199,623,0,4,627,0
297,327,224,18,1,300,870,0,4,874,0
298,120,205,18,0,111,454,0,2,456,0
299,325,344,19,2,199,889,0,6,895,0
300,242,301,24,1,283,851,0,4,855,0
301,135,147,21,0,156,459,0,4,463,0
302,252,402,41,2,256,953,0,11,964,0
303,173,219,17,1,207,617,0,3,620,0
304,119,213,9,2,140,483,0,3,486,0
305,239,269,18,2,215,743,0,1,744,0
306,359,293,19,1,334,1006,0,6,1012,0
307,249,298,41,3,332,923,0,3,926,0
308,295,268,28,0,292,883,0,3,886,0
309,246,325,42,2,349,964,0,9,973,0
310,192,231,28,3,333,787,0,4,791,0
311,266,195,16,1,293,771,0,6,777,0
312,171,276,32,3,197,679,0,8,687,0
313,233,247,25,3,394,902,0,5,907,0
314,281,268,57,1,363,970,0,9,979,0
315,241,142,28,1,357,769,0,10,779,0
316,182,187,26,3,277,675,0,4,679,0
317,183,196,27,3,281,690,0,4,694,0
318,212,153,39,3,244,651,0,3,654,0
319,242,258,34,2,292,828,0,2,830,0
320,241,155,42,1,265,704,0,6,710,0
321,226,185,39,1,324,775,0,0,775,0
322,216,192,32,1,244,685,0,3,688,0
323,148,265,27,1,190,631,0,5,636,0
324,244,378,32,3,244,901,0,2,903,0
325,256,278,43,2,345,924,0,6,930,0
326,322,353,33,2,310,1020,0,2,1022,0
327,175,211,10,1,169,566,0,7,573,0
328,218,259,19,2,211,709,0,7,716,0
329,287,326,23,0,305,941,0,4,945,0
330,318,255,24,3,219,819,0,10,829,0
331,172,189,11,3,176,551,0,4,555,0
332,169,209,13,1,147,539,0,9,548,0
333,158,221,12,3,119,513,0,10,523,0
334,153,181,21,0,154,509,0,2,511,0
335,132,150,7,1,119,409,0,2,411,0
336,254,203,4,2,125,588,0,5,593,0
337,190,149,11,0,134,484,0,4,488,0
338,289,242,26,3,189,749,0,4,753,0
339,196,145,27,0,229,597,0,1,598,0
340,102,61,26,0,176,365,0,3,368,0
341,274,193,34,5,357,863,0,8,871,0
342,251,149,25,1,296,722,0,6,728,0
343,226,226,24,4,199,679,0,5,684,0
344,210,215,22,3,144,594,0,4,598,0
345,181,204,15,3,254,657,0,5,662,0
346,238,155,12,1,206,612,0,4,616,0
347,234,218,31,6,379,868,0,7,875,0
348,168,224,17,1,330,740,0,5,745,0
349,184,198,26,7,336,751,0,8,759,0
350,201,181,16,1,226,625,0,4,629,0
351,177,189,16,4,113,499,0,5,504,0
352,200,239,5,0,128,572,0,2,574,0
353,182,207,17,2,142,550,0,3,553,0
354,296,122,29,3,332,782,0,7,789,0
355,305,125,27,1,246,704,0,4,708,0
356,177,139,16,0,151,483,0,3,486,0
357,287,149,34,1,280,751,0,2,753,0
358,358,113,35,1,274,781,0,3,784,0
359,291,171,34,1,176,673,0,2,675,0
360,126,103,9,2,131,371,0,3,374,0
361,318,236,19,2,226,801,0,8,809,0
362,279,284,29,2,244,838,0,5,843,0
363,264,181,14,2,163,624,0,5,629,0
364,211,224,24,1,138,598,0,5,603,0
365,206,135,7,0,64,412,0,4,416,0
366,221,279,19,1,150,670,0,7,677,0
