Polling Station No,P. SANTHANA KRISHNAN,SUBASHINI,SOUNDARA PANDIAN LUDER SETH,M. K. STALIN,AATHITHYA,E. RAAMADASAN,OORMILA,K. ELUMALAI,SIVAGNANASAM,S.Y. SYED YUSUF,V. S. BABU,ARUL DOSS. A.,KAJA MAIDEEN,V. A. SUDHAKAR,M. SURESH,J. SURIYA MUTHU,R. SENTHIL KUMAR,SELVI STEFFI. V. M,NANDA KUMAR,A. L. NARESH KUMAR,V. NARESH BABU,K. PANNEER SELVAM,S. BALACHANDAR,R. BALAJI,M. POORNIMA,R. MAHESH,P. MILANY,R. RAVIKUMAR,R. RAJ GURU,RAJA. G.,A. RAJI,M. RAJESHKUMAR,VIGIRDHAN,FARMER JAYARAMAN. S K J.,S. SHARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
161,97,0,11,272,0,0,1,0,0,1,285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,669,0,4,673,0
162,45,3,10,327,1,0,2,0,0,1,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,689,0,3,692,0
163,64,1,16,298,0,0,0,0,0,3,275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,660,0,3,663,1
164,72,0,21,296,2,0,0,0,0,1,366,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,762,0,4,766,0
165,75,0,13,239,0,0,0,0,0,0,302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,633,0,3,636,0
166,82,1,16,225,0,0,0,0,0,1,313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,640,0,1,641,0
167,54,0,28,283,0,0,0,0,0,4,309,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,681,0
168,80,0,12,235,0,0,0,0,2,1,257,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,592,0,3,595,0
169,58,1,15,259,0,0,0,0,0,1,294,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,5,635,0
170,37,0,12,220,1,1,2,0,1,5,329,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,613,0,2,615,0
171,69,0,16,268,0,0,0,1,0,0,299,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,662,0,6,668,0
172,43,1,8,252,1,0,0,0,0,2,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,2,583,0
173,29,0,6,197,0,0,0,0,0,1,229,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,466,0,0,466,0
174,54,0,5,203,0,0,1,0,0,0,214,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,480,0,5,485,0
175,48,1,22,256,1,1,0,0,0,4,351,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,690,0,3,693,0
176,49,1,25,213,1,0,0,0,0,1,275,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,569,0,3,572,0
177,72,2,13,253,0,1,1,0,0,4,301,0,1,0,1,1,1,0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,0,0,0,661,0,1,662,0
178,43,1,17,190,0,0,0,0,0,1,206,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,460,0,2,462,0
179,22,1,4,387,1,0,1,0,0,4,287,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,712,0,5,717,0
180,29,0,9,104,0,0,1,0,0,0,148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,3,295,0
181,43,1,9,313,1,0,0,0,0,0,296,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,670,0,0,670,0
182,71,0,19,375,1,0,0,0,0,2,394,0,1,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,4,0,0,1,0,0,0,874,0,4,878,0
183,28,0,13,326,0,0,1,0,0,1,290,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,672,0,3,675,0
184,17,1,11,287,1,0,0,0,0,2,366,0,0,0,0,1,2,0,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,696,0,0,696,0
185,56,2,17,206,0,0,0,0,0,2,336,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,624,0,2,626,0
186,16,0,5,384,0,0,0,0,1,0,229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,637,0,0,637,0
187,28,0,11,365,1,0,0,0,0,2,222,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,636,0,0,636,0
188,31,1,9,386,2,0,0,0,1,2,286,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,1,0,2,0,0,728,0,2,730,0
189,40,0,15,357,0,0,0,0,0,1,391,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,811,0,4,815,0
190,41,1,9,385,1,0,2,0,0,0,235,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,684,0,0,684,0
191,46,1,11,294,1,1,0,0,0,1,214,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,573,0,2,575,0
192,29,1,8,368,3,1,0,0,0,0,268,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,682,0,3,685,0
193,32,0,10,380,1,0,0,0,0,2,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,610,0,2,612,0
194,49,1,10,303,0,0,0,0,0,2,288,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,656,0,3,659,0
195,53,0,14,306,0,0,1,1,0,3,292,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,674,0,2,676,0
196,51,0,13,340,2,0,1,0,0,1,369,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,782,0,4,786,0
197,57,1,9,298,1,1,0,0,0,1,325,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,700,0,3,703,0
198,56,0,8,216,0,0,1,0,0,4,243,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,535,0,1,536,0
199,15,0,11,495,1,0,0,0,1,1,220,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,750,0,3,753,0
200,12,0,5,519,1,0,0,0,0,4,211,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,760,0,0,760,0
201,35,0,5,395,0,0,0,0,0,3,172,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,2,614,0
202,13,0,7,485,1,0,1,0,0,2,214,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,729,0,0,729,0
203,61,0,26,304,1,0,0,0,0,0,275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,670,0,3,673,0
204,42,0,20,190,0,0,0,0,0,2,197,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,458,0,2,460,0
205,47,1,12,191,1,0,0,0,0,5,281,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,542,0,0,542,0
206,26,0,8,244,0,0,2,0,0,3,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,504,0,4,508,0
207,66,1,16,241,2,0,1,0,0,1,306,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,640,0,1,641,0
208,26,1,14,262,1,0,0,0,0,2,404,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,715,0,3,718,0
209,38,1,6,234,0,0,0,0,0,2,268,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,553,0,3,556,0
210,56,0,13,261,0,0,0,0,0,1,336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,668,0,0,668,0
211,45,1,34,343,1,1,1,0,0,0,315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,2,745,0
212,32,0,12,149,0,0,0,0,0,1,123,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,321,0,2,323,1
213,29,0,16,253,1,0,0,0,0,1,308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,610,0,3,613,0
214,57,0,13,327,1,0,0,0,0,2,334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,2,737,0
215,29,0,5,334,1,0,0,0,0,1,205,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,578,0,4,582,0
216,37,2,15,333,0,1,0,0,0,1,318,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,715,0,1,716,0
217,52,1,19,282,1,1,0,0,0,2,340,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,702,0,3,705,1
218,49,0,19,375,0,0,0,0,0,0,394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,843,0,2,845,0
219,26,0,10,238,0,0,0,1,0,3,307,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,593,0,1,594,0
220,63,1,26,273,0,0,0,0,0,9,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,617,0,6,623,0
221,63,1,20,203,0,1,0,0,0,3,301,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,598,0,1,599,0
222,48,0,16,195,2,0,1,0,0,1,332,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,605,0,5,610,0
223,48,0,11,181,0,0,0,0,0,5,362,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,612,0,6,618,0
224,82,0,19,170,0,0,0,0,0,3,293,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,574,0,6,580,0
225,48,0,24,235,0,0,0,0,0,1,311,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,621,0,2,623,0
226,96,2,22,225,1,0,0,0,0,2,318,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,671,0,4,675,0
227,91,0,21,185,1,0,1,0,0,2,265,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,571,0,5,576,0
228,35,4,13,333,2,0,0,0,0,3,238,1,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,635,0,6,641,0
229,31,0,7,328,0,1,0,0,0,2,241,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,619,0,5,624,0
230,37,4,8,280,0,0,0,1,0,1,197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,4,533,0
231,90,7,19,256,1,0,0,0,0,3,313,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,3,694,0
232,70,4,23,225,0,1,0,0,0,0,311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,638,0,3,641,0
233,43,1,10,196,0,0,0,0,0,0,315,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,3,572,0
234,52,5,9,312,2,0,0,0,0,1,278,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,4,666,0
235,42,26,17,233,0,0,0,1,0,1,229,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,555,0,4,559,0
236,47,2,11,182,0,0,0,0,0,0,190,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,440,0,7,447,0
237,ge 3 25,1,5,177,1,0,0,0,1,2,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,378,0,4,382,0
238,33,0,8,351,0,1,1,0,0,1,336,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,3,736,0
239,32,0,6,296,1,1,1,0,0,0,252,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,599,0,0,599,0
240,102,2,17,257,0,1,0,0,0,0,362,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,748,0,4,752,0
241,46,0,11,253,0,1,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,603,0,3,606,0
242,72,1,13,230,0,0,0,0,0,2,269,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,592,0,4,596,0
243,51,0,13,183,0,0,1,0,0,2,207,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,3,467,0
244,71,1,17,291,2,1,1,0,0,3,350,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,748,0,0,748,0
245,35,0,12,277,1,1,0,0,0,4,485,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,824,0,0,824,0
246,110,1,13,212,1,0,2,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,597,0,5,602,0
247,43,1,13,145,0,0,0,0,0,5,338,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,552,0,1,553,0
248,61,4,24,189,0,1,1,0,0,2,273,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,2,560,0
249,69,0,7,232,0,0,4,0,0,1,169,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,487,0,4,491,0
250,49,2,17,270,1,0,0,1,0,0,306,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,649,0,2,651,0
251,41,1,18,192,1,0,0,0,0,2,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,501,0,3,504,0
252,64,0,25,244,1,0,1,0,0,1,281,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,623,0,1,624,0
253,35,1,18,212,0,0,0,0,0,0,227,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,500,0,2,502,0
254,78,0,28,300,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,6,688,0
255,57,1,15,232,1,0,0,0,0,1,273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,583,0,6,589,0
256,75,1,14,296,1,1,0,0,0,1,293,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,689,0,3,692,0
257,63,2,25,231,0,0,0,0,0,2,321,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,649,0,3,652,0
258,67,1,26,186,0,0,1,0,0,2,214,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,502,0,1,503,0
259,43,0,16,287,3,0,0,0,0,0,313,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,9,674,0
260,79,2,28,395,3,0,0,0,0,4,345,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,863,0,7,870,0
261,114,0,21,263,1,0,1,1,0,0,187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,592,0,5,597,0
262,69,0,33,265,2,0,0,0,0,3,380,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,763,0,2,765,0
263,45,0,10,258,1,0,2,0,0,3,264,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,588,0,3,591,0
264,64,1,19,260,2,0,1,0,0,5,283,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,640,0,4,644,0
265,33,0,7,174,1,0,0,0,0,1,176,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,2,396,0
266,60,0,26,212,3,1,1,0,0,1,364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,2,671,0
267,10,0,6,290,1,1,0,0,0,2,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,502,0,2,504,0
268,13,3,6,523,0,0,0,0,0,1,245,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,4,1,0,0,0,0,0,804,0,2,806,0
269,27,1,10,278,1,0,0,0,0,2,382,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,709,0,3,712,0
270,37,0,12,187,1,1,2,0,1,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,489,0,2,491,0
271,43,1,12,278,0,0,2,0,0,1,276,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,619,0,5,624,0
272,23,0,14,355,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,4,644,0
273,58,0,16,282,2,0,0,0,0,1,332,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,697,0,7,704,0
274,44,0,13,307,1,0,0,1,0,1,332,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,702,0,3,705,0
275,84,1,9,193,0,0,1,1,0,4,311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,606,0,2,608,0
276,76,1,24,225,0,1,0,0,0,2,267,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,604,0,4,608,0
277,75,1,10,227,1,0,0,0,0,1,236,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,554,0,2,556,1
278,97,0,17,254,3,0,0,0,0,1,393,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,3,770,0
279,81,0,17,194,0,0,0,0,0,0,281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,4,578,0
280,61,0,17,213,1,0,0,0,0,2,302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,601,0,2,603,0
281,79,0,19,207,0,0,1,0,0,1,196,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,512,0,3,515,0
282,39,0,13,369,0,0,3,0,0,2,251,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,686,0,5,691,0
283,19,0,2,283,2,0,0,0,0,0,264,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,575,0,4,579,0
284,60,1,19,265,0,0,1,0,0,1,336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,687,0,6,693,1
285,60,0,24,315,0,0,0,0,0,1,378,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,783,0,1,784,0
286,56,1,10,213,0,0,0,0,0,1,232,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,2,0,0,1,2,0,0,524,0,2,526,0
