Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,286,0,1177,552,0,16,117,0,0,0,3,0,361,0,2,0,0,0,8,1064,0,1064,0
287,287,0,1173,247,0,30,540,0,0,0,2,0,240,0,2,0,0,0,2,1067,0,1067,0
288,288,0,854,150,0,31,354,0,0,0,2,0,163,0,3,0,0,0,5,711,0,711,0
289,289,0,765,169,0,20,323,0,0,0,0,0,157,0,2,0,0,0,1,676,0,676,0
290,290,0,475,62,0,0,286,0,0,0,0,0,75,0,0,0,0,0,1,431,0,431,0
291,291,0,790,69,0,14,526,0,0,0,0,0,94,0,3,0,0,0,0,712,0,712,0
292,292,0,861,603,0,7,53,0,0,0,0,0,127,0,0,0,0,0,3,793,0,793,0
293,293,0,507,280,0,3,47,0,0,0,0,0,121,0,0,0,0,0,2,457,0,457,0
294,294,0,739,278,0,14,256,0,0,0,0,0,139,0,0,0,0,0,2,697,0,697,0
295,295,0,897,430,0,0,201,2,0,5,0,0,152,0,0,0,0,0,0,802,0,802,0
296,296,0,751,127,0,20,352,0,0,6,0,0,158,0,0,0,0,0,0,675,0,675,0
297,297,0,946,106,0,37,478,0,0,14,0,0,238,0,0,0,0,0,0,880,0,880,0
298,298,0,735,385,0,0,161,0,0,0,0,0,107,0,0,0,0,0,0,662,0,662,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,301,0,603,354,0,5,47,0,0,0,0,0,122,0,0,0,0,0,3,539,0,539,0
302,302,0,719,405,0,12,82,0,0,0,0,0,163,0,0,0,0,0,2,670,0,670,0
303,303,0,851,371,0,18,165,0,0,0,0,0,194,0,0,0,0,0,0,761,0,761,0
304,304,0,661,18,0,14,399,0,0,27,0,0,82,0,0,0,0,0,0,541,0,541,0
305,305,0,696,38,0,13,422,0,0,24,0,0,100,0,0,0,0,0,0,600,0,600,0
306,306,0,700,273,0,14,149,0,0,2,0,0,169,0,0,0,0,0,0,612,0,612,0
307,307,0,723,442,0,0,41,0,0,0,0,0,129,0,0,0,0,0,0,624,0,624,0
308,308,0,703,59,0,12,365,0,0,19,0,0,99,0,0,0,0,0,0,558,0,558,0
309,309,0,895,418,0,0,181,0,0,11,0,0,144,0,0,0,0,0,5,769,0,769,0
