Polling Station No,S. SELVAM,RUBY.R.MANOHARAN,R. JANARTHANAN,R. ESAKKIMUTHU,S. SHUNMUGA SUNDARAM,CHITHIRAI SELVAN,TAMILSELVI,THULASI SUDALAI,REDDIARPATTI V. NARAYANAN,KRISH.MARIAPPAN,DR.S.VELLAI DURAI,M. ARUNA,R.ANANTHI,N.KALABERUMAL,M. KUMAR,T. SANKAR,SHANMUGAM,THANITHANGAM,NALLAKKANNU ALIAS KARTHIC.K,A.RANI NADAR ALIAS PUSHPARANI,S.MARIYAPPAN,SUDAROLI S.MURUGAN YADHAV B.COM,T. RAJKUMAR,T. LINGADURAI,DEV.P.JEGADEESAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
214,63,136,2,153,1,2,17,1,343,1,2,1,1,0,4,0,0,0,0,2,2,0,1,0,1,733,0,3,736,0
215,55,166,1,141,0,0,22,2,345,0,4,1,0,0,2,0,1,0,1,1,1,2,0,2,2,749,0,9,758,0
216,69,131,1,218,0,2,14,0,380,0,4,0,0,0,4,0,0,1,1,0,0,2,1,0,0,828,0,9,837,0
217,49,149,4,215,0,2,5,0,243,6,6,3,0,0,3,0,0,0,1,0,0,0,0,3,0,689,0,4,693,0
218,32,64,1,116,0,1,5,1,247,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,1,476,0,2,478,0
219,26,64,0,172,0,1,3,1,191,0,6,0,0,0,0,1,0,1,0,2,0,0,0,0,0,468,0,1,469,0
220,26,57,2,315,1,0,14,1,178,0,12,0,0,0,12,1,0,0,1,5,1,0,0,0,0,626,0,1,627,0
221,39,81,2,48,0,1,194,0,146,2,0,3,0,1,3,2,1,1,0,1,1,1,0,0,1,528,0,2,530,0
222,46,154,2,269,1,2,3,2,256,3,7,3,0,4,5,1,1,0,1,2,2,1,1,1,0,767,0,2,769,0
223,48,121,1,183,0,1,1,3,255,0,15,0,0,0,0,0,0,2,2,5,10,4,1,5,1,658,0,4,662,0
224,44,219,6,99,1,2,12,2,165,1,4,0,0,1,4,0,0,0,0,5,1,0,1,0,1,568,0,8,576,0
225,31,165,0,15,0,0,17,1,135,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,370,0,0,370,0
226,30,183,2,196,0,2,37,1,190,2,3,1,0,1,8,2,0,2,0,2,1,0,0,1,0,664,0,1,665,0
227,78,127,0,67,0,2,31,1,177,0,1,0,0,0,3,2,3,2,0,0,3,0,1,0,0,498,0,3,501,0
228,31,101,1,222,0,0,3,1,218,1,1,0,1,0,5,0,1,1,2,3,1,0,0,4,0,597,0,2,599,0
229,36,140,1,107,0,0,2,1,178,0,2,0,0,0,3,1,2,0,0,2,1,0,1,0,0,477,0,4,481,0
230,63,234,5,132,0,0,1,1,182,0,1,0,0,0,4,0,2,0,0,0,1,0,0,0,1,627,0,2,629,0
231,59,367,0,68,0,0,2,0,202,0,0,0,0,0,0,2,2,5,0,2,1,1,1,0,1,713,0,3,716,0
232,57,111,2,207,1,3,116,1,156,0,3,1,2,0,3,1,1,1,0,1,3,0,1,2,1,674,0,1,675,0
233,30,133,1,94,0,2,240,0,98,1,2,1,1,0,9,3,0,1,0,1,0,1,1,1,0,620,0,0,620,0
234,ge 44,3 223,1,235,2,0,0,3,307,3,3,1,0,1,28,1,0,0,0,3,8,3,1,0,1,868,0,2,870,0
235,61,204,3,177,0,1,0,1,277,5,1,0,1,5,7,6,1,2,0,4,6,3,0,3,1,769,0,3,772,0
236,62,123,3,191,1,0,49,1,280,6,8,0,0,1,12,6,1,1,3,5,9,1,2,1,2,768,0,1,769,0
237,75,111,2,49,0,1,4,2,184,0,1,0,0,2,2,1,0,1,0,2,2,0,0,0,0,439,0,1,440,0
238,40,82,1,127,1,4,254,3,179,2,0,3,0,2,8,3,1,1,1,3,6,0,2,2,0,725,0,2,727,0
239,65,171,2,187,0,5,53,2,304,4,0,1,0,4,21,5,1,1,1,1,1,1,3,0,0,833,0,2,835,0
240,28,96,1,94,1,1,2,2,149,3,0,1,0,3,0,1,0,2,0,1,2,0,0,1,0,388,0,4,392,0
241,89,150,2,106,0,1,86,2,281,3,3,1,1,0,4,0,2,1,0,4,3,2,0,2,2,745,0,1,746,0
242,82,184,0,25,1,1,0,1,390,0,0,1,0,0,1,2,0,1,0,1,1,0,0,1,0,692,0,1,693,0
243,51,169,1,246,1,0,4,0,212,1,1,0,0,0,3,1,0,0,2,1,17,0,1,0,1,712,0,0,712,0
244,64,185,0,185,0,2,3,0,325,3,9,1,2,0,4,0,2,2,1,3,4,1,0,1,0,797,0,1,798,0
245,127,145,3,60,2,4,148,0,244,4,1,3,1,0,3,0,2,0,0,0,2,0,0,0,1,750,0,4,754,0
246,19,45,0,8,0,2,389,1,35,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,503,0,1,504,0
247,43,83,1,58,0,1,21,0,148,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,358,0,0,358,0
248,58,90,2,79,1,3,16,1,174,2,7,1,1,3,10,6,0,0,0,3,3,0,0,0,0,460,0,1,461,0
249,29,40,1,9,0,2,291,0,102,4,0,1,2,1,1,7,3,3,1,1,1,0,7,0,1,507,0,0,507,0
250,19,198,0,111,0,0,0,0,163,0,0,0,1,2,1,1,1,0,0,4,1,0,0,0,1,503,0,0,503,0
251,53,64,2,163,0,0,1,1,199,2,1,0,0,2,13,0,1,0,0,1,7,0,0,0,1,511,0,1,512,0
252,35,108,0,188,0,1,1,0,252,2,3,0,0,0,0,1,2,0,1,1,0,0,0,0,0,595,0,3,598,0
253,43,279,0,126,1,1,5,2,202,2,1,0,1,1,3,1,0,0,0,1,0,2,0,0,0,671,0,2,673,0
254,43,174,0,169,3,2,2,0,214,3,0,0,0,1,1,2,1,1,0,2,3,0,1,0,0,622,0,1,623,0
255,21,129,1,165,0,1,6,3,275,10,3,1,0,1,3,2,1,4,0,3,1,1,0,1,3,635,0,3,638,0
256,26,142,2,95,0,1,7,0,219,2,2,0,0,0,3,0,0,0,0,0,1,1,1,0,0,502,0,2,504,0
257,56,124,0,43,0,1,315,2,191,4,0,5,1,1,6,3,2,4,1,4,1,0,5,3,2,774,0,1,775,0
258,119,253,2,41,1,1,18,1,318,7,1,0,0,1,7,0,1,4,0,0,2,0,1,0,0,778,0,4,782,0
259,45,154,1,108,0,1,44,2,187,10,2,3,0,1,3,1,1,2,0,0,0,0,0,0,0,565,0,1,566,0
260,49,109,1,43,3,5,445,2,163,5,0,6,1,0,3,1,3,3,0,5,4,0,4,1,1,857,0,0,857,0
261,63,106,2,169,0,2,1,2,197,1,1,3,1,1,10,2,2,3,2,1,7,2,1,1,1,581,0,1,582,0
262,53,104,5,46,0,0,1,1,212,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,430,0,0,430,0
263,58,68,0,130,1,2,1,2,163,0,1,0,1,0,5,0,1,0,0,1,0,0,0,0,0,434,0,0,434,0
264,60,106,0,11,0,0,0,0,117,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,298,0,0,298,0
265,32,93,4,218,0,1,1,0,184,3,3,0,0,4,23,2,0,0,0,1,1,1,0,0,1,572,0,1,573,0
266,34,93,1,107,0,4,82,3,108,3,3,0,0,1,9,4,1,0,1,0,2,2,0,0,0,458,0,0,458,0
267,105,192,2,46,1,1,10,2,181,0,3,2,0,0,3,2,1,0,0,1,1,0,1,1,0,555,0,2,557,0
268,83,231,3,43,2,3,184,0,196,2,2,1,0,0,2,1,0,1,0,4,3,0,0,0,0,761,0,1,762,0
269,66,108,0,64,1,2,1,1,157,2,1,1,0,0,1,2,1,3,1,0,4,0,0,1,0,417,0,1,418,0
270,52,85,1,165,3,1,19,2,126,1,1,1,2,0,1,1,0,2,1,1,0,0,0,0,0,465,0,0,465,0
271,63,161,3,89,1,4,57,2,168,3,2,1,0,1,3,1,1,0,1,2,2,1,0,0,0,566,0,0,566,0
272,52,136,2,138,0,3,198,0,185,14,2,4,0,0,4,2,1,4,2,5,8,2,1,0,0,763,0,1,764,0
273,75,180,2,39,0,3,113,0,315,1,2,5,0,2,1,3,0,5,1,3,2,0,0,0,2,754,0,1,755,0
274,48,93,0,85,2,0,32,4,229,0,0,0,0,2,3,0,1,1,0,0,4,1,1,0,2,508,0,3,511,0
275,19,77,2,87,0,0,218,2,110,1,0,0,0,0,1,1,3,1,0,1,1,0,1,0,0,525,0,2,527,0
276,41,142,0,110,0,3,14,0,155,4,1,0,3,0,1,1,0,2,1,2,2,0,0,2,2,486,0,1,487,0
277,36,80,2,53,0,0,0,0,175,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,352,0,1,353,0
278,8,44,1,221,1,2,0,0,104,2,6,1,1,1,2,1,0,0,2,1,3,1,0,0,0,402,0,4,406,0
279,13,62,1,203,0,0,0,0,150,0,11,0,0,2,3,0,0,1,2,1,5,0,0,0,0,454,0,4,458,0
280,7,65,1,161,0,0,1,0,114,0,4,0,0,1,0,1,0,0,2,1,3,0,0,0,1,362,0,3,365,0
281,14,70,0,295,1,2,0,0,153,1,9,0,3,1,2,0,0,1,0,6,2,1,1,0,1,563,0,1,564,0
282,27,82,0,139,0,0,1,1,151,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,408,0,0,408,0
283,26,76,0,146,1,0,1,0,160,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,415,0,0,415,0
284,20,160,2,144,0,1,5,0,168,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3,511,0,1,512,0
285,18,59,1,425,2,3,1,4,174,1,13,2,0,1,5,0,1,0,3,6,17,4,2,0,2,744,0,0,744,0
286,13,50,3,500,0,3,1,0,123,1,13,0,0,0,5,1,1,2,4,1,12,0,0,0,0,733,0,1,734,0
287,9,40,2,287,2,4,1,2,72,3,3,2,2,2,7,4,1,1,7,2,9,2,2,1,2,469,0,5,474,0
288,46,107,0,77,2,0,53,1,237,0,1,2,1,1,1,0,2,1,0,1,4,1,0,0,1,539,0,3,542,0
289,25,113,0,108,2,1,3,2,164,3,1,0,0,0,2,0,1,0,1,2,1,0,0,2,0,431,0,0,431,0
290,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0
291,14,33,3,371,0,2,2,0,90,0,8,0,1,0,9,1,0,0,1,0,1,0,0,0,0,536,0,1,537,0
292,70,107,3,190,1,2,1,1,257,0,1,1,1,0,3,0,2,1,1,3,2,2,3,2,0,654,0,1,655,0
293,47,106,1,101,0,2,75,1,295,1,0,0,1,0,1,1,1,0,1,4,2,0,1,0,1,642,0,2,644,0
294,57,62,4,130,2,0,1,0,213,1,1,0,3,0,3,1,0,2,0,3,2,1,1,0,1,488,0,2,490,0
295,24,94,2,155,0,2,0,1,206,0,17,0,0,2,1,1,0,0,0,2,5,0,0,0,0,512,0,1,513,0
296,29,57,0,117,1,1,1,0,162,1,5,0,0,0,0,0,0,0,0,1,3,1,0,1,0,380,0,0,380,0
297,21,36,2,11,0,0,0,0,59,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,134,0,1,135,0
298,48,56,1,216,2,2,3,2,203,1,9,2,4,1,2,1,2,1,0,4,6,1,1,0,2,570,0,7,577,0
299,64,130,1,117,0,2,2,2,279,1,3,0,0,0,1,1,2,2,0,2,1,0,0,0,2,612,0,1,613,0
300,52,151,1,43,0,0,211,2,258,0,0,2,0,0,0,2,0,1,1,4,0,0,0,1,0,729,0,1,730,0
301,48,95,1,133,0,0,129,2,359,6,0,1,0,0,0,0,3,0,0,0,1,0,0,1,1,780,0,1,781,0
302,88,109,3,112,0,2,1,1,319,1,0,0,0,2,11,2,4,4,0,3,2,0,0,0,0,664,0,4,668,0
303,21,112,0,75,0,1,0,0,162,0,2,0,0,0,36,1,2,3,0,5,3,1,1,1,1,427,0,0,427,0
304,34,83,2,41,0,6,233,2,170,9,0,4,0,0,2,2,0,6,0,2,3,0,3,1,3,606,0,1,607,0
305,63,100,2,230,1,2,9,3,200,0,2,1,0,1,1,3,2,1,1,4,5,1,0,0,2,634,0,2,636,0
306,36,87,2,85,1,3,2,0,148,0,0,0,0,0,26,0,0,1,0,0,1,2,0,0,0,394,0,0,394,0
307,98,129,2,37,0,2,7,0,271,1,2,3,0,1,6,1,6,1,0,5,4,2,1,2,2,583,0,5,588,0
308,50,113,2,161,1,2,0,1,244,5,2,3,1,0,1,2,0,3,0,3,0,0,0,0,0,594,0,1,595,0
309,54,103,0,207,3,0,22,2,251,0,1,1,0,2,3,1,1,0,1,2,4,1,1,1,1,662,0,3,665,0
310,43,50,0,121,2,4,45,2,165,2,0,0,1,0,1,4,0,2,0,4,6,2,3,0,0,457,0,3,460,0
311,108,165,1,12,0,0,1,0,207,1,1,0,0,0,0,1,2,4,0,1,0,0,0,0,0,504,0,1,505,0
312,ge 36,4 100,2,57,3,7,385,3,99,1,1,11,2,4,2,6,5,4,1,3,5,0,4,1,4,746,0,1,747,0
313,76,163,1,56,1,3,125,1,440,6,1,4,1,1,2,4,0,1,2,3,3,0,1,2,9,906,0,6,912,0
314,35,88,1,135,0,1,4,2,214,0,0,0,2,0,5,1,2,0,0,1,3,1,1,2,0,498,0,0,498,0
315,112,269,3,123,2,1,1,3,342,2,1,1,0,1,1,1,0,3,0,3,1,0,0,0,0,870,0,1,871,0
316,91,231,1,86,0,3,1,2,336,0,0,0,0,0,1,0,0,2,2,2,2,1,1,1,2,765,0,1,766,0
317,44,176,1,35,0,0,1,0,124,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,386,0,2,388,0
318,52,71,1,51,1,1,2,1,122,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,309,0,3,312,0
319,20,95,1,61,0,0,0,1,102,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,283,0,0,283,0
320,130,150,1,53,0,0,0,1,318,0,0,0,0,1,2,0,2,5,0,0,1,1,0,3,3,671,0,2,673,0
321,102,168,2,52,1,2,3,1,294,1,0,0,1,1,0,1,1,1,0,0,2,0,0,1,1,635,0,5,640,0
322,72,120,0,83,4,4,3,4,225,2,0,1,0,1,2,2,1,1,1,5,1,0,2,0,1,535,0,3,538,0
323,78,129,0,59,0,1,1,2,188,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,462,0,2,464,0
324,31,152,0,41,2,0,38,1,214,1,0,0,0,0,0,1,0,2,0,2,2,1,0,7,1,496,0,2,498,0
325,29,90,1,318,1,3,1,0,212,0,2,1,0,1,8,0,0,1,0,1,5,1,0,0,0,675,0,1,676,0
326,25,62,1,256,0,2,1,1,143,0,2,2,1,0,5,0,3,1,0,2,5,0,0,1,0,513,0,0,513,0
327,79,100,2,69,0,1,0,0,154,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,412,0,1,413,0
328,61,70,2,85,0,0,0,1,140,0,0,0,0,1,1,2,2,0,0,1,2,0,0,1,1,370,0,8,378,0
329,40,67,2,92,0,3,3,0,102,0,0,1,0,0,2,2,0,0,0,0,2,0,1,0,1,318,0,0,318,0
330,81,190,0,29,0,2,12,0,319,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,639,0,1,640,0
331,60,199,1,27,0,1,81,1,243,0,0,2,0,0,0,1,0,0,2,1,1,0,0,1,0,621,0,2,623,0
332,63,79,3,25,0,2,290,2,207,0,0,10,2,2,2,0,2,1,0,1,0,3,3,1,0,698,0,1,699,0
333,79,214,0,35,0,0,17,1,247,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,599,0,3,602,0
334,25,56,3,21,1,5,280,1,96,3,1,2,0,2,1,5,4,1,2,1,6,1,3,2,1,523,0,1,524,0
335,37,91,1,284,3,3,1,2,214,0,2,0,2,1,1,1,1,0,1,2,3,0,0,1,1,652,0,1,653,0
336,43,83,0,148,0,1,2,0,218,0,0,0,1,0,3,1,2,0,0,4,4,1,0,0,0,511,0,1,512,0
337,35,115,2,266,1,1,2,1,218,5,3,0,1,0,5,0,0,0,0,6,2,0,0,1,0,664,0,1,665,0
338,30,113,1,73,0,2,0,0,142,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,366,0,1,367,0
339,51,134,0,41,0,0,0,0,265,0,1,0,0,2,0,0,1,0,0,4,0,0,0,0,1,500,0,2,502,0
340,60,146,0,32,0,1,0,0,200,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,443,0,0,443,0
341,76,82,0,24,1,0,1,1,310,0,0,0,0,0,1,2,0,0,1,0,1,2,0,0,1,503,0,2,505,0
342,68,200,0,5,0,0,0,0,92,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,368,0,0,368,0
343,122,136,1,114,1,2,2,0,271,2,2,0,2,2,5,0,2,0,2,1,2,1,1,0,3,674,0,3,677,0
344,18,46,1,160,1,1,4,2,216,0,3,0,0,0,2,6,0,2,0,1,9,1,0,0,0,473,0,1,474,0
345,89,85,2,168,1,4,191,5,137,2,2,6,4,2,3,3,3,1,0,3,1,1,0,2,0,715,0,0,715,0
346,17,52,1,201,0,0,0,1,83,0,4,0,0,0,0,18,0,2,0,1,1,0,0,1,1,383,0,0,383,0
347,87,123,3,20,1,2,0,0,246,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,488,0,0,488,0
348,104,230,0,60,1,2,0,2,336,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,742,0,3,745,0
349,29,68,1,20,1,1,1,0,102,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,227,0,1,228,0
