Polling Station No,Candidate_1,NARAKANURAK.S,NARDNAHC .A .RUNAYIRUS,NARAAMNAN.AVLES,INAMARBUSALAB.G,NAGURUM.P,RAMUKNURA.M,RAMUKNURA.R,NAHKNARMI.S,MAGNILAHTAK.O,IRIHTAYAG.M,NEEDIHOMHAJAK.B,P.RAKESARDNAHC,RAMUK HSOHTNAS.J,RAMUKHTAPMAS.B,NANAVARAS.D,YMASANNIHC.V,RAMUKLIHTNES.S,RAMUKAVLES.P,JARAVLES.T,NEEDRAWNAKIEHS.K,NAVLESLIMAT.M,PAHDARP.J,NANAGAVLIYAM.M,NAVAHDAM.J,MAHTNANAGURUM.T,NANHSIRKAMAR.N,NALEVIDAV.M,IALAMAREEV.K,MIKKAH.K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
107,107,215,119,10,110,0,0,0,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,463,0,2,465,0
108,108,211,146,9,178,3,1,0,0,0,0,0,0,1,0,0,0,5,3,0,1,0,0,0,0,0,0,1,0,0,559,0,1,560,0
109,109,200,281,38,295,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,825,0,1,826,0
110,110,140,242,23,198,1,1,0,0,1,0,0,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,2,1,1,619,0,3,622,0
111,111,202,148,19,198,0,0,0,1,2,0,1,0,0,1,2,0,1,2,0,1,0,0,0,0,1,1,0,1,1,582,0,6,588,0
112,112,202,150,24,229,2,0,1,0,0,0,0,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,617,0,1,618,0
113,113,230,167,10,101,1,0,0,0,0,1,0,0,0,1,2,4,2,0,0,0,0,0,2,0,1,0,0,2,1,525,0,1,526,0
114,114,256,301,26,254,1,1,0,0,1,0,0,0,1,0,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,852,0,2,854,0
115,115,169,127,15,138,2,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,460,0,1,461,0
116,116,309,236,37,188,2,1,0,0,2,1,0,0,0,1,1,2,2,1,2,1,0,3,0,0,1,0,0,0,0,790,0,1,791,0
117,117,297,329,22,236,2,0,1,0,0,1,1,0,1,4,1,4,4,0,1,1,1,0,0,0,0,3,0,1,0,910,0,0,910,0
118,118,298,352,11,209,1,0,2,0,1,0,2,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,884,0,1,885,0
119,119,224,188,23,237,2,0,0,1,2,0,1,2,3,3,2,1,4,3,0,3,0,0,0,0,0,1,1,0,0,701,0,2,703,0
120,120,104,223,26,111,2,0,0,1,0,1,0,0,0,0,2,2,2,4,1,0,1,0,0,0,0,0,1,1,1,483,0,0,483,0
121,121,261,319,69,244,1,1,0,0,1,0,1,0,1,1,2,3,3,2,2,3,0,1,0,0,2,0,0,1,1,919,0,8,927,0
122,122,351,281,27,185,3,1,3,1,0,0,1,0,1,1,2,4,4,5,0,0,1,0,0,0,1,0,1,0,1,874,0,4,878,0
123,123,418,263,23,288,1,1,1,0,0,1,1,0,1,2,3,2,2,0,4,3,1,0,1,0,0,0,1,0,0,1017,0,6,1023,0
124,124,120,153,18,113,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,408,0,1,409,0
125,125,283,250,48,341,4,3,2,0,0,2,1,0,0,1,3,4,9,4,2,4,2,2,0,0,2,0,1,0,2,970,0,10,980,0
126,126,302,259,72,225,2,0,0,0,1,0,0,0,1,0,0,3,5,4,2,1,0,0,0,0,0,0,2,0,1,880,0,6,886,0
