Polling Station No,ABUBACKER SIDDHEEQ,RAJENDRAN. T. M,C. KRISHNAMURALI,T. MAHESHKUMAR,ABDUL JALEEL. R. K,KAVITHA. R,SHAHIN FATHIMA. A,SURESHKUMAR. S,RAJAN. B. S,LAKSHMI. A,M. ARUMUGASAMY,ESAKKI. K,ESAKKI PANDI. K,GANESAN. M,SEENIVASAN. S,NAGARAJAN. L,PARTHIPAN. V,BARISHA BANU. M,MURUGAN. P,S. MURUGANANTHAM,RAJAMARAVAN. S,VENKATESH. P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
240,13,513,31,0,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,615,0,3,618,0
241,17,618,8,0,94,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,739,0,2,741,0
242,14,406,15,1,73,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,517,0,2,519,0
243,24,581,5,0,63,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,675,0,1,676,0
244,17,395,39,0,80,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,537,0,0,537,0
245,27,434,207,2,114,0,2,0,0,0,0,0,1,2,1,2,0,0,0,0,1,1,794,0,3,797,0
246,17,630,20,0,57,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,732,0,0,732,0
247,12,648,9,1,63,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,739,0,2,741,0
248,6,391,11,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,4,470,0
249,13,523,13,0,53,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,608,0,0,608,0
250,9,467,12,0,56,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,551,0,1,552,0
251,10,428,9,0,66,0,3,0,1,1,0,0,0,0,1,1,0,3,1,0,0,0,524,0,1,525,0
252,31,352,140,0,140,0,0,0,0,0,1,0,1,1,1,1,1,4,3,0,0,1,677,0,2,679,0
253,7,339,41,0,48,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,437,0,2,439,0
254,7,495,10,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,557,0,1,558,0
255,10,407,17,0,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,469,0,0,469,0
256,9,90,381,1,72,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,559,0,1,560,0
257,11,598,29,1,81,0,1,0,0,1,0,0,1,0,0,1,2,4,0,0,0,0,730,0,4,734,0
258,10,355,12,0,41,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,423,0,4,427,0
259,14,323,13,0,62,0,1,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,420,0,2,422,0
260,ge 4 11,562,7,0,49,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,641,0,1,642,0
261,10,409,16,0,50,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,490,0,0,490,0
262,13,105,505,1,102,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,733,0,1,734,0
263,13,253,362,1,91,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,726,0,2,728,0
264,14,120,447,1,84,4,0,0,0,0,0,0,1,1,0,1,1,0,2,3,0,0,679,0,2,681,0
265,9,445,9,0,36,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,502,0,2,504,0
266,15,400,10,0,35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,462,0,1,463,0
267,17,408,8,2,30,0,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,472,0,1,473,0
268,13,584,21,0,44,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,667,0,1,668,0
269,4,268,19,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,310,0,0,310,0
270,16,401,30,0,38,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488,0,3,491,0
271,16,427,17,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,497,0
272,13,496,10,1,43,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,567,0,1,568,0
273,5,261,13,0,17,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299,0,2,301,0
274,19,76,282,1,109,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,491,0,0,491,0
275,25,102,263,2,234,0,2,0,0,1,1,1,2,1,0,1,0,1,0,0,2,1,639,0,1,640,0
276,42,71,364,3,207,0,0,0,1,1,1,2,6,2,2,1,0,0,1,0,0,0,704,0,0,704,0
277,30,136,233,1,185,3,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,0,596,0,0,596,0
278,37,75,283,6,174,0,0,0,1,0,1,1,3,1,0,0,1,2,0,0,1,0,586,0,1,587,0
279,37,63,299,1,181,1,0,0,6,0,0,2,2,1,3,3,0,1,0,0,0,0,600,0,2,602,0
280,32,102,135,1,167,22,1,0,0,1,0,1,2,0,1,1,1,1,0,0,0,0,468,0,2,470,0
281,17,82,294,3,237,1,0,0,0,0,1,0,4,5,0,3,0,1,0,1,2,1,652,0,1,653,0
282,13,56,153,1,115,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,344,0,2,346,0
283,31,114,138,1,131,47,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,468,0,1,469,0
284,40,130,278,1,180,25,0,0,0,3,0,0,4,0,2,0,0,0,1,0,0,0,664,0,0,664,0
285,43,86,234,1,174,1,1,0,0,0,1,1,3,0,1,0,0,0,0,2,0,0,548,0,2,550,0
286,55,99,276,4,367,2,2,0,1,1,1,0,2,2,1,1,1,0,4,1,4,3,827,0,3,830,0
287,28,70,145,2,213,9,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,474,0,2,476,0
288,42,181,222,3,252,21,1,0,1,0,0,1,4,0,0,2,3,0,4,1,3,0,741,0,1,742,0
289,36,184,144,1,160,109,3,0,4,0,0,0,3,2,2,1,2,3,3,1,3,1,662,0,1,663,0
290,28,134,71,2,93,69,3,0,3,0,1,2,1,2,0,2,0,0,1,0,1,0,413,0,1,414,0
291,56,190,144,4,195,126,1,1,2,1,3,2,1,2,0,1,2,1,0,0,0,0,732,0,2,734,0
292,30,200,167,0,170,6,0,0,1,2,1,1,5,2,2,4,4,0,2,1,0,0,598,0,1,599,0
293,54,241,168,3,267,9,0,0,4,2,1,0,4,2,3,2,3,3,6,0,1,3,776,0,2,778,0
294,28,105,109,0,113,9,1,0,1,1,0,0,2,0,0,3,0,1,1,0,0,0,374,0,1,375,0
295,32,92,186,2,130,5,0,0,0,0,0,1,1,2,1,2,0,1,0,1,2,0,458,0,1,459,0
296,25,116,203,0,153,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,502,0,3,505,0
297,64,127,218,0,113,0,0,0,0,1,1,0,3,0,0,1,0,0,3,0,0,1,532,0,1,533,0
298,30,117,305,7,159,1,0,1,0,0,1,1,6,3,0,3,0,1,7,0,0,0,642,0,4,646,0
299,25,96,91,3,143,24,1,0,0,1,0,0,1,1,0,4,0,1,1,0,1,1,394,0,2,396,0
300,60,223,207,4,225,40,0,1,0,0,3,0,5,0,0,4,6,3,2,1,0,1,785,0,3,788,0
301,34,97,195,3,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,448,0,3,451,0
302,42,97,284,2,131,0,0,0,0,0,0,2,0,0,1,2,1,2,1,0,7,1,573,0,0,573,0
303,30,114,119,4,124,8,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,404,0,2,406,0
304,31,130,263,0,146,0,0,0,1,0,1,0,1,1,1,2,0,0,1,1,1,1,581,0,1,582,0
305,26,103,217,0,152,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,500,0,2,502,0
306,21,119,169,7,71,8,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,401,0,1,402,0
307,46,165,116,8,63,40,1,0,1,0,0,0,1,1,3,0,2,1,0,0,0,0,448,0,2,450,0
308,35,111,295,0,114,0,1,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,562,0,0,562,0
309,40,133,313,2,160,2,0,0,2,0,0,0,2,1,1,3,1,0,1,0,1,0,662,0,0,662,0
310,28,171,230,2,159,20,1,0,0,1,0,0,4,2,2,1,1,3,0,0,4,1,630,0,0,630,0
311,33,227,533,3,115,0,0,0,0,0,0,2,3,6,0,0,0,3,0,0,0,0,925,0,2,927,0
312,98,162,118,1,215,7,0,0,0,2,0,1,2,0,0,1,1,4,2,0,2,0,616,0,1,617,0
313,147,209,132,2,189,16,2,0,1,1,0,0,4,0,1,0,1,6,2,0,2,0,715,0,0,715,0
314,46,212,307,1,197,20,0,0,0,0,0,2,2,2,0,0,0,3,3,1,4,0,800,0,1,801,0
315,117,241,178,2,254,24,1,0,1,1,0,1,1,2,0,0,0,2,0,1,0,0,826,0,3,829,0
316,18,108,165,1,112,36,0,0,2,0,0,0,0,1,2,1,0,2,0,1,0,0,449,0,1,450,0
317,51,207,224,1,278,1,0,0,1,2,1,0,3,1,0,2,1,4,2,0,0,0,779,0,1,780,0
318,23,125,307,1,188,2,0,1,0,0,0,0,1,2,0,1,1,1,1,0,0,0,654,0,1,655,0
319,17,126,267,2,196,0,1,0,0,1,2,2,1,2,2,1,2,3,4,0,1,0,630,0,2,632,0
320,17,133,245,2,182,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,585,0,0,585,0
321,31,116,222,2,182,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,2,0,563,0,3,566,0
322,27,86,248,1,152,0,0,0,0,1,0,1,1,2,1,0,1,0,1,0,0,0,522,0,1,523,0
323,39,144,294,3,250,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,735,0,3,738,0
324,28,105,211,0,145,0,1,0,1,0,0,1,2,1,1,0,0,1,1,0,0,0,498,0,0,498,0
325,ge 5 27,71,365,5,135,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,609,0,1,610,0
326,54,408,165,4,130,9,0,0,2,0,1,0,3,3,7,4,0,2,2,1,0,0,795,0,2,797,0
327,73,246,405,4,154,4,0,0,0,0,0,0,3,6,5,2,0,8,9,2,6,1,928,0,1,929,0
328,7,82,144,0,26,0,0,0,0,0,0,0,2,2,2,0,0,1,0,2,0,0,268,0,0,268,0
329,79,140,259,1,120,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,1,1,608,0,3,611,0
330,96,160,315,8,220,2,0,0,1,0,1,1,5,1,4,3,1,1,6,0,0,1,826,0,3,829,0
331,94,193,346,2,168,0,0,0,1,2,0,0,0,0,3,1,1,1,1,0,0,0,813,0,1,814,0
332,63,108,269,1,118,0,1,0,0,0,0,2,3,2,2,0,0,0,1,0,0,0,570,0,0,570,0
333,49,150,214,2,120,0,0,0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,542,0,1,543,0
334,49,114,251,0,154,1,1,1,0,0,1,0,4,3,0,0,1,0,5,0,0,0,585,0,3,588,0
335,79,153,293,4,223,0,1,1,0,0,0,0,5,4,0,1,0,0,1,0,0,0,765,0,0,765,0
336,39,483,246,2,109,0,1,0,0,0,0,1,6,1,3,0,0,5,2,0,0,0,898,0,1,899,0
337,90,135,397,0,222,1,0,1,0,1,1,1,6,2,0,3,1,0,0,1,0,0,862,0,4,866,0
338,36,116,295,3,156,4,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,622,0,1,623,0
339,49,128,211,3,94,10,1,0,0,0,0,0,2,0,2,0,0,1,2,1,0,0,504,0,0,504,0
340,85,278,147,2,150,25,0,1,1,0,0,0,2,2,3,2,5,1,2,0,0,0,706,0,5,711,0
341,55,231,380,0,94,6,2,0,2,2,0,2,13,9,6,1,0,5,6,0,1,0,815,0,3,818,0
342,28,80,142,0,100,0,0,1,0,0,0,0,0,0,1,2,1,0,2,1,0,0,358,0,2,360,0
343,38,143,269,2,235,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,3,0,695,0,2,697,0
344,54,174,304,4,203,2,1,0,2,4,0,1,9,1,6,4,0,0,2,0,1,0,772,0,3,775,0
345,26,153,322,3,218,1,0,0,0,0,0,1,3,2,2,2,1,5,9,0,4,1,753,0,1,754,0
346,93,304,393,1,142,1,0,0,0,0,0,1,0,0,0,0,2,3,3,0,2,0,945,0,0,945,0
347,53,194,316,5,161,0,0,0,0,0,0,0,1,0,2,1,2,2,1,0,0,0,738,0,0,738,0
348,78,235,310,2,196,1,0,0,2,2,1,1,3,0,2,0,0,1,0,1,0,1,836,0,1,837,0
349,57,230,147,2,161,0,0,0,0,0,0,1,4,1,1,0,0,1,2,0,1,0,608,0,1,609,0
350,38,181,178,2,167,3,0,0,0,0,0,0,6,3,3,2,0,1,3,0,0,0,587,0,3,590,0
351,27,148,169,0,137,1,1,0,0,0,0,1,1,1,1,0,1,2,5,0,0,0,495,0,2,497,0
352,31,255,190,0,92,63,0,0,2,0,0,0,0,0,0,1,0,4,2,0,0,0,640,0,4,644,0
353,38,304,119,0,147,52,2,0,1,0,0,0,1,0,2,1,0,0,2,0,0,0,669,0,0,669,0
354,42,158,193,3,186,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,1,2,591,0,2,593,0
355,9,98,198,2,70,45,2,0,3,2,0,2,4,0,1,1,2,2,3,3,4,0,451,0,1,452,0
356,35,110,156,0,168,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,473,0,2,475,0
357,54,143,94,0,130,16,0,0,1,1,0,1,0,0,1,0,1,0,2,0,2,0,446,0,2,448,0
358,20,114,162,0,158,2,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,462,0,0,462,0
359,19,127,177,0,156,10,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,495,0,0,495,0
360,22,98,216,3,239,7,0,0,2,0,0,1,5,0,4,0,0,0,3,1,0,0,601,0,0,601,0
361,27,242,155,1,93,38,2,0,1,0,1,0,3,2,2,1,0,1,0,0,0,0,569,0,1,570,0
362,35,214,124,1,164,12,1,0,2,0,0,0,2,0,1,3,0,1,3,0,0,0,563,0,4,567,0
363,15,168,319,2,140,0,0,1,3,0,0,1,1,1,0,0,1,4,1,0,1,0,658,0,1,659,0
364,43,167,274,2,162,92,3,2,4,1,2,0,1,3,2,0,0,2,2,2,2,2,768,0,2,770,0
