Polling Station No,AFSHIA NASRIN. S,WAZEER AHMED. J,VILWANATHAN. A.C.,VENKATESAN. R,ASADULLAH. B,IMTHIYAZ PANDARATTUDU ABDU,KAREEM BASHA. A,GOVINDHAN. A,SASI REKA. Y,HAROON RASHEED BADU,KUMARAVEL. P,FIRDOSE AHMED. M,MUSHTAQ AHMED KUTLAPPAI,VISWANATHAN. J,VENKATESAN. M,SRINATH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
136,3,0,614,7,0,47,2,0,0,0,0,0,1,2,0,0,676,0,3,679,0
137,0,1,378,40,0,68,0,0,0,0,0,0,0,4,0,0,491,0,1,492,0
138,6,0,446,9,1,143,0,0,0,0,0,0,1,2,0,0,608,0,2,610,0
139,8,0,373,76,1,119,0,0,0,0,0,0,0,2,2,0,581,0,1,582,0
140,1,1,437,8,0,30,0,0,2,0,0,0,1,1,0,0,481,0,2,483,0
141,e 30,0,478,10,1,71,0,1,0,0,0,0,0,0,1,0,562,0,0,562,0
142,8,1,533,14,0,66,0,0,0,0,0,0,0,0,0,0,622,0,2,624,0
143,2,1,607,6,0,63,1,0,0,0,0,0,1,0,0,0,681,0,0,681,0
144,3,1,549,8,1,125,0,0,0,1,0,0,1,4,0,0,693,0,1,694,0
145,5,2,658,8,0,73,0,0,0,0,0,1,0,2,0,1,750,0,0,750,0
146,10,1,237,180,1,327,0,0,0,0,1,1,0,4,0,1,763,0,0,763,0
147,19,5,207,174,0,348,1,1,1,1,0,0,2,2,0,1,762,0,1,763,0
148,15,2,178,152,2,316,0,0,0,1,1,1,2,0,0,4,674,0,0,674,0
149,10,1,257,49,2,176,1,1,0,0,0,0,0,2,1,2,502,0,2,504,0
150,12,3,404,20,1,150,1,1,0,0,0,0,1,3,1,1,598,0,2,600,0
151,4,2,263,32,0,101,0,1,0,0,0,0,0,0,0,0,403,0,0,403,0
152,12,1,349,99,0,244,0,1,0,0,0,0,0,3,0,1,710,0,1,711,0
153,16,1,428,41,1,259,0,0,0,0,0,0,0,3,0,0,749,0,2,751,0
154,7,0,316,14,3,202,1,0,0,0,0,0,0,3,1,0,547,0,2,549,0
155,13,2,241,47,1,220,0,0,1,0,1,0,0,2,0,0,528,0,3,531,0
156,9,0,278,58,1,201,1,0,1,0,1,6,1,4,0,0,561,0,0,561,0
157,17,1,402,43,0,198,1,0,0,1,0,0,0,3,0,0,666,0,1,667,0
158,9,0,356,16,1,162,0,0,0,1,0,1,0,1,0,0,547,0,1,548,0
159,10,1,356,45,2,239,0,0,0,0,0,1,0,2,0,0,656,0,2,658,0
160,17,1,325,57,0,302,0,0,0,1,0,0,0,5,0,0,708,0,0,708,0
161,1,0,325,21,0,68,0,0,1,0,1,1,1,0,0,0,419,0,0,419,0
162,1,1,472,27,1,68,0,0,1,0,0,1,2,2,0,0,576,0,1,577,0
163,4,1,305,12,0,80,0,0,0,0,0,0,0,1,1,1,405,0,0,405,0
164,2,3,615,21,3,214,1,0,0,0,0,0,0,4,0,0,863,0,1,864,0
165,4,2,408,28,0,143,0,0,0,0,2,0,0,0,0,0,587,0,3,590,0
