Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
163,239,36,219,333,5,0,1,4,1,0,2,0,2,1,0,843,0,9,852,0
164,265,42,160,349,1,1,0,4,0,8,0,1,1,1,1,834,0,7,841,0
165,132,32,307,294,4,0,0,5,0,6,0,1,2,1,0,784,0,6,790,0
166,181,59,249,362,3,2,0,6,1,1,1,0,5,0,1,871,0,11,882,0
167,99,19,215,270,2,4,0,6,0,1,0,1,4,0,0,621,0,2,623,0
168,112,15,205,275,3,0,1,3,0,0,1,0,4,0,0,619,0,5,624,0
169,67,15,187,286,2,3,0,4,0,0,1,1,2,0,0,568,0,7,575,0
170,112,22,293,316,1,1,0,14,1,0,0,1,4,2,1,768,0,3,771,0
171,55,25,339,318,0,0,2,11,1,0,1,2,3,1,1,759,0,5,764,0
172,279,30,234,353,2,1,1,3,0,0,0,0,3,0,0,906,0,4,910,0
173,86,15,93,163,0,0,0,4,0,0,0,0,2,0,0,363,0,1,364,0
174,147,24,225,196,5,0,0,4,0,0,0,0,0,0,0,601,0,3,604,0
175,111,22,264,209,1,0,0,1,0,0,0,0,2,0,0,610,0,4,614,0
176,180,44,314,304,0,0,2,2,1,0,0,0,1,0,1,849,0,6,855,0
177,127,15,148,193,1,1,1,4,0,1,1,1,3,1,0,497,0,4,501,0
178,128,13,228,293,2,1,0,6,1,1,1,1,1,1,0,677,0,3,680,0
179,153,33,360,361,0,0,0,2,0,0,1,0,2,0,1,913,0,5,918,0
180,94,9,122,196,0,0,0,2,0,0,0,1,0,0,0,424,0,5,429,0
181,65,10,372,212,4,3,0,1,0,0,0,0,3,0,0,670,0,0,670,0
182,110,17,173,230,2,0,0,1,0,0,0,0,0,0,0,533,0,3,536,0
183,49,13,326,151,2,3,0,2,0,0,0,1,2,1,0,550,0,5,555,0
184,135,23,279,308,0,0,1,3,0,0,0,0,0,1,1,751,0,7,758,0
185,50,22,544,255,0,0,1,1,2,0,1,0,0,0,0,876,0,5,881,0
186,248,24,438,336,1,0,0,2,0,0,0,0,1,1,0,1051,0,5,1056,0
187,198,33,320,423,2,0,0,1,0,0,2,1,1,4,2,987,0,6,993,0
188,110,19,544,331,0,0,0,3,0,0,0,1,2,0,0,1010,0,3,1013,0
189,70,15,434,226,1,0,0,3,0,0,0,0,0,0,0,749,0,1,750,0
190,109,24,433,228,0,1,1,5,1,0,0,0,2,3,0,807,0,2,809,0
191,71,8,556,310,2,0,0,4,1,0,0,0,2,1,2,957,0,4,961,0
192,118,25,219,170,0,0,1,1,1,0,0,1,0,0,0,536,0,4,540,0
193,219,66,151,249,4,2,0,5,0,2,1,0,0,0,1,700,0,9,709,0
194,69,22,231,168,2,0,0,1,0,0,1,0,2,0,0,496,0,3,499,0
195,144,17,317,265,1,1,0,2,1,0,0,1,0,1,0,750,0,4,754,0
