Polling Station No,T.J.GOVINDARAJAN,SUDHAKAR.V,M.JAGADEESAN,"R.SRIDAR. B.L.,",SDK SANKAR,K. CHANDRA SEKAR,S.VIJAYAKUMAR,M.KUMARAN,GOPAL.K,T.GOVINDAN,A.H. SIVA GANESH,D.SUDHAKAR,V.SUDHAKAR,D.DINESH,G.RANJITH B.SC.L.L.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
323,265,333,5,18,0,2,263,0,1,0,0,1,1,1,3,893,0,7,900,0
324,107,128,0,2,0,0,118,0,3,1,0,1,1,4,2,367,0,4,371,0
325,159,185,0,3,0,0,87,0,0,0,0,2,0,0,4,440,0,3,443,0
326,148,227,2,18,1,0,197,0,1,1,0,1,1,2,2,601,0,2,603,0
327,150,159,2,14,0,3,160,0,0,0,1,0,0,0,3,492,0,4,496,0
328,112,144,0,2,0,1,191,0,0,0,0,0,0,0,1,451,0,2,453,0
329,167,208,2,9,1,2,247,0,0,0,1,2,0,0,2,641,0,1,642,0
330,199,233,1,6,0,2,362,2,0,1,0,3,1,1,0,811,0,6,817,0
331,185,245,3,5,0,2,421,4,1,1,0,7,2,4,7,887,0,2,889,0
332,283,248,2,23,0,0,415,0,1,0,0,1,2,0,1,976,0,5,981,0
333,190,270,0,11,2,0,222,1,0,1,0,3,0,0,0,700,0,3,703,0
334,191,140,1,8,1,0,218,1,0,0,0,1,0,0,0,561,0,1,562,0
335,184,248,2,10,0,2,302,0,0,1,0,2,3,0,0,754,0,5,759,0
336,161,144,1,5,0,3,195,1,1,2,0,1,1,0,5,520,0,5,525,0
337,173,145,1,1,0,3,217,0,0,1,0,0,0,1,3,545,0,3,548,0
338,232,207,0,11,0,2,351,0,1,2,2,1,0,2,3,814,0,3,817,0
339,251,374,2,37,1,4,329,1,0,0,2,2,2,3,4,1012,0,5,1017,0
340,147,393,0,14,0,1,176,0,1,0,0,1,0,2,2,737,0,3,740,0
341,168,182,0,7,0,0,177,0,0,0,0,0,0,1,4,539,0,2,541,0
342,202,320,2,8,1,1,265,1,0,0,1,0,1,1,3,806,0,3,809,0
343,276,226,3,7,1,0,359,0,1,3,2,1,0,1,5,885,0,8,893,0
344,229,283,7,7,0,0,220,2,0,0,1,1,1,0,1,752,0,2,754,0
