Polling Station No,Candidate_1,LALLAVIRAP .T,ABEEHTARP,NAHDAM .N,NITRAM ESORAMEEL,YRAM ETALUCAMMI .K,NAYIHZEHCNALE .P,SSODUSEY .E,NANHSIRK AP UK,NANAVARAS .P,NIHPESOJ,UHTUMIRAVAS NALAMA .A,NANHSIRK .M,RAMUKLIHTNES .K,NASARALIMAT .R,JARAMRAHD .K,R. YHTROOMANAHD,RAMUKHSENID .R,UBMALISNOP .R,NAHKILA ROOSNAM,YMASUHTUM .V,QIDDIS RAKKABUBA DEMAHOM,RAMUKHSEMAR .M,NIASSUH REEKAJ HANNIJ,SSODNOMALAS NAGEJ .A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
81,81,179,1,24,336,0,1,0,170,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,718,0,2,720,0
82,82,108,0,39,267,1,1,1,190,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,612,0,1,613,0
83,83,135,1,27,238,2,1,0,153,0,0,0,0,2,0,0,2,2,1,1,1,0,0,0,0,566,0,1,567,0
84,84,93,0,19,207,0,0,0,133,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,456,0,0,456,0
85,85,121,0,17,227,1,0,0,165,0,0,0,1,1,0,0,0,3,0,1,0,0,2,0,0,539,0,3,542,0
86,86,235,4,40,143,0,0,3,235,0,0,0,0,2,0,0,2,2,0,0,0,0,1,1,0,668,0,0,668,0
87,87,183,2,30,186,1,0,2,259,0,1,0,0,1,0,0,2,0,4,1,0,0,0,1,1,674,0,2,676,0
88,88,250,2,14,200,0,0,1,209,0,0,0,1,1,0,0,1,6,2,0,2,0,4,0,1,694,0,4,698,0
89,89,207,1,8,189,1,1,0,204,0,0,0,1,0,1,0,1,1,2,0,0,0,0,1,0,618,0,2,620,0
90,90,305,1,31,276,0,2,2,340,1,0,1,1,0,0,0,3,2,3,0,0,0,0,1,1,970,0,4,974,0
91,91,248,3,37,178,2,0,0,230,1,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,707,0,0,707,0
92,92,271,2,21,211,1,0,0,120,0,1,2,0,0,0,0,0,2,1,0,1,1,0,0,0,634,0,2,636,0
93,93,259,2,47,144,4,1,2,289,0,0,1,0,1,1,0,1,0,1,1,0,0,2,0,0,756,0,2,758,0
94,94,311,0,26,257,1,0,0,271,0,1,1,0,0,0,1,3,0,2,1,2,0,0,1,0,878,0,2,880,0
95,95,362,6,35,156,3,0,0,352,3,3,0,0,0,0,1,2,1,0,2,0,0,0,1,0,927,0,3,930,0
96,96,329,2,34,257,2,1,2,259,0,2,1,0,1,0,1,0,3,1,0,0,0,0,0,0,895,0,1,896,0
97,97,153,0,27,269,0,0,1,212,2,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,671,0,1,672,0
98,98,183,0,21,119,2,1,1,232,0,0,0,1,0,0,0,5,3,2,0,0,0,1,2,0,573,0,1,574,0
