Polling Station No,Candidate_1,A . A) K H T TN I N( A,A . M A) GK UM MD N( A H S,V . R A ) MK UM KD HA TI AA P( M A S,G .) UP RS HB E( N,S .) LK AL MK MM AM HL TD UA RN A( K,K . J A) RK M U PT P( U K,S .) AK LV IA N T A( M,C . U ) T NA N N I AR KP IP R R A ( M,K . H) K S V E KT ( A R,. R D ) ) Y P AMK (AC HWN S J ST E T .R AKH K. VB N ( E V,K . H ) TD AN PI M( A S,C . H ) TD AN PI M( A S,K . L E ) VD A N G I N( A H T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
111,111,8,220,186,4,1,1,0,2,297,1,0,2,3,1,726,0,3,729
112,112,7,216,160,0,1,0,0,0,101,0,0,0,1,0,486,0,0,486
113,113,14,234,126,2,7,1,1,2,199,0,0,1,3,2,592,0,2,594
114,114,10,497,229,2,0,0,0,1,177,0,0,0,1,0,917,0,8,925
115,115,17,90,218,1,0,0,0,3,114,0,0,0,0,0,443,0,0,443
116,116,6,201,10,0,0,0,0,0,19,0,0,0,0,0,236,0,0,236
117,117,9,725,43,0,1,0,1,0,61,0,0,0,0,0,840,0,2,842
118,118,7,592,31,0,0,0,0,0,38,0,0,0,0,0,668,0,1,669
119,119,2,380,6,0,0,0,0,1,36,0,0,0,0,0,425,0,0,425
120,120,3,78,370,3,2,0,1,3,133,0,0,1,1,0,595,0,2,597
121,121,13,53,294,0,0,0,0,1,117,0,0,0,0,1,479,0,0,479
122,122,16,119,319,3,2,0,2,0,333,1,1,2,5,3,806,0,3,809
123,123,20,179,301,1,2,1,1,1,337,0,2,0,6,3,854,0,4,858
124,124,8,69,185,1,1,0,0,2,76,0,0,0,0,0,342,0,1,343
125,125,17,268,196,4,2,0,0,1,214,0,1,1,0,1,705,0,2,707
126,126,17,52,252,2,0,0,1,0,154,0,1,1,1,1,482,0,1,483
127,127,25,211,270,5,3,3,1,3,271,1,0,2,4,2,801,0,1,802
128,128,34,462,82,0,1,0,0,2,365,0,0,0,2,3,951,0,2,953
129,129,18,395,230,1,2,1,1,5,204,2,0,0,2,0,861,0,2,863
130,130,12,62,165,2,1,0,0,2,113,0,0,1,0,1,359,0,2,361
131,131,21,96,300,2,1,1,3,5,325,0,1,1,2,2,760,0,3,763
132,132,21,111,421,5,1,0,0,7,205,0,0,1,2,2,776,0,2,778
133,133,20,165,187,0,1,0,0,1,182,0,0,0,0,0,556,0,2,558
134,134,21,243,257,2,2,0,0,0,202,1,0,0,1,1,730,0,4,734
135,135,29,149,237,3,1,0,0,2,127,0,0,0,3,0,551,0,3,554
