Polling Station No,Candidate_1,I V A U N R) A K A H T C L I N RM( AA T,P . N A P) PK AM ID N( A L A P,M A L) HEK TVM AID GR A AT I REA V A ( M,) SK .L NM AT SW E NH AS GV (,V . N A N) K HM S M I RT KP AI NA ( N E H C,S . I H T A) K V V A T G ( A L I H T,U S A) RK AM VT O( O P,M ) .K IL NK AM R M A NL D U A M N A( J,S . H) SD IN H I T( A S,P . Y M A) D S AN NI ( N I H C,K . J A) D R LN II M( A T,R . N A P) PD AN II N( A L A P,S . N ) AD GN U I R( U M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
198,198,6,44,461,2,0,86,1,0,0,1,0,1,1,1,604,0,1,605
199,199,6,158,475,4,1,130,0,0,0,0,0,1,1,1,777,0,4,781
200,200,10,49,592,3,0,102,0,1,0,0,0,1,1,0,759,0,1,760
201,201,9,8,438,1,0,59,0,0,0,1,0,0,0,0,516,0,0,516
202,202,6,130,438,2,1,185,0,0,0,0,0,0,1,1,764,0,2,766
203,203,12,80,517,2,3,137,0,1,0,1,0,0,0,0,753,0,2,755
204,204,14,125,541,6,0,129,0,1,0,1,0,1,3,1,822,0,3,825
205,205,14,356,180,1,0,151,0,0,0,0,0,2,0,1,705,0,2,707
206,206,14,157,404,2,0,218,0,0,0,0,2,0,0,0,797,0,2,799
207,207,12,720,43,1,0,184,0,1,0,0,0,0,0,0,961,0,2,963
208,208,4,101,104,3,0,67,0,0,0,0,0,0,0,0,279,0,0,279
209,209,23,294,179,0,0,197,0,0,0,0,0,0,0,0,693,0,1,694
210,210,6,75,266,3,0,123,0,1,0,0,0,0,0,0,474,0,2,476
211,211,15,343,193,3,3,293,0,1,1,1,0,0,2,2,857,0,4,861
212,212,15,433,84,0,0,252,0,1,0,1,0,0,0,0,786,0,2,788
213,213,13,329,98,1,1,221,0,0,0,0,0,0,0,0,663,0,0,663
214,214,18,209,240,0,0,240,0,1,0,0,0,0,2,2,712,0,2,714
215,215,19,121,346,2,0,220,0,0,0,0,0,0,1,1,710,0,2,712
216,216,18,492,201,0,0,206,0,0,0,1,0,0,0,1,919,0,2,921
217,217,11,40,692,4,0,174,0,0,0,0,3,0,0,0,924,0,0,924
218,218,13,286,255,3,0,315,1,2,1,1,1,2,1,2,883,0,4,887
219,219,4,92,106,1,1,110,0,0,0,0,0,1,0,0,315,0,2,317
220,220,5,80,145,1,1,115,1,1,0,0,0,0,0,0,349,0,0,349
221,221,9,178,150,1,0,197,1,0,0,0,1,0,1,0,538,0,0,538
222,222,16,196,439,2,0,162,0,0,1,0,0,0,2,0,818,0,5,823
223,223,24,311,143,1,0,194,0,1,0,1,0,3,1,2,681,0,4,685
224,224,17,247,189,1,0,265,0,1,0,1,0,1,1,0,723,0,2,725
225,225,12,193,174,2,1,328,0,0,0,0,1,2,2,2,717,0,2,719
226,226,21,160,162,1,0,276,0,0,0,1,0,1,1,0,623,0,0,623
227,227,5,355,115,1,0,175,2,2,0,0,0,2,0,1,658,0,1,659
228,228,6,259,167,1,0,175,0,1,0,3,0,0,0,1,613,0,0,613
229,229,8,110,437,2,0,137,0,0,0,0,0,0,1,0,695,0,1,696
230,230,21,103,403,2,1,147,0,1,0,0,1,1,0,1,681,0,2,683
231,231,9,316,145,4,1,114,0,0,0,0,0,0,1,0,590,0,2,592
232,232,3,237,159,0,0,209,0,0,0,0,0,1,0,2,611,0,1,612
233,233,8,265,343,1,0,223,1,0,0,1,1,1,0,0,844,0,5,849
234,234,14,343,43,0,0,259,0,1,0,0,1,0,0,1,662,0,0,662
235,235,18,334,90,2,2,338,0,0,0,1,0,0,1,1,787,0,0,787
236,236,4,159,55,1,0,94,1,0,0,0,0,1,0,0,315,0,0,315
237,237,26,222,231,9,1,247,1,3,0,1,2,4,3,0,750,0,7,757
238,238,9,198,180,2,1,127,1,0,0,0,0,1,2,0,521,0,1,522
239,239,11,417,154,0,2,142,0,0,0,0,0,0,1,4,731,0,1,732
240,240,14,415,265,3,2,168,0,1,0,2,1,1,0,0,872,0,2,874
241,241,11,180,269,1,0,171,0,0,0,0,0,2,0,2,636,0,4,640
242,242,9,178,158,1,1,101,0,1,0,1,1,0,1,0,452,0,0,452
243,243,23,107,712,9,1,200,0,0,0,0,0,3,3,1,1059,0,7,1066
244,244,21,180,125,1,1,155,0,2,1,0,0,2,3,3,494,0,1,495
245,245,37,276,176,4,3,219,0,3,0,0,2,4,1,5,730,0,3,733
246,246,4,399,105,2,0,125,1,2,0,0,0,1,1,1,641,0,2,643
247,247,16,238,169,1,0,194,1,1,0,1,0,1,0,0,622,0,2,624
248,248,17,220,188,0,0,77,0,0,0,0,0,0,2,0,504,0,2,506
249,249,17,239,185,2,1,175,0,1,0,0,0,0,2,0,622,0,4,626
250,250,16,206,210,5,2,139,1,2,0,0,1,0,0,2,584,0,4,588
251,251,20,275,141,1,0,146,0,0,1,0,0,2,1,2,589,0,2,591
