Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
70,253,171,43,0,0,1,299,1,0,1,0,0,0,0,0,0,0,0,0,0,0,769,0,8,777,0
71,182,117,18,0,0,0,223,0,0,1,0,0,0,0,1,0,0,0,0,0,0,542,0,3,545,0
72,201,141,27,1,0,0,254,4,0,0,1,0,0,0,0,0,0,2,0,0,0,631,0,5,636,0
73,139,68,20,0,0,1,159,0,1,0,0,0,2,0,1,0,0,0,1,0,0,392,0,2,394,0
74,170,147,27,1,0,0,223,0,0,0,0,0,0,0,0,1,0,0,0,1,0,570,0,5,575,0
75,202,235,10,0,0,1,429,0,0,0,0,1,0,1,0,2,1,5,0,0,1,888,0,3,891,0
76,193,128,22,0,0,0,259,0,0,0,0,1,0,2,0,0,0,0,0,0,0,605,0,3,608,0
77,145,133,10,0,0,0,155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,445,0,2,447,0
78,160,187,26,2,0,1,374,1,1,0,1,0,1,2,1,2,0,3,0,0,0,762,0,5,767,0
79,179,127,38,0,0,0,262,1,0,0,0,0,0,3,0,0,0,1,0,1,0,612,0,7,619,0
80,167,104,22,0,1,2,375,0,0,1,0,1,0,1,0,0,1,1,0,0,0,676,0,3,679,0
81,277,104,39,1,0,1,441,0,0,0,0,0,0,1,0,0,0,1,0,0,0,865,0,2,867,0
82,155,162,33,0,0,0,311,1,0,0,2,0,0,2,1,0,1,1,0,1,0,670,0,3,673,0
83,144,142,21,1,0,0,231,0,1,0,0,0,0,0,1,0,0,0,0,0,0,541,0,1,542,0
84,269,118,21,0,0,0,448,0,0,0,0,0,0,0,0,1,0,0,1,0,0,858,0,5,863,0
85,133,137,20,1,0,1,256,1,0,1,0,0,1,2,0,0,0,0,0,0,0,553,0,3,556,0
86,213,126,26,0,0,0,268,1,1,0,0,0,0,0,0,0,0,0,1,0,0,636,0,4,640,0
87,221,139,45,0,0,2,462,0,0,0,0,0,0,5,0,0,1,2,0,0,0,877,0,3,880,0
88,169,82,17,0,0,0,273,0,0,0,1,1,0,1,0,0,2,0,0,1,0,547,0,3,550,0
89,226,152,30,0,1,0,325,0,0,0,2,0,0,0,0,0,1,0,0,0,1,738,0,10,748,0
90,215,75,36,2,0,0,319,0,0,0,0,1,0,2,0,1,1,0,0,0,0,652,0,0,652,0
91,113,58,25,1,0,0,263,0,0,0,0,0,0,3,0,1,0,0,0,0,0,464,0,2,466,0
92,172,89,21,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,2,581,0
93,139,71,25,2,0,1,263,1,0,1,0,1,0,2,1,0,0,0,0,0,0,507,0,0,507,0
94,209,189,45,0,0,1,320,0,0,0,0,0,1,2,0,0,2,0,0,0,0,769,0,8,777,0
