Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
104,299,12,249,0,1,0,115,0,0,1,0,2,0,679,679,0,3,682,0
105,246,14,342,5,0,0,149,0,0,0,0,1,0,757,757,0,1,758,0
106,269,24,140,1,0,0,121,0,0,0,0,0,0,555,555,0,1,556,0
107,155,5,197,4,0,2,189,1,0,0,3,1,2,559,559,0,3,562,0
108,189,14,347,1,0,2,333,1,0,0,0,0,0,887,887,0,1,888,0
109,267,14,208,1,1,1,361,1,0,0,0,0,0,854,854,0,0,854,0
110,200,18,441,0,2,0,214,0,0,1,0,0,2,878,878,0,4,882,0
111,212,27,238,2,0,0,206,0,0,0,0,0,0,685,685,0,1,686,0
112,282,16,330,0,0,2,304,0,0,1,1,2,0,938,938,0,2,940,0
113,187,9,302,1,0,0,89,1,0,0,0,1,1,591,591,0,4,595,0
114,376,22,374,5,5,3,101,1,2,0,0,1,1,891,891,0,11,902,0
115,249,9,318,1,1,2,140,1,0,0,0,1,1,723,723,0,2,725,0
116,243,18,311,1,0,2,130,0,0,1,1,1,0,708,708,0,1,709,0
117,306,11,342,1,0,0,101,0,0,0,0,0,0,761,761,0,5,766,0
118,164,8,455,3,0,2,85,0,0,0,0,1,0,718,718,0,3,721,0
119,216,6,346,1,0,1,57,1,1,1,1,2,2,635,635,0,8,643,0
120,152,12,406,2,0,0,67,0,0,0,0,0,0,639,639,0,2,641,0
121,130,8,378,2,0,1,92,0,0,1,0,0,0,612,612,0,0,612,0
122,241,13,581,1,0,1,87,0,0,0,2,2,0,928,928,0,4,932,0
123,287,15,305,0,1,2,215,0,0,0,0,3,0,828,828,0,3,831,1
124,192,9,222,1,1,0,150,0,0,0,0,1,0,576,576,0,2,578,0
125,185,5,153,1,2,1,171,0,0,1,0,1,0,520,520,0,7,527,0
126,162,10,358,1,0,0,115,0,0,0,0,1,0,647,647,0,1,648,0
127,183,15,255,1,1,0,95,0,0,0,0,1,0,551,551,0,0,551,0
128,157,5,303,0,0,0,122,0,0,0,1,1,1,590,590,0,7,597,0
129,190,20,453,0,0,0,111,0,0,0,0,0,0,774,774,0,3,777,0
130,202,9,258,0,0,0,123,0,0,0,0,1,0,593,593,0,4,597,0
131,246,10,333,2,0,0,201,1,0,1,0,0,1,795,795,0,4,799,0
132,294,6,228,2,1,2,151,0,0,0,1,0,0,685,685,0,2,687,0
133,200,6,229,1,0,1,83,0,0,0,0,1,1,522,522,0,1,523,0
134,202,8,293,0,0,0,94,0,0,0,0,1,0,598,598,0,3,601,0
135,175,17,173,0,0,0,142,0,0,1,0,0,0,508,508,0,3,511,0
136,204,12,214,0,0,1,140,1,0,0,0,3,3,578,578,0,5,583,0
137,241,9,136,0,0,0,147,0,0,0,0,1,0,534,534,0,0,534,0
