Polling Station No,ARUMUGAM. V,NALLATHAMBI. A,RAJIV GANDHI. S,KALASTHIRI. S,SATHIYAMOORTHY. S,SEKAR. N,GNANASEKAR. A,DR.THIRUPATHI. N,RAJESH. S,VIJAYAKUMAR. G,ANJALI. M,GOVIND. T.G,SANKAR. S,GNANASEKARAN. M,GNANASEKARAN. R,THIRUPATHI. C,THIRUPATHI. S,THIRUPATHI. N,NALLATHAMBI. R,BALABHARATHI. S.V,DR.POOVALAGI. P,MOHAN RAJ. R,RAGUJOSEPH. J,VENKATESAN. K,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
223,23,171,0,1,2,2,134,655,2,4,2,1,0,0,2,0,2,2,0,0,0,1,2,6,1012,0,4,1016,0
224,31,193,1,0,0,1,45,497,2,1,1,0,3,2,0,2,0,1,1,0,0,1,1,1,784,0,0,784,0
225,ge 3 14,157,0,0,0,2,84,383,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,645,0,0,645,0
226,26,84,1,0,1,1,22,218,1,1,0,0,0,1,0,2,4,0,1,0,0,1,0,4,368,0,0,368,0
227,19,139,0,9,0,0,92,327,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,589,0,2,591,0
228,33,187,3,6,1,1,101,432,5,0,0,0,1,0,1,1,5,1,0,0,1,1,3,2,785,0,2,787,0
229,8,105,0,0,0,0,53,185,2,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,359,0,0,359,0
230,10,160,1,0,0,1,79,321,2,1,0,0,0,0,0,0,2,0,1,1,0,1,1,0,581,0,0,581,0
231,12,107,2,0,1,0,71,245,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,445,0,0,445,0
232,12,190,1,3,0,3,131,281,1,0,0,0,2,1,1,0,1,3,0,0,0,0,0,0,630,0,1,631,0
233,29,174,1,0,0,1,113,277,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,601,0,3,604,0
234,18,152,1,1,1,0,160,290,2,1,0,0,0,1,1,1,2,0,1,1,0,2,1,2,638,0,3,641,0
235,13,156,1,0,0,0,76,304,2,1,0,0,0,0,1,1,5,1,0,0,0,0,0,0,561,0,0,561,0
236,23,155,1,0,0,3,110,316,3,1,0,0,1,0,1,0,2,1,1,0,0,2,3,2,625,0,0,625,0
237,23,219,1,0,0,1,120,411,3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,783,0,0,783,0
238,21,152,0,0,0,3,137,329,1,0,0,0,1,2,1,3,0,0,0,1,0,1,1,2,655,0,3,658,0
239,19,81,1,1,0,3,115,161,3,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,390,0,0,390,0
240,27,170,2,1,1,2,236,354,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,1,800,0,2,802,0
241,24,210,2,1,0,2,200,485,6,2,0,0,5,1,1,1,0,1,2,1,3,0,3,2,952,0,1,953,0
242,13,171,1,2,0,4,115,321,1,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,634,0,2,636,0
243,24,98,2,2,1,1,109,310,4,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,558,0,1,559,0
244,17,143,2,1,3,2,84,309,1,0,2,1,0,0,2,2,0,0,0,0,0,1,2,1,573,0,1,574,0
245,17,130,2,2,0,2,157,225,2,0,0,0,0,3,0,1,1,1,0,1,2,0,2,0,548,0,0,548,0
246,21,241,4,1,0,4,195,420,1,17,0,0,0,1,0,1,0,2,1,1,0,0,1,0,911,0,0,911,0
247,25,180,0,2,2,4,214,418,1,13,1,0,0,2,1,2,0,3,1,1,0,1,1,3,875,0,2,877,0
248,12,175,2,0,0,3,163,415,1,3,0,0,0,0,1,0,1,2,1,0,0,0,1,1,781,0,0,781,0
249,25,118,0,0,0,0,83,147,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,377,0,2,379,0
250,32,192,1,2,0,1,78,315,1,2,0,0,1,0,1,3,3,1,0,0,0,0,0,1,634,0,1,635,0
251,13,126,1,1,1,2,129,328,4,17,2,0,2,0,2,1,4,0,1,1,0,0,1,1,637,0,0,637,0
252,24,225,0,1,0,0,59,555,5,2,0,0,19,0,2,0,2,3,0,1,0,0,1,3,902,0,3,905,0
253,14,111,0,1,0,1,58,236,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,424,0,4,428,0
254,11,69,2,1,0,1,116,289,3,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,499,0,1,500,0
255,18,109,1,0,1,1,147,287,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,571,0,0,571,0
256,19,226,4,1,2,2,245,374,3,3,1,0,0,0,0,2,2,0,2,0,0,1,1,3,891,0,3,894,0
257,29,126,2,0,0,1,38,287,1,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,490,0,1,491,0
258,10,205,1,0,0,2,68,193,2,0,0,0,0,0,0,2,2,4,0,1,0,1,2,2,495,0,0,495,0
259,22,138,2,1,0,0,99,237,1,4,0,1,0,1,1,2,1,1,0,0,1,0,0,0,512,0,2,514,0
260,10,130,0,0,0,1,236,324,1,4,0,0,0,0,0,0,0,2,0,0,0,0,2,2,712,0,2,714,0
261,19,114,2,0,1,1,191,291,1,1,0,0,0,0,0,0,1,4,0,2,0,0,0,2,630,0,1,631,0
262,27,172,3,1,0,1,252,236,0,2,1,1,2,0,1,0,2,0,0,0,0,0,1,0,702,0,1,703,0
263,33,171,1,0,0,0,61,279,7,0,1,0,0,1,0,0,2,2,0,0,0,0,1,1,560,0,0,560,0
264,14,189,1,0,0,2,60,310,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,583,0,0,583,0
265,10,171,0,0,0,3,81,154,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,426,0,0,426,0
266,28,233,3,2,2,0,205,498,4,3,1,0,0,2,0,0,1,0,1,3,0,1,0,1,988,0,1,989,0
267,10,202,1,0,0,0,59,311,1,2,0,0,0,0,0,0,3,2,0,0,0,1,1,1,594,0,0,594,0
268,15,178,1,0,1,0,88,310,2,0,0,0,0,0,0,0,1,3,3,1,0,0,0,1,604,0,1,605,0
269,36,138,1,0,0,0,395,345,3,4,1,0,0,0,0,0,2,1,0,0,0,0,0,0,926,0,0,926,0
270,23,120,1,1,0,2,264,299,2,3,0,0,1,1,0,1,0,1,0,1,1,0,1,1,723,0,1,724,0
271,13,131,0,0,0,0,119,307,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,574,0,0,574,0
272,6,129,2,1,0,1,133,258,2,1,0,0,0,1,1,1,1,1,0,2,0,0,0,1,541,0,2,543,0
273,11,157,2,0,1,2,192,445,5,1,1,0,0,0,1,1,1,2,2,0,2,1,6,8,841,0,3,844,0
274,15,241,1,1,1,4,147,428,2,3,0,0,0,1,1,1,2,1,2,1,3,1,5,1,862,0,0,862,0
275,29,217,1,1,0,1,133,357,1,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,747,0,1,748,0
276,9,240,10,0,0,0,78,324,1,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,671,0,3,674,0
277,10,156,1,0,1,0,42,129,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,346,0,1,347,0
278,15,105,0,1,1,1,170,334,2,2,0,0,0,0,0,0,1,1,0,1,1,1,2,2,640,0,1,641,0
279,14,147,1,0,0,0,136,208,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,4,515,0,1,516,0
280,14,161,2,0,0,1,89,305,1,1,0,0,0,2,0,3,0,0,2,0,0,1,2,3,587,0,4,591,0
281,13,115,0,0,0,2,99,273,1,0,0,0,0,0,1,0,1,2,0,1,0,0,1,2,511,0,0,511,0
282,10,124,1,2,0,4,98,212,3,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,460,0,1,461,0
283,15,236,0,3,0,1,202,389,1,1,0,1,0,0,2,2,0,1,0,0,0,4,3,3,864,0,0,864,0
284,34,170,3,1,1,1,179,424,2,0,0,0,1,0,1,1,0,0,2,0,0,1,4,1,826,0,2,828,0
285,28,79,1,0,0,1,105,263,2,3,0,0,0,1,1,2,1,0,2,0,0,2,3,2,496,0,0,496,0
286,37,169,3,0,0,3,155,609,4,2,0,0,1,1,0,1,1,5,1,1,0,0,1,4,998,0,0,998,0
287,25,243,3,0,0,2,165,538,0,2,1,0,0,0,0,0,4,1,1,2,0,0,1,0,988,0,3,991,0
288,14,213,2,0,0,3,175,299,0,0,0,0,0,0,0,2,1,2,1,1,0,0,1,0,714,0,2,716,0
289,17,175,2,1,1,4,182,273,0,1,0,0,1,1,2,1,1,2,1,0,1,1,2,3,672,0,1,673,0
290,22,84,2,1,1,0,115,199,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,430,0,0,430,0
291,18,223,2,0,0,2,65,363,1,0,0,0,2,1,1,0,2,5,0,1,1,3,1,2,693,0,5,698,0
292,13,245,3,0,0,3,79,173,4,4,1,0,0,0,0,1,1,6,1,2,1,1,3,6,547,0,1,548,0
293,10,166,2,2,1,1,114,301,2,2,0,0,2,1,5,1,2,7,0,0,3,2,3,5,632,0,4,636,0
294,18,153,3,0,0,3,57,241,4,2,1,2,2,1,5,3,1,5,1,2,1,1,0,3,509,0,4,513,0
295,9,232,2,0,0,3,103,217,2,1,0,0,3,0,2,1,2,4,2,1,2,0,2,1,589,0,2,591,0
296,16,224,6,4,4,6,202,375,5,1,1,2,2,2,11,6,3,6,3,3,5,1,7,2,897,0,4,901,0
297,4,111,1,1,0,2,93,146,1,0,0,1,2,1,2,0,3,3,2,0,1,1,0,0,375,0,1,376,0
298,15,189,3,0,0,0,66,213,3,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,498,0,0,498,0
299,14,173,1,1,1,7,228,377,8,3,1,1,4,0,0,5,2,3,4,1,1,1,5,4,845,0,3,848,0
300,ge 4 11,153,0,2,0,2,130,265,1,0,0,0,2,0,0,1,2,5,3,1,0,0,3,0,581,0,3,584,0
301,21,352,2,1,1,5,125,332,5,2,2,2,2,5,4,4,1,9,4,4,0,5,7,6,901,0,8,909,0
302,10,152,0,0,0,5,75,232,2,3,0,0,2,2,5,4,0,0,2,0,0,0,0,1,495,0,2,497,0
303,15,171,0,0,0,1,20,177,0,0,1,0,2,0,3,2,0,2,2,0,0,0,1,1,398,0,0,398,0
