Polling Station No,SELVAM K,MAHENDRAN K,MOORTHY P,KARTHIKEYAN S,BHARATHIRAJA A,PRINCE S,BOOMIRAJAN K,ARASU S,ARUN PANDIAN A J,AJAY KANNAN A,KARTHIKEYAN G,CHANDRA MOULISWARAN A,PITCHAI V,MUGESHKUMAR M,VELLADURAI A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
103,27,58,192,261,1,4,0,1,0,1,1,0,0,1,0,547,0,1,548,0
104,9,25,119,168,0,2,0,0,0,0,0,0,1,0,0,324,0,3,327,0
105,31,61,183,354,0,5,0,0,0,0,1,0,0,0,0,635,0,2,637,0
106,26,62,194,298,0,6,2,0,0,1,0,0,0,1,1,591,0,1,592,0
107,51,65,199,364,0,2,0,1,0,0,1,0,0,0,0,683,0,2,685,0
108,25,58,193,328,1,5,0,0,0,0,2,0,0,0,0,612,0,3,615,0
109,39,130,288,469,0,5,0,1,0,1,1,0,0,1,0,935,0,2,937,0
110,38,112,263,324,1,4,0,0,0,1,0,0,1,0,0,744,0,1,745,0
111,41,78,227,419,0,6,0,0,1,0,3,1,2,4,2,784,0,4,788,0
112,42,67,304,448,0,4,0,0,0,0,3,1,0,2,0,871,0,2,873,0
113,30,93,331,408,1,4,0,0,2,0,1,0,0,1,2,873,0,1,874,0
114,33,69,210,300,3,5,1,2,1,3,0,0,0,0,2,629,0,4,633,0
115,44,87,360,488,5,1,1,0,1,0,1,0,1,0,0,989,0,4,993,0
116,42,60,335,409,1,4,1,0,0,0,3,0,0,1,0,856,0,5,861,0
117,36,106,288,408,1,6,1,1,1,1,3,3,2,1,0,858,0,5,863,0
118,37,98,261,391,1,2,1,0,0,0,2,0,2,2,1,798,0,4,802,0
119,29,45,209,199,3,4,1,1,1,0,1,1,2,1,1,498,0,2,500,0
120,29,87,313,336,1,1,1,0,0,1,3,0,0,1,0,773,0,6,779,0
121,30,63,295,329,0,6,0,0,1,0,2,0,0,0,0,726,0,2,728,0
122,22,57,315,357,2,6,1,0,0,0,2,0,0,2,0,764,0,5,769,0
123,38,54,298,347,1,4,1,0,0,0,5,0,0,0,0,748,0,4,752,0
124,43,55,233,334,2,4,0,1,0,0,2,0,0,0,0,674,0,1,675,0
125,44,53,258,358,1,2,1,0,1,0,2,0,0,0,0,720,0,5,725,0
126,23,64,268,270,0,4,0,0,0,0,2,0,0,0,0,631,0,5,636,0
127,16,38,135,131,0,1,0,0,0,0,2,0,1,0,0,324,0,1,325,0
128,22,53,258,224,0,1,0,0,0,0,2,0,0,0,0,560,0,6,566,0
129,17,62,168,210,1,3,2,0,0,1,3,0,2,3,2,474,0,4,478,0
130,25,84,224,273,0,4,0,0,1,0,1,0,0,2,0,614,0,5,619,0
131,23,67,162,286,1,2,0,1,0,0,3,1,0,4,1,551,0,0,551,0
132,23,42,151,311,0,6,0,0,0,0,3,0,0,0,0,536,0,1,537,0
133,44,85,197,349,3,4,2,0,0,0,2,0,1,0,0,687,0,11,698,0
134,29,76,230,318,1,5,0,0,1,2,2,0,1,0,2,667,0,6,673,0
135,27,84,189,240,4,3,1,1,0,0,0,0,0,0,2,551,0,3,554,0
136,31,77,228,264,1,6,0,1,0,1,3,0,0,0,1,613,0,10,623,0
137,29,85,226,263,1,6,0,1,1,0,1,1,1,1,0,616,0,1,617,0
138,26,112,218,264,1,6,0,1,0,0,0,2,0,0,0,630,0,2,632,0
139,49,77,236,257,0,10,0,0,0,0,3,0,0,0,0,632,0,2,634,0
140,41,118,220,226,2,6,1,0,0,0,3,0,0,0,0,617,0,6,623,0
141,16,64,175,175,2,3,0,1,0,0,3,0,0,0,0,439,0,2,441,0
142,31,83,229,246,0,5,0,0,0,0,1,0,0,0,0,595,0,1,596,0
143,57,99,234,451,1,5,0,0,0,0,0,0,0,0,0,847,0,3,850,0
144,29,79,197,233,2,4,0,0,1,0,3,0,1,0,0,549,0,3,552,0
145,25,66,184,191,0,2,0,1,0,1,1,0,0,0,0,471,0,3,474,0
146,10,39,119,108,3,3,0,0,0,0,1,0,0,0,0,283,0,3,286,0
147,28,78,257,246,0,2,0,0,0,0,1,0,0,1,1,614,0,6,620,0
148,29,82,211,331,0,3,0,0,1,0,1,0,0,1,0,659,0,2,661,0
149,40,74,244,375,1,2,1,1,1,1,2,0,1,0,0,743,0,6,749,0
150,28,65,194,291,4,2,0,0,0,0,3,1,0,1,0,589,0,2,591,0
151,31,69,268,314,1,2,0,0,0,1,1,0,0,0,0,687,0,3,690,0
152,18,49,222,331,0,1,0,1,0,1,1,0,0,0,0,624,0,6,630,0
153,27,58,258,353,2,6,0,1,0,1,0,0,0,0,0,706,0,6,712,0
154,35,79,257,413,1,1,0,0,1,0,3,0,0,0,0,790,0,6,796,0
155,34,68,265,363,2,7,0,0,0,0,5,0,1,1,1,747,0,2,749,0
156,42,45,254,304,1,3,1,0,0,1,1,0,0,0,0,652,0,2,654,0
157,38,49,227,327,2,2,1,0,3,2,1,0,0,0,1,653,0,2,655,0
158,21,61,215,293,0,2,0,1,0,0,2,0,0,0,0,595,0,3,598,0
159,36,52,162,312,3,10,1,0,0,1,3,0,0,0,0,580,0,3,583,0
160,36,88,228,256,3,0,0,0,0,1,3,0,0,1,1,617,0,6,623,0
161,31,113,225,201,0,4,1,0,1,1,1,0,0,1,0,579,0,0,579,0
162,28,78,253,215,2,3,0,1,0,0,2,0,0,0,0,582,0,2,584,0
163,14,71,196,196,0,2,0,0,0,0,1,0,0,0,0,480,0,7,487,0
164,28,98,245,270,2,4,0,1,1,2,3,0,0,0,0,654,0,6,660,0
165,32,109,215,201,1,4,0,0,0,1,1,0,0,0,0,564,0,5,569,0
166,17,63,138,185,0,5,0,1,0,0,2,0,0,0,1,412,0,1,413,0
167,22,83,161,154,1,5,0,1,0,0,1,0,0,0,0,428,0,2,430,0
168,55,65,255,312,1,5,0,0,1,0,3,0,2,3,0,702,0,1,703,0
169,32,76,198,342,1,6,1,2,1,0,1,0,1,1,0,662,0,2,664,0
170,15,51,158,203,0,2,0,0,0,0,0,0,0,0,0,429,0,1,430,0
171,30,64,190,238,0,2,0,0,1,1,2,0,0,0,0,528,0,4,532,0
172,33,51,199,261,0,1,0,0,0,0,2,0,0,0,0,547,0,3,550,0
173,22,68,191,253,3,9,0,0,0,0,0,0,0,0,0,546,0,5,551,0
174,15,75,154,167,1,5,0,0,0,0,2,0,0,0,0,419,0,1,420,0
175,41,70,246,461,0,5,0,0,1,0,1,1,0,2,1,829,0,1,830,0
176,21,67,194,306,0,6,1,2,0,0,3,1,0,1,0,602,0,1,603,0
177,17,60,180,164,1,3,2,1,0,0,0,0,0,0,0,428,0,5,433,0
178,30,70,304,380,6,7,0,2,1,0,4,0,1,1,0,806,0,0,806,0
179,22,87,211,227,0,2,0,0,1,0,1,0,0,0,0,551,0,7,558,0
180,34,107,319,299,1,0,1,0,1,0,2,0,0,0,0,764,0,9,773,0
181,31,117,220,235,1,3,0,0,0,1,1,0,0,1,0,610,0,4,614,0
182,35,69,280,292,0,4,0,1,0,0,1,0,0,1,0,683,0,2,685,0
183,41,66,254,338,0,4,0,0,0,3,1,0,1,4,0,712,0,3,715,0
184,23,71,217,217,0,4,0,0,1,0,2,1,0,1,0,537,0,2,539,0
185,38,156,236,256,2,5,0,1,0,0,1,0,0,0,0,695,0,4,699,0
186,29,95,254,205,3,4,1,0,0,0,2,0,0,0,0,593,0,7,600,0
187,28,92,222,228,1,2,0,1,0,0,0,0,0,0,0,574,0,4,578,0
188,21,25,140,260,1,7,0,0,0,0,0,1,0,1,0,456,0,0,456,0
189,35,96,228,338,0,5,0,1,0,0,1,0,0,0,0,704,0,1,705,0
190,38,98,262,331,1,7,0,0,0,1,2,0,0,2,0,742,0,3,745,0
191,26,72,163,228,0,5,0,0,0,0,0,0,0,2,0,496,0,3,499,0
192,23,38,214,276,0,7,0,0,0,0,3,0,1,0,0,562,0,2,564,0
193,30,99,178,237,0,3,1,0,0,1,1,0,0,0,0,550,0,2,552,0
194,21,52,138,184,0,1,0,0,0,1,1,0,0,0,0,398,0,0,398,0
195,23,26,160,253,1,1,0,0,0,0,1,0,0,0,0,465,0,2,467,0
196,26,60,191,236,0,6,0,0,0,0,1,0,1,0,0,521,0,3,524,0
197,14,38,109,130,2,2,0,0,0,0,1,0,0,0,1,297,0,0,297,0
198,44,97,295,377,1,3,0,1,1,0,2,0,0,0,0,821,0,3,824,0
199,41,76,207,272,0,7,1,0,0,0,1,0,0,1,0,606,0,7,613,0
200,44,83,350,405,2,6,0,0,0,0,0,0,0,0,1,891,0,3,894,0
201,32,85,379,343,2,5,2,0,5,0,2,1,2,4,0,862,0,0,862,0
202,53,107,308,480,2,6,1,1,0,0,2,0,1,3,0,964,0,3,967,0
203,36,93,212,358,2,3,0,0,0,0,3,1,3,0,1,712,0,2,714,0
204,9,50,159,126,1,3,0,0,0,0,1,0,1,1,0,351,0,3,354,0
205,71,222,277,505,5,7,1,1,2,0,9,2,1,2,1,1106,0,5,1111,0
206,29,115,160,274,4,3,3,2,1,3,9,0,1,6,1,611,0,0,611,0
207,47,80,135,324,2,5,0,0,1,3,7,0,1,3,2,610,0,1,611,0
208,45,78,199,213,3,0,0,0,1,0,2,1,1,1,0,544,0,2,546,0
209,24,82,230,213,0,4,2,0,0,1,5,0,2,4,2,569,0,3,572,0
210,30,123,303,194,0,3,0,1,0,0,0,1,1,2,0,658,0,2,660,0
211,30,64,536,253,3,3,0,0,0,0,2,0,2,4,1,898,0,4,902,0
212,28,86,183,239,0,4,0,1,0,0,1,1,3,2,0,548,0,0,548,0
213,22,128,212,303,4,0,0,0,0,0,3,2,1,0,0,675,0,2,677,0
214,11,42,167,136,0,2,0,0,0,0,0,0,0,1,0,359,0,1,360,0
215,21,129,307,352,4,2,0,0,5,0,1,1,0,3,1,826,0,3,829,0
216,40,73,240,256,3,2,1,0,3,0,3,1,0,6,1,629,0,4,633,0
217,42,112,295,231,0,12,1,1,0,1,0,1,0,2,0,698,0,4,702,0
218,58,120,354,266,1,6,1,2,7,0,2,0,0,2,1,820,0,2,822,0
219,20,117,459,175,3,2,1,0,0,0,0,2,2,3,0,784,0,4,788,0
220,39,142,219,256,0,7,0,0,2,1,4,1,0,5,1,677,0,2,679,0
221,16,56,155,148,1,4,0,0,2,1,1,0,1,1,0,386,0,3,389,0
222,35,105,240,253,3,10,0,2,2,0,1,1,1,3,0,656,0,0,656,0
223,22,49,278,191,0,3,0,0,0,0,0,0,0,1,0,544,0,0,544,0
224,9,31,417,223,0,1,0,0,0,1,0,1,1,0,1,685,0,4,689,0
225,26,86,177,169,0,2,0,1,0,0,0,1,0,0,0,462,0,0,462,0
226,62,117,264,440,2,6,1,0,1,0,3,1,2,2,1,902,0,6,908,0
227,19,42,289,238,0,4,0,0,0,0,1,0,0,2,0,595,0,2,597,0
228,11,57,128,253,19,4,1,1,0,1,2,1,0,3,0,481,0,0,481,0
229,50,148,436,348,1,2,1,0,0,2,4,1,2,0,0,995,0,1,996,0
230,24,80,183,242,0,1,0,0,1,0,0,0,0,0,0,531,0,1,532,0
231,17,94,197,108,0,3,0,0,1,0,2,0,2,1,1,426,0,0,426,0
232,54,146,251,279,0,5,0,1,0,0,3,0,0,0,1,740,0,0,740,0
233,41,64,238,247,2,2,0,0,0,1,2,0,0,2,0,599,0,4,603,0
234,18,35,297,164,1,5,0,0,1,0,2,0,1,1,0,525,0,1,526,0
235,40,75,226,224,1,4,1,0,2,0,2,0,0,0,0,575,0,1,576,0
236,26,43,249,204,1,1,0,0,0,1,2,0,0,0,0,527,0,1,528,0
237,41,72,354,458,4,4,0,1,4,1,3,1,2,2,1,948,0,1,949,0
238,19,41,130,173,0,1,0,0,0,1,1,0,0,0,0,366,0,3,369,0
239,19,52,216,270,0,3,0,1,1,0,1,0,0,2,0,565,0,1,566,0
240,19,24,269,136,1,4,0,0,1,0,1,0,1,1,0,457,0,1,458,0
241,51,79,311,336,4,3,1,0,0,1,0,0,1,0,0,787,0,8,795,0
242,23,84,190,250,4,2,0,0,0,0,1,0,1,2,0,557,0,0,557,0
243,39,50,237,272,4,3,0,1,0,0,2,0,0,2,1,611,0,2,613,0
244,50,82,266,371,0,2,0,0,0,0,1,0,0,0,0,772,0,2,774,0
245,50,52,251,384,2,0,2,0,0,1,0,0,0,1,2,745,0,2,747,0
246,58,69,300,368,5,5,0,0,0,0,3,0,2,0,1,811,0,4,815,0
247,33,78,174,332,2,5,0,1,0,0,0,0,1,0,0,626,0,3,629,0
248,46,58,216,324,0,5,1,0,0,0,1,0,0,1,0,652,0,2,654,0
249,33,125,350,385,0,2,0,2,0,0,0,0,0,1,1,899,0,5,904,0
250,47,101,357,475,4,5,0,1,1,0,4,0,2,2,0,999,0,4,1003,0
251,34,47,225,183,1,8,0,0,1,0,5,1,0,1,0,506,0,1,507,0
252,1,1,35,3,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0
