Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
122,2,244,54,93,1,0,0,3,339,0,0,0,0,0,1,0,0,0,0,0,737,0,11,748,0
123,0,197,26,88,2,0,1,0,236,0,0,0,1,0,0,1,0,4,1,0,557,0,5,562,0
124,1,209,49,121,1,0,0,1,340,0,0,0,1,0,0,3,0,0,0,0,726,0,5,731,0
125,0,263,37,52,3,0,1,1,463,0,0,0,0,1,2,1,1,2,0,0,827,0,7,834,0
126,1,213,35,52,0,2,0,6,382,0,0,0,0,0,1,1,1,0,0,0,694,0,1,695,0
127,0,202,48,57,2,0,0,3,570,0,2,0,0,1,0,0,0,0,0,0,885,0,1,886,0
128,2,221,27,86,1,0,0,0,322,0,0,0,0,0,1,0,1,0,0,0,661,0,3,664,0
129,1,205,19,71,0,0,0,1,242,0,0,0,0,0,0,0,0,0,1,0,540,0,4,544,0
130,2,147,14,40,0,0,0,0,155,0,0,0,0,0,1,1,1,0,0,0,361,0,4,365,0
131,0,213,41,130,0,2,0,2,400,2,0,0,0,1,1,0,0,0,0,1,793,0,2,795,0
132,2,196,34,63,0,1,0,2,413,1,0,0,0,0,0,0,0,0,0,0,712,0,0,712,0
133,2,249,53,63,0,2,0,1,441,1,0,0,0,0,1,1,0,0,0,0,814,0,5,819,0
134,1,251,43,66,2,1,0,6,457,2,0,0,0,0,0,0,0,1,0,1,831,0,2,833,0
135,2,168,19,50,0,0,2,0,256,1,0,1,1,0,0,0,0,0,0,0,500,0,1,501,0
136,2,245,27,29,2,0,0,1,425,0,0,3,0,1,0,2,0,0,0,0,737,0,1,738,0
137,0,189,28,54,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,624,0,1,625,0
138,1,213,34,89,0,1,0,0,466,1,0,0,0,0,0,1,1,0,0,0,807,0,3,810,0
139,2,207,31,113,0,0,0,1,394,0,0,0,0,1,0,0,0,0,0,0,749,0,4,753,0
140,0,117,29,38,1,1,1,0,308,1,0,0,0,0,0,0,0,2,0,0,498,0,2,500,0
141,2,181,28,49,2,0,0,0,296,0,0,0,0,1,1,1,0,1,0,0,562,0,3,565,0
142,0,247,26,75,0,1,0,3,261,0,0,0,0,0,1,1,0,3,1,0,619,0,2,621,0
143,2,209,27,53,1,1,0,1,305,0,0,0,0,0,0,1,0,1,0,0,601,0,2,603,0
144,1,234,42,95,0,0,0,0,322,0,0,0,0,0,0,0,0,0,1,0,695,0,1,696,0
145,1,254,33,63,0,0,0,0,304,0,0,1,0,0,1,0,0,0,1,0,658,0,5,663,0
146,0,295,44,81,1,0,0,1,425,0,0,0,0,0,0,0,0,1,0,0,848,0,4,852,0
147,1,198,40,116,0,3,0,1,382,0,0,1,0,0,0,0,0,1,0,0,743,0,5,748,0
148,0,212,55,112,0,0,0,1,419,1,0,0,0,1,0,0,0,0,0,0,801,0,8,809,0
149,1,159,18,79,0,0,0,1,306,0,0,0,0,0,1,0,1,0,0,0,566,0,0,566,0
150,0,226,43,83,1,0,0,0,403,0,0,0,0,1,0,0,0,1,0,1,759,0,2,761,0
151,1,214,39,68,2,0,0,0,380,0,0,0,0,0,0,0,0,1,1,0,706,0,3,709,0
152,1,277,44,130,2,1,0,2,354,0,0,0,0,0,1,2,0,0,1,0,815,0,8,823,0
153,0,222,43,151,6,1,1,4,356,1,0,0,0,0,0,1,0,1,1,0,788,0,9,797,0
154,1,210,25,92,1,0,0,2,392,0,0,1,0,1,1,0,0,1,0,0,727,0,4,731,0
155,3,205,28,88,1,0,0,0,372,0,0,2,0,0,0,0,0,1,1,0,701,0,1,702,0
156,0,253,51,97,0,1,1,1,427,0,0,0,0,1,0,1,0,0,1,0,834,0,8,842,0
157,1,252,37,120,0,0,0,0,348,0,0,0,0,0,0,1,2,1,1,0,763,0,7,770,0
158,0,129,29,62,1,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,379,0,2,381,0
159,1,248,45,182,0,1,0,1,405,0,0,0,0,0,0,0,1,0,0,0,884,0,6,890,0
160,0,120,25,70,0,1,0,0,224,0,0,0,0,0,0,0,0,0,0,0,440,0,3,443,0
161,1,220,23,111,1,0,0,2,334,0,0,1,0,1,0,0,0,0,0,0,694,0,2,696,0
162,1,187,38,73,4,0,0,0,307,0,1,0,0,0,0,0,0,0,0,0,611,0,1,612,0
163,2,226,64,107,1,0,1,2,462,0,0,0,0,0,0,1,0,0,0,0,866,0,7,873,0
164,3,184,21,65,0,0,1,0,226,0,0,0,0,1,0,0,0,0,0,0,501,0,3,504,0
165,2,205,32,101,2,0,0,2,332,0,0,1,0,0,0,1,0,0,0,0,678,0,8,686,0
166,1,206,45,50,0,0,1,1,425,2,0,0,0,0,0,0,0,0,0,0,731,0,2,733,0
167,0,170,27,79,1,0,0,2,270,0,0,0,0,0,0,0,1,0,0,0,550,0,3,553,0
168,1,115,25,94,0,0,0,0,278,0,0,0,0,0,0,1,0,1,0,0,515,0,0,515,0
169,6,276,41,53,1,0,0,2,437,0,0,0,0,0,0,0,0,1,0,0,817,0,0,817,0
170,0,181,20,51,0,0,0,1,338,2,0,0,0,1,0,2,1,0,1,0,598,0,3,601,0
171,1,218,30,73,1,0,0,1,348,0,0,0,1,1,1,0,0,0,0,0,675,0,3,678,0
172,0,216,27,79,2,0,0,0,385,0,0,0,0,2,0,1,2,0,0,0,714,0,2,716,0
173,3,242,26,27,2,0,0,1,348,0,0,0,0,0,1,1,0,0,0,1,652,0,0,652,0
174,4,160,33,28,3,0,1,1,278,0,0,2,1,1,0,0,0,0,0,0,512,0,5,517,0
175,0,147,37,60,0,1,1,1,273,0,0,1,0,0,1,0,0,0,0,0,522,0,1,523,0
176,6,238,39,93,1,1,0,1,414,0,1,0,0,0,0,0,0,2,0,0,796,0,2,798,0
177,0,180,29,82,2,0,1,1,361,0,0,0,0,0,1,0,0,0,0,0,657,0,2,659,0
178,1,216,33,106,1,1,0,1,414,1,0,1,0,1,0,1,1,0,0,0,778,0,6,784,0
179,0,292,35,64,1,1,1,2,399,1,0,0,1,1,0,1,0,2,0,2,803,0,4,807,0
180,1,116,26,38,2,0,0,0,279,0,0,0,0,1,1,0,0,0,0,0,464,0,1,465,0
181,6,211,43,67,0,0,1,1,347,0,0,0,1,0,0,1,1,0,0,0,679,0,1,680,0
182,1,130,24,47,0,0,0,3,279,0,0,0,0,5,1,0,1,1,0,1,493,0,1,494,0
183,1,237,43,84,0,1,0,0,539,3,0,0,0,0,0,1,0,0,0,0,909,0,5,914,0
184,1,183,48,62,0,2,1,3,475,2,0,0,1,2,1,0,0,0,0,0,781,0,4,785,0
185,3,174,35,55,1,0,0,0,389,0,1,0,0,1,0,0,0,1,0,1,661,0,6,667,0
186,2,189,44,71,1,0,1,1,455,0,0,0,0,0,0,0,0,0,0,0,764,0,3,767,0
187,3,141,32,45,1,0,0,1,401,1,0,1,0,0,0,2,0,0,0,1,629,0,3,632,0
188,1,148,27,12,0,0,0,2,306,0,0,0,1,2,0,1,1,0,2,0,503,0,1,504,0
189,3,234,42,55,0,0,0,1,409,0,0,0,3,4,2,1,1,0,0,0,755,0,4,759,0
190,1,202,29,57,1,2,1,2,432,0,2,3,1,3,1,2,1,1,1,0,742,0,2,744,0
