Polling Station No,AVARANGADU KARTHIK RAJA,THANGAM THENARASU,RAJAVARMAN.M.S.R,KANNAN.G,GUNASEKARAN.G,SAMAYAN.S,MURUGESAPANDIAN.T,RAJKUMAR.D,VELLAISAMY.P,ARAVINTHASAMY.J,KALIMUTHU.S,GURUSAMY.T,CHENNA KESAVAN.P,SETHURAMALINGAM.S,ADVOCATE THANGAPANDIAN,NALLAMARUTHU.K,PALANIYANDI.M,MALAI ALAGU.M,MARIMUTHU.M,MARNADU.M,MUNIYASAMY.R,RAJANGAM.C,JEYACHITRA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
231,14,136,57,2,1,169,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,381,0,2,383,0
232,68,322,88,1,3,338,11,1,2,0,1,2,0,0,2,1,0,1,1,0,2,0,1,845,0,4,849,0
233,9,99,14,0,0,91,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,215,0,4,219,0
234,9,130,29,0,0,96,4,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,273,0,0,273,0
235,76,241,50,2,0,197,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,580,0,2,582,0
236,40,197,38,0,0,230,10,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,520,0,2,522,0
237,46,334,115,14,4,458,1,0,0,0,0,1,0,6,2,1,0,2,1,0,1,0,0,986,0,4,990,0
238,124,265,75,0,4,200,14,1,2,0,0,2,1,0,1,0,0,0,2,0,0,0,0,691,0,1,692,0
239,46,245,92,2,0,150,26,3,0,1,1,0,0,1,4,1,2,3,2,0,1,0,0,580,0,1,581,0
240,37,276,81,3,2,274,6,0,0,0,1,0,2,0,0,1,0,4,0,0,0,3,0,690,0,2,692,0
241,28,204,91,0,0,246,3,1,0,0,0,1,0,0,3,1,1,0,1,0,0,0,0,580,0,2,582,0
242,56,246,120,2,2,238,0,0,0,0,2,1,0,0,4,0,1,1,0,1,0,0,1,675,0,0,675,0
243,39,176,57,1,1,173,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,451,0,3,454,0
244,57,298,97,1,2,292,13,0,0,0,0,1,0,0,5,0,4,3,2,1,3,3,0,782,0,4,786,0
245,38,350,62,0,2,247,6,0,0,0,0,3,0,0,2,0,0,2,0,0,0,1,0,713,0,2,715,0
246,ge2 63,179,51,2,12,178,0,0,0,0,1,0,0,0,4,1,0,0,3,1,1,0,1,460,0,1,461,0
247,76,303,148,0,6,262,14,0,1,0,1,1,0,2,1,1,3,0,2,0,0,1,0,822,0,2,824,0
248,16,165,36,2,0,129,0,0,0,0,0,1,1,2,1,0,1,3,0,0,0,0,0,357,0,0,357,0
249,68,276,104,1,0,283,0,0,0,0,1,0,1,1,0,2,1,4,2,0,0,0,0,744,0,0,744,0
250,43,400,164,2,0,270,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,1,0,889,0,2,891,0
251,17,210,42,1,1,185,2,0,0,0,0,0,1,2,1,0,1,4,1,0,1,3,0,472,0,7,479,0
252,24,174,122,0,2,217,2,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,546,0,0,546,0
253,33,140,39,0,2,125,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,344,0,0,344,0
254,105,192,34,0,2,158,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,496,0,1,497,0
255,8,229,108,1,3,388,0,1,1,0,2,1,0,1,2,0,1,4,0,0,1,5,1,757,0,5,762,0
256,71,340,133,0,3,364,12,1,0,0,1,1,1,2,1,1,2,5,1,2,1,2,0,944,0,1,945,0
257,15,350,152,1,3,288,13,1,2,1,4,2,2,3,7,0,1,2,3,0,0,0,1,851,0,3,854,0
258,25,297,79,0,2,148,16,0,0,1,0,0,0,0,2,1,1,13,2,0,0,1,2,590,0,1,591,0
259,37,351,130,0,1,280,15,0,0,0,0,0,0,2,1,1,0,5,1,0,0,0,1,825,0,1,826,0
260,35,296,122,0,1,349,1,1,0,0,0,0,2,2,4,1,0,2,1,0,0,0,0,817,0,3,820,0
261,20,220,104,0,0,164,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,515,0,2,517,0
262,30,207,81,2,1,177,1,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,505,0,3,508,0
263,11,192,169,1,0,57,0,0,0,0,0,0,0,0,2,1,0,2,5,0,0,1,0,441,0,0,441,0
264,88,254,280,0,1,221,17,0,0,0,0,2,0,2,1,5,2,4,5,0,0,1,0,883,0,4,887,0
265,23,213,163,1,1,91,5,0,0,0,1,0,0,0,5,1,2,5,0,0,0,0,0,511,0,1,512,0
266,28,221,73,1,15,74,19,0,0,0,0,5,0,0,4,0,1,4,0,0,0,0,1,446,0,1,447,0
267,55,277,140,2,1,173,12,0,0,0,0,1,0,1,4,1,2,6,4,0,1,0,1,681,0,2,683,0
268,33,376,157,0,11,263,11,0,0,1,1,0,0,1,5,1,0,0,0,0,0,1,0,861,0,1,862,0
269,32,310,185,0,0,303,2,2,1,2,1,0,1,2,2,0,0,2,0,1,2,1,0,849,0,1,850,0
270,38,255,96,0,1,183,22,1,1,1,2,0,0,0,2,0,0,4,0,0,1,0,0,607,0,4,611,0
271,39,262,41,0,8,101,31,0,0,2,0,0,0,0,0,1,1,2,0,0,1,0,1,490,0,0,490,0
272,13,285,208,3,1,293,2,2,0,1,0,0,1,1,4,0,1,6,9,0,1,4,0,835,0,2,837,0
273,17,81,54,1,0,62,4,0,1,1,0,1,0,0,2,0,1,1,0,1,0,0,0,227,0,1,228,0
274,21,103,149,0,2,103,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,380,0,1,381,0
275,58,228,222,6,161,169,5,2,0,0,1,0,1,2,7,0,4,1,2,1,2,0,1,873,0,0,873,0
276,39,269,105,0,1,313,3,0,3,0,0,0,1,2,1,3,1,1,0,0,1,0,0,743,0,1,744,0
277,23,301,64,0,0,138,41,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,573,0,1,574,0
278,21,147,66,1,0,135,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,385,0,2,387,0
279,30,243,88,1,0,143,52,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,560,0,3,563,0
280,60,276,124,0,0,145,30,1,1,0,0,1,0,0,2,0,0,0,2,0,1,1,1,645,0,1,646,0
281,69,186,50,0,6,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,410,0,2,412,0
282,88,200,31,0,4,94,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,423,0,0,423,0
283,68,344,65,1,22,236,22,0,0,1,1,1,1,1,2,1,0,2,3,0,2,0,1,774,0,2,776,0
284,18,153,22,0,7,67,6,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,277,0,0,277,0
285,21,268,136,1,0,223,2,0,0,0,0,0,0,3,2,0,1,1,0,0,1,0,1,660,0,0,660,0
286,42,137,45,1,2,105,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,338,0,0,338,0
287,16,453,115,1,1,244,0,1,0,0,1,0,0,1,1,0,1,2,1,0,0,0,0,838,0,0,838,0
288,5,425,39,0,1,121,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,598,0,0,598,0
289,52,191,35,0,5,166,1,0,0,0,0,0,0,1,5,0,3,3,4,0,0,2,0,468,0,0,468,0
290,9,215,61,0,1,167,5,0,0,0,0,1,0,0,3,0,0,1,2,0,1,0,0,466,0,0,466,0
291,61,209,85,0,17,158,17,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,554,0,1,555,0
292,56,231,62,1,12,144,22,0,0,1,0,0,0,0,5,1,3,6,1,0,1,0,0,546,0,3,549,0
