Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Candidate_21,Candidate_22,Candidate_23,Candidate_24,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
227,18,2,164,86,1,0,375,1,0,1,2,0,0,0,2,0,0,0,2,1,1,0,0,7,7,663,0,663,0
228,23,0,113,141,1,1,283,0,0,0,1,2,0,0,2,0,1,0,0,2,0,0,1,5,5,576,0,576,0
229,24,0,80,126,1,0,174,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,5,5,415,0,415,0
230,18,1,45,154,0,0,115,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,4,339,0,339,0
231,25,0,107,161,3,2,193,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,6,6,503,0,503,0
232,23,1,95,129,0,0,172,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,429,0,429,0
233,23,2,164,87,0,3,196,0,0,0,0,1,0,0,1,0,1,0,1,4,0,0,1,3,3,487,0,487,0
234,25,3,102,135,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,10,441,0,441,0
235,25,3,125,202,0,0,179,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,11,549,0,549,0
236,34,1,97,206,1,0,225,2,3,0,1,0,0,0,2,1,0,0,1,2,1,0,1,11,11,589,0,589,0
237,20,0,83,203,0,2,117,0,3,0,0,1,0,0,2,0,0,0,0,1,0,0,0,3,3,435,0,435,0
238,32,1,132,190,2,1,248,0,0,1,0,0,1,0,0,0,1,1,0,4,1,0,1,3,3,619,0,619,0
239,19,0,113,79,0,0,234,0,0,0,4,0,0,1,3,0,0,0,1,5,0,1,1,2,2,463,0,463,0
240,23,1,100,98,0,0,197,1,1,0,0,1,0,0,1,0,0,0,3,2,0,0,0,2,2,430,0,430,0
241,21,0,52,201,0,0,190,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,6,6,475,0,475,0
242,29,1,118,209,0,0,197,0,1,0,0,0,0,0,0,2,1,0,0,2,0,1,0,9,9,570,0,570,0
243,15,2,158,108,1,1,272,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,562,0,562,0
244,29,1,213,163,1,0,415,0,0,0,0,1,0,2,0,3,1,0,3,6,1,1,1,4,4,845,0,845,0
245,26,1,113,177,1,0,271,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,3,3,598,0,598,0
246,34,0,146,171,1,0,275,7,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,8,8,648,0,648,0
247,33,1,118,229,0,1,246,0,1,0,3,2,0,0,0,1,2,0,0,1,1,1,1,10,10,651,0,651,0
248,34,2,101,268,1,0,218,4,1,2,2,0,1,0,0,0,1,0,1,1,0,2,0,2,2,641,0,641,0
249,25,2,105,146,0,0,182,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,7,472,0,472,0
250,28,1,199,117,0,0,352,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,3,3,707,0,707,0
251,38,2,151,122,0,1,235,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,7,7,562,0,562,0
252,32,1,134,117,0,1,264,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,4,557,0,557,0
253,29,0,147,102,0,1,225,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,3,511,0,511,0
254,32,2,176,103,3,1,241,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,564,0,564,0
255,45,1,146,138,0,2,326,2,1,0,0,0,0,4,0,0,0,0,1,4,0,0,0,6,6,676,0,676,0
256,31,1,153,139,0,1,443,1,1,0,3,1,0,0,1,0,0,0,1,2,0,1,1,4,4,784,0,784,0
257,20,4,73,97,0,0,138,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,7,7,344,0,344,0
258,39,1,86,144,1,0,219,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,4,498,0,498,0
259,36,0,192,223,2,0,277,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,9,9,744,0,744,0
260,30,1,158,62,3,0,274,2,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,3,3,539,0,539,0
261,44,1,147,131,0,1,352,2,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,7,690,0,690,0
262,35,2,202,136,0,2,371,3,0,3,2,0,0,0,0,2,2,0,2,3,0,0,0,0,0,765,0,765,0
263,48,1,154,168,3,0,452,0,0,0,2,0,0,1,0,1,0,1,1,7,0,1,0,1,1,841,0,841,0
264,42,0,262,79,2,3,379,0,2,2,0,5,1,0,1,2,0,0,0,3,1,2,0,4,4,790,0,790,0
265,37,0,219,116,9,3,407,4,2,1,0,0,0,1,0,0,1,0,1,6,0,1,0,3,3,811,0,811,0
266,48,2,213,108,0,0,344,0,2,1,3,1,0,0,1,1,1,0,0,0,0,0,0,2,2,727,0,727,0
267,48,0,140,174,3,0,404,0,0,0,1,0,0,0,2,0,2,2,0,3,0,1,1,2,2,783,0,783,0
268,53,0,181,137,0,1,352,0,0,2,1,0,0,1,3,0,1,0,0,0,1,1,1,9,9,744,0,744,0
269,45,0,154,97,1,1,292,1,3,1,0,0,0,0,4,0,0,0,4,2,0,3,0,3,3,611,0,611,0
270,18,1,248,58,1,1,215,0,0,0,0,0,0,1,0,0,0,0,2,6,0,2,3,1,1,557,0,557,0
271,35,1,128,151,0,1,249,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7,7,575,0,575,0
272,41,0,112,194,0,1,244,0,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,601,0,601,0
273,30,1,81,255,0,0,246,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,7,7,627,0,627,0
274,35,1,77,207,0,2,176,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,5,506,0,506,0
275,24,3,109,171,2,1,216,1,1,0,2,1,0,0,0,1,0,0,0,2,1,0,0,3,3,538,0,538,0
276,28,1,110,144,0,0,151,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,2,2,443,0,443,0
277,30,0,110,157,0,3,276,0,0,2,0,0,0,0,0,0,4,0,1,9,0,0,1,5,5,598,0,598,0
278,27,2,171,118,2,1,381,1,1,0,2,0,0,0,0,2,0,0,0,3,1,1,0,6,6,719,0,719,0
279,45,0,98,121,3,1,334,0,1,1,1,0,1,0,1,0,2,0,2,6,0,0,1,4,4,622,0,622,0
280,33,2,170,115,0,0,299,2,1,1,0,0,1,0,0,1,0,0,0,3,0,1,0,4,4,633,0,633,0
281,26,1,130,125,0,0,301,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,5,5,594,0,594,0
282,30,1,111,199,0,1,227,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,579,0,579,0
283,30,0,179,134,1,0,360,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,3,715,0,715,0
284,22,1,166,101,0,1,266,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,0,2,2,567,0,567,0
285,31,0,108,52,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,446,0,446,0
286,34,1,181,91,2,1,239,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,556,0,556,0
287,12,2,198,78,0,1,259,5,1,2,0,0,1,1,0,1,0,0,1,4,0,1,3,0,0,570,0,570,0
288,20,2,152,62,1,1,293,0,1,1,0,0,0,1,1,0,1,2,0,0,1,1,0,3,3,543,0,543,0
289,23,3,196,152,0,0,351,0,0,0,2,1,0,0,1,0,2,0,0,2,0,1,0,1,1,735,0,735,0
290,27,1,146,119,0,1,388,0,3,0,2,0,0,1,0,0,3,0,1,4,0,0,0,8,8,704,0,704,0
291,34,2,204,100,0,0,310,10,0,1,2,0,1,0,0,0,2,0,1,5,0,1,0,6,6,679,0,679,0
292,30,1,110,78,4,0,199,2,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,5,5,434,0,434,0
293,53,4,255,124,0,2,468,0,3,0,2,0,1,2,2,2,3,0,1,7,1,1,1,7,7,939,0,939,0
294,36,2,186,62,1,0,364,1,0,0,2,0,0,0,1,0,2,0,4,6,0,1,1,3,3,672,0,672,0
295,29,3,266,62,0,0,377,0,1,1,1,0,0,0,2,1,3,0,0,4,1,0,2,1,1,754,0,754,0
296,31,0,138,80,0,0,250,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,6,513,0,513,0
297,61,3,140,75,0,0,374,2,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,4,4,665,0,665,0
298,20,2,106,172,2,2,255,1,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,1,1,568,0,568,0
299,39,0,212,123,1,0,348,2,0,0,1,0,3,0,1,0,0,0,0,1,4,1,0,1,1,737,0,737,0
300,36,1,173,75,0,0,217,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,511,0,511,0
301,25,0,166,80,1,0,243,1,2,0,1,0,0,1,0,1,0,0,2,3,0,0,1,1,1,528,0,528,0
302,72,3,218,253,0,2,414,1,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,7,7,976,0,976,0
303,47,0,189,119,0,2,394,4,3,0,2,0,2,0,0,0,1,0,1,5,0,1,0,5,5,775,0,775,0
304,74,2,216,150,1,1,437,4,0,2,0,1,0,0,1,0,0,0,0,4,1,2,0,10,10,906,0,906,0
305,59,2,206,98,0,0,313,1,0,0,3,0,0,1,0,0,1,0,1,3,0,0,0,3,3,691,0,691,0
306,73,1,197,145,1,1,341,10,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,7,7,782,0,782,0
307,64,1,165,148,2,2,313,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,4,706,0,706,0
308,25,3,286,82,2,0,366,0,2,1,0,0,0,1,0,0,1,2,1,9,0,3,0,1,1,785,0,785,0
309,35,2,255,106,0,3,356,1,1,0,0,0,0,0,2,0,0,1,0,6,0,0,2,4,4,774,0,774,0
310,30,0,178,109,0,0,377,1,1,1,0,2,0,0,0,0,1,0,1,2,1,1,1,1,1,707,0,707,0
311,36,1,172,151,0,1,390,0,1,1,0,5,0,0,0,2,0,0,1,0,4,0,0,2,2,767,0,767,0
312,40,1,145,133,0,0,328,5,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,657,0,657,0
313,46,1,169,131,2,0,288,2,6,0,3,0,1,1,0,1,2,0,0,2,0,1,0,5,5,661,0,661,0
314,50,0,135,149,2,0,350,4,0,0,1,0,2,1,1,2,1,0,0,1,0,0,0,4,4,703,0,703,0
315,39,3,143,137,2,1,335,1,1,0,2,0,0,0,2,0,0,0,0,1,1,2,2,7,7,679,0,679,0
316,28,2,155,173,2,0,210,3,2,0,1,1,0,0,0,1,2,0,1,5,0,1,0,6,6,593,0,593,0
317,38,0,124,87,3,0,297,8,0,1,1,0,0,1,0,0,3,0,3,6,0,0,0,0,0,572,6,578,0
318,33,0,92,94,0,1,262,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,487,0,487,0
319,31,0,151,120,1,1,257,1,0,1,2,1,0,0,2,0,0,0,0,5,0,0,0,3,3,576,0,576,0
320,28,0,128,151,2,0,218,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,6,6,539,0,539,0
321,29,4,119,128,0,1,233,4,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,3,3,528,0,528,0
322,47,2,124,110,0,2,292,3,0,0,3,2,0,2,0,0,1,0,0,1,0,0,0,6,6,595,0,595,0
323,26,3,141,138,0,2,200,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,521,0,521,0
324,23,1,94,83,0,1,192,0,1,0,1,2,0,1,1,1,1,0,0,2,0,0,0,0,0,404,0,404,0
325,30,0,83,86,0,1,166,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,3,374,0,374,0
326,42,1,164,207,3,2,259,1,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,11,11,698,0,698,0
327,31,0,115,114,0,1,266,1,0,0,1,0,0,0,2,0,2,1,0,1,0,0,1,2,2,538,0,538,0
328,34,0,149,123,1,0,301,0,2,1,0,0,0,1,1,0,1,0,0,2,0,1,1,8,8,626,0,626,0
329,56,3,165,115,2,2,319,2,0,2,0,0,0,1,0,2,1,0,1,1,0,1,0,10,10,683,0,683,0
330,39,0,192,167,3,1,280,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,7,7,696,0,696,0
331,52,0,143,76,1,2,294,0,0,0,0,1,0,0,1,0,2,0,0,3,0,1,0,1,1,577,0,577,0
332,20,1,89,71,1,0,148,2,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,3,3,342,0,342,0
333,21,0,59,80,0,2,117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,282,0,282,0
334,18,1,86,74,0,0,186,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,0,2,2,374,0,374,0
335,34,0,213,128,1,0,344,4,0,0,2,1,1,0,0,0,0,0,0,6,0,1,0,4,4,739,0,739,0
336,21,1,85,99,0,0,149,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,6,6,365,0,365,0
337,38,1,177,179,0,4,280,0,0,0,1,0,0,0,2,0,1,1,1,2,1,1,0,4,4,693,0,693,0
338,36,0,147,110,2,1,276,2,0,0,2,0,0,0,1,0,1,0,1,2,0,1,0,1,1,583,0,583,0
339,31,0,113,174,2,0,236,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,5,5,567,0,567,0
340,50,1,145,159,0,0,278,2,0,0,0,2,0,0,0,0,1,0,0,3,0,2,0,5,5,648,0,648,0
341,40,1,130,198,2,3,350,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,12,12,742,0,742,0
342,24,0,130,176,1,0,307,0,0,1,2,2,0,0,2,0,0,1,0,0,1,0,0,13,13,660,0,660,0
343,40,0,183,176,1,2,333,0,0,2,2,0,0,0,0,1,1,0,2,1,1,0,1,5,5,751,0,751,0
344,26,0,63,192,2,1,153,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,442,0,442,0
345,25,1,270,60,0,4,262,2,0,0,0,0,0,2,2,0,0,0,3,11,0,0,0,3,3,645,0,645,0
346,12,3,184,74,1,1,200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4,481,0,481,0
347,35,0,250,146,1,1,308,2,1,0,1,1,0,0,1,0,0,0,0,3,0,0,1,8,8,759,0,759,0
348,49,0,202,147,0,1,367,0,1,0,0,0,0,0,1,0,0,1,1,5,0,0,0,4,4,779,0,779,0
349,8,5,131,66,1,0,188,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,404,0,404,0
350,16,10,173,78,2,0,264,0,1,0,2,0,0,0,2,1,0,0,1,1,0,0,0,2,2,553,0,553,0
351,31,2,208,85,0,1,333,3,0,2,0,0,0,0,1,0,1,0,1,2,0,0,0,2,2,672,0,672,0
352,20,4,135,105,0,1,340,0,0,0,0,0,1,2,3,1,3,1,0,0,0,0,0,2,2,618,0,618,0
353,36,2,184,119,0,3,275,5,0,3,1,1,0,0,0,1,0,0,0,8,0,1,1,6,6,646,0,646,0
354,21,0,127,123,0,0,256,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,7,7,540,0,540,0
355,19,0,186,69,2,1,251,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,532,0,532,0
356,31,1,167,71,0,0,253,0,1,1,2,0,0,0,0,0,0,0,2,4,1,2,0,1,1,537,0,537,0
357,19,1,129,64,1,0,253,1,0,0,1,0,0,1,1,0,0,0,1,4,0,1,0,0,0,477,0,477,0
358,30,1,120,184,1,0,250,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,4,4,596,0,596,0
359,49,0,159,150,1,0,274,0,1,0,1,0,1,0,0,1,1,0,1,5,0,0,0,6,6,650,0,650,0
360,45,0,187,55,1,2,379,0,1,1,0,0,0,1,2,0,2,1,2,6,1,0,0,4,4,690,0,690,0
361,48,3,136,219,0,0,482,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,7,899,0,899,0
362,28,1,60,136,1,0,144,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,377,0,377,0
363,18,1,129,161,1,1,302,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4,4,621,0,621,0
364,36,1,188,99,1,4,284,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,1,4,4,629,0,629,0
365,14,0,62,77,1,0,187,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,347,0,347,0
366,39,1,137,171,2,0,286,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,642,0,642,0
367,28,0,166,143,0,1,338,2,0,3,0,1,0,0,0,0,1,0,2,2,0,0,0,2,2,689,0,689,0
368,29,1,98,109,1,1,229,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,476,0,476,0
369,11,0,93,43,0,0,121,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,2,274,0,274,0
370,62,0,178,79,1,0,320,3,3,2,0,1,2,0,1,0,1,0,0,6,0,0,0,3,3,662,0,662,0
371,52,1,195,69,0,1,251,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,577,0,577,0
372,29,0,150,80,0,2,196,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,2,464,0,464,0
373,23,0,150,71,0,1,197,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,1,449,0,449,0
374,28,3,244,105,1,4,295,2,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,2,2,695,0,695,0
375,51,1,231,84,1,0,304,0,0,1,0,2,0,1,0,1,1,0,0,2,0,0,0,4,4,684,0,684,0
376,30,2,349,81,0,4,375,0,0,2,0,0,0,5,0,0,1,0,1,3,0,0,0,3,3,856,0,856,0
377,22,1,242,105,0,4,303,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,6,6,689,0,689,0
378,27,5,286,100,1,0,329,0,0,0,1,0,0,1,0,0,0,1,1,8,1,0,0,3,3,764,0,764,0
379,29,1,106,105,1,0,187,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,6,440,0,440,0
380,21,0,134,83,0,0,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,435,0,435,0
381,38,0,140,86,2,0,218,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1,4,4,495,0,495,0
382,45,1,211,70,0,0,296,2,0,0,0,1,1,0,0,0,1,1,1,0,0,2,1,5,5,638,0,638,0
383,34,1,183,76,0,0,315,0,0,0,0,2,0,0,0,0,1,0,0,4,0,1,0,4,4,621,0,621,0
384,28,0,181,97,0,1,286,0,2,0,0,0,1,0,0,5,1,0,0,1,1,0,0,5,5,609,0,609,0
385,32,0,160,97,1,0,245,0,0,2,0,0,0,1,1,1,0,1,1,2,0,0,0,4,4,548,0,548,0
386,29,0,152,110,0,0,220,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,5,5,521,0,521,0
387,25,1,157,95,0,1,273,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,3,564,0,564,0
388,57,1,202,127,0,0,343,0,0,0,2,3,0,1,1,0,0,0,0,1,1,4,0,3,3,746,0,746,0
389,29,3,149,129,2,0,246,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,564,0,564,0
390,23,2,220,84,1,0,303,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,0,5,5,645,0,645,0
391,25,0,147,88,0,1,209,1,0,1,1,0,0,1,0,0,0,0,0,2,1,2,0,3,3,482,0,482,0
392,18,0,104,74,0,1,158,1,0,3,2,0,0,1,1,0,0,1,0,1,0,0,0,2,2,367,0,367,0
393,27,2,193,63,0,0,280,0,0,1,0,0,0,1,0,3,3,2,3,7,0,0,1,2,2,588,0,588,0
394,14,0,129,85,1,0,157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,391,0,391,0
395,23,1,241,38,2,0,247,0,0,6,2,0,0,0,2,0,0,0,1,1,0,2,1,3,3,570,0,570,0
396,33,0,291,85,1,1,346,1,0,9,1,1,0,1,2,0,1,0,2,5,0,0,0,3,3,783,0,783,0
397,16,1,156,59,0,1,349,0,0,0,0,0,0,2,1,0,0,0,4,2,0,1,0,5,5,597,0,597,0
398,17,2,285,80,1,0,368,2,0,2,4,0,0,0,0,0,0,1,1,4,0,0,0,1,1,768,0,768,0
399,24,0,306,67,2,1,266,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,2,2,677,0,677,0
400,29,1,399,41,1,0,229,0,1,5,3,1,0,0,1,0,0,0,1,6,0,0,0,3,3,721,0,721,0
401,17,1,272,39,3,0,200,1,0,3,1,0,0,0,1,0,2,1,0,2,0,0,0,5,5,548,0,548,0
402,22,2,189,68,0,0,270,0,0,1,1,0,0,1,1,0,1,0,2,0,0,1,0,1,1,560,0,560,0
403,17,3,207,36,1,1,231,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,501,0,501,0
404,19,1,196,16,2,0,135,1,0,4,1,0,0,0,0,0,1,0,3,4,1,0,0,3,3,387,0,387,0
405,17,0,72,18,0,0,100,0,2,1,1,0,0,0,0,0,1,0,3,5,0,2,0,0,0,222,0,222,0
406,23,2,296,33,0,1,229,1,1,7,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,597,0,597,0
407,20,2,367,38,2,0,298,0,0,5,3,0,0,0,0,0,0,1,1,6,0,3,0,3,3,749,0,749,0
408,19,2,223,89,1,3,318,1,0,0,1,0,0,2,0,0,1,0,3,3,0,1,0,2,2,669,0,669,0
409,35,3,357,41,0,1,402,2,0,1,0,2,0,0,1,0,1,0,3,7,1,1,0,2,2,860,0,860,0
410,21,2,273,76,0,3,439,0,0,3,0,1,1,0,1,0,1,0,3,3,0,0,0,1,1,828,0,828,0
411,20,2,211,76,0,1,233,0,0,5,1,0,1,0,1,0,0,1,0,3,1,0,0,6,6,562,0,562,0
412,14,0,176,42,3,0,219,0,1,2,0,0,0,1,1,0,1,0,2,2,0,0,0,3,3,467,0,467,0
413,16,0,201,53,1,3,344,0,1,1,0,0,1,3,0,0,1,0,4,9,1,2,1,1,1,643,0,643,0
414,16,0,86,63,0,1,234,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0,410,0,410,0
415,41,4,279,100,1,0,420,1,0,0,3,1,0,0,1,1,0,0,2,3,0,0,0,7,7,864,0,864,0
416,24,2,119,63,1,2,484,0,4,0,1,1,0,0,0,0,2,0,5,14,1,1,0,1,1,725,0,725,0
417,25,2,192,49,1,2,367,0,1,2,0,1,0,2,2,2,1,1,0,1,0,0,0,0,0,651,0,651,0
418,15,0,196,45,2,2,193,0,0,3,0,0,0,0,1,1,0,0,2,3,0,0,1,3,3,467,0,467,0
419,19,2,236,68,0,3,350,1,1,3,0,0,0,1,0,0,0,0,1,3,0,0,1,5,5,694,0,694,0
420,31,0,184,86,0,0,256,0,2,0,2,0,0,0,1,0,0,0,3,5,0,0,1,4,4,575,0,575,0
421,25,0,145,87,2,1,239,0,1,1,0,0,0,0,0,0,2,1,3,1,0,1,0,1,1,510,0,510,0
422,21,1,132,78,1,0,267,0,2,0,0,0,0,0,0,0,3,0,0,4,0,2,0,2,2,513,0,513,0
423,23,0,114,68,1,0,253,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,464,0,464,0
424,18,2,214,73,1,0,342,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,653,0,653,0
425,19,2,166,43,0,2,208,1,0,2,4,1,0,1,0,0,0,0,2,2,0,0,0,0,0,453,0,453,0
426,20,3,199,64,0,1,246,0,1,1,0,0,0,0,1,0,0,0,2,3,0,1,1,0,0,543,0,543,0
427,19,2,257,74,0,0,245,1,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,605,0,605,0
428,17,1,172,80,0,0,287,2,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,6,575,0,575,0
429,31,0,151,89,1,0,300,1,0,1,2,0,1,1,5,1,1,0,0,2,0,2,1,1,1,591,0,591,0
430,25,0,151,58,1,0,272,1,0,1,1,2,0,2,1,0,4,2,3,10,0,1,0,0,0,535,0,535,0
431,7,1,128,46,0,4,281,0,4,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,476,0,476,0
432,17,0,107,32,4,0,247,0,0,0,1,0,0,0,0,0,0,0,4,7,0,2,1,0,0,422,0,422,0
433,29,1,263,64,1,1,447,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,3,3,814,0,814,0
434,18,1,199,35,0,0,343,0,0,0,0,0,0,0,1,0,0,0,3,11,0,0,0,1,1,612,0,612,0
435,30,5,230,64,1,1,413,1,1,0,1,2,1,1,2,1,0,1,1,6,0,0,0,2,2,764,0,764,0
436,19,1,183,64,3,1,296,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,573,0,573,0
437,32,2,129,69,0,2,280,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,521,0,521,0
438,28,2,144,55,1,0,233,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,469,0,469,0
439,28,0,149,132,1,4,261,0,0,0,1,1,0,0,0,0,0,0,2,2,2,1,0,7,7,591,0,591,0
440,22,1,95,65,1,1,168,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,358,0,358,0
441,14,0,87,85,0,0,205,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,400,0,400,0
442,35,1,122,169,1,0,242,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,6,582,0,582,0
443,34,0,170,98,0,0,365,1,1,0,0,1,1,0,1,1,3,0,1,1,0,0,1,3,3,682,0,682,0
444,9,1,97,47,0,2,222,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,381,0,381,0
445,31,5,185,67,0,3,343,0,2,0,0,1,0,1,0,1,0,0,0,3,0,0,1,3,3,646,0,646,0
446,30,2,157,152,1,1,339,2,1,0,0,0,0,3,0,0,0,0,0,2,0,2,1,1,1,694,0,694,0
447,26,3,123,107,0,0,334,0,0,1,2,0,0,0,3,0,0,0,0,5,0,1,0,2,2,607,0,607,0
448,35,1,187,114,1,1,449,1,0,1,0,1,0,0,1,0,1,0,1,4,0,0,0,4,4,802,0,802,0
449,23,0,145,89,1,2,335,1,0,1,0,1,0,2,0,1,0,0,2,0,0,0,0,4,4,607,0,607,0
450,24,1,156,126,1,1,442,1,1,1,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,762,0,762,0
451,29,1,179,105,0,1,385,1,1,0,2,1,0,1,2,1,1,0,1,4,1,0,2,4,4,722,0,722,0
452,33,3,71,178,0,1,190,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,7,488,0,488,0
453,29,0,137,126,0,0,218,0,3,0,0,1,0,0,0,0,1,0,1,3,0,0,0,2,2,521,0,521,0
454,27,0,105,125,4,0,231,0,0,0,2,2,0,0,1,0,1,0,1,3,3,0,0,3,3,508,0,508,0
455,17,3,127,71,1,1,264,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,3,3,493,0,493,0
