Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
108,108,74,25,158,1,3,286,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,552,0,3,555,0
109,109,184,34,181,0,2,316,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,721,0,3,724,0
110,110,238,31,150,2,0,302,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,733,0,6,739,0
111,111,198,27,151,1,1,252,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,638,0,2,640,0
112,112,143,31,112,0,0,271,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,562,0,1,563,0
113,113,180,35,138,2,1,318,2,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,681,0,3,684,0
114,114,117,23,107,0,0,344,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,595,0,2,597,0
115,115,141,14,133,1,3,279,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,577,0,2,579,0
116,116,150,39,152,1,7,269,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,625,0,3,628,0
117,117,104,30,114,0,3,258,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,2,517,0,1,518,1
118,118,128,33,156,1,6,345,1,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,1,3,680,0,0,680,1
119,119,85,31,110,0,11,248,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,0,492,0,0,492,0
120,120,57,31,96,1,4,289,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,485,0,4,489,0
121,121,106,21,64,0,2,185,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,381,0,0,381,0
122,122,143,27,162,1,1,236,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,577,0,4,581,0
123,123,128,33,155,0,0,274,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,594,0,2,596,0
124,124,55,14,115,0,3,285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,475,0,0,475,0
125,125,58,24,157,3,2,349,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,2,602,0,1,603,0
126,126,91,34,263,1,7,338,1,0,0,0,2,0,1,2,1,0,3,0,2,1,0,2,0,0,749,0,0,749,0
127,127,138,42,204,0,0,217,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,605,0,3,608,0
128,128,190,25,173,1,3,248,1,0,0,0,1,2,0,1,1,2,2,2,1,1,0,2,0,1,657,0,6,663,1
129,129,159,15,160,0,2,211,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,550,0,0,550,1
130,130,43,18,245,0,0,223,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,535,0,1,536,0
131,131,43,19,239,1,1,242,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,552,0,2,554,0
132,132,137,29,225,2,0,255,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,655,0,4,659,0
133,133,169,15,139,0,0,198,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,526,0,2,528,0
134,134,98,21,178,1,2,174,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,480,0,4,484,0
135,135,162,23,192,1,2,321,1,0,0,0,0,0,0,2,1,0,2,1,1,0,0,1,0,2,712,0,2,714,0
136,136,135,32,195,1,0,253,1,0,1,1,1,0,0,0,0,0,4,2,1,0,1,1,0,0,629,0,4,633,0
137,137,90,23,207,5,7,347,1,0,0,0,0,0,1,0,3,4,1,0,3,0,0,1,0,1,694,0,0,694,0
138,138,101,7,226,1,0,283,1,0,0,1,1,0,1,6,0,4,0,0,1,0,1,2,0,0,636,0,1,637,0
139,139,17,13,294,2,0,334,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,662,0,1,663,0
140,140,99,26,161,1,2,302,0,0,1,0,0,0,0,2,1,0,1,3,1,1,0,1,0,1,603,0,1,604,0
141,141,132,20,96,1,3,255,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,513,0,2,515,0
142,142,136,21,207,2,2,288,2,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,664,0,2,666,0
143,143,175,29,154,0,0,264,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,629,0,1,630,0
144,144,113,27,137,1,0,211,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,493,0,4,497,0
145,145,140,29,127,1,0,236,2,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,544,0,3,547,0
146,146,185,14,142,1,2,232,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,581,0,8,589,0
147,147,197,14,184,1,1,295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,697,0,3,700,0
148,148,135,26,129,0,0,242,0,0,1,0,0,1,0,0,1,1,2,0,1,0,0,1,1,1,542,0,0,542,0
149,149,97,26,167,0,2,313,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,610,0,0,610,0
150,150,141,22,138,0,0,202,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,508,0,3,511,0
151,151,98,12,232,0,0,331,0,0,0,0,1,0,0,2,0,1,1,0,2,2,0,1,0,0,683,0,2,685,0
152,152,70,13,111,3,2,149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,350,0,3,353,0
153,153,217,26,170,1,2,179,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,2,604,0,1,605,0
154,154,137,15,159,0,0,162,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,478,0,3,481,0
155,155,118,12,331,0,1,208,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,674,0,1,675,1
